assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,fpl_id,understat_id,player_team,FPL_Name,Understat_Name
0,0,0,16,0,0.4,697,0.0,0.0,0.0,2.84,124,3,0,2.5,24.2,2023-11-27,90,10,0,0,0,0,13,0,2558,1,2,3,0.0,1,40,190,150,45,False,0,0,0,0.0,90,DEF,Fulham,Wolverhampton Wanderers,3,2,22018,2023,626118,0.0,0,0,0,0.0,0.3619565367698669,0.3619565367698669,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
1,0,0,3,0,0.0,697,0.0,0.0,0.0,0.75,180,1,0,0.2,2.0,2023-12-24,20,7,0,0,0,0,18,0,3085,0,1,2,0.0,1,-76,63,139,45,True,0,0,0,0.0,19,DEF,Wolverhampton Wanderers,Chelsea,2,1,22073,2023,632893,0.0,0,0,0,0.0,0.0,0.0,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
2,0,0,16,0,0.5,697,0.0,0.0,0.0,2.16,183,1,0,2.3,22.8,2023-12-27,90,4,0,0,0,0,19,0,3180,1,4,1,0.0,2,14,110,96,45,False,0,0,0,0.0,90,DEF,Brentford,Wolverhampton Wanderers,1,4,22077,2023,633138,0.0,0,0,0,0.0,0.0108225950971245,0.0108225950971245,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
3,0,0,11,0,0.3,697,0.0,0.0,0.0,2.7,280,1,0,1.7,16.6,2024-03-09,90,10,0,0,0,0,28,0,4176,1,1,2,0.0,1,-50,90,140,45,True,1,0,0,0.0,90,DEF,Wolverhampton Wanderers,Fulham,2,1,22174,2023,646687,0.0,0,0,0,0.0,0.2326919734477996,0.2326919734477996,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
4,0,0,10,0,1.3,697,0.0,0.0,0.0,0.98,291,2,0,0.7,5.2,2024-03-30,90,2,0,0,0,0,30,0,4395,1,0,2,0.0,1,3,70,67,45,False,0,0,0,0.0,90,DEF,Aston Villa,Wolverhampton Wanderers,2,0,22186,2023,650029,0.0,0,0,0,0.0,0.3661127984523773,0.3661127984523773,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
5,0,0,2,0,0.2,697,0.0,0.0,0.0,0.18,304,0,0,0.0,0.0,2024-04-02,22,6,0,0,0,0,31,0,4545,0,1,1,0.0,1,97,142,45,45,False,0,0,0,0.0,18,DEF,Burnley,Wolverhampton Wanderers,1,1,22197,2023,651090,0.0,0,0,0,0.0,0.0,0.0,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
6,0,0,15,0,11.9,697,0.01,0.01,0.0,1.13,320,2,0,3.0,16.4,2024-04-06,90,19,0,0,0,0,32,0,4597,1,2,1,2.0,1,-28,79,107,45,True,0,0,0,0.0,90,DEF,Wolverhampton Wanderers,West Ham,1,2,22214,2023,651802,0.0175168197602033,0,1,0,0.0,0.7621372938156128,0.7621372938156128,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
7,0,0,12,0,0.6,697,0.0,0.0,0.0,1.9,329,2,0,2.6,25.4,2024-04-13,90,16,0,0,0,0,33,0,4743,1,2,2,0.0,1,24,106,82,45,False,0,0,0,0.0,90,DEF,Nottingham Forest,Wolverhampton Wanderers,2,2,22223,2023,653335,0.0,0,0,0,0.0,0.1452901065349578,0.1452901065349578,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
8,0,0,15,0,1.3,697,0.0,0.0,0.0,1.21,340,2,0,2.6,24.2,2024-04-20,90,1,0,0,0,0,34,0,5806,1,2,0,0.0,1,556,664,108,45,True,0,0,0,0.0,90,DEF,Wolverhampton Wanderers,Arsenal,0,2,22234,2023,655049,0.0,0,0,0,0.0,0.0243077091872692,0.0243077091872692,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
9,0,0,11,0,0.1,697,0.0,0.0,0.0,1.17,290,1,0,1.5,15.0,2024-04-24,45,3,0,0,0,0,34,0,5806,1,1,0,0.0,1,556,664,108,45,True,0,0,0,0.0,48,DEF,Wolverhampton Wanderers,Bournemouth,0,1,22184,2023,656368,0.0,0,0,0,0.0,0.0313969291746616,0.0313969291746616,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
10,0,0,4,0,0.3,697,0.0,0.0,0.0,0.91,359,1,0,0.5,5.0,2024-05-04,19,13,0,0,0,0,36,0,4815,0,1,5,0.0,1,-252,14,266,45,False,0,0,0,0.0,12,DEF,Manchester City,Wolverhampton Wanderers,5,1,22253,2023,659077,0.0,0,0,0,0.0,0.0,0.0,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
11,0,0,9,0,10.2,697,0.0,0.0,0.0,4.78,377,2,0,2.7,17.0,2024-05-19,83,11,0,0,0,0,38,0,4946,1,0,2,0.0,1,-61,47,108,45,False,0,0,0,0.0,90,DEF,Liverpool,Wolverhampton Wanderers,2,0,22271,2023,663066,0.1733891665935516,0,1,0,0.0,0.1733891665935516,0.0,697,10945,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno
