assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,0,0,0.0,820,0.0,0.0,0.0,0.0,246,0,0,0.0,0.0,2024-02-17,0,13,0,0,0,0,25,0,0,0,1,1,0.0,0,0,0,0,45,False,0,820,,,Ollie Harrison,2,5,0.8723471164703369,90,FW,Fulham,Aston Villa,1,2,22138,2023,641788,0.3688158988952636,0,1,2,0.8723471164703369,1.1475831270217896,0.3260124027729034,22138,Aston Villa,Ollie Harrison,Ollie Watkins,MID
1,0,0,0,0,0.0,820,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2024-03-02,0,4,0,0,0,0,27,0,92,0,2,2,0.0,0,17,41,24,45,False,0,820,,,Ollie Harrison,2,5,0.693005383014679,90,FW,Luton,Aston Villa,2,3,22159,2023,645168,0.0,0,0,2,0.693005383014679,1.2421398162841797,0.9566558599472046,22159,Aston Villa,Ollie Harrison,Ollie Watkins,MID
2,0,0,0,0,0.0,820,0.0,0.0,0.0,0.0,294,0,0,0.0,0.0,2024-03-30,0,6,0,0,0,0,30,0,156,0,2,2,0.0,0,7,21,14,45,True,0,820,,,Ollie Harrison,0,1,0.3208831250667572,48,FW,Aston Villa,Wolverhampton Wanderers,2,0,22186,2023,650021,0.0,0,0,0,0.3208831250667572,0.3208831250667572,0.3208831250667572,22186,Aston Villa,Ollie Harrison,Ollie Watkins,MID
3,0,0,0,0,0.0,820,0.0,0.0,0.0,0.0,341,0,0,0.0,0.0,2024-04-27,0,2,0,0,0,0,35,0,225,0,2,2,0.0,0,-5,8,13,45,False,0,820,,,Ollie Harrison,0,3,0.2465727776288986,90,FW,Aston Villa,Chelsea,2,2,22236,2023,657253,0.0,0,0,0,0.2465727776288986,0.2465727776288986,0.0,22236,Aston Villa,Ollie Harrison,Ollie Watkins,MID
4,0,0,0,0,0.0,820,0.0,0.0,0.0,0.0,355,0,0,0.0,0.0,2024-05-05,0,19,0,0,0,0,36,0,248,0,0,5,0.0,0,5,17,12,45,True,0,820,,,Ollie Harrison,0,0,0.0,90,FW,Brighton,Aston Villa,1,0,22247,2023,659412,0.0,0,0,0,0.0,0.0,0.0,22247,Aston Villa,Ollie Harrison,Ollie Watkins,MID
5,0,0,0,0,0.0,820,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2024-05-19,0,3,0,0,0,0,38,0,286,0,1,2,0.0,0,9,25,16,45,True,0,820,,,Ollie Harrison,0,2,0.1699755936861038,73,FW,Crystal Palace,Aston Villa,5,0,22270,2023,663106,0.0,0,0,0,0.1699755936861038,0.0,0.0,22270,Aston Villa,Ollie Harrison,Ollie Watkins,MID
