fpl_id,fpl_position,team,full_team_name,fpl_name,understat_id,understat_name
1,1,Arsenal,Arsenal,David Raya Martín,9676.0,David Raya
5,2,Arsenal,Arsenal,Gabriel dos Santos Magalhães,5613.0,Gabriel
6,2,Arsenal,Arsenal,William Saliba,6888.0,William Saliba
7,2,Arsenal,Arsenal,Riccardo Calafiori,8129.0,Riccardo Calafiori
8,2,Arsenal,Arsenal,Jurriën Timber,11707.0,Jurriën Timber
10,2,Arsenal,Arsenal,Myles Lewis-Skelly,12272.0,Myles Lewis-Skelly
11,2,Arsenal,Arsenal,Benjamin White,7298.0,Ben White
16,3,Arsenal,Arsenal,Bukayo Saka,7322.0,Bukayo Saka
17,3,Arsenal,Arsenal,Martin Ødegaard,2517.0,Martin Odegaard
18,3,Arsenal,Arsenal,Noni Madueke,11357.0,Noni Madueke
19,3,Arsenal,Arsenal,Gabriel Martinelli Silva,7752.0,Gabriel Martinelli
20,3,Arsenal,Arsenal,Leandro Trossard,7698.0,Leandro Trossard
21,3,Arsenal,Arsenal,Declan Rice,5553.0,Declan Rice
22,3,Arsenal,Arsenal,Mikel Merino Zazón,5304.0,Mikel Merino
25,3,Arsenal,Arsenal,Ethan Nwaneri,11132.0,Ethan Nwaneri
26,3,Arsenal,Arsenal,Martín Zubimendi Ibáñez,7526.0,Martín Zubimendi
30,4,Arsenal,Arsenal,Kai Havertz,5220.0,Kai Havertz
266,3,Arsenal,Arsenal,Eberechi Eze,8706.0,Eberechi Eze
662,2,Arsenal,Arsenal,Cristhian Mosquera,10024.0,Cristhian Mosquera
666,4,Arsenal,Arsenal,Viktor Gyökeres,7254.0,Viktor Gyokeres
700,3,Arsenal,Arsenal,Max Dowman,13872.0,Max Dowman
32,1,Aston Villa,Aston Villa,Emiliano Martínez Romero,4401.0,Emiliano Martinez
33,1,Aston Villa,Aston Villa,Marco Bizot,9614.0,Marco Bizot
37,2,Aston Villa,Aston Villa,Lucas Digne,1823.0,Lucas Digne
40,2,Aston Villa,Aston Villa,Tyrone Mings,1024.0,Tyrone Mings
41,2,Aston Villa,Aston Villa,Pau Torres,6221.0,Pau Torres
44,2,Aston Villa,Aston Villa,Lamare Bogarde,10025.0,Lamare Bogarde
47,3,Aston Villa,Aston Villa,Morgan Rogers,12412.0,Morgan Rogers
48,3,Aston Villa,Aston Villa,Youri Tielemans,5956.0,Youri Tielemans
50,3,Aston Villa,Aston Villa,Emiliano Buendía Stati,2203.0,Emiliano Buendía
53,3,Aston Villa,Aston Villa,Donyell Malen,9749.0,Donyell Malen
54,3,Aston Villa,Aston Villa,John McGinn,7723.0,John McGinn
58,3,Aston Villa,Aston Villa,Boubacar Kamara,5789.0,Boubacar Kamara
59,3,Aston Villa,Aston Villa,Amadou Onana,9667.0,Amadou Onana
64,4,Aston Villa,Aston Villa,Ollie Watkins,8865.0,Ollie Watkins
389,3,Aston Villa,Aston Villa,Harvey Elliott,7546.0,Harvey Elliott
677,3,Aston Villa,Aston Villa,Evann Guessand,8006.0,Evann Guessand
702,3,Aston Villa,Aston Villa,Bradley Burrowes,13870.0,Bradley Burrowes
719,2,Aston Villa,Aston Villa,Victor Lindelöf,6080.0,Victor Lindelöf
187,2,Burnley,Burnley,Kyle Walker,638.0,Kyle Walker
190,2,Burnley,Burnley,Hjalmar Ekdal,11704.0,Hjalmar Ekdal
191,2,Burnley,Burnley,Maxime Estève,9487.0,Maxime Estève
192,2,Burnley,Burnley,Quilindschy Hartman,13727.0,Quilindschy Hartman
197,2,Burnley,Burnley,Oliver Sonne,13726.0,Oliver Sonne
199,2,Burnley,Burnley,Joe Worrall,10756.0,Joe Worrall
200,3,Burnley,Burnley,Jaidon Anthony,10746.0,Jaidon Anthony
202,3,Burnley,Burnley,Jacob Bruun Larsen,5355.0,Jacob Bruun Larsen
205,3,Burnley,Burnley,Josh Cullen,1018.0,Josh Cullen
206,3,Burnley,Burnley,Marcus Edwards,13730.0,Marcus Edwards
207,3,Burnley,Burnley,Hannibal Mejbri,9558.0,Hannibal Mejbri
209,3,Burnley,Burnley,Josh Laurent,13728.0,Josh Laurent
210,3,Burnley,Burnley,Loum Tchaouna,9977.0,Loum Tchaouna
215,4,Burnley,Burnley,Zian Flemming,13729.0,Zian Flemming
217,4,Burnley,Burnley,Lyle Foster,7498.0,Lyle Foster
470,1,Burnley,Burnley,Martin Dúbravka,6532.0,Martin Dubravka
676,3,Burnley,Burnley,Lesley Ugochukwu,9451.0,Chimuanya Ugochukwu
680,4,Burnley,Burnley,Armando Broja,8384.0,Armando Broja
722,3,Burnley,Burnley,Florentino Ibrain Morris Luís,8969.0,Florentino Luís
67,1,Bournemouth,Bournemouth,Đorđe Petrović,12032.0,Djordje Petrovic
72,2,Bournemouth,Bournemouth,Marcos Senesi Barón,10864.0,Marcos Senesi
73,2,Bournemouth,Bournemouth,Adam Smith,825.0,Adam Smith
74,2,Bournemouth,Bournemouth,Adrien Truffert,8640.0,Adrien Truffert
77,2,Bournemouth,Bournemouth,James Hill,10747.0,James Hill
80,2,Bournemouth,Bournemouth,Julio Soler Barreto,13474.0,Julio Soler
81,3,Bournemouth,Bournemouth,Justin Kluivert,6963.0,Justin Kluivert
82,3,Bournemouth,Bournemouth,Antoine Semenyo,11363.0,Antoine Semenyo
84,3,Bournemouth,Bournemouth,Marcus Tavernier,10741.0,Marcus Tavernier
85,3,Bournemouth,Bournemouth,Tyler Adams,7352.0,Tyler Adams
86,3,Bournemouth,Bournemouth,David Brooks,6820.0,David Brooks
87,3,Bournemouth,Bournemouth,Ryan Christie,10744.0,Ryan Christie
88,3,Bournemouth,Bournemouth,Lewis Cook,1789.0,Lewis Cook
90,3,Bournemouth,Bournemouth,Alex Scott,12149.0,Alex Scott
93,3,Bournemouth,Bournemouth,Hamed Traorè,6986.0,Hamed Junior Traore
96,3,Bournemouth,Bournemouth,Ben Winterburn,13242.0,Ben Winterburn
97,4,Bournemouth,Bournemouth,Francisco Evanilson de Lima Barbosa,12963.0,Evanilson
100,4,Bournemouth,Bournemouth,Eli Junior Kroupi,11504.0,Eli Junior Kroupi
685,2,Bournemouth,Bournemouth,Bafodé Diakité,7268.0,Bafode Diakite
697,3,Bournemouth,Bournemouth,Amine Adli,8211.0,Amine Adli
