team_a,team_h,h_fdr,a_fdr,team_home,team_away
19,8,2,3,Everton,West Ham
16,10,3,2,Ipswich,Nottingham Forest
5,13,3,4,Manchester City,Brighton
20,17,2,2,Southampton,Wolverhampton Wanderers
4,3,2,3,Bournemouth,Brentford
6,1,4,4,Arsenal,Chelsea
18,9,3,3,Fulham,Tottenham
14,11,3,2,Leicester,Manchester United
