PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Valentin Castellanos PGM,14 - 17,Valentin Castellanos SMM,21 - 26,West Ham v Nottingham Forest
Jarrod Bowen PGM,14 - 17,Jarrod Bowen SMM,21 - 26,West Ham v Nottingham Forest
Callum Wilson PGM,13 - 16,Callum Wilson SMM,19 - 23,West Ham v Nottingham Forest
Pablo Felipe PGM,13 - 16,Pablo Felipe SMM,19 - 23,West Ham v Nottingham Forest
Lucas Paqueta PGM,10 - 13,Lucas Paqueta SMM,14 - 18,West Ham v Nottingham Forest
Tomas Soucek PGM,8 - 11,Tomas Soucek SMM,12 - 16,West Ham v Nottingham Forest
Crysencio Summerville PGM,6 - 9,Crysencio Summerville SMM,8 - 11,West Ham v Nottingham Forest
Mateus Fernandes PGM,4 - 7,Mateus Fernandes SMM,6 - 9,West Ham v Nottingham Forest
Soungoutou Magassa PGM,2.5 - 5,Soungoutou Magassa SMM,4 - 7,West Ham v Nottingham Forest
Freddie Potts PGM,2 - 4,Freddie Potts SMM,2.5 - 5,West Ham v Nottingham Forest
Guido Rodriguez PGM,2 - 4,Guido Rodriguez SMM,2.5 - 5,West Ham v Nottingham Forest
Kyle Walker-Peters PGM,1 - 3,Kyle Walker-Peters SMM,2 - 4,West Ham v Nottingham Forest
Max Kilman PGM,1 - 3,Max Kilman SMM,2 - 4,West Ham v Nottingham Forest
Konstantinos Mavropanos PGM,1 - 3,Konstantinos Mavropanos SMM,2 - 4,West Ham v Nottingham Forest
Jean-Clair Todibo PGM,0.5 - 2,Jean-Clair Todibo SMM,1 - 3,West Ham v Nottingham Forest
Oliver Scarles PGM,1 - 3,Oliver Scarles SMM,2 - 4,West Ham v Nottingham Forest
Igor Jesus PGM,18 - 21,Igor Jesus SMM,27 - 32,West Ham v Nottingham Forest
Taiwo Awoniyi PGM,13 - 16,Taiwo Awoniyi SMM,19 - 23,West Ham v Nottingham Forest
Morgan Gibbs-White PGM,13 - 16,Morgan Gibbs-White SMM,18 - 22,West Ham v Nottingham Forest
James McAtee PGM,9 - 12,James McAtee SMM,13 - 17,West Ham v Nottingham Forest
Callum Hudson-Odoi PGM,8 - 11,Callum Hudson-Odoi SMM,12 - 16,West Ham v Nottingham Forest
