PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Yoane Wissa PGM,17 - 20,Yoane Wissa SMM,27 - 32,Newcastle v Chelsea
Nick Woltemade PGM,17 - 20,Nick Woltemade SMM,25 - 30,Newcastle v Chelsea
Anthony Gordon PGM,16 - 19,Anthony Gordon SMM,24 - 29,Newcastle v Chelsea
Harvey Barnes PGM,14 - 17,Harvey Barnes SMM,20 - 24,Newcastle v Chelsea
Anthony Elanga PGM,9 - 12,Anthony Elanga SMM,13 - 17,Newcastle v Chelsea
Jacob Murphy PGM,8 - 11,Jacob Murphy SMM,12 - 16,Newcastle v Chelsea
Jacob Ramsey PGM,6 - 9,Jacob Ramsey SMM,9 - 13,Newcastle v Chelsea
Joe Willock PGM,5 - 8,Joe Willock SMM,7 - 10,Newcastle v Chelsea
Bruno Guimaraes PGM,4 - 7,Bruno Guimaraes SMM,7 - 10,Newcastle v Chelsea
Joelinton PGM,4 - 7,Joelinton SMM,6 - 9,Newcastle v Chelsea
Sandro Tonali PGM,3 - 6,Sandro Tonali SMM,5 - 8,Newcastle v Chelsea
Lewis Miley PGM,2.5 - 5,Lewis Miley SMM,4 - 7,Newcastle v Chelsea
Malick Thiaw PGM,2 - 4,Malick Thiaw SMM,2.5 - 5,Newcastle v Chelsea
Fabian Schar PGM,2 - 4,Fabian Schar SMM,2.5 - 5,Newcastle v Chelsea
Sven Botman PGM,1 - 3,Sven Botman SMM,2 - 4,Newcastle v Chelsea
Lewis Hall PGM,1 - 3,Lewis Hall SMM,2 - 4,Newcastle v Chelsea
Cole Palmer PGM,16 - 19,Cole Palmer SMM,24 - 29,Newcastle v Chelsea
Marc Guiu PGM,14 - 17,Marc Guiu SMM,21 - 26,Newcastle v Chelsea
Joao Pedro PGM,13 - 16,Joao Pedro SMM,19 - 23,Newcastle v Chelsea
Estevao PGM,12 - 15,Estevao SMM,18 - 22,Newcastle v Chelsea
Alejandro Garnacho PGM,10 - 13,Alejandro Garnacho SMM,14 - 18,Newcastle v Chelsea
Pedro Neto PGM,8 - 11,Pedro Neto SMM,12 - 16,Newcastle v Chelsea
Jamie Gittens PGM,8 - 11,Jamie Gittens SMM,12 - 16,Newcastle v Chelsea
Enzo Fernandez PGM,5 - 8,Enzo Fernandez SMM,7 - 10,Newcastle v Chelsea
Andrey Santos PGM,5 - 8,Andrey Santos SMM,7 - 10,Newcastle v Chelsea
Reece James PGM,3 - 6,Reece James SMM,5 - 8,Newcastle v Chelsea
Trevoh Chalobah PGM,2.5 - 5,Trevoh Chalobah SMM,5 - 8,Newcastle v Chelsea
Marc Cucurella PGM,2.5 - 5,Marc Cucurella SMM,5 - 8,Newcastle v Chelsea
Moises Caicedo PGM,2.5 - 5,Moises Caicedo SMM,5 - 8,Newcastle v Chelsea
Tosin Adarabioyo PGM,1 - 3,Tosin Adarabioyo SMM,2 - 4,Newcastle v Chelsea
Wesley Fofana PGM,1 - 3,Wesley Fofana SMM,2 - 4,Newcastle v Chelsea
Benoit Badiashile PGM,1 - 3,Benoit Badiashile SMM,2 - 4,Newcastle v Chelsea
Jorrel Hato PGM,1 - 3,Jorrel Hato SMM,2 - 4,Newcastle v Chelsea
Josh Acheampong PGM,1 - 3,Josh Acheampong SMM,2 - 4,Newcastle v Chelsea
Malo Gusto PGM,1 - 3,Malo Gusto SMM,2 - 4,Newcastle v Chelsea
Evanilson PGM,24 - 27,Evanilson SMM,37 - 43,Bournemouth v Burnley
Eli Junior Kroupi PGM,23 - 26,Eli Junior Kroupi SMM,36 - 42,Bournemouth v Burnley
Enes Unal PGM,23 - 26,Enes Unal SMM,36 - 42,Bournemouth v Burnley
Antoine Semenyo PGM,18 - 21,Antoine Semenyo SMM,27 - 32,Bournemouth v Burnley
Justin Kluivert PGM,17 - 20,Justin Kluivert SMM,25 - 30,Bournemouth v Burnley
Amine Adli PGM,14 - 17,Amine Adli SMM,20 - 24,Bournemouth v Burnley
Marcus Tavernier PGM,9 - 12,Marcus Tavernier SMM,13 - 17,Bournemouth v Burnley
David Brooks PGM,9 - 12,David Brooks SMM,13 - 17,Bournemouth v Burnley
Alejandro Jimenez PGM,4 - 7,Alejandro Jimenez SMM,6 - 9,Bournemouth v Burnley
Bafode Diakite PGM,3 - 6,Bafode Diakite SMM,6 - 9,Bournemouth v Burnley
