PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Chris Wood PGM,17 - 20,Chris Wood SMM,27 - 32,Nottingham Forest v Chelsea
Igor Jesus PGM,16 - 19,Igor Jesus SMM,24 - 29,Nottingham Forest v Chelsea
Morgan Gibbs-White PGM,8 - 11,Morgan Gibbs-White SMM,12 - 16,Nottingham Forest v Chelsea
Dan Ndoye PGM,7 - 10,Dan Ndoye SMM,10 - 14,Nottingham Forest v Chelsea
James McAtee PGM,7 - 10,James McAtee SMM,10 - 14,Nottingham Forest v Chelsea
Callum Hudson-Odoi PGM,6 - 9,Callum Hudson-Odoi SMM,9 - 13,Nottingham Forest v Chelsea
Dilane Bakwa PGM,6 - 9,Dilane Bakwa SMM,9 - 13,Nottingham Forest v Chelsea
Elliot Anderson PGM,3 - 6,Elliot Anderson SMM,5 - 8,Nottingham Forest v Chelsea
Ryan Yates PGM,2.5 - 5,Ryan Yates SMM,5 - 8,Nottingham Forest v Chelsea
Douglas Luiz PGM,2.5 - 5,Douglas Luiz SMM,4 - 7,Nottingham Forest v Chelsea
Nicolas Dominguez PGM,2 - 4,Nicolas Dominguez SMM,4 - 7,Nottingham Forest v Chelsea
Nikola Milenkovic PGM,2 - 4,Nikola Milenkovic SMM,2.5 - 5,Nottingham Forest v Chelsea
Neco Williams PGM,2 - 4,Neco Williams SMM,2.5 - 5,Nottingham Forest v Chelsea
Ibrahim Sangare PGM,2 - 4,Ibrahim Sangare SMM,2.5 - 5,Nottingham Forest v Chelsea
Murillo PGM,1 - 3,Murillo SMM,2 - 4,Nottingham Forest v Chelsea
Jair Cunha PGM,1 - 3,Jair Cunha SMM,2 - 4,Nottingham Forest v Chelsea
Oleksandr Zinchenko PGM,1 - 3,Oleksandr Zinchenko SMM,2 - 4,Nottingham Forest v Chelsea
Nicolo Savona PGM,1 - 3,Nicolo Savona SMM,2 - 4,Nottingham Forest v Chelsea
Morato PGM,0.5 - 2,Morato SMM,1 - 3,Nottingham Forest v Chelsea
Joao Pedro PGM,19 - 22,Joao Pedro SMM,28 - 33,Nottingham Forest v Chelsea
Cole Palmer PGM,19 - 22,Cole Palmer SMM,28 - 33,Nottingham Forest v Chelsea
Estevao PGM,13 - 16,Estevao SMM,19 - 23,Nottingham Forest v Chelsea
Enzo Fernandez PGM,11 - 14,Enzo Fernandez SMM,17 - 21,Nottingham Forest v Chelsea
Tyrique George PGM,11 - 14,Tyrique George SMM,17 - 21,Nottingham Forest v Chelsea
Pedro Neto PGM,10 - 13,Pedro Neto SMM,16 - 20,Nottingham Forest v Chelsea
Alejandro Garnacho PGM,10 - 13,Alejandro Garnacho SMM,16 - 20,Nottingham Forest v Chelsea
Facundo Buonanotte PGM,10 - 13,Facundo Buonanotte SMM,16 - 20,Nottingham Forest v Chelsea
Jamie Gittens PGM,10 - 13,Jamie Gittens SMM,14 - 18,Nottingham Forest v Chelsea
Marc Cucurella PGM,4 - 7,Marc Cucurella SMM,6 - 9,Nottingham Forest v Chelsea
Andrey Santos PGM,4 - 7,Andrey Santos SMM,6 - 9,Nottingham Forest v Chelsea
Trevoh Chalobah PGM,3 - 6,Trevoh Chalobah SMM,5 - 8,Nottingham Forest v Chelsea
Reece James PGM,2.5 - 5,Reece James SMM,5 - 8,Nottingham Forest v Chelsea
Axel Disasi PGM,2.5 - 5,Axel Disasi SMM,5 - 8,Nottingham Forest v Chelsea
Moises Caicedo PGM,2.5 - 5,Moises Caicedo SMM,4 - 7,Nottingham Forest v Chelsea
Tosin Adarabioyo PGM,2.5 - 5,Tosin Adarabioyo SMM,4 - 7,Nottingham Forest v Chelsea
Romeo Lavia PGM,2 - 4,Romeo Lavia SMM,4 - 7,Nottingham Forest v Chelsea
Benoit Badiashile PGM,1 - 3,Benoit Badiashile SMM,2 - 4,Nottingham Forest v Chelsea
Jorrel Hato PGM,1 - 3,Jorrel Hato SMM,2 - 4,Nottingham Forest v Chelsea
Malo Gusto PGM,1 - 3,Malo Gusto SMM,2 - 4,Nottingham Forest v Chelsea
Josh Acheampong PGM,1 - 3,Josh Acheampong SMM,2 - 4,Nottingham Forest v Chelsea
Wesley Fofana PGM,1 - 3,Wesley Fofana SMM,2 - 4,Nottingham Forest v Chelsea
Danny Welbeck PGM,18 - 21,Danny Welbeck SMM,27 - 32,Brighton v Newcastle
Stefanos Tzimas PGM,15 - 18,Stefanos Tzimas SMM,22 - 27,Brighton v Newcastle
Kaoru Mitoma PGM,8 - 11,Kaoru Mitoma SMM,12 - 16,Brighton v Newcastle
Georginio Rutter PGM,8 - 11,Georginio Rutter SMM,12 - 16,Brighton v Newcastle
Yankuba Minteh PGM,7 - 10,Yankuba Minteh SMM,10 - 14,Brighton v Newcastle
Diego Gomez PGM,6 - 9,Diego Gomez SMM,8 - 11,Brighton v Newcastle
Brajan Gruda PGM,6 - 9,Brajan Gruda SMM,8 - 11,Brighton v Newcastle
James Milner PGM,5 - 8,James Milner SMM,7 - 10,Brighton v Newcastle
Yasin Ayari PGM,3 - 6,Yasin Ayari SMM,6 - 9,Brighton v Newcastle
Ferdi Kadioglu PGM,2.5 - 5,Ferdi Kadioglu SMM,4 - 7,Brighton v Newcastle
Maxime De Cuyper PGM,2.5 - 5,Maxime De Cuyper SMM,4 - 7,Brighton v Newcastle
Carlos Baleba PGM,2 - 4,Carlos Baleba SMM,4 - 7,Brighton v Newcastle
Mats Wieffer PGM,2 - 4,Mats Wieffer SMM,2.5 - 5,Brighton v Newcastle
Lewis Dunk PGM,2 - 4,Lewis Dunk SMM,2.5 - 5,Brighton v Newcastle
Jan Paul van Hecke PGM,1 - 3,Jan Paul van Hecke SMM,2 - 4,Brighton v Newcastle
Diego Coppola PGM,1 - 3,Diego Coppola SMM,2 - 4,Brighton v Newcastle
Nick Woltemade PGM,14 - 17,Nick Woltemade SMM,20 - 24,Brighton v Newcastle
Anthony Gordon PGM,14 - 17,Anthony Gordon SMM,20 - 24,Brighton v Newcastle
Harvey Barnes PGM,11 - 14,Harvey Barnes SMM,16 - 20,Brighton v Newcastle
William Osula PGM,11 - 14,William Osula SMM,16 - 20,Brighton v Newcastle
Anthony Elanga PGM,7 - 10,Anthony Elanga SMM,10 - 14,Brighton v Newcastle
Jacob Murphy PGM,7 - 10,Jacob Murphy SMM,10 - 14,Brighton v Newcastle
Joe Willock PGM,6 - 9,Joe Willock SMM,8 - 11,Brighton v Newcastle
Joelinton PGM,5 - 8,Joelinton SMM,7 - 10,Brighton v Newcastle
Bruno Guimaraes PGM,4 - 7,Bruno Guimaraes SMM,6 - 9,Brighton v Newcastle
Sandro Tonali PGM,4 - 7,Sandro Tonali SMM,6 - 9,Brighton v Newcastle
Fabian Schar PGM,3 - 6,Fabian Schar SMM,5 - 8,Brighton v Newcastle
Lewis Miley PGM,3 - 6,Lewis Miley SMM,5 - 8,Brighton v Newcastle
Sven Botman PGM,2 - 4,Sven Botman SMM,2.5 - 5,Brighton v Newcastle
Dan Burn PGM,2 - 4,Dan Burn SMM,2.5 - 5,Brighton v Newcastle
Malick Thiaw PGM,1 - 3,Malick Thiaw SMM,2 - 4,Brighton v Newcastle
Kieran Trippier PGM,0.5 - 2,Kieran Trippier SMM,1 - 3,Brighton v Newcastle
Jaidon Anthony PGM,11 - 14,Jaidon Anthony SMM,17 - 21,Burnley v Leeds
Lyle Foster PGM,10 - 13,Lyle Foster SMM,14 - 18,Burnley v Leeds
Zian Flemming PGM,10 - 13,Zian Flemming SMM,14 - 18,Burnley v Leeds
Armando Broja PGM,10 - 13,Armando Broja SMM,14 - 18,Burnley v Leeds
Jacob Bruun Larsen PGM,9 - 12,Jacob Bruun Larsen SMM,12 - 16,Burnley v Leeds
Marcus Edwards PGM,5 - 8,Marcus Edwards SMM,8 - 11,Burnley v Leeds
Loum Tchaouna PGM,4 - 7,Loum Tchaouna SMM,7 - 10,Burnley v Leeds
Hannibal Mejbri PGM,3 - 6,Hannibal Mejbri SMM,5 - 8,Burnley v Leeds
Josh Laurent PGM,2 - 4,Josh Laurent SMM,4 - 7,Burnley v Leeds
Josh Cullen PGM,2 - 4,Josh Cullen SMM,2.5 - 5,Burnley v Leeds
Lesley Ugochukwu PGM,2 - 4,Lesley Ugochukwu SMM,2.5 - 5,Burnley v Leeds
Hjalmar Ekdal PGM,1 - 3,Hjalmar Ekdal SMM,2 - 4,Burnley v Leeds
Florentino Luis PGM,1 - 3,Florentino Luis SMM,2 - 4,Burnley v Leeds
Joe Worrall PGM,1 - 3,Joe Worrall SMM,2 - 4,Burnley v Leeds
Bashir Humphreys PGM,1 - 3,Bashir Humphreys SMM,2 - 4,Burnley v Leeds
Axel Tuanzebe PGM,0.5 - 2,Axel Tuanzebe SMM,1 - 3,Burnley v Leeds
Maxime Esteve PGM,0.5 - 2,Maxime Esteve SMM,1 - 3,Burnley v Leeds
Quilindschy Hartman PGM,0.5 - 2,Quilindschy Hartman SMM,1 - 3,Burnley v Leeds
Kyle Walker PGM,0.25 - 1.5,Kyle Walker SMM,0.5 - 2,Burnley v Leeds
Dominic Calvert-Lewin PGM,17 - 20,Dominic Calvert-Lewin SMM,27 - 32,Burnley v Leeds
Joel Piroe PGM,16 - 19,Joel Piroe SMM,24 - 29,Burnley v Leeds
Lukas Nmecha PGM,16 - 19,Lukas Nmecha SMM,24 - 29,Burnley v Leeds
Noah Okafor PGM,10 - 13,Noah Okafor SMM,14 - 18,Burnley v Leeds
Daniel James PGM,8 - 11,Daniel James SMM,12 - 16,Burnley v Leeds
Brenden Aaronson PGM,6 - 9,Brenden Aaronson SMM,9 - 13,Burnley v Leeds
Jack Harrison PGM,5 - 8,Jack Harrison SMM,8 - 11,Burnley v Leeds
Pascal Struijk PGM,5 - 8,Pascal Struijk SMM,7 - 10,Burnley v Leeds
Anton Stach PGM,5 - 8,Anton Stach SMM,7 - 10,Burnley v Leeds
Ao Tanaka PGM,5 - 8,Ao Tanaka SMM,7 - 10,Burnley v Leeds
Jayden Bogle PGM,3 - 6,Jayden Bogle SMM,5 - 8,Burnley v Leeds
Sean Longstaff PGM,3 - 6,Sean Longstaff SMM,5 - 8,Burnley v Leeds
James Justin PGM,2.5 - 5,James Justin SMM,4 - 7,Burnley v Leeds
Jaka Bijol PGM,2 - 4,Jaka Bijol SMM,2.5 - 5,Burnley v Leeds
Sebastiaan Bornauw PGM,2 - 4,Sebastiaan Bornauw SMM,2.5 - 5,Burnley v Leeds
Joe Rodon PGM,1 - 3,Joe Rodon SMM,2 - 4,Burnley v Leeds
Gabriel Gudmundsson PGM,1 - 3,Gabriel Gudmundsson SMM,2 - 4,Burnley v Leeds
Ilia Gruev PGM,1 - 3,Ilia Gruev SMM,2 - 4,Burnley v Leeds
Ethan Ampadu PGM,0.5 - 2,Ethan Ampadu SMM,1 - 3,Burnley v Leeds
Jean-Philippe Mateta PGM,24 - 27,Jean-Philippe Mateta SMM,37 - 43,Crystal Palace v Bournemouth
Eddie Nketiah PGM,16 - 19,Eddie Nketiah SMM,25 - 30,Crystal Palace v Bournemouth
Ismaila Sarr PGM,12 - 15,Ismaila Sarr SMM,17 - 21,Crystal Palace v Bournemouth
Christantus Uche PGM,12 - 15,Christantus Uche SMM,17 - 21,Crystal Palace v Bournemouth
Yeremy Pino PGM,9 - 12,Yeremy Pino SMM,12 - 16,Crystal Palace v Bournemouth
Justin Devenny PGM,7 - 10,Justin Devenny SMM,10 - 14,Crystal Palace v Bournemouth
Daichi Kamada PGM,7 - 10,Daichi Kamada SMM,9 - 13,Crystal Palace v Bournemouth
Daniel Munoz PGM,5 - 8,Daniel Munoz SMM,7 - 10,Crystal Palace v Bournemouth
Jefferson Lerma PGM,2.5 - 5,Jefferson Lerma SMM,5 - 8,Crystal Palace v Bournemouth
