PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Mohamed Salah PGM,26 - 29,Mohamed Salah SMM,41 - 48,Liverpool v Everton
Hugo Ekitike PGM,22 - 25,Hugo Ekitike SMM,33 - 39,Liverpool v Everton
Alexander Isak PGM,22 - 25,Alexander Isak SMM,33 - 39,Liverpool v Everton
Cody Gakpo PGM,15 - 18,Cody Gakpo SMM,22 - 27,Liverpool v Everton
Rio Ngumoha PGM,12 - 15,Rio Ngumoha SMM,18 - 22,Liverpool v Everton
Florian Wirtz PGM,11 - 14,Florian Wirtz SMM,16 - 20,Liverpool v Everton
Federico Chiesa PGM,11 - 14,Federico Chiesa SMM,16 - 20,Liverpool v Everton
Dominik Szoboszlai PGM,5 - 8,Dominik Szoboszlai SMM,8 - 11,Liverpool v Everton
Alexis MacAllister PGM,4 - 7,Alexis MacAllister SMM,6 - 9,Liverpool v Everton
Jeremie Frimpong PGM,4 - 7,Jeremie Frimpong SMM,6 - 9,Liverpool v Everton
Virgil van Dijk PGM,3 - 6,Virgil van Dijk SMM,5 - 8,Liverpool v Everton
Milos Kerkez PGM,2.5 - 5,Milos Kerkez SMM,4 - 7,Liverpool v Everton
Conor Bradley PGM,2.5 - 5,Conor Bradley SMM,4 - 7,Liverpool v Everton
Ibrahima Konate PGM,2 - 4,Ibrahima Konate SMM,2.5 - 5,Liverpool v Everton
Ryan Gravenberch PGM,2 - 4,Ryan Gravenberch SMM,2.5 - 5,Liverpool v Everton
Andrew Robertson PGM,2 - 4,Andrew Robertson SMM,2.5 - 5,Liverpool v Everton
Joe Gomez PGM,1 - 3,Joe Gomez SMM,2 - 4,Liverpool v Everton
Wataru Endo PGM,1 - 3,Wataru Endo SMM,2 - 4,Liverpool v Everton
Beto PGM,10 - 13,Beto SMM,16 - 20,Liverpool v Everton
Iliman Ndiaye PGM,10 - 13,Iliman Ndiaye SMM,14 - 18,Liverpool v Everton
Thierno Barry PGM,10 - 13,Thierno Barry SMM,14 - 18,Liverpool v Everton
Carlos Alcaraz PGM,5 - 8,Carlos Alcaraz SMM,7 - 10,Liverpool v Everton
Kiernan Dewsbury-Hall PGM,4 - 7,Kiernan Dewsbury-Hall SMM,6 - 9,Liverpool v Everton
Jack Grealish PGM,4 - 7,Jack Grealish SMM,6 - 9,Liverpool v Everton
Dwight McNeil PGM,3 - 6,Dwight McNeil SMM,6 - 9,Liverpool v Everton
Tyler Dibling PGM,3 - 6,Tyler Dibling SMM,6 - 9,Liverpool v Everton
Jake O'Brien PGM,1 - 3,Jake O'Brien SMM,2.5 - 5,Liverpool v Everton
Michael Keane PGM,1 - 3,Michael Keane SMM,2.5 - 5,Liverpool v Everton
Tim Iroegbunam PGM,1 - 3,Tim Iroegbunam SMM,2 - 4,Liverpool v Everton
James Tarkowski PGM,1 - 3,James Tarkowski SMM,2 - 4,Liverpool v Everton
Vitaliy Mykolenko PGM,0.5 - 2,Vitaliy Mykolenko SMM,1 - 3,Liverpool v Everton
Idrissa Gueye PGM,0.5 - 2,Idrissa Gueye SMM,1 - 3,Liverpool v Everton
James Garner PGM,0.5 - 2,James Garner SMM,1 - 3,Liverpool v Everton
Nathan Patterson PGM,0.5 - 2,Nathan Patterson SMM,1 - 3,Liverpool v Everton
Adam Aznou PGM,0.5 - 2,Adam Aznou SMM,1 - 3,Liverpool v Everton
Seamus Coleman PGM,0.5 - 2,Seamus Coleman SMM,1 - 3,Liverpool v Everton
Merlin Röhl PGM,2.5 - 5,Merlin Röhl SMM,5 - 8,Liverpool v Everton
Jarrad Branthwaite PGM,1 - 3,Jarrad Branthwaite SMM,2 - 4,Liverpool v Everton
Stefanos Tzimas PGM,19 - 22,Stefanos Tzimas SMM,30 - 36,Brighton v Tottenham
Danny Welbeck PGM,19 - 22,Danny Welbeck SMM,28 - 34,Brighton v Tottenham
Georginio Rutter PGM,12 - 15,Georginio Rutter SMM,17 - 21,Brighton v Tottenham
Kaoru Mitoma PGM,11 - 14,Kaoru Mitoma SMM,16 - 20,Brighton v Tottenham
Tom Watson PGM,10 - 13,Tom Watson SMM,14 - 18,Brighton v Tottenham
Yankuba Minteh PGM,9 - 12,Yankuba Minteh SMM,13 - 17,Brighton v Tottenham
