PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Igor Thiago PGM,30 - 33,Igor Thiago SMM,49 - 57,Brentford v Burnley
Kevin Schade PGM,17 - 20,Kevin Schade SMM,25 - 30,Brentford v Burnley
Dango Ouattara PGM,15 - 18,Dango Ouattara SMM,22 - 27,Brentford v Burnley
Mathias Jensen PGM,9 - 12,Mathias Jensen SMM,12 - 16,Brentford v Burnley
Mikkel Damsgaard PGM,7 - 10,Mikkel Damsgaard SMM,10 - 14,Brentford v Burnley
Keane Lewis-Potter PGM,4 - 7,Keane Lewis-Potter SMM,6 - 9,Brentford v Burnley
Vitaly Janelt PGM,3 - 6,Vitaly Janelt SMM,5 - 8,Brentford v Burnley
Nathan Collins PGM,2.5 - 5,Nathan Collins SMM,4 - 7,Brentford v Burnley
Aaron Hickey PGM,2.5 - 5,Aaron Hickey SMM,4 - 7,Brentford v Burnley
Sepp van den Berg PGM,2 - 4,Sepp van den Berg SMM,4 - 7,Brentford v Burnley
Kristoffer Ajer PGM,2 - 4,Kristoffer Ajer SMM,4 - 7,Brentford v Burnley
Jordan Henderson PGM,2 - 4,Jordan Henderson SMM,2.5 - 5,Brentford v Burnley
Michael Kayode PGM,1 - 3,Michael Kayode SMM,2 - 4,Brentford v Burnley
Zian Flemming PGM,11 - 14,Zian Flemming SMM,17 - 21,Brentford v Burnley
Armando Broja PGM,8 - 11,Armando Broja SMM,12 - 16,Brentford v Burnley
Jaidon Anthony PGM,8 - 11,Jaidon Anthony SMM,12 - 16,Brentford v Burnley
Jacob Bruun Larsen PGM,5 - 8,Jacob Bruun Larsen SMM,7 - 10,Brentford v Burnley
Loum Tchaouna PGM,4 - 7,Loum Tchaouna SMM,6 - 9,Brentford v Burnley
Lesley Ugochukwu PGM,3 - 6,Lesley Ugochukwu SMM,5 - 8,Brentford v Burnley
Josh Laurent PGM,1 - 3,Josh Laurent SMM,2.5 - 5,Brentford v Burnley
Josh Cullen PGM,1 - 3,Josh Cullen SMM,2 - 4,Brentford v Burnley
Florentino Luis PGM,1 - 3,Florentino Luis SMM,2 - 4,Brentford v Burnley
Quilindschy Hartman PGM,0.5 - 2,Quilindschy Hartman SMM,1 - 3,Brentford v Burnley
Maxime Esteve PGM,0.25 - 1.5,Maxime Esteve SMM,0.5 - 2,Brentford v Burnley
Axel Tuanzebe PGM,0.1 - 1,Axel Tuanzebe SMM,0.25 - 1.5,Brentford v Burnley
Kyle Walker PGM,0.1 - 1,Kyle Walker SMM,0.25 - 1.5,Brentford v Burnley
Lyle Foster PGM,8 - 11,Lyle Foster SMM,12 - 16,Brentford v Burnley
Erling Haaland PGM,48 - 52,Erling Haaland SMM,86 - 101,Man City v Leeds
Omar Marmoush PGM,27 - 30,Omar Marmoush SMM,43 - 50,Man City v Leeds
Rayan Cherki PGM,14 - 17,Rayan Cherki SMM,21 - 26,Man City v Leeds
Phil Foden PGM,13 - 16,Phil Foden SMM,19 - 23,Man City v Leeds
Oscar Bobb PGM,12 - 15,Oscar Bobb SMM,17 - 21,Man City v Leeds
Savinho PGM,11 - 14,Savinho SMM,16 - 20,Man City v Leeds
Tijjani Reijnders PGM,10 - 13,Tijjani Reijnders SMM,14 - 18,Man City v Leeds
Nico O'Reilly PGM,9 - 12,Nico O'Reilly SMM,13 - 17,Man City v Leeds
Jeremy Doku PGM,8 - 11,Jeremy Doku SMM,12 - 16,Man City v Leeds
Rayan Ait-Nouri PGM,4 - 7,Rayan Ait-Nouri SMM,7 - 10,Man City v Leeds
Josko Gvardiol PGM,4 - 7,Josko Gvardiol SMM,6 - 9,Man City v Leeds
Bernardo Silva PGM,4 - 7,Bernardo Silva SMM,6 - 9,Man City v Leeds
Nathan Ake PGM,4 - 7,Nathan Ake SMM,6 - 9,Man City v Leeds
Nico Gonzalez PGM,3 - 6,Nico Gonzalez SMM,5 - 8,Man City v Leeds
John Stones PGM,3 - 6,John Stones SMM,5 - 8,Man City v Leeds
Matheus Nunes PGM,2.5 - 5,Matheus Nunes SMM,5 - 8,Man City v Leeds
Rico Lewis PGM,2.5 - 5,Rico Lewis SMM,5 - 8,Man City v Leeds
Ruben Dias PGM,2.5 - 5,Ruben Dias SMM,4 - 7,Man City v Leeds
Abdukodir Khusanov PGM,2 - 4,Abdukodir Khusanov SMM,2.5 - 5,Man City v Leeds
Lukas Nmecha PGM,10 - 13,Lukas Nmecha SMM,14 - 18,Man City v Leeds
Joel Piroe PGM,10 - 13,Joel Piroe SMM,14 - 18,Man City v Leeds
Dominic Calvert-Lewin PGM,7 - 10,Dominic Calvert-Lewin SMM,10 - 14,Man City v Leeds
Daniel James PGM,6 - 9,Daniel James SMM,8 - 11,Man City v Leeds
Wilfried Gnonto PGM,5 - 8,Wilfried Gnonto SMM,8 - 11,Man City v Leeds
Brenden Aaronson PGM,5 - 8,Brenden Aaronson SMM,7 - 10,Man City v Leeds
Noah Okafor PGM,5 - 8,Noah Okafor SMM,7 - 10,Man City v Leeds
Anton Stach PGM,2 - 4,Anton Stach SMM,2.5 - 5,Man City v Leeds
Pascal Struijk PGM,1 - 3,Pascal Struijk SMM,2.5 - 5,Man City v Leeds
Ao Tanaka PGM,1 - 3,Ao Tanaka SMM,2.5 - 5,Man City v Leeds
Sean Longstaff PGM,1 - 3,Sean Longstaff SMM,2 - 4,Man City v Leeds
Jayden Bogle PGM,1 - 3,Jayden Bogle SMM,2 - 4,Man City v Leeds
Joe Rodon PGM,0.5 - 2,Joe Rodon SMM,1 - 3,Man City v Leeds
Gabriel Gudmundsson PGM,0.5 - 2,Gabriel Gudmundsson SMM,1 - 3,Man City v Leeds
Ethan Ampadu PGM,0.5 - 2,Ethan Ampadu SMM,1 - 3,Man City v Leeds
Wilson Isidor PGM,16 - 19,Wilson Isidor SMM,24 - 29,Sunderland v Bournemouth
Brian Brobbey PGM,16 - 19,Brian Brobbey SMM,24 - 29,Sunderland v Bournemouth
Eliezer Mayenda PGM,15 - 18,Eliezer Mayenda SMM,22 - 27,Sunderland v Bournemouth
Chemsdine Talbi PGM,9 - 12,Chemsdine Talbi SMM,13 - 17,Sunderland v Bournemouth
Bertrand Traore PGM,8 - 11,Bertrand Traore SMM,12 - 16,Sunderland v Bournemouth
Simon Adingra PGM,8 - 11,Simon Adingra SMM,10 - 14,Sunderland v Bournemouth
Chris Rigg PGM,6 - 9,Chris Rigg SMM,9 - 13,Sunderland v Bournemouth
Enzo Le Fee PGM,5 - 8,Enzo Le Fee SMM,8 - 11,Sunderland v Bournemouth
Daniel Ballard PGM,4 - 7,Daniel Ballard SMM,7 - 10,Sunderland v Bournemouth
Nordi Mukiele PGM,2.5 - 5,Nordi Mukiele SMM,4 - 7,Sunderland v Bournemouth
Omar Alderete PGM,2.5 - 5,Omar Alderete SMM,4 - 7,Sunderland v Bournemouth
Lutsharel Geertruida PGM,2 - 4,Lutsharel Geertruida SMM,2.5 - 5,Sunderland v Bournemouth
Trai Hume PGM,2 - 4,Trai Hume SMM,2.5 - 5,Sunderland v Bournemouth
Granit Xhaka PGM,1 - 3,Granit Xhaka SMM,2.5 - 5,Sunderland v Bournemouth
