PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Ollie Watkins PGM,11 - 14,Ollie Watkins SMM,17 - 21,Aston Villa v Arsenal
Donyell Malen PGM,10 - 13,Donyell Malen SMM,16 - 20,Aston Villa v Arsenal
Morgan Rogers PGM,7 - 10,Morgan Rogers SMM,10 - 14,Aston Villa v Arsenal
Evann Guessand PGM,6 - 9,Evann Guessand SMM,9 - 13,Aston Villa v Arsenal
Emiliano Buendia PGM,5 - 8,Emiliano Buendia SMM,7 - 10,Aston Villa v Arsenal
John McGinn PGM,4 - 7,John McGinn SMM,7 - 10,Aston Villa v Arsenal
Jadon Sancho PGM,4 - 7,Jadon Sancho SMM,6 - 9,Aston Villa v Arsenal
Youri Tielemans PGM,3 - 6,Youri Tielemans SMM,5 - 8,Aston Villa v Arsenal
Amadou Onana PGM,2 - 4,Amadou Onana SMM,2.5 - 5,Aston Villa v Arsenal
Matty Cash PGM,1 - 3,Matty Cash SMM,2 - 4,Aston Villa v Arsenal
Ian Maatsen PGM,1 - 3,Ian Maatsen SMM,2 - 4,Aston Villa v Arsenal
Pau Torres PGM,0.5 - 2,Pau Torres SMM,2 - 4,Aston Villa v Arsenal
Ezri Konsa PGM,0.5 - 2,Ezri Konsa SMM,1 - 3,Aston Villa v Arsenal
Boubacar Kamara PGM,0.25 - 1.5,Boubacar Kamara SMM,1 - 3,Aston Villa v Arsenal
Lucas Digne PGM,0.25 - 1.5,Lucas Digne SMM,1 - 3,Aston Villa v Arsenal
Lamare Bogarde PGM,0.25 - 1.5,Lamare Bogarde SMM,1 - 3,Aston Villa v Arsenal
Viktor Gyokeres PGM,18 - 21,Viktor Gyokeres SMM,27 - 32,Aston Villa v Arsenal
Bukayo Saka PGM,15 - 18,Bukayo Saka SMM,21 - 26,Aston Villa v Arsenal
Mikel Merino PGM,13 - 16,Mikel Merino SMM,19 - 23,Aston Villa v Arsenal
Eberechi Eze PGM,10 - 13,Eberechi Eze SMM,14 - 18,Aston Villa v Arsenal
Gabriel Martinelli PGM,10 - 13,Gabriel Martinelli SMM,14 - 18,Aston Villa v Arsenal
Leandro Trossard PGM,10 - 13,Leandro Trossard SMM,14 - 18,Aston Villa v Arsenal
Ethan Nwaneri PGM,9 - 12,Ethan Nwaneri SMM,12 - 16,Aston Villa v Arsenal
Noni Madueke PGM,9 - 12,Noni Madueke SMM,13 - 17,Aston Villa v Arsenal
Martin Odegaard PGM,8 - 11,Martin Odegaard SMM,12 - 16,Aston Villa v Arsenal
Declan Rice PGM,5 - 8,Declan Rice SMM,7 - 10,Aston Villa v Arsenal
Riccardo Calafiori PGM,3 - 6,Riccardo Calafiori SMM,5 - 8,Aston Villa v Arsenal
Christian Norgaard PGM,3 - 6,Christian Norgaard SMM,5 - 8,Aston Villa v Arsenal
Jurrien Timber PGM,2 - 4,Jurrien Timber SMM,4 - 7,Aston Villa v Arsenal
Martin Zubimendi PGM,2 - 4,Martin Zubimendi SMM,4 - 7,Aston Villa v Arsenal
