PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Beto PGM,13 - 16,Beto SMM,19 - 23,Everton v Brighton
Thierno Barry PGM,11 - 14,Thierno Barry SMM,16 - 20,Everton v Brighton
Iliman Ndiaye PGM,10 - 13,Iliman Ndiaye SMM,14 - 18,Everton v Brighton
Carlos Alcaraz PGM,6 - 9,Carlos Alcaraz SMM,9 - 13,Everton v Brighton
Kiernan Dewsbury-Hall PGM,5 - 8,Kiernan Dewsbury-Hall SMM,8 - 11,Everton v Brighton
Jack Grealish PGM,5 - 8,Jack Grealish SMM,8 - 11,Everton v Brighton
Dwight McNeil PGM,5 - 8,Dwight McNeil SMM,7 - 10,Everton v Brighton
Jake O'Brien PGM,2.5 - 5,Jake O'Brien SMM,4 - 7,Everton v Brighton
Michael Keane PGM,2 - 4,Michael Keane SMM,2.5 - 5,Everton v Brighton
James Tarkowski PGM,2 - 4,James Tarkowski SMM,2.5 - 5,Everton v Brighton
Tim Iroegbunam PGM,1 - 3,Tim Iroegbunam SMM,2.5 - 5,Everton v Brighton
Vitaliy Mykolenko PGM,1 - 3,Vitaliy Mykolenko SMM,2 - 4,Everton v Brighton
James Garner PGM,1 - 3,James Garner SMM,2 - 4,Everton v Brighton
Idrissa Gueye PGM,1 - 3,Idrissa Gueye SMM,2 - 4,Everton v Brighton
Seamus Coleman PGM,1 - 3,Seamus Coleman SMM,2 - 4,Everton v Brighton
Danny Welbeck PGM,17 - 20,Danny Welbeck SMM,25 - 30,Everton v Brighton
Matt O'Riley PGM,11 - 14,Matt O'Riley SMM,16 - 20,Everton v Brighton
Georginio Rutter PGM,10 - 13,Georginio Rutter SMM,16 - 20,Everton v Brighton
Kaoru Mitoma PGM,9 - 12,Kaoru Mitoma SMM,13 - 17,Everton v Brighton
Yankuba Minteh PGM,8 - 11,Yankuba Minteh SMM,12 - 16,Everton v Brighton
Brajan Gruda PGM,6 - 9,Brajan Gruda SMM,8 - 11,Everton v Brighton
Yasin Ayari PGM,4 - 7,Yasin Ayari SMM,7 - 10,Everton v Brighton
Jack Hinshelwood PGM,4 - 7,Jack Hinshelwood SMM,7 - 10,Everton v Brighton
Diego Gomez PGM,4 - 7,Diego Gomez SMM,7 - 10,Everton v Brighton
Maxim De Cuyper PGM,2.5 - 5,Maxim De Cuyper SMM,4 - 7,Everton v Brighton
Ferdi Kadioglu PGM,2.5 - 5,Ferdi Kadioglu SMM,4 - 7,Everton v Brighton
Lewis Dunk PGM,2 - 4,Lewis Dunk SMM,2.5 - 5,Everton v Brighton
Carlos Baleba PGM,2 - 4,Carlos Baleba SMM,2.5 - 5,Everton v Brighton
Diego Coppola PGM,2 - 4,Diego Coppola SMM,2.5 - 5,Everton v Brighton
Olivier Boscagli PGM,2 - 4,Olivier Boscagli SMM,2.5 - 5,Everton v Brighton
Mats Wieffer PGM,1 - 3,Mats Wieffer SMM,2 - 4,Everton v Brighton
Jan Paul van Hecke PGM,1 - 3,Jan Paul van Hecke SMM,2 - 4,Everton v Brighton
Tariq Lamptey PGM,1 - 3,Tariq Lamptey SMM,2 - 4,Everton v Brighton
Joel Veltman PGM,0.5 - 2,Joel Veltman SMM,1 - 3,Everton v Brighton
Raul Jimenez PGM,19 - 22,Raul Jimenez SMM,28 - 34,Fulham v Man Utd
Rodrigo Muniz PGM,18 - 21,Rodrigo Muniz SMM,27 - 32,Fulham v Man Utd
Harry Wilson PGM,9 - 12,Harry Wilson SMM,12 - 16,Fulham v Man Utd
Emile Smith Rowe PGM,8 - 11,Emile Smith Rowe SMM,12 - 16,Fulham v Man Utd
Adama Traore PGM,6 - 9,Adama Traore SMM,9 - 13,Fulham v Man Utd
Alex Iwobi PGM,6 - 9,Alex Iwobi SMM,9 - 13,Fulham v Man Utd
Joshua King PGM,5 - 8,Joshua King SMM,8 - 11,Fulham v Man Utd
Andreas Pereira PGM,4 - 7,Andreas Pereira SMM,6 - 9,Fulham v Man Utd
Tom Cairney PGM,3 - 6,Tom Cairney SMM,5 - 8,Fulham v Man Utd
Sasa Lukic PGM,2 - 4,Sasa Lukic SMM,2.5 - 5,Fulham v Man Utd
Sander Berge PGM,2 - 4,Sander Berge SMM,2.5 - 5,Fulham v Man Utd
Harrison Reed PGM,2 - 4,Harrison Reed SMM,2.5 - 5,Fulham v Man Utd
Joachim Andersen PGM,1 - 3,Joachim Andersen SMM,2 - 4,Fulham v Man Utd
Kenny Tete PGM,1 - 3,Kenny Tete SMM,2 - 4,Fulham v Man Utd
Jorge Cuenca PGM,1 - 3,Jorge Cuenca SMM,2 - 4,Fulham v Man Utd
Timothy Castagne PGM,1 - 3,Timothy Castagne SMM,2 - 4,Fulham v Man Utd
Issa Diop PGM,1 - 3,Issa Diop SMM,2 - 4,Fulham v Man Utd
Calvin Bassey PGM,1 - 3,Calvin Bassey SMM,2 - 4,Fulham v Man Utd
Benjamin Sesko PGM,14 - 17,Benjamin Sesko SMM,20 - 24,Fulham v Man Utd
Matheus Cunha PGM,13 - 16,Matheus Cunha SMM,19 - 23,Fulham v Man Utd
Joshua Zirkzee PGM,13 - 16,Joshua Zirkzee SMM,19 - 23,Fulham v Man Utd
Bruno Fernandes PGM,12 - 15,Bruno Fernandes SMM,18 - 22,Fulham v Man Utd
Bryan Mbeumo PGM,11 - 14,Bryan Mbeumo SMM,17 - 21,Fulham v Man Utd
Amad Diallo PGM,5 - 8,Amad Diallo SMM,8 - 11,Fulham v Man Utd
Mason Mount PGM,5 - 8,Mason Mount SMM,8 - 11,Fulham v Man Utd
Kobbie Mainoo PGM,5 - 8,Kobbie Mainoo SMM,7 - 10,Fulham v Man Utd
Patrick Dorgu PGM,2.5 - 5,Patrick Dorgu SMM,4 - 7,Fulham v Man Utd
Harry Maguire PGM,2.5 - 5,Harry Maguire SMM,4 - 7,Fulham v Man Utd
Matthijs de Ligt PGM,2.5 - 5,Matthijs de Ligt SMM,4 - 7,Fulham v Man Utd
Casemiro PGM,2.5 - 5,Casemiro SMM,4 - 7,Fulham v Man Utd
Diogo Dalot PGM,2.5 - 5,Diogo Dalot SMM,4 - 7,Fulham v Man Utd
Manuel Ugarte PGM,1 - 3,Manuel Ugarte SMM,2.5 - 5,Fulham v Man Utd
Leny Yoro PGM,1 - 3,Leny Yoro SMM,2 - 4,Fulham v Man Utd
Ayden Heaven PGM,1 - 3,Ayden Heaven SMM,2 - 4,Fulham v Man Utd
Luke Shaw PGM,0.5 - 2,Luke Shaw SMM,1 - 3,Fulham v Man Utd
Rasmus Hojlund PGM,12 - 15,Rasmus Hojlund SMM,18 - 22,Fulham v Man Utd
Erling Haaland PGM,38 - 42,Erling Haaland SMM,65 - 75,Man City v Tottenham
Omar Marmoush PGM,17 - 20,Omar Marmoush SMM,25 - 30,Man City v Tottenham
Phil Foden PGM,13 - 16,Phil Foden SMM,19 - 23,Man City v Tottenham
Rayan Cherki PGM,11 - 14,Rayan Cherki SMM,16 - 20,Man City v Tottenham
Oscar Bobb PGM,10 - 13,Oscar Bobb SMM,14 - 18,Man City v Tottenham
Tijani Reijnders PGM,10 - 13,Tijani Reijnders SMM,14 - 18,Man City v Tottenham
Jeremy Doku PGM,8 - 11,Jeremy Doku SMM,12 - 16,Man City v Tottenham
Ilkay Gundogan PGM,8 - 11,Ilkay Gundogan SMM,12 - 16,Man City v Tottenham
Bernardo Silva PGM,6 - 9,Bernardo Silva SMM,9 - 13,Man City v Tottenham
Nico Gonzalez PGM,5 - 8,Nico Gonzalez SMM,7 - 10,Man City v Tottenham
Josko Gvardiol PGM,5 - 8,Josko Gvardiol SMM,7 - 10,Man City v Tottenham
Rayan Ait-Nouri PGM,3 - 6,Rayan Ait-Nouri SMM,5 - 8,Man City v Tottenham
Rico Lewis PGM,2.5 - 5,Rico Lewis SMM,4 - 7,Man City v Tottenham
John Stones PGM,2.5 - 5,John Stones SMM,4 - 7,Man City v Tottenham
Matheus Nunes PGM,2.5 - 5,Matheus Nunes SMM,4 - 7,Man City v Tottenham
Ruben Dias PGM,2 - 4,Ruben Dias SMM,2.5 - 5,Man City v Tottenham
Manuel Akanji PGM,2 - 4,Manuel Akanji SMM,2.5 - 5,Man City v Tottenham
Dominic Solanke PGM,14 - 17,Dominic Solanke SMM,20 - 24,Man City v Tottenham
Richarlison PGM,13 - 16,Richarlison SMM,19 - 23,Man City v Tottenham
Mathys Tel PGM,8 - 11,Mathys Tel SMM,12 - 16,Man City v Tottenham
