PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Joao Pedro PGM,27 - 30,Joao Pedro SMM,43 - 50,Chelsea v Sunderland
Marc Guiu PGM,20 - 23,Marc Guiu SMM,31 - 37,Chelsea v Sunderland
Tyrique George PGM,18 - 21,Tyrique George SMM,27 - 32,Chelsea v Sunderland
Estevao PGM,17 - 20,Estevao SMM,25 - 30,Chelsea v Sunderland
Enzo Fernandez PGM,16 - 19,Enzo Fernandez SMM,24 - 29,Chelsea v Sunderland
Alejandro Garnacho PGM,15 - 18,Alejandro Garnacho SMM,22 - 27,Chelsea v Sunderland
Facundo Buonanotte PGM,15 - 18,Facundo Buonanotte SMM,22 - 27,Chelsea v Sunderland
Pedro Neto PGM,13 - 16,Pedro Neto SMM,19 - 23,Chelsea v Sunderland
Jamie Gittens PGM,12 - 15,Jamie Gittens SMM,17 - 21,Chelsea v Sunderland
Marc Cucurella PGM,5 - 8,Marc Cucurella SMM,7 - 10,Chelsea v Sunderland
Trevoh Chalobah PGM,3 - 6,Trevoh Chalobah SMM,6 - 9,Chelsea v Sunderland
Reece James PGM,3 - 6,Reece James SMM,5 - 8,Chelsea v Sunderland
Tosin Adarabioyo PGM,3 - 6,Tosin Adarabioyo SMM,5 - 8,Chelsea v Sunderland
Romeo Lavia PGM,2.5 - 5,Romeo Lavia SMM,5 - 8,Chelsea v Sunderland
Moises Caicedo PGM,2.5 - 5,Moises Caicedo SMM,4 - 7,Chelsea v Sunderland
Jorrel Hato PGM,2.5 - 5,Jorrel Hato SMM,4 - 7,Chelsea v Sunderland
Josh Acheampong PGM,2 - 4,Josh Acheampong SMM,2.5 - 5,Chelsea v Sunderland
Wilson Isidor PGM,9 - 12,Wilson Isidor SMM,13 - 17,Chelsea v Sunderland
Eliezer Mayenda PGM,9 - 12,Eliezer Mayenda SMM,13 - 17,Chelsea v Sunderland
Brian Brobbey PGM,9 - 12,Brian Brobbey SMM,13 - 17,Chelsea v Sunderland
Simon Adingra PGM,5 - 8,Simon Adingra SMM,7 - 10,Chelsea v Sunderland
Bertrand Traore PGM,4 - 7,Bertrand Traore SMM,7 - 10,Chelsea v Sunderland
Chemsdine Talbi PGM,4 - 7,Chemsdine Talbi SMM,6 - 9,Chelsea v Sunderland
Enzo Le Fee PGM,5 - 8,Enzo Le Fee SMM,7 - 10,Chelsea v Sunderland
Chris Rigg PGM,4 - 7,Chris Rigg SMM,6 - 9,Chelsea v Sunderland
Daniel Ballard PGM,2 - 4,Daniel Ballard SMM,2.5 - 5,Chelsea v Sunderland
Granit Xhaka PGM,1 - 3,Granit Xhaka SMM,2 - 4,Chelsea v Sunderland
Lutsharel Geertruida PGM,1 - 3,Lutsharel Geertruida SMM,2 - 4,Chelsea v Sunderland
Dan Neil PGM,1 - 3,Dan Neil SMM,2 - 4,Chelsea v Sunderland
Trai Hume PGM,0.5 - 2,Trai Hume SMM,1 - 3,Chelsea v Sunderland
Omar Alderete PGM,0.5 - 2,Omar Alderete SMM,1 - 3,Chelsea v Sunderland
Nordi Mukiele PGM,0.5 - 2,Nordi Mukiele SMM,1 - 3,Chelsea v Sunderland
Noah Sadiki PGM,0.5 - 2,Noah Sadiki SMM,1 - 3,Chelsea v Sunderland
Arthur Masuaku PGM,0.5 - 2,Arthur Masuaku SMM,1 - 3,Chelsea v Sunderland
Nick Woltemade PGM,20 - 23,Nick Woltemade SMM,31 - 37,Newcastle v Fulham
Anthony Gordon PGM,20 - 23,Anthony Gordon SMM,31 - 37,Newcastle v Fulham
Harvey Barnes PGM,16 - 19,Harvey Barnes SMM,24 - 29,Newcastle v Fulham
William Osula PGM,16 - 19,William Osula SMM,24 - 29,Newcastle v Fulham
Anthony Elanga PGM,10 - 13,Anthony Elanga SMM,14 - 18,Newcastle v Fulham
Jacob Murphy PGM,10 - 13,Jacob Murphy SMM,14 - 18,Newcastle v Fulham
Jacob Ramsey PGM,10 - 13,Jacob Ramsey SMM,14 - 18,Newcastle v Fulham
Joe Willock PGM,8 - 11,Joe Willock SMM,12 - 16,Newcastle v Fulham
