PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Zian Flemming PGM,11 - 14,Zian Flemming SMM,16 - 20,Burnley v Chelsea
Jaidon Anthony PGM,9 - 12,Jaidon Anthony SMM,12 - 16,Burnley v Chelsea
Lyle Foster PGM,9 - 12,Lyle Foster SMM,12 - 16,Burnley v Chelsea
Armando Broja PGM,9 - 12,Armando Broja SMM,12 - 16,Burnley v Chelsea
Jacob Bruun Larsen PGM,7 - 10,Jacob Bruun Larsen SMM,10 - 14,Burnley v Chelsea
Marcus Edwards PGM,6 - 9,Marcus Edwards SMM,9 - 13,Burnley v Chelsea
Loum Tchaouna PGM,5 - 8,Loum Tchaouna SMM,7 - 10,Burnley v Chelsea
Lesley Ugochukwu PGM,2.5 - 5,Lesley Ugochukwu SMM,4 - 7,Burnley v Chelsea
Hannibal Mejbri PGM,2.5 - 5,Hannibal Mejbri SMM,4 - 7,Burnley v Chelsea
Josh Laurent PGM,2 - 4,Josh Laurent SMM,2.5 - 5,Burnley v Chelsea
Florentino Luis PGM,1 - 3,Florentino Luis SMM,2 - 4,Burnley v Chelsea
Josh Cullen PGM,1 - 3,Josh Cullen SMM,2 - 4,Burnley v Chelsea
Hjalmar Ekdal PGM,0.5 - 2,Hjalmar Ekdal SMM,1 - 3,Burnley v Chelsea
Lucas Pires PGM,0.5 - 2,Lucas Pires SMM,1 - 3,Burnley v Chelsea
Quilindschy Hartman PGM,0.5 - 2,Quilindschy Hartman SMM,1 - 3,Burnley v Chelsea
Axel Tuanzebe PGM,0.25 - 1.5,Axel Tuanzebe SMM,0.5 - 2,Burnley v Chelsea
Maxime Esteve PGM,0.25 - 1.5,Maxime Esteve SMM,0.5 - 2,Burnley v Chelsea
Kyle Walker PGM,0.25 - 1.5,Kyle Walker SMM,0.5 - 2,Burnley v Chelsea
Liam Delap PGM,22 - 25,Liam Delap SMM,33 - 39,Burnley v Chelsea
Joao Pedro PGM,21 - 24,Joao Pedro SMM,32 - 38,Burnley v Chelsea
Marc Guiu PGM,20 - 23,Marc Guiu SMM,30 - 36,Burnley v Chelsea
Tyrique George PGM,15 - 18,Tyrique George SMM,21 - 26,Burnley v Chelsea
Estevao PGM,15 - 18,Estevao SMM,21 - 26,Burnley v Chelsea
Enzo Fernandez PGM,14 - 17,Enzo Fernandez SMM,20 - 24,Burnley v Chelsea
Alejandro Garnacho PGM,14 - 17,Alejandro Garnacho SMM,20 - 24,Burnley v Chelsea
Facundo Buonanotte PGM,13 - 16,Facundo Buonanotte SMM,19 - 23,Burnley v Chelsea
Jamie Gittens PGM,12 - 15,Jamie Gittens SMM,18 - 22,Burnley v Chelsea
Pedro Neto PGM,11 - 14,Pedro Neto SMM,16 - 20,Burnley v Chelsea
