PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Jorgen Strand Larsen PGM,13 - 16,Jorgen Strand Larsen SMM,19 - 23,Wolves v Newcastle
Hwang Hee-chan PGM,11 - 14,Hwang Hee-chan SMM,16 - 20,Wolves v Newcastle
Tolu Arokodare PGM,10 - 13,Tolu Arokodare SMM,14 - 18,Wolves v Newcastle
Rodrigo Gomes PGM,8 - 11,Rodrigo Gomes SMM,10 - 14,Wolves v Newcastle
Mateus Mane PGM,7 - 10,Mateus Mane SMM,10 - 14,Wolves v Newcastle
Fer Lopez PGM,7 - 10,Fer Lopez SMM,9 - 13,Wolves v Newcastle
Jhon Arias PGM,6 - 9,Jhon Arias SMM,9 - 13,Wolves v Newcastle
Tawanda Chirewa PGM,5 - 8,Tawanda Chirewa SMM,7 - 10,Wolves v Newcastle
Ladislav Krejci PGM,2.5 - 5,Ladislav Krejci SMM,5 - 8,Wolves v Newcastle
Jean-Ricner Bellegarde PGM,2.5 - 5,Jean-Ricner Bellegarde SMM,5 - 8,Wolves v Newcastle
Yerson Mosquera PGM,2 - 4,Yerson Mosquera SMM,2.5 - 5,Wolves v Newcastle
Pedro Lima PGM,2 - 4,Pedro Lima SMM,2.5 - 5,Wolves v Newcastle
Santiago Bueno PGM,1 - 3,Santiago Bueno SMM,2 - 4,Wolves v Newcastle
Joao Gomes PGM,1 - 3,Joao Gomes SMM,2 - 4,Wolves v Newcastle
Matt Doherty PGM,1 - 3,Matt Doherty SMM,2 - 4,Wolves v Newcastle
David Moller Wolfe PGM,1 - 3,David Moller Wolfe SMM,2 - 4,Wolves v Newcastle
Jackson Tchatchoua PGM,1 - 3,Jackson Tchatchoua SMM,2 - 4,Wolves v Newcastle
Hugo Bueno PGM,1 - 3,Hugo Bueno SMM,2 - 4,Wolves v Newcastle
Andre PGM,0.1 - 1,Andre SMM,0.25 - 1.5,Wolves v Newcastle
Nick Woltemade PGM,22 - 25,Nick Woltemade SMM,35 - 41,Wolves v Newcastle
Yoane Wissa PGM,21 - 24,Yoane Wissa SMM,32 - 38,Wolves v Newcastle
Harvey Barnes PGM,17 - 20,Harvey Barnes SMM,25 - 30,Wolves v Newcastle
Anthony Gordon PGM,16 - 19,Anthony Gordon SMM,25 - 30,Wolves v Newcastle
Jacob Murphy PGM,9 - 12,Jacob Murphy SMM,13 - 17,Wolves v Newcastle
Anthony Elanga PGM,7 - 10,Anthony Elanga SMM,10 - 14,Wolves v Newcastle
Joe Willock PGM,7 - 10,Joe Willock SMM,10 - 14,Wolves v Newcastle
Bruno Guimaraes PGM,5 - 8,Bruno Guimaraes SMM,8 - 11,Wolves v Newcastle
Joelinton PGM,5 - 8,Joelinton SMM,8 - 11,Wolves v Newcastle
Jacob Ramsey PGM,4 - 7,Jacob Ramsey SMM,6 - 9,Wolves v Newcastle
Lewis Miley PGM,3 - 6,Lewis Miley SMM,5 - 8,Wolves v Newcastle
Malick Thiaw PGM,2.5 - 5,Malick Thiaw SMM,5 - 8,Wolves v Newcastle
Sandro Tonali PGM,2.5 - 5,Sandro Tonali SMM,5 - 8,Wolves v Newcastle
Sven Botman PGM,2 - 4,Sven Botman SMM,2.5 - 5,Wolves v Newcastle
Lewis Hall PGM,1 - 3,Lewis Hall SMM,2 - 4,Wolves v Newcastle
Kieran Trippier PGM,0.25 - 1.5,Kieran Trippier SMM,1 - 3,Wolves v Newcastle
Tino Livramento PGM,0.25 - 1.5,Tino Livramento SMM,1 - 3,Wolves v Newcastle
Ollie Watkins PGM,26 - 29,Ollie Watkins SMM,42 - 49,Aston Villa v Everton
Morgan Rogers PGM,17 - 20,Morgan Rogers SMM,27 - 32,Aston Villa v Everton
Emiliano Buendia PGM,11 - 14,Emiliano Buendia SMM,17 - 21,Aston Villa v Everton
Jadon Sancho PGM,10 - 13,Jadon Sancho SMM,16 - 20,Aston Villa v Everton
John McGinn PGM,8 - 11,John McGinn SMM,12 - 16,Aston Villa v Everton
Youri Tielemans PGM,5 - 8,Youri Tielemans SMM,8 - 11,Aston Villa v Everton
Matty Cash PGM,3 - 6,Matty Cash SMM,5 - 8,Aston Villa v Everton
Ian Maatsen PGM,2.5 - 5,Ian Maatsen SMM,5 - 8,Aston Villa v Everton
Pau Torres PGM,2 - 4,Pau Torres SMM,2.5 - 5,Aston Villa v Everton
Andres Garcia PGM,2 - 4,Andres Garcia SMM,2.5 - 5,Aston Villa v Everton
Boubacar Kamara PGM,2 - 4,Boubacar Kamara SMM,2.5 - 5,Aston Villa v Everton
Ezri Konsa PGM,1 - 3,Ezri Konsa SMM,2.5 - 5,Aston Villa v Everton
Tyrone Mings PGM,1 - 3,Tyrone Mings SMM,2.5 - 5,Aston Villa v Everton
Lucas Digne PGM,1 - 3,Lucas Digne SMM,2.5 - 5,Aston Villa v Everton
Victor Lindelof PGM,1 - 3,Victor Lindelof SMM,2 - 4,Aston Villa v Everton
Lamare Bogarde PGM,1 - 3,Lamare Bogarde SMM,2 - 4,Aston Villa v Everton
Thierno Barry PGM,15 - 18,Thierno Barry SMM,21 - 26,Aston Villa v Everton
Beto PGM,15 - 18,Beto SMM,21 - 26,Aston Villa v Everton
Tyler Dibling PGM,5 - 8,Tyler Dibling SMM,8 - 11,Aston Villa v Everton
Jack Grealish PGM,5 - 8,Jack Grealish SMM,8 - 11,Aston Villa v Everton
Dwight McNeil PGM,5 - 8,Dwight McNeil SMM,7 - 10,Aston Villa v Everton
Merlin Rohl PGM,5 - 8,Merlin Rohl SMM,7 - 10,Aston Villa v Everton
Harrison Armstrong PGM,4 - 7,Harrison Armstrong SMM,6 - 9,Aston Villa v Everton
James Tarkowski PGM,2 - 4,James Tarkowski SMM,2.5 - 5,Aston Villa v Everton
Jake O'Brien PGM,2 - 4,Jake O'Brien SMM,2.5 - 5,Aston Villa v Everton
Tim Iroegbunam PGM,2 - 4,Tim Iroegbunam SMM,2.5 - 5,Aston Villa v Everton
James Garner PGM,2 - 4,James Garner SMM,2.5 - 5,Aston Villa v Everton
Adam Aznou PGM,1 - 3,Adam Aznou SMM,2 - 4,Aston Villa v Everton
Reece Welch PGM,1 - 3,Reece Welch SMM,2 - 4,Aston Villa v Everton
Elijah Campbell PGM,1 - 3,Elijah Campbell SMM,2 - 4,Aston Villa v Everton
Nathan Patterson PGM,0.5 - 2,Nathan Patterson SMM,1 - 3,Aston Villa v Everton
Vitaliy Mykolenko PGM,0.5 - 2,Vitaliy Mykolenko SMM,1 - 3,Aston Villa v Everton
Danny Welbeck PGM,23 - 26,Danny Welbeck SMM,35 - 41,Brighton v Bournemouth
Charalampos Kostoulas PGM,19 - 22,Charalampos Kostoulas SMM,30 - 36,Brighton v Bournemouth
Georginio Rutter PGM,18 - 21,Georginio Rutter SMM,28 - 33,Brighton v Bournemouth
Tom Watson PGM,15 - 18,Tom Watson SMM,22 - 27,Brighton v Bournemouth
Kaoru Mitoma PGM,13 - 16,Kaoru Mitoma SMM,19 - 23,Brighton v Bournemouth
Yankuba Minteh PGM,12 - 15,Yankuba Minteh SMM,18 - 22,Brighton v Bournemouth
Diego Gomez PGM,11 - 14,Diego Gomez SMM,16 - 20,Brighton v Bournemouth
Brajan Gruda PGM,9 - 12,Brajan Gruda SMM,13 - 17,Brighton v Bournemouth
Pascal Gross PGM,9 - 12,Pascal Gross SMM,12 - 16,Brighton v Bournemouth
James Milner PGM,7 - 10,James Milner SMM,10 - 14,Brighton v Bournemouth
Maxime De Cuyper PGM,7 - 10,Maxime De Cuyper SMM,10 - 14,Brighton v Bournemouth
Jack Hinshelwood PGM,6 - 9,Jack Hinshelwood SMM,9 - 13,Brighton v Bournemouth
Yasin Ayari PGM,5 - 8,Yasin Ayari SMM,8 - 11,Brighton v Bournemouth
Ferdi Kadioglu PGM,4 - 7,Ferdi Kadioglu SMM,6 - 9,Brighton v Bournemouth
Jan Paul van Hecke PGM,3 - 6,Jan Paul van Hecke SMM,5 - 8,Brighton v Bournemouth
Olivier Boscagli PGM,3 - 6,Olivier Boscagli SMM,5 - 8,Brighton v Bournemouth
Lewis Dunk PGM,2.5 - 5,Lewis Dunk SMM,4 - 7,Brighton v Bournemouth
Diego Coppola PGM,2 - 4,Diego Coppola SMM,2.5 - 5,Brighton v Bournemouth
Joel Veltman PGM,1 - 3,Joel Veltman SMM,2 - 4,Brighton v Bournemouth
Eli Junior Kroupi PGM,14 - 17,Eli Junior Kroupi SMM,21 - 26,Brighton v Bournemouth
Enes Unal PGM,14 - 17,Enes Unal SMM,21 - 26,Brighton v Bournemouth
Evanilson PGM,14 - 17,Evanilson SMM,20 - 24,Brighton v Bournemouth
Marcus Tavernier PGM,9 - 12,Marcus Tavernier SMM,13 - 17,Brighton v Bournemouth
Amine Adli PGM,8 - 11,Amine Adli SMM,12 - 16,Brighton v Bournemouth
David Brooks PGM,7 - 10,David Brooks SMM,10 - 14,Brighton v Bournemouth
Alex Scott PGM,2.5 - 5,Alex Scott SMM,4 - 7,Brighton v Bournemouth
Alejandro Jimenez PGM,1 - 3,Alejandro Jimenez SMM,2.5 - 5,Brighton v Bournemouth
Marcos Senesi PGM,1 - 3,Marcos Senesi SMM,2.5 - 5,Brighton v Bournemouth
Lewis Cook PGM,1 - 3,Lewis Cook SMM,2 - 4,Brighton v Bournemouth
Bafode Diakite PGM,1 - 3,Bafode Diakite SMM,2 - 4,Brighton v Bournemouth
Veljko Milosavljevic PGM,1 - 3,Veljko Milosavljevic SMM,2 - 4,Brighton v Bournemouth
Adrien Truffert PGM,1 - 3,Adrien Truffert SMM,2 - 4,Brighton v Bournemouth
Julio Soler PGM,1 - 3,Julio Soler SMM,2 - 4,Brighton v Bournemouth
James Hill PGM,0.5 - 2,James Hill SMM,1 - 3,Brighton v Bournemouth
Adam Smith PGM,0.5 - 2,Adam Smith SMM,1 - 3,Brighton v Bournemouth
