PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Viktor Gyokeres PGM,33 - 36,Viktor Gyokeres SMM,55 - 63,Arsenal v Nottingham Forest
Bukayo Saka PGM,23 - 26,Bukayo Saka SMM,35 - 41,Arsenal v Nottingham Forest
Andre Harriman-Annous PGM,18 - 21,Andre Harriman-Annous SMM,28 - 33,Arsenal v Nottingham Forest
Noni Madueke PGM,17 - 20,Noni Madueke SMM,27 - 32,Arsenal v Nottingham Forest
Leandro Trossard PGM,16 - 19,Leandro Trossard SMM,24 - 29,Arsenal v Nottingham Forest
Eberechi Eze PGM,15 - 18,Eberechi Eze SMM,22 - 27,Arsenal v Nottingham Forest
Max Dowman PGM,14 - 17,Max Dowman SMM,20 - 24,Arsenal v Nottingham Forest
Ethan Nwaneri PGM,13 - 16,Ethan Nwaneri SMM,20 - 24,Arsenal v Nottingham Forest
Gabriel Martinelli PGM,12 - 15,Gabriel Martinelli SMM,18 - 22,Arsenal v Nottingham Forest
Mikel Merino PGM,12 - 15,Mikel Merino SMM,18 - 22,Arsenal v Nottingham Forest
Martin Odegaard PGM,10 - 13,Martin Odegaard SMM,14 - 18,Arsenal v Nottingham Forest
Declan Rice PGM,7 - 10,Declan Rice SMM,10 - 14,Arsenal v Nottingham Forest
Piero Hincapie PGM,3 - 6,Piero Hincapie SMM,5 - 8,Arsenal v Nottingham Forest
Riccardo Calafiori PGM,3 - 6,Riccardo Calafiori SMM,5 - 8,Arsenal v Nottingham Forest
Jurrien Timber PGM,2.5 - 5,Jurrien Timber SMM,4 - 7,Arsenal v Nottingham Forest
Martin Zubimendi PGM,2.5 - 5,Martin Zubimendi SMM,4 - 7,Arsenal v Nottingham Forest
Myles Lewis-Skelly PGM,1 - 3,Myles Lewis-Skelly SMM,2 - 4,Arsenal v Nottingham Forest
Cristhian Mosquera PGM,1 - 3,Cristhian Mosquera SMM,2 - 4,Arsenal v Nottingham Forest
Christian Norgaard PGM,4 - 7,Christian Norgaard SMM,6 - 9,Arsenal v Nottingham Forest
Ben White PGM,2 - 4,Ben White SMM,2.5 - 5,Arsenal v Nottingham Forest
Gabriel Magalhaes PGM,5 - 8,Gabriel Magalhaes SMM,8 - 11,Arsenal v Nottingham Forest
William Saliba PGM,2 - 4,William Saliba SMM,2.5 - 5,Arsenal v Nottingham Forest
Chris Wood PGM,11 - 14,Chris Wood SMM,16 - 20,Arsenal v Nottingham Forest
Igor Jesus PGM,9 - 12,Igor Jesus SMM,13 - 17,Arsenal v Nottingham Forest
Arnaud Kalimuendo PGM,8 - 11,Arnaud Kalimuendo SMM,12 - 16,Arsenal v Nottingham Forest
James McAtee PGM,4 - 7,James McAtee SMM,7 - 10,Arsenal v Nottingham Forest
Dan Ndoye PGM,4 - 7,Dan Ndoye SMM,6 - 9,Arsenal v Nottingham Forest
Morgan Gibbs-White PGM,4 - 7,Morgan Gibbs-White SMM,6 - 9,Arsenal v Nottingham Forest
Callum Hudson-Odoi PGM,4 - 7,Callum Hudson-Odoi SMM,6 - 9,Arsenal v Nottingham Forest
Omari Hutchinson PGM,4 - 7,Omari Hutchinson SMM,6 - 9,Arsenal v Nottingham Forest
Nikola Milenkovic PGM,1 - 3,Nikola Milenkovic SMM,2.5 - 5,Arsenal v Nottingham Forest
Douglas Luiz PGM,1 - 3,Douglas Luiz SMM,2.5 - 5,Arsenal v Nottingham Forest
Ryan Yates PGM,1 - 3,Ryan Yates SMM,2.5 - 5,Arsenal v Nottingham Forest
Elliot Anderson PGM,1 - 3,Elliot Anderson SMM,2 - 4,Arsenal v Nottingham Forest
Ibrahim Sangare PGM,0.5 - 2,Ibrahim Sangare SMM,1 - 3,Arsenal v Nottingham Forest
Willy Boly PGM,0.5 - 2,Willy Boly SMM,1 - 3,Arsenal v Nottingham Forest
Neco Williams PGM,0.5 - 2,Neco Williams SMM,1 - 3,Arsenal v Nottingham Forest
Murillo PGM,0.5 - 2,Murillo SMM,1 - 3,Arsenal v Nottingham Forest
Morato PGM,0.5 - 2,Morato SMM,1 - 3,Arsenal v Nottingham Forest
Nicolo Savona PGM,0.5 - 2,Nicolo Savona SMM,1 - 3,Arsenal v Nottingham Forest
Evanilson PGM,19 - 22,Evanilson SMM,30 - 36,Bournemouth v Brighton
Eli Junior Kroupi PGM,19 - 22,Eli Junior Kroupi SMM,28 - 33,Bournemouth v Brighton
Antoine Semenyo PGM,15 - 18,Antoine Semenyo SMM,22 - 27,Bournemouth v Brighton
Justin Kluivert PGM,14 - 17,Justin Kluivert SMM,21 - 26,Bournemouth v Brighton
Amine Adli PGM,11 - 14,Amine Adli SMM,16 - 20,Bournemouth v Brighton
Romain Faivre PGM,9 - 12,Romain Faivre SMM,13 - 17,Bournemouth v Brighton
David Brooks PGM,8 - 11,David Brooks SMM,12 - 16,Bournemouth v Brighton
Ben Doak PGM,8 - 11,Ben Doak SMM,12 - 16,Bournemouth v Brighton
Marcus Tavernier PGM,8 - 11,Marcus Tavernier SMM,12 - 16,Bournemouth v Brighton
Bafode Diakite PGM,3 - 6,Bafode Diakite SMM,5 - 8,Bournemouth v Brighton
Ryan Christie PGM,3 - 6,Ryan Christie SMM,5 - 8,Bournemouth v Brighton
Alex Scott PGM,2.5 - 5,Alex Scott SMM,4 - 7,Bournemouth v Brighton
Marcos Senesi PGM,2.5 - 5,Marcos Senesi SMM,4 - 7,Bournemouth v Brighton
Alejandro Jimenez PGM,2.5 - 5,Alejandro Jimenez SMM,4 - 7,Bournemouth v Brighton
Adrien Truffert PGM,2 - 4,Adrien Truffert SMM,2.5 - 5,Bournemouth v Brighton
Veljko Milosavljevic PGM,1 - 3,Veljko Milosavljevic SMM,2 - 4,Bournemouth v Brighton
Julian Araujo PGM,1 - 3,Julian Araujo SMM,2 - 4,Bournemouth v Brighton
Tyler Adams PGM,1 - 3,Tyler Adams SMM,2 - 4,Bournemouth v Brighton
