PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Dominic Calvert-Lewin PGM,20 - 23,Dominic Calvert-Lewin SMM,31 - 37,Leeds v Tottenham
Joel Piroe PGM,15 - 18,Joel Piroe SMM,21 - 26,Leeds v Tottenham
Lukas Nmecha PGM,13 - 16,Lukas Nmecha SMM,19 - 23,Leeds v Tottenham
Noah Okafor PGM,9 - 12,Noah Okafor SMM,13 - 17,Leeds v Tottenham
Brenden Aaronson PGM,6 - 9,Brenden Aaronson SMM,9 - 13,Leeds v Tottenham
Jack Harrison PGM,6 - 9,Jack Harrison SMM,9 - 13,Leeds v Tottenham
Anton Stach PGM,5 - 8,Anton Stach SMM,7 - 10,Leeds v Tottenham
Jayden Bogle PGM,3 - 6,Jayden Bogle SMM,5 - 8,Leeds v Tottenham
Ao Tanaka PGM,3 - 6,Ao Tanaka SMM,5 - 8,Leeds v Tottenham
Pascal Struijk PGM,3 - 6,Pascal Struijk SMM,5 - 8,Leeds v Tottenham
Sean Longstaff PGM,3 - 6,Sean Longstaff SMM,5 - 8,Leeds v Tottenham
Sebastiaan Bornauw PGM,2.5 - 5,Sebastiaan Bornauw SMM,4 - 7,Leeds v Tottenham
James Justin PGM,2 - 4,James Justin SMM,2.5 - 5,Leeds v Tottenham
Jaka Bijol PGM,2 - 4,Jaka Bijol SMM,2.5 - 5,Leeds v Tottenham
Gabriel Gudmundsson PGM,1 - 3,Gabriel Gudmundsson SMM,2 - 4,Leeds v Tottenham
Ilia Gruev PGM,1 - 3,Ilia Gruev SMM,2 - 4,Leeds v Tottenham
Joe Rodon PGM,1 - 3,Joe Rodon SMM,2 - 4,Leeds v Tottenham
Ethan Ampadu PGM,0.5 - 2,Ethan Ampadu SMM,1 - 3,Leeds v Tottenham
Richarlison PGM,17 - 20,Richarlison SMM,25 - 30,Leeds v Tottenham
Mathys Tel PGM,11 - 14,Mathys Tel SMM,17 - 21,Leeds v Tottenham
Brennan Johnson PGM,11 - 14,Brennan Johnson SMM,17 - 21,Leeds v Tottenham
Mohammed Kudus PGM,9 - 12,Mohammed Kudus SMM,13 - 17,Leeds v Tottenham
Xavi Simons PGM,8 - 11,Xavi Simons SMM,12 - 16,Leeds v Tottenham
Wilson Odobert PGM,7 - 10,Wilson Odobert SMM,9 - 13,Leeds v Tottenham
Pape Matar Sarr PGM,4 - 7,Pape Matar Sarr SMM,6 - 9,Leeds v Tottenham
Joao Palhinha PGM,3 - 6,Joao Palhinha SMM,5 - 8,Leeds v Tottenham
Lucas Bergvall PGM,4 - 7,Lucas Bergvall SMM,6 - 9,Leeds v Tottenham
Pedro Porro PGM,2.5 - 5,Pedro Porro SMM,4 - 7,Leeds v Tottenham
Cristian Romero PGM,2.5 - 5,Cristian Romero SMM,5 - 8,Leeds v Tottenham
Micky van de Ven PGM,2.5 - 5,Micky van de Ven SMM,4 - 7,Leeds v Tottenham
Rodrigo Bentancur PGM,2.5 - 5,Rodrigo Bentancur SMM,4 - 7,Leeds v Tottenham
Kevin Danso PGM,1 - 3,Kevin Danso SMM,2.5 - 5,Leeds v Tottenham
Djed Spence PGM,1 - 3,Djed Spence SMM,2 - 4,Leeds v Tottenham
Destiny Udogie PGM,0.5 - 2,Destiny Udogie SMM,1 - 3,Leeds v Tottenham
