PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Randal Kolo Muani PGM,18 - 21,Randal Kolo Muani SMM,27 - 32,Tottenham v Man Utd
Richarlison PGM,18 - 21,Richarlison SMM,27 - 32,Tottenham v Man Utd
Mathys Tel PGM,17 - 20,Mathys Tel SMM,27 - 32,Tottenham v Man Utd
Brennan Johnson PGM,11 - 14,Brennan Johnson SMM,16 - 20,Tottenham v Man Utd
Mohammed Kudus PGM,10 - 13,Mohammed Kudus SMM,14 - 18,Tottenham v Man Utd
Xavi Simons PGM,9 - 12,Xavi Simons SMM,12 - 16,Tottenham v Man Utd
Wilson Odobert PGM,8 - 11,Wilson Odobert SMM,12 - 16,Tottenham v Man Utd
Pape Sarr PGM,6 - 9,Pape Sarr SMM,8 - 11,Tottenham v Man Utd
Lucas Bergvall PGM,5 - 8,Lucas Bergvall SMM,7 - 10,Tottenham v Man Utd
Micky van de Ven PGM,4 - 7,Micky van de Ven SMM,6 - 9,Tottenham v Man Utd
Joao Palhinha PGM,3 - 6,Joao Palhinha SMM,5 - 8,Tottenham v Man Utd
Pedro Porro PGM,2.5 - 5,Pedro Porro SMM,4 - 7,Tottenham v Man Utd
Rodrigo Bentancur PGM,2.5 - 5,Rodrigo Bentancur SMM,4 - 7,Tottenham v Man Utd
Cristian Romero PGM,2 - 4,Cristian Romero SMM,2.5 - 5,Tottenham v Man Utd
Kevin Danso PGM,2 - 4,Kevin Danso SMM,2.5 - 5,Tottenham v Man Utd
Djed Spence PGM,1 - 3,Djed Spence SMM,2 - 4,Tottenham v Man Utd
Destiny Udogie PGM,1 - 3,Destiny Udogie SMM,2 - 4,Tottenham v Man Utd
Benjamin Sesko PGM,15 - 18,Benjamin Sesko SMM,22 - 27,Tottenham v Man Utd
Bryan Mbeumo PGM,13 - 16,Bryan Mbeumo SMM,20 - 24,Tottenham v Man Utd
Bruno Fernandes PGM,12 - 15,Bruno Fernandes SMM,17 - 21,Tottenham v Man Utd
Matheus Cunha PGM,12 - 15,Matheus Cunha SMM,17 - 21,Tottenham v Man Utd
Mason Mount PGM,8 - 11,Mason Mount SMM,12 - 16,Tottenham v Man Utd
Amad Diallo PGM,7 - 10,Amad Diallo SMM,10 - 14,Tottenham v Man Utd
Harry Maguire PGM,3 - 6,Harry Maguire SMM,6 - 9,Tottenham v Man Utd
Casemiro PGM,3 - 6,Casemiro SMM,6 - 9,Tottenham v Man Utd
Kobbie Mainoo PGM,3 - 6,Kobbie Mainoo SMM,6 - 9,Tottenham v Man Utd
Patrick Dorgu PGM,3 - 6,Patrick Dorgu SMM,5 - 8,Tottenham v Man Utd
Matthijs De Ligt PGM,2.5 - 5,Matthijs De Ligt SMM,4 - 7,Tottenham v Man Utd
Diogo Dalot PGM,2 - 4,Diogo Dalot SMM,2.5 - 5,Tottenham v Man Utd
Leny Yoro PGM,1 - 3,Leny Yoro SMM,2.5 - 5,Tottenham v Man Utd
Manuel Ugarte PGM,1 - 3,Manuel Ugarte SMM,2.5 - 5,Tottenham v Man Utd
Noussair Mazraoui PGM,1 - 3,Noussair Mazraoui SMM,2 - 4,Tottenham v Man Utd
Luke Shaw PGM,0.25 - 1.5,Luke Shaw SMM,0.5 - 2,Tottenham v Man Utd
Thierno Barry PGM,16 - 19,Thierno Barry SMM,24 - 29,Everton v Fulham
Iliman Ndiaye PGM,13 - 16,Iliman Ndiaye SMM,19 - 23,Everton v Fulham
Beto PGM,12 - 15,Beto SMM,18 - 22,Everton v Fulham
Carlos Alcaraz PGM,7 - 10,Carlos Alcaraz SMM,10 - 14,Everton v Fulham
Jack Grealish PGM,5 - 8,Jack Grealish SMM,8 - 11,Everton v Fulham
Tyler Dibling PGM,5 - 8,Tyler Dibling SMM,8 - 11,Everton v Fulham
Kiernan Dewsbury-Hall PGM,5 - 8,Kiernan Dewsbury-Hall SMM,7 - 10,Everton v Fulham
Dwight McNeil PGM,5 - 8,Dwight McNeil SMM,7 - 10,Everton v Fulham
Michael Keane PGM,2.5 - 5,Michael Keane SMM,4 - 7,Everton v Fulham
James Garner PGM,2.5 - 5,James Garner SMM,4 - 7,Everton v Fulham
Tim Iroegbunam PGM,2.5 - 5,Tim Iroegbunam SMM,4 - 7,Everton v Fulham
Jake O'Brien PGM,2 - 4,Jake O'Brien SMM,2.5 - 5,Everton v Fulham
James Tarkowski PGM,2 - 4,James Tarkowski SMM,2.5 - 5,Everton v Fulham
Idrissa Gueye PGM,2 - 4,Idrissa Gueye SMM,2.5 - 5,Everton v Fulham
Adam Aznou PGM,1 - 3,Adam Aznou SMM,2 - 4,Everton v Fulham
Vitaliy Mykolenko PGM,0.5 - 2,Vitaliy Mykolenko SMM,1 - 3,Everton v Fulham
Seamus Coleman PGM,0.5 - 2,Seamus Coleman SMM,1 - 3,Everton v Fulham
Raul Jimenez PGM,14 - 17,Raul Jimenez SMM,21 - 26,Everton v Fulham
Rodrigo Muniz PGM,13 - 16,Rodrigo Muniz SMM,19 - 23,Everton v Fulham
Harry Wilson PGM,6 - 9,Harry Wilson SMM,9 - 13,Everton v Fulham
Emile Smith Rowe PGM,6 - 9,Emile Smith Rowe SMM,9 - 13,Everton v Fulham
Kevin PGM,5 - 8,Kevin SMM,8 - 11,Everton v Fulham
Samuel Chukwueze PGM,5 - 8,Samuel Chukwueze SMM,8 - 11,Everton v Fulham
Adama Traore PGM,4 - 7,Adama Traore SMM,6 - 9,Everton v Fulham
Alex Iwobi PGM,4 - 7,Alex Iwobi SMM,6 - 9,Everton v Fulham
Joshua King PGM,3 - 6,Joshua King SMM,6 - 9,Everton v Fulham
Tom Cairney PGM,3 - 6,Tom Cairney SMM,5 - 8,Everton v Fulham
Ryan Sessegnon PGM,2.5 - 5,Ryan Sessegnon SMM,4 - 7,Everton v Fulham
Sasa Lukic PGM,2 - 4,Sasa Lukic SMM,2.5 - 5,Everton v Fulham
Sander Berge PGM,1 - 3,Sander Berge SMM,2.5 - 5,Everton v Fulham
Timothy Castagne PGM,1 - 3,Timothy Castagne SMM,2 - 4,Everton v Fulham
Joachim Andersen PGM,1 - 3,Joachim Andersen SMM,2 - 4,Everton v Fulham
Jorge Cuenca PGM,1 - 3,Jorge Cuenca SMM,2 - 4,Everton v Fulham
Kenny Tete PGM,0.5 - 2,Kenny Tete SMM,1 - 3,Everton v Fulham
Calvin Bassey PGM,0.5 - 2,Calvin Bassey SMM,1 - 3,Everton v Fulham
Callum Wilson PGM,18 - 21,Callum Wilson SMM,28 - 33,West Ham v Burnley
Tomas Soucek PGM,15 - 18,Tomas Soucek SMM,21 - 26,West Ham v Burnley
Lucas Paqueta PGM,10 - 13,Lucas Paqueta SMM,14 - 18,West Ham v Burnley
Jarrod Bowen PGM,9 - 12,Jarrod Bowen SMM,13 - 17,West Ham v Burnley
Luis Guilherme PGM,9 - 12,Luis Guilherme SMM,13 - 17,West Ham v Burnley
Crysencio Summerville PGM,8 - 11,Crysencio Summerville SMM,12 - 16,West Ham v Burnley
Mateus Fernandes PGM,4 - 7,Mateus Fernandes SMM,7 - 10,West Ham v Burnley
El Hadji Malick Diouf PGM,3 - 6,El Hadji Malick Diouf SMM,6 - 9,West Ham v Burnley
Guido Rodriguez PGM,3 - 6,Guido Rodriguez SMM,5 - 8,West Ham v Burnley
Maximilian Kilman PGM,2.5 - 5,Maximilian Kilman SMM,4 - 7,West Ham v Burnley
Freddie Potts PGM,2 - 4,Freddie Potts SMM,2.5 - 5,West Ham v Burnley
Jean-Clair Todibo PGM,1 - 3,Jean-Clair Todibo SMM,2 - 4,West Ham v Burnley
Aaron Wan-Bissaka PGM,1 - 3,Aaron Wan-Bissaka SMM,2 - 4,West Ham v Burnley
Kyle Walker-Peters PGM,1 - 3,Kyle Walker-Peters SMM,2 - 4,West Ham v Burnley
Igor Julio PGM,1 - 3,Igor Julio SMM,2 - 4,West Ham v Burnley
Zian Flemming PGM,15 - 18,Zian Flemming SMM,22 - 27,West Ham v Burnley
Armando Broja PGM,12 - 15,Armando Broja SMM,18 - 22,West Ham v Burnley
Jaidon Anthony PGM,10 - 13,Jaidon Anthony SMM,14 - 18,West Ham v Burnley
Marcus Edwards PGM,8 - 11,Marcus Edwards SMM,12 - 16,West Ham v Burnley
Jacob Bruun Larsen PGM,7 - 10,Jacob Bruun Larsen SMM,10 - 14,West Ham v Burnley
Loum Tchaouna PGM,7 - 10,Loum Tchaouna SMM,10 - 14,West Ham v Burnley
Lesley Ugochukwu PGM,4 - 7,Lesley Ugochukwu SMM,6 - 9,West Ham v Burnley
Hannibal Mejbri PGM,3 - 6,Hannibal Mejbri SMM,5 - 8,West Ham v Burnley
Josh Laurent PGM,2.5 - 5,Josh Laurent SMM,4 - 7,West Ham v Burnley
Florentino Luis PGM,2 - 4,Florentino Luis SMM,2.5 - 5,West Ham v Burnley
Quilindschy Hartman PGM,1 - 3,Quilindschy Hartman SMM,2 - 4,West Ham v Burnley
Josh Cullen PGM,1 - 3,Josh Cullen SMM,2 - 4,West Ham v Burnley
Maxime Esteve PGM,0.5 - 2,Maxime Esteve SMM,1 - 3,West Ham v Burnley
Kyle Walker PGM,0.25 - 1.5,Kyle Walker SMM,0.5 - 2,West Ham v Burnley
Axel Tuanzebe PGM,0.1 - 1,Axel Tuanzebe SMM,0.25 - 1.5,West Ham v Burnley
Wilson Isidor PGM,8 - 11,Wilson Isidor SMM,12 - 16,Sunderland v Arsenal
Brian Brobbey PGM,7 - 10,Brian Brobbey SMM,10 - 14,Sunderland v Arsenal
Eliezer Mayenda PGM,7 - 10,Eliezer Mayenda SMM,10 - 14,Sunderland v Arsenal
Bertrand Traore PGM,4 - 7,Bertrand Traore SMM,6 - 9,Sunderland v Arsenal
Enzo Le Fee PGM,3 - 6,Enzo Le Fee SMM,6 - 9,Sunderland v Arsenal
Chemsdine Talbi PGM,3 - 6,Chemsdine Talbi SMM,6 - 9,Sunderland v Arsenal
Simon Adingra PGM,3 - 6,Simon Adingra SMM,6 - 9,Sunderland v Arsenal
Chris Rigg PGM,3 - 6,Chris Rigg SMM,5 - 8,Sunderland v Arsenal
Daniel Ballard PGM,1 - 3,Daniel Ballard SMM,2 - 4,Sunderland v Arsenal
Granit Xhaka PGM,1 - 3,Granit Xhaka SMM,2 - 4,Sunderland v Arsenal
Lutsharel Geertruida PGM,1 - 3,Lutsharel Geertruida SMM,2 - 4,Sunderland v Arsenal
Nordi Mukiele PGM,1 - 3,Nordi Mukiele SMM,2 - 4,Sunderland v Arsenal
Dan Neil PGM,1 - 3,Dan Neil SMM,2 - 4,Sunderland v Arsenal
Luke O'Nien PGM,1 - 3,Luke O'Nien SMM,2 - 4,Sunderland v Arsenal
Omar Alderete PGM,1 - 3,Omar Alderete SMM,2 - 4,Sunderland v Arsenal
Trai Hume PGM,0.5 - 2,Trai Hume SMM,1 - 3,Sunderland v Arsenal
Reinildo Mandava PGM,0.5 - 2,Reinildo Mandava SMM,1 - 3,Sunderland v Arsenal
Noah Sadiki PGM,0.5 - 2,Noah Sadiki SMM,1 - 3,Sunderland v Arsenal
Arthur Masuaku PGM,0.5 - 2,Arthur Masuaku SMM,1 - 3,Sunderland v Arsenal
Bukayo Saka PGM,19 - 22,Bukayo Saka SMM,28 - 34,Sunderland v Arsenal
Mikel Merino PGM,16 - 19,Mikel Merino SMM,25 - 30,Sunderland v Arsenal
Andre Harriman-Annous PGM,14 - 17,Andre Harriman-Annous SMM,20 - 24,Sunderland v Arsenal
Eberechi Eze PGM,12 - 15,Eberechi Eze SMM,17 - 21,Sunderland v Arsenal
Leandro Trossard PGM,12 - 15,Leandro Trossard SMM,17 - 21,Sunderland v Arsenal
Gabriel Martinelli PGM,12 - 15,Gabriel Martinelli SMM,17 - 21,Sunderland v Arsenal
Ethan Nwaneri PGM,10 - 13,Ethan Nwaneri SMM,14 - 18,Sunderland v Arsenal
Max Dowman PGM,10 - 13,Max Dowman SMM,14 - 18,Sunderland v Arsenal
Declan Rice PGM,5 - 8,Declan Rice SMM,8 - 11,Sunderland v Arsenal
Gabriel Magalhaes PGM,4 - 7,Gabriel Magalhaes SMM,7 - 10,Sunderland v Arsenal
Riccardo Calafiori PGM,3 - 6,Riccardo Calafiori SMM,5 - 8,Sunderland v Arsenal
Christian Norgaard PGM,3 - 6,Christian Norgaard SMM,5 - 8,Sunderland v Arsenal
Martin Zubimendi PGM,2.5 - 5,Martin Zubimendi SMM,4 - 7,Sunderland v Arsenal
Piero Hincapie PGM,2.5 - 5,Piero Hincapie SMM,4 - 7,Sunderland v Arsenal
Jurrien Timber PGM,2.5 - 5,Jurrien Timber SMM,4 - 7,Sunderland v Arsenal
William Saliba PGM,1 - 3,William Saliba SMM,2 - 4,Sunderland v Arsenal
Ben White PGM,1 - 3,Ben White SMM,2 - 4,Sunderland v Arsenal
Myles Lewis-Skelly PGM,1 - 3,Myles Lewis-Skelly SMM,2 - 4,Sunderland v Arsenal
Cristhian Mosquera PGM,1 - 3,Cristhian Mosquera SMM,2 - 4,Sunderland v Arsenal
Joao Pedro PGM,25 - 28,Joao Pedro SMM,39 - 46,Chelsea v Wolves
Enzo Fernandez PGM,19 - 22,Enzo Fernandez SMM,28 - 34,Chelsea v Wolves
