PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Joao Pedro PGM,22 - 25,Joao Pedro SMM,33 - 39,Chelsea v Fulham
Cole Palmer PGM,21 - 24,Cole Palmer SMM,32 - 38,Chelsea v Fulham
Liam Delap PGM,20 - 23,Liam Delap SMM,30 - 36,Chelsea v Fulham
Pedro Neto PGM,12 - 15,Pedro Neto SMM,18 - 22,Chelsea v Fulham
Estevao PGM,11 - 14,Estevao SMM,17 - 21,Chelsea v Fulham
Jamie Gittens PGM,10 - 13,Jamie Gittens SMM,14 - 18,Chelsea v Fulham
Enzo Fernandez PGM,7 - 10,Enzo Fernandez SMM,10 - 14,Chelsea v Fulham
Marc Cucurella PGM,4 - 7,Marc Cucurella SMM,7 - 10,Chelsea v Fulham
Reece James PGM,2.5 - 5,Reece James SMM,4 - 7,Chelsea v Fulham
Trevoh Chalobah PGM,2.5 - 5,Trevoh Chalobah SMM,4 - 7,Chelsea v Fulham
Tosin Adarabioyo PGM,2.5 - 5,Tosin Adarabioyo SMM,4 - 7,Chelsea v Fulham
Josh Acheampong PGM,2 - 4,Josh Acheampong SMM,2.5 - 5,Chelsea v Fulham
Moises Caicedo PGM,1 - 3,Moises Caicedo SMM,2 - 4,Chelsea v Fulham
Malo Gusto PGM,1 - 3,Malo Gusto SMM,2 - 4,Chelsea v Fulham
Jorrel Hato PGM,1 - 3,Jorrel Hato SMM,2 - 4,Chelsea v Fulham
Rodrigo Muniz PGM,14 - 17,Rodrigo Muniz SMM,20 - 24,Chelsea v Fulham
Raul Jimenez PGM,14 - 17,Raul Jimenez SMM,20 - 24,Chelsea v Fulham
Harry Wilson PGM,7 - 10,Harry Wilson SMM,10 - 14,Chelsea v Fulham
Emile Smith Rowe PGM,6 - 9,Emile Smith Rowe SMM,8 - 11,Chelsea v Fulham
Alex Iwobi PGM,5 - 8,Alex Iwobi SMM,7 - 10,Chelsea v Fulham
Joshua King PGM,4 - 7,Joshua King SMM,6 - 9,Chelsea v Fulham
Adama Traore PGM,4 - 7,Adama Traore SMM,6 - 9,Chelsea v Fulham
Ryan Sessegnon PGM,3 - 6,Ryan Sessegnon SMM,5 - 8,Chelsea v Fulham
Sasa Lukic PGM,2 - 4,Sasa Lukic SMM,2.5 - 5,Chelsea v Fulham
Sander Berge PGM,1 - 3,Sander Berge SMM,2 - 4,Chelsea v Fulham
Timothy Castagne PGM,1 - 3,Timothy Castagne SMM,2 - 4,Chelsea v Fulham
Jorge Cuenca PGM,1 - 3,Jorge Cuenca SMM,2 - 4,Chelsea v Fulham
Kenny Tete PGM,1 - 3,Kenny Tete SMM,2 - 4,Chelsea v Fulham
Joachim Andersen PGM,1 - 3,Joachim Andersen SMM,2 - 4,Chelsea v Fulham
Calvin Bassey PGM,0.5 - 2,Calvin Bassey SMM,1 - 3,Chelsea v Fulham
Antonee Robinson PGM,0.5 - 2,Antonee Robinson SMM,1 - 3,Chelsea v Fulham
Benjamin Sesko PGM,25 - 28,Benjamin Sesko SMM,39 - 45,Man Utd v Burnley
Bruno Fernandes PGM,19 - 22,Bruno Fernandes SMM,28 - 34,Man Utd v Burnley
Matheus Cunha PGM,18 - 21,Matheus Cunha SMM,28 - 33,Man Utd v Burnley
