PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Zian Flemming PGM,13 - 16,Zian Flemming SMM,19 - 23,Burnley v Newcastle
Mike Tresor PGM,11 - 14,Mike Tresor SMM,16 - 20,Burnley v Newcastle
Armando Broja PGM,10 - 13,Armando Broja SMM,14 - 18,Burnley v Newcastle
Jaidon Anthony PGM,9 - 12,Jaidon Anthony SMM,13 - 17,Burnley v Newcastle
Marcus Edwards PGM,6 - 9,Marcus Edwards SMM,9 - 13,Burnley v Newcastle
Jacob Bruun Larsen PGM,5 - 8,Jacob Bruun Larsen SMM,7 - 10,Burnley v Newcastle
Lesley Ugochukwu PGM,3 - 6,Lesley Ugochukwu SMM,5 - 8,Burnley v Newcastle
Loum Tchaouna PGM,3 - 6,Loum Tchaouna SMM,5 - 8,Burnley v Newcastle
Josh Cullen PGM,3 - 6,Josh Cullen SMM,5 - 8,Burnley v Newcastle
Florentino Luis PGM,1 - 3,Florentino Luis SMM,2 - 4,Burnley v Newcastle
Josh Laurent PGM,1 - 3,Josh Laurent SMM,2 - 4,Burnley v Newcastle
Hjalmar Ekdal PGM,0.5 - 2,Hjalmar Ekdal SMM,1 - 3,Burnley v Newcastle
Bashir Humphreys PGM,0.5 - 2,Bashir Humphreys SMM,1 - 3,Burnley v Newcastle
Kyle Walker PGM,0.25 - 1.5,Kyle Walker SMM,0.5 - 2,Burnley v Newcastle
Lucas Pires PGM,0.25 - 1.5,Lucas Pires SMM,0.5 - 2,Burnley v Newcastle
Nick Woltemade PGM,23 - 26,Nick Woltemade SMM,36 - 42,Burnley v Newcastle
Yoane Wissa PGM,21 - 24,Yoane Wissa SMM,33 - 39,Burnley v Newcastle
Anthony Gordon PGM,19 - 22,Anthony Gordon SMM,30 - 36,Burnley v Newcastle
Harvey Barnes PGM,14 - 17,Harvey Barnes SMM,21 - 26,Burnley v Newcastle
Jacob Murphy PGM,11 - 14,Jacob Murphy SMM,17 - 21,Burnley v Newcastle
Bruno Guimaraes PGM,8 - 11,Bruno Guimaraes SMM,12 - 16,Burnley v Newcastle
Sandro Tonali PGM,5 - 8,Sandro Tonali SMM,8 - 11,Burnley v Newcastle
Jacob Ramsey PGM,5 - 8,Jacob Ramsey SMM,8 - 11,Burnley v Newcastle
Joelinton PGM,5 - 8,Joelinton SMM,8 - 11,Burnley v Newcastle
Fabian Schar PGM,3 - 6,Fabian Schar SMM,6 - 9,Burnley v Newcastle
Joe Willock PGM,3 - 6,Joe Willock SMM,6 - 9,Burnley v Newcastle
Lewis Miley PGM,2.5 - 5,Lewis Miley SMM,5 - 8,Burnley v Newcastle
