PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Cole Palmer PGM,20 - 23,Cole Palmer SMM,31 - 37,Chelsea v Everton
Marc Guiu PGM,17 - 20,Marc Guiu SMM,27 - 32,Chelsea v Everton
Estevao PGM,16 - 19,Estevao SMM,24 - 29,Chelsea v Everton
Joao Pedro PGM,16 - 19,Joao Pedro SMM,24 - 29,Chelsea v Everton
Alejandro Garnacho PGM,12 - 15,Alejandro Garnacho SMM,17 - 21,Chelsea v Everton
Pedro Neto PGM,10 - 13,Pedro Neto SMM,14 - 18,Chelsea v Everton
Jamie Gittens PGM,10 - 13,Jamie Gittens SMM,14 - 18,Chelsea v Everton
Enzo Fernandez PGM,8 - 11,Enzo Fernandez SMM,12 - 16,Chelsea v Everton
Andrey Santos PGM,6 - 9,Andrey Santos SMM,9 - 13,Chelsea v Everton
Reece James PGM,4 - 7,Reece James SMM,7 - 10,Chelsea v Everton
Trevoh Chalobah PGM,3 - 6,Trevoh Chalobah SMM,6 - 9,Chelsea v Everton
Marc Cucurella PGM,3 - 6,Marc Cucurella SMM,6 - 9,Chelsea v Everton
Tosin Adarabioyo PGM,2.5 - 5,Tosin Adarabioyo SMM,4 - 7,Chelsea v Everton
Wesley Fofana PGM,1 - 3,Wesley Fofana SMM,2 - 4,Chelsea v Everton
Benoit Badiashile PGM,1 - 3,Benoit Badiashile SMM,2 - 4,Chelsea v Everton
Jorrel Hato PGM,1 - 3,Jorrel Hato SMM,2 - 4,Chelsea v Everton
Josh Acheampong PGM,1 - 3,Josh Acheampong SMM,2 - 4,Chelsea v Everton
Malo Gusto PGM,1 - 3,Malo Gusto SMM,2 - 4,Chelsea v Everton
Beto PGM,12 - 15,Beto SMM,18 - 22,Chelsea v Everton
Thierno Barry PGM,10 - 13,Thierno Barry SMM,14 - 18,Chelsea v Everton
Iliman Ndiaye PGM,8 - 11,Iliman Ndiaye SMM,12 - 16,Chelsea v Everton
Kiernan Dewsbury-Hall PGM,4 - 7,Kiernan Dewsbury-Hall SMM,7 - 10,Chelsea v Everton
Carlos Alcaraz PGM,4 - 7,Carlos Alcaraz SMM,7 - 10,Chelsea v Everton
Tyler Dibling PGM,4 - 7,Tyler Dibling SMM,7 - 10,Chelsea v Everton
Jack Grealish PGM,3 - 6,Jack Grealish SMM,6 - 9,Chelsea v Everton
Dwight McNeil PGM,3 - 6,Dwight McNeil SMM,6 - 9,Chelsea v Everton
Michael Keane PGM,2 - 4,Michael Keane SMM,2.5 - 5,Chelsea v Everton
Jake O'Brien PGM,1 - 3,Jake O'Brien SMM,2 - 4,Chelsea v Everton
James Tarkowski PGM,1 - 3,James Tarkowski SMM,2 - 4,Chelsea v Everton
James Garner PGM,1 - 3,James Garner SMM,2 - 4,Chelsea v Everton
