PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Danny Welbeck PGM,22 - 25,Danny Welbeck SMM,33 - 39,Brighton v Leeds
Stefanos Tzimas PGM,18 - 21,Stefanos Tzimas SMM,27 - 32,Brighton v Leeds
Tom Watson PGM,13 - 16,Tom Watson SMM,19 - 23,Brighton v Leeds
Georginio Rutter PGM,10 - 13,Georginio Rutter SMM,14 - 18,Brighton v Leeds
Yankuba Minteh PGM,10 - 13,Yankuba Minteh SMM,14 - 18,Brighton v Leeds
Diego Gomez PGM,9 - 12,Diego Gomez SMM,13 - 17,Brighton v Leeds
James Milner PGM,6 - 9,James Milner SMM,9 - 13,Brighton v Leeds
Yasin Ayari PGM,4 - 7,Yasin Ayari SMM,6 - 9,Brighton v Leeds
Ferdi Kadioglu PGM,3 - 6,Ferdi Kadioglu SMM,5 - 8,Brighton v Leeds
Maxime De Cuyper PGM,3 - 6,Maxime De Cuyper SMM,5 - 8,Brighton v Leeds
Mats Wieffer PGM,2.5 - 5,Mats Wieffer SMM,4 - 7,Brighton v Leeds
Carlos Baleba PGM,2.5 - 5,Carlos Baleba SMM,4 - 7,Brighton v Leeds
Lewis Dunk PGM,2 - 4,Lewis Dunk SMM,2.5 - 5,Brighton v Leeds
Olivier Boscagli PGM,2 - 4,Olivier Boscagli SMM,2.5 - 5,Brighton v Leeds
Diego Coppola PGM,2 - 4,Diego Coppola SMM,2.5 - 5,Brighton v Leeds
Jan Paul van Hecke PGM,1 - 3,Jan Paul van Hecke SMM,2 - 4,Brighton v Leeds
Charalampos Kostoulas PGM,14 - 17,Charalampos Kostoulas SMM,20 - 24,Brighton v Leeds
Kaoru Mitoma PGM,11 - 14,Kaoru Mitoma SMM,16 - 20,Brighton v Leeds
Joel Veltman PGM,0.5 - 2,Joel Veltman SMM,1 - 3,Brighton v Leeds
Lukas Nmecha PGM,16 - 19,Lukas Nmecha SMM,24 - 29,Brighton v Leeds
