PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Jarrod Bowen PGM,14 - 17,Jarrod Bowen SMM,20 - 24,West Ham v Sunderland
Taty Castellanos PGM,13 - 16,Taty Castellanos SMM,19 - 23,West Ham v Sunderland
Callum Wilson PGM,10 - 13,Callum Wilson SMM,16 - 20,West Ham v Sunderland
Pablo PGM,8 - 11,Pablo SMM,12 - 16,West Ham v Sunderland
Lucas Paqueta PGM,7 - 10,Lucas Paqueta SMM,10 - 14,West Ham v Sunderland
Tomas Soucek PGM,6 - 9,Tomas Soucek SMM,9 - 13,West Ham v Sunderland
Crysencio Summerville PGM,6 - 9,Crysencio Summerville SMM,9 - 13,West Ham v Sunderland
Konstantinos Mavropanos PGM,2.5 - 5,Konstantinos Mavropanos SMM,4 - 7,West Ham v Sunderland
Mateus Fernandes PGM,2 - 4,Mateus Fernandes SMM,2.5 - 5,West Ham v Sunderland
Max Kilman PGM,2 - 4,Max Kilman SMM,2.5 - 5,West Ham v Sunderland
El Hadji Malick Diouf PGM,1 - 3,El Hadji Malick Diouf SMM,2 - 4,West Ham v Sunderland
Soungoutou Magassa PGM,1 - 3,Soungoutou Magassa SMM,2 - 4,West Ham v Sunderland
Freddie Potts PGM,1 - 3,Freddie Potts SMM,2 - 4,West Ham v Sunderland
Oliver Scarles PGM,0.5 - 2,Oliver Scarles SMM,1 - 3,West Ham v Sunderland
Kyle Walker-Peters PGM,0.5 - 2,Kyle Walker-Peters SMM,1 - 3,West Ham v Sunderland
Guido Rodriguez PGM,0.5 - 2,Guido Rodriguez SMM,1 - 3,West Ham v Sunderland
Jean-Clair Todibo PGM,0.25 - 1.5,Jean-Clair Todibo SMM,1 - 3,West Ham v Sunderland
Aaron Wan-Bissaka PGM,0.25 - 1.5,Aaron Wan-Bissaka SMM,0.5 - 2,West Ham v Sunderland
Igor Julio PGM,0.25 - 1.5,Igor Julio SMM,0.5 - 2,West Ham v Sunderland
Brian Brobbey PGM,14 - 17,Brian Brobbey SMM,21 - 26,West Ham v Sunderland
Wilson Isidor PGM,11 - 14,Wilson Isidor SMM,16 - 20,West Ham v Sunderland
Eliezer Mayenda PGM,10 - 13,Eliezer Mayenda SMM,14 - 18,West Ham v Sunderland
Romaine Mundle PGM,6 - 9,Romaine Mundle SMM,9 - 13,West Ham v Sunderland
Enzo Le Fee PGM,6 - 9,Enzo Le Fee SMM,9 - 13,West Ham v Sunderland
Chemsdine Talbi PGM,6 - 9,Chemsdine Talbi SMM,9 - 13,West Ham v Sunderland
Simon Adingra PGM,6 - 9,Simon Adingra SMM,9 - 13,West Ham v Sunderland
Daniel Ballard PGM,3 - 6,Daniel Ballard SMM,5 - 8,West Ham v Sunderland
Granit Xhaka PGM,3 - 6,Granit Xhaka SMM,5 - 8,West Ham v Sunderland
Chris Rigg PGM,3 - 6,Chris Rigg SMM,5 - 8,West Ham v Sunderland
Habib Diarra PGM,3 - 6,Habib Diarra SMM,5 - 8,West Ham v Sunderland
Nordi Mukiele PGM,2.5 - 5,Nordi Mukiele SMM,4 - 7,West Ham v Sunderland
Trai Hume PGM,2.5 - 5,Trai Hume SMM,4 - 7,West Ham v Sunderland
Omar Alderete PGM,2 - 4,Omar Alderete SMM,2.5 - 5,West Ham v Sunderland
Lutsharel Geertruida PGM,2 - 4,Lutsharel Geertruida SMM,2.5 - 5,West Ham v Sunderland
Dennis Cirkin PGM,2 - 4,Dennis Cirkin SMM,2.5 - 5,West Ham v Sunderland
Luke O'Nien PGM,1 - 3,Luke O'Nien SMM,2.5 - 5,West Ham v Sunderland
Reinildo Mandava PGM,1 - 3,Reinildo Mandava SMM,2 - 4,West Ham v Sunderland
Noah Sadiki PGM,0.5 - 2,Noah Sadiki SMM,1 - 3,West Ham v Sunderland
Zian Flemming PGM,14 - 17,Zian Flemming SMM,21 - 26,Burnley v Tottenham
Armando Broja PGM,13 - 16,Armando Broja SMM,18 - 22,Burnley v Tottenham
Lyle Foster PGM,11 - 14,Lyle Foster SMM,17 - 21,Burnley v Tottenham
Marcus Edwards PGM,8 - 11,Marcus Edwards SMM,12 - 16,Burnley v Tottenham
Jacob Bruun Larsen PGM,8 - 11,Jacob Bruun Larsen SMM,12 - 16,Burnley v Tottenham
Jaidon Anthony PGM,7 - 10,Jaidon Anthony SMM,10 - 14,Burnley v Tottenham
Loum Tchaouna PGM,6 - 9,Loum Tchaouna SMM,8 - 11,Burnley v Tottenham
Hannibal Mejbri PGM,4 - 7,Hannibal Mejbri SMM,6 - 9,Burnley v Tottenham
