AM_namesX10,AM_oddsX10,contest
Jarrod Bowen Ax10,2 - 2.4,West Ham v Sunderland
Enzo Le Fee Ax10,1.8 - 2.2,West Ham v Sunderland
Granit Xhaka Ax10,1.6 - 1.9,West Ham v Sunderland
Crysencio Summerville Ax10,1.4 - 1.7,West Ham v Sunderland
Mateus Fernandes Ax10,1.1 - 1.4,West Ham v Sunderland
Taty Castellanos Ax10,1.1 - 1.4,West Ham v Sunderland
Trai Hume Ax10,1 - 1.3,West Ham v Sunderland
Brian Brobbey Ax10,0.9 - 1.2,West Ham v Sunderland
Lucas Paqueta Ax10,1.8 - 2.2,West Ham v Sunderland
Eliezer Mayenda Ax10,1.2 - 1.5,West Ham v Sunderland
Simon Adingra Ax10,1.2 - 1.5,West Ham v Sunderland
El Hadji Malick Diouf Ax10,1.1 - 1.4,West Ham v Sunderland
Pablo Ax10,1 - 1.3,West Ham v Sunderland
Aaron Wan-Bissaka Ax10,1 - 1.3,West Ham v Sunderland
Oliver Scarles Ax10,0.9 - 1.2,West Ham v Sunderland
Romaine Mundle Ax10,0.9 - 1.2,West Ham v Sunderland
Nordi Mukiele Ax10,0.9 - 1.2,West Ham v Sunderland
Kyle Walker-Peters Ax10,0.9 - 1.2,West Ham v Sunderland
Chris Rigg Ax10,0.75 - 1,West Ham v Sunderland
Freddie Potts Ax10,0.75 - 1,West Ham v Sunderland
Chemsdine Talbi Ax10,0.7 - 0.9,West Ham v Sunderland
Callum Wilson Ax10,0.6 - 0.8,West Ham v Sunderland
Wilson Isidor Ax10,0.5 - 0.7,West Ham v Sunderland
Habib Diarra Ax10,0.5 - 0.7,West Ham v Sunderland
Tomas Soucek Ax10,0.5 - 0.7,West Ham v Sunderland
Noah Sadiki Ax10,0.3 - 0.5,West Ham v Sunderland
Soungoutou Magassa Ax10,0.3 - 0.5,West Ham v Sunderland
Dennis Cirkin Ax10,0.3 - 0.5,West Ham v Sunderland
Lutsharel Geertruida Ax10,0.3 - 0.5,West Ham v Sunderland
Jean-Clair Todibo Ax10,0.3 - 0.5,West Ham v Sunderland
Daniel Ballard Ax10,0.3 - 0.5,West Ham v Sunderland
Omar Alderete Ax10,0.2 - 0.4,West Ham v Sunderland
Max Kilman Ax10,0.2 - 0.4,West Ham v Sunderland
Guido Rodriguez Ax10,0.1 - 0.3,West Ham v Sunderland
Reinildo Mandava Ax10,0.1 - 0.3,West Ham v Sunderland
Luke O'Nien Ax10,0.1 - 0.3,West Ham v Sunderland
Igor Julio Ax10,0.1 - 0.3,West Ham v Sunderland
Konstantinos Mavropanos Ax10,0 - 0.2,West Ham v Sunderland
