AM_namesX10,AM_oddsX10,contest
Bruno Fernandes Ax10,2.9 - 3.4,Tottenham v Man Utd
Bryan Mbeumo Ax10,2.7 - 3.2,Tottenham v Man Utd
Mohammed Kudus Ax10,2.1 - 2.5,Tottenham v Man Utd
Matheus Cunha Ax10,2 - 2.4,Tottenham v Man Utd
Pape Matar Sarr Ax10,2 - 2.4,Tottenham v Man Utd
Xavi Simons Ax10,1.6 - 2,Tottenham v Man Utd
Amad Diallo Ax10,1.6 - 2,Tottenham v Man Utd
Diogo Dalot Ax10,1.4 - 1.7,Tottenham v Man Utd
Pedro Porro Ax10,1.2 - 1.5,Tottenham v Man Utd
Randal Kolo Muani Ax10,1.2 - 1.5,Tottenham v Man Utd
Luke Shaw Ax10,1 - 1.3,Tottenham v Man Utd
Benjamin Sesko Ax10,0.7 - 0.9,Tottenham v Man Utd
Casemiro Ax10,0.9 - 1.2,Tottenham v Man Utd
Djed Spence Ax10,0.5 - 0.7,Tottenham v Man Utd
Matthijs De Ligt Ax10,0.5 - 0.7,Tottenham v Man Utd
Rodrigo Bentancur Ax10,0.3 - 0.5,Tottenham v Man Utd
Wilson Odobert Ax10,1.3 - 1.6,Tottenham v Man Utd
Brennan Johnson Ax10,1 - 1.3,Tottenham v Man Utd
Richarlison Ax10,0.5 - 0.7,Tottenham v Man Utd
Micky van de Ven Ax10,0.2 - 0.5,Tottenham v Man Utd
Harry Maguire Ax10,0.2 - 0.4,Tottenham v Man Utd
Cristian Romero Ax10,0.2 - 0.4,Tottenham v Man Utd
Joao Palhinha Ax10,0.1 - 0.3,Tottenham v Man Utd
Jack Grealish Ax10,2.4 - 2.8,Everton v Fulham
Thierno Barry Ax10,1.7 - 2.1,Everton v Fulham
Iliman Ndiaye Ax10,1.6 - 2,Everton v Fulham
Kiernan Dewsbury-Hall Ax10,1.2 - 1.5,Everton v Fulham
Alex Iwobi Ax10,1.2 - 1.5,Everton v Fulham
Raul Jimenez Ax10,1.2 - 1.5,Everton v Fulham
Harry Wilson Ax10,1.2 - 1.5,Everton v Fulham
Ryan Sessegnon Ax10,1.1 - 1.4,Everton v Fulham
Joshua King Ax10,1 - 1.3,Everton v Fulham
James Garner Ax10,0.75 - 1,Everton v Fulham
Idrissa Gueye Ax10,0.7 - 0.9,Everton v Fulham
James Tarkowski Ax10,0.6 - 0.8,Everton v Fulham
Sander Berge Ax10,0.6 - 0.8,Everton v Fulham
Michael Keane Ax10,0.5 - 0.7,Everton v Fulham
