AM_namesX10,AM_oddsX10,contest
Mohammed Kudus Ax10,1.8 - 2.2,Leeds v Tottenham
Pedro Porro Ax10,1.5 - 1.8,Leeds v Tottenham
Xavi Simons Ax10,1.4 - 1.7,Leeds v Tottenham
Sean Longstaff Ax10,1.1 - 1.4,Leeds v Tottenham
Gabriel Gudmundsson Ax10,1.1 - 1.4,Leeds v Tottenham
Mathys Tel Ax10,1.1 - 1.4,Leeds v Tottenham
Wilson Odobert Ax10,1.1 - 1.4,Leeds v Tottenham
Brenden Aaronson Ax10,1 - 1.3,Leeds v Tottenham
Noah Okafor Ax10,0.9 - 1.2,Leeds v Tottenham
Brennan Johnson Ax10,0.9 - 1.2,Leeds v Tottenham
Jack Harrison Ax10,0.8 - 1.1,Leeds v Tottenham
Jayden Bogle Ax10,0.8 - 1.1,Leeds v Tottenham
Anton Stach Ax10,0.75 - 1,Leeds v Tottenham
Cristian Romero Ax10,0.75 - 1,Leeds v Tottenham
Richarlison Ax10,0.75 - 1,Leeds v Tottenham
Lucas Bergvall Ax10,0.5 - 0.7,Leeds v Tottenham
Dominic Calvert-Lewin Ax10,0.5 - 0.7,Leeds v Tottenham
Joel Piroe Ax10,0.4 - 0.6,Leeds v Tottenham
Destiny Udogie Ax10,0.4 - 0.6,Leeds v Tottenham
Micky van de Ven Ax10,0.3 - 0.5,Leeds v Tottenham
Lukas Nmecha Ax10,0.3 - 0.5,Leeds v Tottenham
Ao Tanaka Ax10,0.2 - 0.4,Leeds v Tottenham
Pape Matar Sarr Ax10,0.2 - 0.4,Leeds v Tottenham
Rodrigo Bentancur Ax10,0.2 - 0.4,Leeds v Tottenham
Ethan Ampadu Ax10,0.1 - 0.3,Leeds v Tottenham
Joao Palhinha Ax10,0.1 - 0.3,Leeds v Tottenham
Archie Gray Ax10,0.1 - 0.3,Leeds v Tottenham
Pascal Struijk Ax10,0 - 0.2,Leeds v Tottenham
Joe Rodon Ax10,0 - 0.2,Leeds v Tottenham
Bukayo Saka Ax10,3.5 - 4,Arsenal v West Ham
Eberechi Eze Ax10,3 - 3.5,Arsenal v West Ham
Leandro Trossard Ax10,2.1 - 2.5,Arsenal v West Ham
Viktor Gyokeres Ax10,2.2 - 2.6,Arsenal v West Ham
Declan Rice Ax10,2.3 - 2.7,Arsenal v West Ham
Martin Zubimendi Ax10,1.3 - 1.6,Arsenal v West Ham
Riccardo Calafiori Ax10,0.8 - 1.1,Arsenal v West Ham
Cristhian Mosquera Ax10,0.6 - 0.8,Arsenal v West Ham
Jurrien Timber Ax10,0.75 - 1,Arsenal v West Ham
Jarrod Bowen Ax10,0.75 - 1,Arsenal v West Ham
Niclas Fullkrug Ax10,0.6 - 0.8,Arsenal v West Ham
Lucas Paqueta Ax10,0.6 - 0.8,Arsenal v West Ham
James Ward-Prowse Ax10,0.75 - 1,Arsenal v West Ham
El Hadji Malick Diouf Ax10,0.5 - 0.7,Arsenal v West Ham
Crysencio Summerville Ax10,0.6 - 0.8,Arsenal v West Ham
Mateus Fernandes Ax10,0.6 - 0.8,Arsenal v West Ham
Kyle Walker-Peters Ax10,0.4 - 0.6,Arsenal v West Ham
Konstantinos Mavropanos Ax10,0.1 - 0.3,Arsenal v West Ham
Max Kilman Ax10,0.2 - 0.4,Arsenal v West Ham
Bruno Fernandes Ax10,3.2 - 3.7,Man Utd v Sunderland
Bryan Mbeumo Ax10,2.7 - 3.2,Man Utd v Sunderland
Amad Diallo Ax10,2.2 - 2.6,Man Utd v Sunderland
Matheus Cunha Ax10,2.1 - 2.5,Man Utd v Sunderland
Patrick Dorgu Ax10,2 - 2.4,Man Utd v Sunderland
Diogo Dalot Ax10,1.2 - 1.5,Man Utd v Sunderland
Granit Xhaka Ax10,1.1 - 1.4,Man Utd v Sunderland
Simon Adingra Ax10,1 - 1.3,Man Utd v Sunderland
Casemiro Ax10,1 - 1.3,Man Utd v Sunderland
Trai Hume Ax10,1 - 1.3,Man Utd v Sunderland
Enzo Le Fee Ax10,0.9 - 1.2,Man Utd v Sunderland
Benjamin Sesko Ax10,0.9 - 1.2,Man Utd v Sunderland
Chemsdine Talbi Ax10,0.8 - 1.1,Man Utd v Sunderland
Noah Sadiki Ax10,0.6 - 0.8,Man Utd v Sunderland
Chris Rigg Ax10,0.6 - 0.8,Man Utd v Sunderland
Wilson Isidor Ax10,0.6 - 0.8,Man Utd v Sunderland
Luke Shaw Ax10,1.7 - 2.1,Man Utd v Sunderland
Harry Maguire Ax10,1.2 - 1.5,Man Utd v Sunderland
Matthijs de Ligt Ax10,1.2 - 1.5,Man Utd v Sunderland
Arthur Masuaku Ax10,0.5 - 0.7,Man Utd v Sunderland
Nordi Mukiele Ax10,0.3 - 0.5,Man Utd v Sunderland
Omar Alderete Ax10,0.3 - 0.5,Man Utd v Sunderland
Mohamed Salah Ax10,2.3 - 2.7,Chelsea v Liverpool
Pedro Neto Ax10,2.3 - 2.7,Chelsea v Liverpool
Dominik Szoboszlai Ax10,2.1 - 2.5,Chelsea v Liverpool
Florian Wirtz Ax10,2 - 2.4,Chelsea v Liverpool
Estevao Ax10,1.9 - 2.3,Chelsea v Liverpool
Cody Gakpo Ax10,1.8 - 2.2,Chelsea v Liverpool
Tyrique George Ax10,1.6 - 2,Chelsea v Liverpool
Alejandro Garnacho Ax10,1.4 - 1.7,Chelsea v Liverpool
Conor Bradley Ax10,1.4 - 1.7,Chelsea v Liverpool
Jeremie Frimpong Ax10,1.4 - 1.7,Chelsea v Liverpool
Hugo Ekitike Ax10,1.3 - 1.6,Chelsea v Liverpool
Enzo Fernandez Ax10,1.3 - 1.6,Chelsea v Liverpool
Jamie Gittens Ax10,1.2 - 1.5,Chelsea v Liverpool
Reece James Ax10,1.2 - 1.5,Chelsea v Liverpool
Joao Pedro Ax10,1.1 - 1.4,Chelsea v Liverpool
Milos Kerkez Ax10,1 - 1.3,Chelsea v Liverpool
Alexander Isak Ax10,1.1 - 1.4,Chelsea v Liverpool
Alexis MacAllister Ax10,0.9 - 1.2,Chelsea v Liverpool
Facundo Buonanotte Ax10,0.9 - 1.2,Chelsea v Liverpool
Malo Gusto Ax10,0.75 - 1,Chelsea v Liverpool
Ryan Gravenberch Ax10,0.6 - 0.8,Chelsea v Liverpool
Curtis Jones Ax10,0.6 - 0.8,Chelsea v Liverpool
Moises Caicedo Ax10,0.5 - 0.7,Chelsea v Liverpool
Jorrel Hato Ax10,0.5 - 0.7,Chelsea v Liverpool
Marc Cucurella Ax10,0.5 - 0.7,Chelsea v Liverpool
Joe Gomez Ax10,0.3 - 0.5,Chelsea v Liverpool
Wataru Endo Ax10,0.3 - 0.5,Chelsea v Liverpool
Marc Guiu Ax10,0.3 - 0.5,Chelsea v Liverpool
Romeo Lavia Ax10,0.2 - 0.4,Chelsea v Liverpool
Josh Acheampong Ax10,0.2 - 0.4,Chelsea v Liverpool
Virgil van Dijk Ax10,0.1 - 0.3,Chelsea v Liverpool
Ibrahima Konate Ax10,0.1 - 0.3,Chelsea v Liverpool
Benoit Badiashile Ax10,0 - 0.2,Chelsea v Liverpool
Wesley Fofana Ax10,0 - 0.2,Chelsea v Liverpool
Dwight McNeil Ax10,2.5 - 2.9,Everton v Crystal Palace
Jack Grealish Ax10,1.8 - 2.2,Everton v Crystal Palace
James Garner Ax10,1.4 - 1.7,Everton v Crystal Palace
Nathan Patterson Ax10,0.9 - 1.2,Everton v Crystal Palace
Tyler Dibling Ax10,1 - 1.3,Everton v Crystal Palace
Carlos Alcaraz Ax10,0.8 - 1.1,Everton v Crystal Palace
Merlin Rohl Ax10,0.75 - 1,Everton v Crystal Palace
Vitaliy Mykolenko Ax10,0.75 - 1,Everton v Crystal Palace
Thierno Barry Ax10,0.7 - 0.9,Everton v Crystal Palace
Beto Ax10,0.7 - 0.9,Everton v Crystal Palace
Iliman Ndiaye Ax10,0.7 - 0.9,Everton v Crystal Palace
Adam Aznou Ax10,0.6 - 0.8,Everton v Crystal Palace
Seamus Coleman Ax10,0.5 - 0.7,Everton v Crystal Palace
Idrissa Gueye Ax10,0.5 - 0.7,Everton v Crystal Palace
James Tarkowski Ax10,0.5 - 0.7,Everton v Crystal Palace
Tim Iroegbunam Ax10,0.4 - 0.6,Everton v Crystal Palace
Michael Keane Ax10,0.3 - 0.5,Everton v Crystal Palace
Jake O'Brien Ax10,0.1 - 0.3,Everton v Crystal Palace
Borna Sosa Ax10,1.7 - 2.1,Everton v Crystal Palace
Christantus Uche Ax10,1.2 - 1.5,Everton v Crystal Palace
Ismaila Sarr Ax10,1.1 - 1.4,Everton v Crystal Palace
Adam Wharton Ax10,1 - 1.3,Everton v Crystal Palace
Daniel Munoz Ax10,1 - 1.3,Everton v Crystal Palace
Will Hughes Ax10,0.9 - 1.2,Everton v Crystal Palace
Justin Devenny Ax10,0.9 - 1.2,Everton v Crystal Palace
Yeremy Pino Ax10,0.8 - 1.1,Everton v Crystal Palace
Tyrick Mitchell Ax10,0.8 - 1.1,Everton v Crystal Palace
Daichi Kamada Ax10,0.7 - 0.9,Everton v Crystal Palace
Jean-Philippe Mateta Ax10,0.7 - 0.9,Everton v Crystal Palace
Romaine Esse Ax10,0.6 - 0.8,Everton v Crystal Palace
Eddie Nketiah Ax10,0.6 - 0.8,Everton v Crystal Palace
Jaydee Canvot Ax10,0.3 - 0.5,Everton v Crystal Palace
Nathaniel Clyne Ax10,0.2 - 0.4,Everton v Crystal Palace
Jefferson Lerma Ax10,0.2 - 0.4,Everton v Crystal Palace
Marc Guehi Ax10,0.1 - 0.3,Everton v Crystal Palace
Maxence Lacroix Ax10,0 - 0.2,Everton v Crystal Palace
Chris Richards Ax10,0 - 0.2,Everton v Crystal Palace
Jeremy Doku Ax10,2.8 - 3.3,Brentford v Man City
Savinho Ax10,2.7 - 3.2,Brentford v Man City
Phil Foden Ax10,2.3 - 2.7,Brentford v Man City
Bernardo Silva Ax10,1.8 - 2.2,Brentford v Man City
Mikkel Damsgaard Ax10,1.4 - 1.7,Brentford v Man City
Matheus Nunes Ax10,1.4 - 1.7,Brentford v Man City
Oscar Bobb Ax10,1.4 - 1.7,Brentford v Man City
Tijjani Reijnders Ax10,1.4 - 1.7,Brentford v Man City
Erling Haaland Ax10,1.2 - 1.5,Brentford v Man City
Mathias Jensen Ax10,1.1 - 1.4,Brentford v Man City
Dango Ouattara Ax10,0.9 - 1.2,Brentford v Man City
Kevin Schade Ax10,0.9 - 1.2,Brentford v Man City
Michael Kayode Ax10,0.8 - 1.1,Brentford v Man City
Nico O'Reilly Ax10,0.8 - 1.1,Brentford v Man City
Igor Thiago Ax10,0.8 - 1.1,Brentford v Man City
Reiss Nelson Ax10,0.8 - 1.1,Brentford v Man City
Rico Lewis Ax10,0.8 - 1.1,Brentford v Man City
Jordan Henderson Ax10,0.7 - 0.9,Brentford v Man City
Mateo Kovacic Ax10,0.7 - 0.9,Brentford v Man City
Keane Lewis-Potter Ax10,0.6 - 0.8,Brentford v Man City
Rodri Ax10,0.6 - 0.8,Brentford v Man City
John Stones Ax10,0.6 - 0.8,Brentford v Man City
Josko Gvardiol Ax10,0.5 - 0.7,Brentford v Man City
Frank Onyeka Ax10,0.5 - 0.7,Brentford v Man City
Rico Henry Ax10,0.5 - 0.7,Brentford v Man City
Nico Gonzalez Ax10,0.5 - 0.7,Brentford v Man City
Antoni Milambo Ax10,0.5 - 0.7,Brentford v Man City
Vitaly Janelt Ax10,0.4 - 0.6,Brentford v Man City
Kristoffer Ajer Ax10,0.3 - 0.5,Brentford v Man City
Aaron Hickey Ax10,0.3 - 0.5,Brentford v Man City
Yehor Yarmolyuk Ax10,0.2 - 0.4,Brentford v Man City
Nathan Ake Ax10,0.2 - 0.4,Brentford v Man City
