AM_namesX10,AM_oddsX10,contest
Rayan Ait-Nouri Ax10,2 - 2.4,Man City v Tottenham
Jeremy Doku Ax10,2.8 - 3.3,Man City v Tottenham
Bernardo Silva Ax10,1.4 - 1.7,Man City v Tottenham
Oscar Bobb Ax10,2.4 - 2.8,Man City v Tottenham
Tijani Reijnders Ax10,1.1 - 1.4,Man City v Tottenham
Erling Haaland Ax10,1 - 1.3,Man City v Tottenham
Rico Lewis Ax10,1 - 1.3,Man City v Tottenham
Mohammed Kudus Ax10,1.2 - 1.5,Man City v Tottenham
Nico Gonzalez Ax10,0.3 - 0.5,Man City v Tottenham
Richarlison Ax10,0.4 - 0.6,Man City v Tottenham
Pedro Porro Ax10,1.2 - 1.5,Man City v Tottenham
Djed Spence Ax10,0.7 - 0.9,Man City v Tottenham
Lucas Bergvall Ax10,0.3 - 0.5,Man City v Tottenham
Pape Sarr Ax10,0.5 - 0.7,Man City v Tottenham
Cristian Romero Ax10,0.1 - 0.3,Man City v Tottenham
Joao Palhinha Ax10,0.1 - 0.3,Man City v Tottenham
Kevin Danso Ax10,0 - 0.2,Man City v Tottenham
Micky van de Ven Ax10,0.1 - 0.3,Man City v Tottenham
Marcus Tavernier Ax10,2.1 - 2.5,Bournemouth v Wolves
Evanilson Ax10,2.1 - 2.5,Bournemouth v Wolves
David Brooks Ax10,2.2 - 2.6,Bournemouth v Wolves
Antoine Semenyo Ax10,1.8 - 2.2,Bournemouth v Wolves
Adrien Truffert Ax10,1.8 - 2.2,Bournemouth v Wolves
Alex Scott Ax10,1.6 - 1.9,Bournemouth v Wolves
Marcos Senesi Ax10,1.4 - 1.7,Bournemouth v Wolves
Jorgen Strand Larsen Ax10,1.3 - 1.6,Bournemouth v Wolves
Adam Smith Ax10,1.2 - 1.5,Bournemouth v Wolves
Tyler Adams Ax10,1.2 - 1.5,Bournemouth v Wolves
Jean-Ricner Bellegarde Ax10,1.1 - 1.4,Bournemouth v Wolves
Ki-Jana Hoever Ax10,1 - 1.3,Bournemouth v Wolves
Joao Gomes Ax10,0.9 - 1.2,Bournemouth v Wolves
Matt Doherty Ax10,0.75 - 1,Bournemouth v Wolves
Marshall Munetsi Ax10,0.9 - 1.2,Bournemouth v Wolves
David Moller Wolfe Ax10,0.6 - 0.8,Bournemouth v Wolves
Toti Gomes Ax10,0.5 - 0.7,Bournemouth v Wolves
Emmanuel Agbadou Ax10,0.3 - 0.5,Bournemouth v Wolves
Ollie Watkins Ax10,1.7 - 2.1,Brentford v Aston Villa
John McGinn Ax10,1.7 - 2.1,Brentford v Aston Villa
Youri Tielemans Ax10,1.7 - 2.1,Brentford v Aston Villa
Morgan Rogers Ax10,1.6 - 2,Brentford v Aston Villa
Mikkel Damsgaard Ax10,1.6 - 1.9,Brentford v Aston Villa
Mathias Jensen Ax10,1.4 - 1.7,Brentford v Aston Villa
Lucas Digne Ax10,1.6 - 1.9,Brentford v Aston Villa
Kevin Schade Ax10,1.2 - 1.5,Brentford v Aston Villa
Amadou Onana Ax10,1.3 - 1.6,Brentford v Aston Villa
Boubacar Kamara Ax10,1.2 - 1.5,Brentford v Aston Villa
Tyrone Mings Ax10,1.1 - 1.4,Brentford v Aston Villa
Igor Thiago Ax10,0.75 - 1,Brentford v Aston Villa
Matty Cash Ax10,0.7 - 0.9,Brentford v Aston Villa
Pau Torres Ax10,0.7 - 0.9,Brentford v Aston Villa
Sepp van den Berg Ax10,0.5 - 0.7,Brentford v Aston Villa
Rico Henry Ax10,0.5 - 0.7,Brentford v Aston Villa
Nathan Collins  Ax10,0.5 - 0.7,Brentford v Aston Villa
Josh Cullen Ax10,1.6 - 1.9,Burnley v Sunderland
Habib Diarra Ax10,1.1 - 1.4,Burnley v Sunderland
Eliezer Mayenda Ax10,1.2 - 1.5,Burnley v Sunderland
Marcus Edwards Ax10,1 - 1.3,Burnley v Sunderland
Jaidon Anthony Ax10,1 - 1.3,Burnley v Sunderland
Lyle Foster Ax10,1 - 1.3,Burnley v Sunderland
Quilindschy Hartman Ax10,1.2 - 1.5,Burnley v Sunderland
Simon Adingra Ax10,1 - 1.3,Burnley v Sunderland
Chemsdine Talbi Ax10,1 - 1.3,Burnley v Sunderland
Lesley Ugochukwu Ax10,1 - 1.3,Burnley v Sunderland
Trai Hume Ax10,0.9 - 1.2,Burnley v Sunderland
Hannibal Mejbri Ax10,1 - 1.3,Burnley v Sunderland
Granit Xhaka Ax10,0.9 - 1.2,Burnley v Sunderland
Hjalmar Ekdal Ax10,0.75 - 1,Burnley v Sunderland
Kyle Walker Ax10,0.6 - 0.8,Burnley v Sunderland
Reinildo Mandava Ax10,0.6 - 0.8,Burnley v Sunderland
Daniel Ballard Ax10,0.5 - 0.7,Burnley v Sunderland
Maxime Esteve Ax10,0.5 - 0.7,Burnley v Sunderland
Noah Sadiki Ax10,0.3 - 0.5,Burnley v Sunderland
Bukayo Saka Ax10,3.3 - 3.8,Arsenal v Leeds
Martin Odegaard Ax10,2.5 - 2.9,Arsenal v Leeds
Declan Rice Ax10,2.1 - 2.5,Arsenal v Leeds
Gabriel Martinelli Ax10,1.8 - 2.2,Arsenal v Leeds
Viktor Gyokeres Ax10,1.4 - 1.7,Arsenal v Leeds
Daniel James Ax10,0.9 - 1.2,Arsenal v Leeds
Martin Zubimendi Ax10,0.9 - 1.2,Arsenal v Leeds
Anton Stach Ax10,0.75 - 1,Arsenal v Leeds
Riccardo Calafiori Ax10,0.7 - 0.9,Arsenal v Leeds
Ben White Ax10,0.7 - 0.9,Arsenal v Leeds
Wilfried Gnonto Ax10,0.5 - 0.7,Arsenal v Leeds
Joel Piroe Ax10,0.4 - 0.6,Arsenal v Leeds
Jayden Bogle Ax10,0.4 - 0.6,Arsenal v Leeds
Ao Tanaka Ax10,0.3 - 0.5,Arsenal v Leeds
Gabriel Gudmondsson Ax10,0.3 - 0.5,Arsenal v Leeds
Sean Longstaff Ax10,0.1 - 0.3,Arsenal v Leeds
Pascal Struijk Ax10,0 - 0.2,Arsenal v Leeds
Noni Madueke Ax10,1.4 - 1.7,Arsenal v Leeds
Leandro Trossard Ax10,1.2 - 1.5,Arsenal v Leeds
Ethan Nwaneri Ax10,1 - 1.3,Arsenal v Leeds
Mikel Merino Ax10,0.9 - 1.2,Arsenal v Leeds
Dominic Calvert-Lewin Ax10,0.6 - 0.8,Arsenal v Leeds
Christian Norgaard Ax10,0.6 - 0.8,Arsenal v Leeds
Largie Ramazani Ax10,0.6 - 0.8,Arsenal v Leeds
Brenden Aaronson Ax10,0.6 - 0.8,Arsenal v Leeds
Ilia Gruev Ax10,0.5 - 0.7,Arsenal v Leeds
Jurrien Timber Ax10,0.4 - 0.6,Arsenal v Leeds
Lukas Nmecha Ax10,0.3 - 0.5,Arsenal v Leeds
Ethan Ampadu Ax10,0.1 - 0.3,Arsenal v Leeds
Myles Lewis-Skelly Ax10,0.1 - 0.3,Arsenal v Leeds
William Saliba Ax10,0.1 - 0.3,Arsenal v Leeds
Gabriel Ax10,0.1 - 0.3,Arsenal v Leeds
Sam Byram Ax10,0.1 - 0.3,Arsenal v Leeds
Cristhian Mosquera Ax10,0.1 - 0.3,Arsenal v Leeds
Joe Rodon Ax10,0 - 0.2,Arsenal v Leeds
Sebastiaan Bornauw Ax10,0 - 0.2,Arsenal v Leeds
Ismaila Sarr Ax10,1.7 - 2.1,Crystal Palace v Nottingham Forest
Morgan Gibbs-White Ax10,1.6 - 2,Crystal Palace v Nottingham Forest
Elliot Anderson Ax10,1.1 - 1.4,Crystal Palace v Nottingham Forest
Daniel Munoz Ax10,1.1 - 1.4,Crystal Palace v Nottingham Forest
Dan Ndoye Ax10,1 - 1.3,Crystal Palace v Nottingham Forest
Callum Hudson-Odoi Ax10,1 - 1.3,Crystal Palace v Nottingham Forest
Tyrick Mitchell Ax10,0.9 - 1.2,Crystal Palace v Nottingham Forest
Jean-Philippe Mateta Ax10,0.8 - 1.1,Crystal Palace v Nottingham Forest
Will Hughes Ax10,0.75 - 1,Crystal Palace v Nottingham Forest
Neco Williams Ax10,0.6 - 0.8,Crystal Palace v Nottingham Forest
Chris Wood Ax10,0.6 - 0.8,Crystal Palace v Nottingham Forest
Ibrahim Sangare Ax10,0.6 - 0.8,Crystal Palace v Nottingham Forest
Ola Aina Ax10,0.3 - 0.5,Crystal Palace v Nottingham Forest
Murillo Ax10,0.2 - 0.4,Crystal Palace v Nottingham Forest
Maxence Lacroix Ax10,0.2 - 0.4,Crystal Palace v Nottingham Forest
Nikola Milenkovic Ax10,0.1 - 0.3,Crystal Palace v Nottingham Forest
Chris Richards Ax10,0 - 0.2,Crystal Palace v Nottingham Forest
Adam Wharton Ax10,1.6 - 2,Crystal Palace v Nottingham Forest
Justin Devenny Ax10,0.9 - 1.2,Crystal Palace v Nottingham Forest
Marc Guehi Ax10,0.2 - 0.4,Crystal Palace v Nottingham Forest
Bruno Fernandes Ax10,2.2 - 2.6,Fulham v Man Utd
Joshua King Ax10,1.6 - 2,Fulham v Man Utd
Matheus Cunha Ax10,1.6 - 2,Fulham v Man Utd
Luke Shaw Ax10,1.3 - 1.6,Fulham v Man Utd
Bryan Mbeumo Ax10,1.3 - 1.6,Fulham v Man Utd
Alex Iwobi Ax10,1.2 - 1.5,Fulham v Man Utd
Patrick Dorgu Ax10,1.1 - 1.4,Fulham v Man Utd
Harry Wilson Ax10,1.1 - 1.4,Fulham v Man Utd
Raul Jimenez Ax10,1.1 - 1.4,Fulham v Man Utd
Benjamin Sesko Ax10,0.8 - 1.1,Fulham v Man Utd
Matthijs de Ligt Ax10,1 - 1.3,Fulham v Man Utd
Sander Berge Ax10,0.8 - 1.1,Fulham v Man Utd
Sasa Lukic Ax10,0.75 - 1,Fulham v Man Utd
Kenny Tete Ax10,0.9 - 1.2,Fulham v Man Utd
Jorge Cuenca Ax10,0.7 - 0.9,Fulham v Man Utd
Leny Yoro Ax10,0.7 - 0.9,Fulham v Man Utd
Joachim Andersen Ax10,0.5 - 0.7,Fulham v Man Utd
Calvin Bassey Ax10,0.5 - 0.7,Fulham v Man Utd
Amad Diallo Ax10,1.3 - 1.6,Fulham v Man Utd
Adama Traore Ax10,1.2 - 1.5,Fulham v Man Utd
Andreas Pereira Ax10,1.1 - 1.4,Fulham v Man Utd
Mason Mount Ax10,0.75 - 1,Fulham v Man Utd
Joshua Zirkzee Ax10,0.7 - 0.9,Fulham v Man Utd
Tom Cairney Ax10,0.5 - 0.7,Fulham v Man Utd
Kobbie Mainoo Ax10,0.3 - 0.5,Fulham v Man Utd
Manuel Ugarte Ax10,0.2 - 0.4,Fulham v Man Utd
Rodrigo Muniz Ax10,0.2 - 0.4,Fulham v Man Utd
Emile Smith Rowe Ax10,0.2 - 0.4,Fulham v Man Utd
Harry Maguire Ax10,0.2 - 0.4,Fulham v Man Utd
