AM_namesX10,AM_oddsX10,contest
Bruno Fernandes Ax10,2.5 - 2.9,Brentford v Man Utd
Bryan Mbeumo Ax10,2 - 2.4,Brentford v Man Utd
Mikkel Damsgaard Ax10,1.7 - 2.1,Brentford v Man Utd
Matheus Cunha Ax10,1.5 - 1.9,Brentford v Man Utd
Patrick Dorgu Ax10,1.2 - 1.5,Brentford v Man Utd
Mason Mount Ax10,1.1 - 1.4,Brentford v Man Utd
Kevin Schade Ax10,0.8 - 1.1,Brentford v Man Utd
Keane Lewis-Potter Ax10,0.8 - 1.1,Brentford v Man Utd
Igor Thiago Ax10,0.7 - 0.9,Brentford v Man Utd
Luke Shaw Ax10,0.7 - 0.9,Brentford v Man Utd
Jordan Henderson Ax10,0.7 - 0.9,Brentford v Man Utd
Noussair Mazraoui Ax10,0.6 - 0.8,Brentford v Man Utd
Manuel Ugarte Ax10,0.4 - 0.6,Brentford v Man Utd
Yehor Yarmolyuk Ax10,0.3 - 0.5,Brentford v Man Utd
Harry Maguire Ax10,0.3 - 0.5,Brentford v Man Utd
Sepp van den Berg Ax10,0.2 - 0.4,Brentford v Man Utd
Nathan Collins Ax10,0.2 - 0.4,Brentford v Man Utd
Matthijs de Ligt Ax10,0.2 - 0.4,Brentford v Man Utd
Ethan Pinnock Ax10,0.2 - 0.4,Brentford v Man Utd
Amad Diallo Ax10,1.7 - 2.1,Brentford v Man Utd
Mathias Jensen Ax10,1.4 - 1.7,Brentford v Man Utd
Dango Ouattara Ax10,1.3 - 1.6,Brentford v Man Utd
Reiss Nelson Ax10,1 - 1.3,Brentford v Man Utd
Diogo Dalot Ax10,0.9 - 1.2,Brentford v Man Utd
Michael Kayode Ax10,0.9 - 1.2,Brentford v Man Utd
Fabio Carvalho Ax10,0.75 - 1,Brentford v Man Utd
Joshua Zirkzee Ax10,0.75 - 1,Brentford v Man Utd
Benjamin Sesko Ax10,0.75 - 1,Brentford v Man Utd
Rico Henry Ax10,0.6 - 0.8,Brentford v Man Utd
Kobbie Mainoo Ax10,0.6 - 0.8,Brentford v Man Utd
Aaron Hickey Ax10,0.5 - 0.7,Brentford v Man Utd
Frank Onyeka Ax10,0.5 - 0.7,Brentford v Man Utd
Vitaly Janelt Ax10,0.5 - 0.7,Brentford v Man Utd
Antoni Milambo Ax10,0.4 - 0.6,Brentford v Man Utd
Leny Yoro Ax10,0.2 - 0.4,Brentford v Man Utd
Kristoffer Ajer Ax10,0.2 - 0.4,Brentford v Man Utd
Ayden Heaven Ax10,0.1 - 0.3,Brentford v Man Utd
Marc Cucurella Ax10,0.8 - 1.1,Chelsea v Brighton
