AM_namesX10,AM_oddsX10,contest
Morgan Rogers Ax10,2.2 - 2.6,Aston Villa v Nottingham Forest
Lucas Digne Ax10,1.6 - 2,Aston Villa v Nottingham Forest
Youri Tielemans Ax10,1.6 - 2,Aston Villa v Nottingham Forest
Ollie Watkins Ax10,1.6 - 1.9,Aston Villa v Nottingham Forest
John McGinn Ax10,1.4 - 1.7,Aston Villa v Nottingham Forest
Morgan Gibbs-White Ax10,1.2 - 1.5,Aston Villa v Nottingham Forest
Omari Hutchinson Ax10,1.1 - 1.4,Aston Villa v Nottingham Forest
Matty Cash Ax10,1.1 - 1.4,Aston Villa v Nottingham Forest
Callum Hudson-Odoi Ax10,1.1 - 1.4,Aston Villa v Nottingham Forest
Elliot Anderson Ax10,1 - 1.3,Aston Villa v Nottingham Forest
Nicolas Dominguez Ax10,0.75 - 1,Aston Villa v Nottingham Forest
Igor Jesus Ax10,0.7 - 0.9,Aston Villa v Nottingham Forest
Boubacar Kamara Ax10,0.7 - 0.9,Aston Villa v Nottingham Forest
Oleksandr Zinchenko Ax10,0.6 - 0.8,Aston Villa v Nottingham Forest
Neco Williams Ax10,0.3 - 0.5,Aston Villa v Nottingham Forest
Matheus Cunha Ax10,2.4 - 2.8,Leeds v Man Utd
Brenden Aaronson Ax10,1.9 - 2.3,Leeds v Man Utd
Anton Stach Ax10,1.8 - 2.2,Leeds v Man Utd
Benjamin Sesko Ax10,1.6 - 1.9,Leeds v Man Utd
Joshua Zirkzee Ax10,1.4 - 1.7,Leeds v Man Utd
Patrick Dorgu Ax10,1.4 - 1.7,Leeds v Man Utd
Lukas Nmecha Ax10,1.1 - 1.4,Leeds v Man Utd
Diogo Dalot Ax10,1.1 - 1.4,Leeds v Man Utd
Manuel Ugarte Ax10,0.9 - 1.2,Leeds v Man Utd
Luke Shaw Ax10,0.9 - 1.2,Leeds v Man Utd
Casemiro Ax10,0.9 - 1.2,Leeds v Man Utd
Ilia Gruev Ax10,0.75 - 1,Leeds v Man Utd
Gabriel Gudmondsson Ax10,0.75 - 1,Leeds v Man Utd
Lisandro Martinez Ax10,0.5 - 0.7,Leeds v Man Utd
Wilfried Gnonto Ax10,1.9 - 2.3,Leeds v Man Utd
Jack Harrison Ax10,1.8 - 2.2,Leeds v Man Utd
Noah Okafor Ax10,1.6 - 2,Leeds v Man Utd
Ao Tanaka Ax10,1.6 - 2,Leeds v Man Utd
Dominic Calvert-Lewin Ax10,1.2 - 1.5,Leeds v Man Utd
Mason Mount Ax10,1.4 - 1.7,Leeds v Man Utd
Kobbie Mainoo Ax10,1 - 1.3,Leeds v Man Utd
Joel Piroe Ax10,0.9 - 1.2,Leeds v Man Utd
Jayden Bogle Ax10,0.75 - 1,Leeds v Man Utd
James Justin Ax10,0.75 - 1,Leeds v Man Utd
Jack Fletcher Ax10,0.75 - 1,Leeds v Man Utd
Matthijs de Ligt Ax10,0.7 - 0.9,Leeds v Man Utd
Tyrell Malacia Ax10,0.7 - 0.9,Leeds v Man Utd
Jaka Bijol Ax10,0.6 - 0.8,Leeds v Man Utd
Ayden Heaven Ax10,0.6 - 0.8,Leeds v Man Utd
Pascal Struijk Ax10,0.5 - 0.7,Leeds v Man Utd
Sebastiaan Bornauw Ax10,0.5 - 0.7,Leeds v Man Utd
Leny Yoro Ax10,0.5 - 0.7,Leeds v Man Utd
