AM_namesX10,AM_oddsX10,contest
Joao Pedro Ax10,1.8 - 2.2,Chelsea v Sunderland
Enzo Fernandez Ax10,1.7 - 2.1,Chelsea v Sunderland
Pedro Neto Ax10,3.2 - 3.7,Chelsea v Sunderland
Alejandro Garnacho Ax10,2.4 - 2.8,Chelsea v Sunderland
Marc Guiu Ax10,0.4 - 0.6,Chelsea v Sunderland
Andrey Santos Ax10,1.8 - 2.2,Chelsea v Sunderland
Reece James Ax10,1.7 - 2.1,Chelsea v Sunderland
Marc Cucurella Ax10,0.7 - 0.9,Chelsea v Sunderland
Moises Caicedo Ax10,0.75 - 1,Chelsea v Sunderland
Wilson Isidor Ax10,0.1 - 0.3,Chelsea v Sunderland
Bertrand Traore Ax10,0.4 - 0.6,Chelsea v Sunderland
Granit Xhaka Ax10,0.2 - 0.4,Chelsea v Sunderland
Chris Rigg Ax10,0.3 - 0.5,Chelsea v Sunderland
Enzo Le Fee Ax10,0.5 - 0.7,Chelsea v Sunderland
Noah Sadiki Ax10,0.3 - 0.5,Chelsea v Sunderland
Reinildo Mandava Ax10,0.2 - 0.4,Chelsea v Sunderland
Nordi Mukiele Ax10,0.3 - 0.5,Chelsea v Sunderland
Trai Hume Ax10,0.6 - 0.8,Chelsea v Sunderland
Daniel Ballard Ax10,0 - 0.2,Chelsea v Sunderland
Facundo Buonanotte Ax10,1.3 - 1.6,Chelsea v Sunderland
Tosin Adarabioyo Ax10,0.1 - 0.3,Chelsea v Sunderland
Jamie Gittens Ax10,1.6 - 2,Chelsea v Sunderland
Trevoh Chalobah Ax10,0.2 - 0.4,Chelsea v Sunderland
Josh Acheampong Ax10,0.2 - 0.4,Chelsea v Sunderland
Tyrique George Ax10,2.1 - 2.5,Chelsea v Sunderland
Estevao Ax10,2.3 - 2.7,Chelsea v Sunderland
Jorrel Hato Ax10,0.7 - 0.9,Chelsea v Sunderland
Romeo Lavia Ax10,0.3 - 0.5,Chelsea v Sunderland
Eliezer Mayenda Ax10,0.6 - 0.8,Chelsea v Sunderland
Chemsdine Talbi Ax10,0.3 - 0.5,Chelsea v Sunderland
Simon Adingra Ax10,0.6 - 0.8,Chelsea v Sunderland
Omar Alderete Ax10,0 - 0.2,Chelsea v Sunderland
Arthur Masuaku Ax10,0.2 - 0.4,Chelsea v Sunderland
Lutsharel Geertruida Ax10,0.1 - 0.3,Chelsea v Sunderland
Brian Brobbey Ax10,0.4 - 0.6,Chelsea v Sunderland
Dan Neil Ax10,0.1 - 0.3,Chelsea v Sunderland
Anthony Elanga Ax10,3.1 - 3.6,Newcastle v Fulham
Nick Woltemade Ax10,2.8 - 3.3,Newcastle v Fulham
Anthony Gordon Ax10,2.8 - 3.3,Newcastle v Fulham
Raul Jimenez Ax10,1.2 - 1.5,Newcastle v Fulham
Bruno Guimaraes Ax10,1.4 - 1.7,Newcastle v Fulham
Joelinton Ax10,1.3 - 1.6,Newcastle v Fulham
Alex Iwobi Ax10,1.1 - 1.4,Newcastle v Fulham
Sandro Tonali Ax10,1.2 - 1.5,Newcastle v Fulham
Kieran Trippier Ax10,0.9 - 1.2,Newcastle v Fulham
Joshua King Ax10,0.7 - 0.9,Newcastle v Fulham
Ryan Sessegnon Ax10,0.75 - 1,Newcastle v Fulham
Malick Thiaw Ax10,0.75 - 1,Newcastle v Fulham
Sander Berge Ax10,0.5 - 0.7,Newcastle v Fulham
Calvin Bassey Ax10,0.3 - 0.5,Newcastle v Fulham
Kenny Tete Ax10,0.3 - 0.5,Newcastle v Fulham
Jorge Cuenca Ax10,0.2 - 0.4,Newcastle v Fulham
Bruno Fernandes Ax10,3.3 - 3.8,Man Utd v Brighton
Matheus Cunha Ax10,1.9 - 2.3,Man Utd v Brighton
Bryan Mbeumo Ax10,2.8 - 3.3,Man Utd v Brighton
Danny Welbeck Ax10,0.7 - 0.9,Man Utd v Brighton
Georginio Rutter Ax10,1.7 - 2.1,Man Utd v Brighton
Amad Diallo Ax10,1.9 - 2.3,Man Utd v Brighton
Luke Shaw Ax10,0.6 - 0.8,Man Utd v Brighton
Yankuba Minteh Ax10,2.1 - 2.5,Man Utd v Brighton
Casemiro Ax10,0.75 - 1,Man Utd v Brighton
Diogo Dalot Ax10,1.4 - 1.7,Man Utd v Brighton
Manuel Ugarte Ax10,0.6 - 0.8,Man Utd v Brighton
Mason Mount Ax10,1.4 - 1.7,Man Utd v Brighton
Diego Gomez Ax10,1.2 - 1.5,Man Utd v Brighton
Harry Maguire Ax10,1 - 1.3,Man Utd v Brighton
Matthijs de Ligt Ax10,0.3 - 0.5,Man Utd v Brighton
Maxime De Cuyper Ax10,1 - 1.3,Man Utd v Brighton
Mats Wieffer Ax10,0.9 - 1.2,Man Utd v Brighton
Carlos Baleba Ax10,0.1 - 0.3,Man Utd v Brighton
Ferdi Kadioglu Ax10,1 - 1.3,Man Utd v Brighton
Benjamin Sesko Ax10,0.9 - 1.2,Man Utd v Brighton
Patrick Dorgu Ax10,1.6 - 2,Man Utd v Brighton
Kaoru Mitoma Ax10,1.4 - 1.7,Man Utd v Brighton
Kobbie Mainoo Ax10,0.9 - 1.2,Man Utd v Brighton
Yasin Ayari Ax10,0.8 - 1.1,Man Utd v Brighton
Jan Paul van Hecke Ax10,0.3 - 0.5,Man Utd v Brighton
Lewis Dunk Ax10,0.1 - 0.3,Man Utd v Brighton
Mohamed Salah Ax10,1.9 - 2.3,Brentford v Liverpool
Cody Gakpo Ax10,1.6 - 2,Brentford v Liverpool
Dominik Szoboszlai Ax10,1.6 - 2,Brentford v Liverpool
Mikkel Damsgaard Ax10,1.2 - 1.5,Brentford v Liverpool
Hugo Ekitike Ax10,1.1 - 1.4,Brentford v Liverpool
Dango Ouattara Ax10,0.9 - 1.2,Brentford v Liverpool
Alexis MacAllister Ax10,0.9 - 1.2,Brentford v Liverpool
Conor Bradley Ax10,0.8 - 1.1,Brentford v Liverpool
Kristoffer Ajer Ax10,0.75 - 1,Brentford v Liverpool
Kevin Schade Ax10,0.75 - 1,Brentford v Liverpool
Jordan Henderson Ax10,0.7 - 0.9,Brentford v Liverpool
Milos Kerkez Ax10,0.7 - 0.9,Brentford v Liverpool
Igor Thiago Ax10,0.7 - 0.9,Brentford v Liverpool
Curtis Jones Ax10,0.6 - 0.8,Brentford v Liverpool
Ryan Gravenberch Ax10,0.5 - 0.7,Brentford v Liverpool
Keane Lewis-Potter Ax10,0.5 - 0.7,Brentford v Liverpool
Nathan Collins Ax10,0.3 - 0.5,Brentford v Liverpool
Yehor Yarmolyuk Ax10,0.1 - 0.3,Brentford v Liverpool
Sepp van den Berg Ax10,0.1 - 0.3,Brentford v Liverpool
Florian Wirtz Ax10,1.8 - 2.2,Brentford v Liverpool
Andrew Robertson Ax10,1.4 - 1.7,Brentford v Liverpool
Federico Chiesa Ax10,1.3 - 1.6,Brentford v Liverpool
Mathias Jensen Ax10,1 - 1.3,Brentford v Liverpool
Alexander Isak Ax10,0.8 - 1.1,Brentford v Liverpool
Michael Kayode Ax10,0.75 - 1,Brentford v Liverpool
Frank Onyeka Ax10,0.5 - 0.7,Brentford v Liverpool
Rico Henry Ax10,0.3 - 0.5,Brentford v Liverpool
Aaron Hickey Ax10,0.2 - 0.4,Brentford v Liverpool
