AM_namesX10,AM_oddsX10,contest
Anthony Gordon Ax10,3.2 - 3.7,Burnley v Newcastle
Harvey Barnes Ax10,2.7 - 3.2,Burnley v Newcastle
Yoane Wissa Ax10,2.7 - 3.2,Burnley v Newcastle
Sandro Tonali Ax10,2.1 - 2.5,Burnley v Newcastle
Joelinton Ax10,1.6 - 1.9,Burnley v Newcastle
Bruno Guimaraes Ax10,1.2 - 1.5,Burnley v Newcastle
Lewis Miley Ax10,1.1 - 1.4,Burnley v Newcastle
Lewis Hall Ax10,1.4 - 1.7,Burnley v Newcastle
Lucas Pires Ax10,0.3 - 0.5,Burnley v Newcastle
Lesley Ugochukwu Ax10,0.5 - 0.7,Burnley v Newcastle
Josh Laurent Ax10,0.5 - 0.7,Burnley v Newcastle
Cole Palmer Ax10,3.4 - 3.9,Chelsea v Bournemouth
Alejandro Garnacho Ax10,2.6 - 3.1,Chelsea v Bournemouth
Enzo Fernandez Ax10,1.7 - 2.1,Chelsea v Bournemouth
Antoine Semenyo Ax10,1.2 - 1.5,Chelsea v Bournemouth
Marcus Tavernier Ax10,1.2 - 1.5,Chelsea v Bournemouth
Adrien Truffert Ax10,0.8 - 1.1,Chelsea v Bournemouth
Moises Caicedo Ax10,0.75 - 1,Chelsea v Bournemouth
Estevao Ax10,2.8 - 3.3,Chelsea v Bournemouth
Malo Gusto Ax10,2 - 2.4,Chelsea v Bournemouth
Morgan Gibbs-White Ax10,2.2 - 2.6,Nottingham Forest v Everton
Elliot Anderson Ax10,1.6 - 2,Nottingham Forest v Everton
Omari Hutchinson Ax10,1.6 - 1.9,Nottingham Forest v Everton
Callum Hudson-Odoi Ax10,1.4 - 1.7,Nottingham Forest v Everton
Dwight McNeil Ax10,1 - 1.3,Nottingham Forest v Everton
Thierno Barry Ax10,1 - 1.3,Nottingham Forest v Everton
Oleksandr Zinchenko Ax10,1 - 1.3,Nottingham Forest v Everton
Igor Jesus Ax10,0.9 - 1.2,Nottingham Forest v Everton
Tim Iroegbunam Ax10,0.75 - 1,Nottingham Forest v Everton
Nicolas Dominguez Ax10,0.75 - 1,Nottingham Forest v Everton
Neco Williams Ax10,0.7 - 0.9,Nottingham Forest v Everton
James Garner Ax10,0.3 - 0.5,Nottingham Forest v Everton
James Tarkowski Ax10,0.2 - 0.4,Nottingham Forest v Everton
Vitaliy Mykolenko Ax10,0.2 - 0.4,Nottingham Forest v Everton
Bukayo Saka Ax10,3.2 - 3.7,Arsenal v Aston Villa
Declan Rice Ax10,2.2 - 2.6,Arsenal v Aston Villa
Martin Odegaard Ax10,2.1 - 2.5,Arsenal v Aston Villa
Leandro Trossard Ax10,1.6 - 2,Arsenal v Aston Villa
Mikel Merino Ax10,1.2 - 1.5,Arsenal v Aston Villa
Morgan Rogers Ax10,0.8 - 1.1,Arsenal v Aston Villa
Youri Tielemans Ax10,0.75 - 1,Arsenal v Aston Villa
Viktor Gyokeres Ax10,0.7 - 0.9,Arsenal v Aston Villa
John McGinn Ax10,0.6 - 0.8,Arsenal v Aston Villa
Martin Zubimendi Ax10,0.6 - 0.8,Arsenal v Aston Villa
Myles Lewis-Skelly Ax10,0.5 - 0.7,Arsenal v Aston Villa
Donyell Malen Ax10,0.5 - 0.7,Arsenal v Aston Villa
Jurrien Timber Ax10,0.5 - 0.7,Arsenal v Aston Villa
Ian Maatsen Ax10,0.5 - 0.7,Arsenal v Aston Villa
Ollie Watkins Ax10,0.4 - 0.6,Arsenal v Aston Villa
Piero Hincapie Ax10,0.4 - 0.6,Arsenal v Aston Villa
Andres Garcia Ax10,0.3 - 0.5,Arsenal v Aston Villa
Lamare Bogarde Ax10,0.2 - 0.4,Arsenal v Aston Villa
Gabriel Martinelli Ax10,1.3 - 1.6,Arsenal v Aston Villa
Eberechi Eze Ax10,1.3 - 1.6,Arsenal v Aston Villa
Noni Madueke Ax10,1.2 - 1.5,Arsenal v Aston Villa
Gabriel Jesus Ax10,0.9 - 1.2,Arsenal v Aston Villa
Jadon Sancho Ax10,0.7 - 0.9,Arsenal v Aston Villa
Emiliano Buendia Ax10,0.6 - 0.8,Arsenal v Aston Villa
Riccardo Calafiori Ax10,0.6 - 0.8,Arsenal v Aston Villa
Lucas Digne Ax10,0.4 - 0.6,Arsenal v Aston Villa
Gabriel Magalhaes Ax10,0.2 - 0.4,Arsenal v Aston Villa
William Saliba Ax10,0.1 - 0.3,Arsenal v Aston Villa
Ezri Konsa Ax10,0.1 - 0.3,Arsenal v Aston Villa
Victor Lindelof Ax10,0.1 - 0.3,Arsenal v Aston Villa
Amadou Onana Ax10,0.1 - 0.3,Arsenal v Aston Villa
Mikkel Damsgaard Ax10,1.9 - 2.3,Brentford v Tottenham
Mathias Jensen Ax10,1.8 - 2.2,Brentford v Tottenham
Michael Kayode Ax10,1.3 - 1.6,Brentford v Tottenham
Kevin Schade Ax10,1.2 - 1.5,Brentford v Tottenham
Reiss Nelson Ax10,1.2 - 1.5,Brentford v Tottenham
Keane Lewis-Potter Ax10,1.1 - 1.4,Brentford v Tottenham
Jordan Henderson Ax10,0.9 - 1.2,Brentford v Tottenham
Vitaly Janelt Ax10,0.75 - 1,Brentford v Tottenham
Igor Thiago Ax10,0.75 - 1,Brentford v Tottenham
Rico Henry Ax10,0.6 - 0.8,Brentford v Tottenham
Aaron Hickey Ax10,0.5 - 0.7,Brentford v Tottenham
Kristoffer Ajer Ax10,0.3 - 0.5,Brentford v Tottenham
Yehor Yarmolyuk Ax10,0.1 - 0.3,Brentford v Tottenham
Nathan Collins Ax10,0.1 - 0.3,Brentford v Tottenham
Sepp van den Berg Ax10,0.1 - 0.3,Brentford v Tottenham
Ethan Pinnock Ax10,0.1 - 0.3,Brentford v Tottenham
Mohammed Kudus Ax10,2.2 - 2.6,Brentford v Tottenham
Pedro Porro Ax10,1.6 - 2,Brentford v Tottenham
Wilson Odobert Ax10,1.3 - 1.6,Brentford v Tottenham
Randal Kolo Muani Ax10,1.1 - 1.4,Brentford v Tottenham
Brennan Johnson Ax10,1 - 1.3,Brentford v Tottenham
Mathys Tel Ax10,0.75 - 1,Brentford v Tottenham
Richarlison Ax10,0.6 - 0.8,Brentford v Tottenham
Djed Spence Ax10,0.5 - 0.7,Brentford v Tottenham
Dane Scarlett Ax10,0.4 - 0.6,Brentford v Tottenham
Lucas Bergvall Ax10,0.4 - 0.6,Brentford v Tottenham
Cristian Romero Ax10,0.3 - 0.5,Brentford v Tottenham
