AM_namesX10,AM_oddsX10,contest
Cole Palmer Ax10,2.7 - 3.2,West Ham v Chelsea
Pedro Neto Ax10,2.3 - 2.7,West Ham v Chelsea
Estevao Ax10,2.2 - 2.6,West Ham v Chelsea
Joao Pedro Ax10,1.8 - 2.2,West Ham v Chelsea
Jarrod Bowen Ax10,1.6 - 2,West Ham v Chelsea
Enzo Fernandez Ax10,1.4 - 1.7,West Ham v Chelsea
Jamie Gittens Ax10,1.4 - 1.7,West Ham v Chelsea
Lucas Paqueta Ax10,1.2 - 1.5,West Ham v Chelsea
Jorrel Hato Ax10,1.2 - 1.5,West Ham v Chelsea
Niclas Fullkrug Ax10,1 - 1.3,West Ham v Chelsea
Marc Cucurella Ax10,1 - 1.3,West Ham v Chelsea
Reece James Ax10,1 - 1.3,West Ham v Chelsea
Josh Acheampong Ax10,1 - 1.3,West Ham v Chelsea
Malo Gusto Ax10,1 - 1.3,West Ham v Chelsea
El Hadji Malick Diouf Ax10,0.9 - 1.2,West Ham v Chelsea
James Ward-Prowse Ax10,0.9 - 1.2,West Ham v Chelsea
Liam Delap Ax10,0.9 - 1.2,West Ham v Chelsea
Aaron Wan-Bissaka Ax10,0.7 - 0.9,West Ham v Chelsea
Luis Guilherme Ax10,0.7 - 0.9,West Ham v Chelsea
Kyle Walker-Peters Ax10,0.7 - 0.9,West Ham v Chelsea
Moises Caicedo Ax10,0.7 - 0.9,West Ham v Chelsea
Andrey Santos Ax10,0.7 - 0.9,West Ham v Chelsea
Callum Wilson Ax10,0.6 - 0.8,West Ham v Chelsea
Andy Irving Ax10,0.6 - 0.8,West Ham v Chelsea
Tomas Soucek Ax10,0.5 - 0.7,West Ham v Chelsea
Guido Rodriguez Ax10,0.5 - 0.7,West Ham v Chelsea
Oliver Scarles Ax10,0.5 - 0.7,West Ham v Chelsea
Trevoh Chalobah Ax10,0.5 - 0.7,West Ham v Chelsea
Wesley Fofana Ax10,0.5 - 0.7,West Ham v Chelsea
Nayef Aguerd Ax10,0.2 - 0.4,West Ham v Chelsea
Maximilian Kilman Ax10,0.2 - 0.4,West Ham v Chelsea
Konstantinos Mavropanos Ax10,0.2 - 0.4,West Ham v Chelsea
Freddie Potts Ax10,0.2 - 0.4,West Ham v Chelsea
Tosin Adarabioyo Ax10,0.2 - 0.4,West Ham v Chelsea
Jean-Clair Todibo Ax10,0 - 0.2,West Ham v Chelsea
