AM_namesX10,AM_oddsX10,contest
Danny Welbeck Ax10,2.4 - 2.8,Brighton v Leeds
Georginio Rutter Ax10,2.2 - 2.6,Brighton v Leeds
Yankuba Minteh Ax10,1.9 - 2.3,Brighton v Leeds
Dominic Calvert-Lewin Ax10,1.7 - 2.1,Brighton v Leeds
Noah Okafor Ax10,1.6 - 1.9,Brighton v Leeds
Yasin Ayari Ax10,1.4 - 1.7,Brighton v Leeds
Carlos Baleba Ax10,1.1 - 1.4,Brighton v Leeds
Mats Wieffer Ax10,1 - 1.3,Brighton v Leeds
Sean Longstaff Ax10,0.9 - 1.2,Brighton v Leeds
Brenden Aaronson Ax10,0.75 - 1,Brighton v Leeds
Ferdi Kadioglu Ax10,0.7 - 0.9,Brighton v Leeds
Ao Tanaka Ax10,0.7 - 0.9,Brighton v Leeds
Ethan Ampadu Ax10,0.5 - 0.7,Brighton v Leeds
Jayden Bogle Ax10,0.5 - 0.7,Brighton v Leeds
Jaka Bijol Ax10,0.3 - 0.5,Brighton v Leeds
Diego Gomez Ax10,1.6 - 1.9,Brighton v Leeds
Gabriel Gudmondsson Ax10,0.6 - 0.8,Brighton v Leeds
Eberechi Eze Ax10,3 - 3.5,Burnley v Arsenal
Bukayo Saka Ax10,2.9 - 3.4,Burnley v Arsenal
Gabriel Martinelli Ax10,2.6 - 3,Burnley v Arsenal
Viktor Gyokeres Ax10,2.1 - 2.5,Burnley v Arsenal
Declan Rice Ax10,2 - 2.4,Burnley v Arsenal
Leandro Trossard Ax10,1.9 - 2.3,Burnley v Arsenal
Mikel Merino Ax10,1.3 - 1.6,Burnley v Arsenal
Mike Tresor Ax10,1.2 - 1.5,Burnley v Arsenal
Ethan Nwaneri Ax10,1.1 - 1.4,Burnley v Arsenal
Jaidon Anthony Ax10,1 - 1.3,Burnley v Arsenal
Oliver Sonne Ax10,0.9 - 1.2,Burnley v Arsenal
Hannibal Mejbri Ax10,0.8 - 1.1,Burnley v Arsenal
Martin Zubimendi Ax10,0.8 - 1.1,Burnley v Arsenal
Marcus Edwards Ax10,0.75 - 1,Burnley v Arsenal
Riccardo Calafiori Ax10,0.75 - 1,Burnley v Arsenal
Christian Norgaard Ax10,0.75 - 1,Burnley v Arsenal
Piero Hincapie Ax10,0.7 - 0.9,Burnley v Arsenal
Ben White Ax10,0.7 - 0.9,Burnley v Arsenal
Jacob Bruun Larsen Ax10,0.7 - 0.9,Burnley v Arsenal
Lyle Foster Ax10,0.6 - 0.8,Burnley v Arsenal
Josh Laurent Ax10,0.6 - 0.8,Burnley v Arsenal
Jurrien Timber Ax10,0.5 - 0.7,Burnley v Arsenal
Myles Lewis-Skelly Ax10,0.5 - 0.7,Burnley v Arsenal
Quilindschy Hartman Ax10,0.5 - 0.7,Burnley v Arsenal
Loum Tchaouna Ax10,0.5 - 0.7,Burnley v Arsenal
Lucas Pires Ax10,0.5 - 0.7,Burnley v Arsenal
Zian Flemming Ax10,0.3 - 0.5,Burnley v Arsenal
Josh Cullen Ax10,0.3 - 0.5,Burnley v Arsenal
Armando Broja Ax10,0.2 - 0.4,Burnley v Arsenal
Ashley Barnes Ax10,0.1 - 0.3,Burnley v Arsenal
Gabriel Magalhaes Ax10,0.1 - 0.3,Burnley v Arsenal
Kyle Walker Ax10,0.1 - 0.3,Burnley v Arsenal
Bashir Humphreys Ax10,0.1 - 0.3,Burnley v Arsenal
Lesley Ugochukwu Ax10,0.1 - 0.3,Burnley v Arsenal
William Saliba Ax10,0 - 0.2,Burnley v Arsenal
Cristhian Mosquera Ax10,0 - 0.2,Burnley v Arsenal
Maxime Esteve Ax10,0 - 0.2,Burnley v Arsenal
Joe Worrall Ax10,0 - 0.2,Burnley v Arsenal
Hannes Delcroix Ax10,0 - 0.2,Burnley v Arsenal
Hjalmar Ekdal Ax10,0 - 0.2,Burnley v Arsenal
Axel Tuanzebe Ax10,0 - 0.2,Burnley v Arsenal
Florentino Luis Ax10,0 - 0.2,Burnley v Arsenal
Jean-Philippe Mateta Ax10,3.1 - 3.6,Crystal Palace v Brentford
Ismaila Sarr Ax10,2.7 - 3.2,Crystal Palace v Brentford
Daichi Kamada Ax10,1.8 - 2.2,Crystal Palace v Brentford
Daniel Munoz Ax10,1.6 - 1.9,Crystal Palace v Brentford
Igor Thiago Ax10,1.6 - 2,Crystal Palace v Brentford
Dango Ouattara Ax10,1.8 - 2.2,Crystal Palace v Brentford
Kevin Schade Ax10,1.7 - 2.1,Crystal Palace v Brentford
Tyrick Mitchell Ax10,1.6 - 2,Crystal Palace v Brentford
Mikkel Damsgaard Ax10,1.6 - 1.9,Crystal Palace v Brentford
Maxence Lacroix Ax10,0.9 - 1.2,Crystal Palace v Brentford
Yehor Yarmolyuk Ax10,1.1 - 1.4,Crystal Palace v Brentford
Chris Richards Ax10,0.75 - 1,Crystal Palace v Brentford
Jordan Henderson Ax10,0.7 - 0.9,Crystal Palace v Brentford
Sepp van den Berg Ax10,0.3 - 0.5,Crystal Palace v Brentford
Nathan Collins Ax10,0.3 - 0.5,Crystal Palace v Brentford
Will Hughes Ax10,1.3 - 1.6,Crystal Palace v Brentford
Aaron Hickey Ax10,0.3 - 0.5,Crystal Palace v Brentford
Alex Iwobi Ax10,1.9 - 2.3,Fulham v Wolves
Harry Wilson Ax10,1.8 - 2.2,Fulham v Wolves
Ryan Sessegnon Ax10,1.8 - 2.2,Fulham v Wolves
Jhon Arias Ax10,1.6 - 2,Fulham v Wolves
Jorgen Strand Larsen Ax10,1.6 - 2,Fulham v Wolves
Emile Smith Rowe Ax10,1.3 - 1.6,Fulham v Wolves
Sander Berge Ax10,1.2 - 1.5,Fulham v Wolves
Hwang Hee-chan Ax10,1 - 1.3,Fulham v Wolves
Sasa Lukic Ax10,0.75 - 1,Fulham v Wolves
Kenny Tete Ax10,0.75 - 1,Fulham v Wolves
Marshall Munetsi Ax10,0.7 - 0.9,Fulham v Wolves
Ladislav Krejci Ax10,0.5 - 0.7,Fulham v Wolves
Santiago Bueno Ax10,0.3 - 0.5,Fulham v Wolves
Toti Gomes Ax10,0.2 - 0.4,Fulham v Wolves
Emmanuel Agbadou Ax10,0.2 - 0.4,Fulham v Wolves
Bruno Fernandes Ax10,2.5 - 2.9,Nottingham Forest v Man Utd
Bryan Mbeumo Ax10,2.2 - 2.6,Nottingham Forest v Man Utd
Morgan Gibbs-White Ax10,1.7 - 2.1,Nottingham Forest v Man Utd
Amad Diallo Ax10,1.7 - 2.1,Nottingham Forest v Man Utd
Callum Hudson-Odoi Ax10,1.5 - 1.9,Nottingham Forest v Man Utd
Matheus Cunha Ax10,1.4 - 1.7,Nottingham Forest v Man Utd
Elliot Anderson Ax10,1.4 - 1.7,Nottingham Forest v Man Utd
Dan Ndoye Ax10,1.2 - 1.5,Nottingham Forest v Man Utd
Diogo Dalot Ax10,1.1 - 1.4,Nottingham Forest v Man Utd
Luke Shaw Ax10,1 - 1.3,Nottingham Forest v Man Utd
Neco Williams Ax10,0.8 - 1.1,Nottingham Forest v Man Utd
Nicolo Savona Ax10,0.6 - 0.8,Nottingham Forest v Man Utd
Casemiro Ax10,0.6 - 0.8,Nottingham Forest v Man Utd
Igor Jesus Ax10,0.4 - 0.6,Nottingham Forest v Man Utd
Benjamin Sesko Ax10,0.3 - 0.5,Nottingham Forest v Man Utd
Murillo Ax10,0 - 0.2,Nottingham Forest v Man Utd
Nikola Milenkovic Ax10,0 - 0.2,Nottingham Forest v Man Utd
Matthijs de Ligt Ax10,0 - 0.2,Nottingham Forest v Man Utd
Joao Pedro Ax10,1.4 - 1.7,Tottenham v Chelsea
Mohammed Kudus Ax10,2 - 2.4,Tottenham v Chelsea
Alejandro Garnacho Ax10,1.2 - 1.5,Tottenham v Chelsea
Pedro Neto Ax10,1.9 - 2.3,Tottenham v Chelsea
Brennan Johnson Ax10,1.2 - 1.5,Tottenham v Chelsea
Enzo Fernandez Ax10,1.4 - 1.7,Tottenham v Chelsea
Xavi Simons Ax10,1.7 - 2.1,Tottenham v Chelsea
Marc Guiu Ax10,0.5 - 0.7,Tottenham v Chelsea
Randal Kolo Muani Ax10,0.8 - 1.1,Tottenham v Chelsea
Reece James Ax10,1.4 - 1.7,Tottenham v Chelsea
Pedro Porro Ax10,1.7 - 2.1,Tottenham v Chelsea
Djed Spence Ax10,0.3 - 0.5,Tottenham v Chelsea
Rodrigo Bentancur Ax10,0.2 - 0.4,Tottenham v Chelsea
Marc Cucurella Ax10,0.75 - 1,Tottenham v Chelsea
Moises Caicedo Ax10,0.4 - 0.6,Tottenham v Chelsea
Wesley Fofana Ax10,0.1 - 0.3,Tottenham v Chelsea
Estevao Ax10,2 - 2.4,Tottenham v Chelsea
Mathys Tel Ax10,1.3 - 1.6,Tottenham v Chelsea
Richarlison Ax10,0.8 - 1.1,Tottenham v Chelsea
Malo Gusto Ax10,0.7 - 0.9,Tottenham v Chelsea
Joao Palhinha Ax10,0.5 - 0.7,Tottenham v Chelsea
Trevoh Chalobah Ax10,0.3 - 0.5,Tottenham v Chelsea
Micky van de Ven Ax10,0.2 - 0.4,Tottenham v Chelsea
Cristian Romero Ax10,0.2 - 0.4,Tottenham v Chelsea
Josh Acheampong Ax10,0.1 - 0.3,Tottenham v Chelsea
Kevin Danso Ax10,0 - 0.2,Tottenham v Chelsea
Mohamed Salah Ax10,3.3 - 3.8,Liverpool v Aston Villa
Ollie Watkins Ax10,0.75 - 1,Liverpool v Aston Villa
Hugo Ekitike Ax10,1.1 - 1.4,Liverpool v Aston Villa
Florian Wirtz Ax10,2.4 - 2.8,Liverpool v Aston Villa
Cody Gakpo Ax10,2.4 - 2.8,Liverpool v Aston Villa
Dominik Szoboszlai Ax10,2.4 - 2.8,Liverpool v Aston Villa
Morgan Rogers Ax10,1.7 - 2.1,Liverpool v Aston Villa
Alexis MacAllister Ax10,1 - 1.3,Liverpool v Aston Villa
Evann Guessand Ax10,1 - 1.3,Liverpool v Aston Villa
Conor Bradley Ax10,1.3 - 1.6,Liverpool v Aston Villa
Ryan Gravenberch Ax10,1 - 1.3,Liverpool v Aston Villa
Jadon Sancho Ax10,0.7 - 0.9,Liverpool v Aston Villa
John McGinn Ax10,1.1 - 1.4,Liverpool v Aston Villa
Amadou Onana Ax10,0.3 - 0.5,Liverpool v Aston Villa
Boubacar Kamara Ax10,0.7 - 0.9,Liverpool v Aston Villa
Milos Kerkez Ax10,0.6 - 0.8,Liverpool v Aston Villa
Matty Cash Ax10,0.75 - 1,Liverpool v Aston Villa
Pau Torres Ax10,0.1 - 0.3,Liverpool v Aston Villa
Andrew Robertson Ax10,1.9 - 2.3,Liverpool v Aston Villa
Lucas Digne Ax10,1.2 - 1.5,Liverpool v Aston Villa
Donyell Malen Ax10,0.8 - 1.1,Liverpool v Aston Villa
Ibrahima Konate Ax10,0.5 - 0.7,Liverpool v Aston Villa
Virgil van Dijk Ax10,0.3 - 0.5,Liverpool v Aston Villa
Ezri Konsa Ax10,0.1 - 0.3,Liverpool v Aston Villa
Kieran Trippier Ax10,2.6 - 3,West Ham v Newcastle
Jacob Murphy Ax10,1.9 - 2.3,West Ham v Newcastle
Anthony Gordon Ax10,1.7 - 2.1,West Ham v Newcastle
Jarrod Bowen Ax10,1.4 - 1.7,West Ham v Newcastle
Nick Woltemade Ax10,1.3 - 1.6,West Ham v Newcastle
Bruno Guimaraes Ax10,1.2 - 1.5,West Ham v Newcastle
Sandro Tonali Ax10,1.2 - 1.5,West Ham v Newcastle
Crysencio Summerville Ax10,0.9 - 1.2,West Ham v Newcastle
Lewis Miley Ax10,0.9 - 1.2,West Ham v Newcastle
Lucas Paqueta Ax10,0.9 - 1.2,West Ham v Newcastle
El Hadji Malick Diouf Ax10,0.9 - 1.2,West Ham v Newcastle
Joelinton Ax10,0.7 - 0.9,West Ham v Newcastle
Aaron Wan-Bissaka Ax10,0.6 - 0.8,West Ham v Newcastle
Dan Burn Ax10,0.5 - 0.7,West Ham v Newcastle
Callum Wilson Ax10,0.3 - 0.5,West Ham v Newcastle
Malick Thiaw Ax10,0.2 - 0.4,West Ham v Newcastle
Jean-Clair Todibo Ax10,0 - 0.2,West Ham v Newcastle
Mateus Fernandes Ax10,0.75 - 1,West Ham v Newcastle
Jeremy Doku Ax10,3.2 - 3.7,Man City v Bournemouth
Savinho Ax10,2.9 - 3.4,Man City v Bournemouth
Phil Foden Ax10,2.8 - 3.3,Man City v Bournemouth
Oscar Bobb Ax10,2.7 - 3.1,Man City v Bournemouth
Bernardo Silva Ax10,2 - 2.4,Man City v Bournemouth
