AM_namesX10,AM_oddsX10,contest
Igor Thiago Ax10,4.1 - 4.6,Brentford v Burnley
Dango Ouattara Ax10,3.2 - 3.7,Brentford v Burnley
Kevin Schade Ax10,3.3 - 3.8,Brentford v Burnley
Mikkel Damsgaard Ax10,2.7 - 3.2,Brentford v Burnley
Quilindschy Hartman Ax10,1.8 - 2.2,Brentford v Burnley
Yehor Yarmolyuk Ax10,1.7 - 2.1,Brentford v Burnley
Jaidon Anthony Ax10,1.3 - 1.6,Brentford v Burnley
Zian Flemming Ax10,1.2 - 1.5,Brentford v Burnley
Jordan Henderson Ax10,1.2 - 1.5,Brentford v Burnley
Loum Tchaouna Ax10,0.75 - 1,Brentford v Burnley
Nathan Collins Ax10,0.75 - 1,Brentford v Burnley
Axel Tuanzebe Ax10,0.7 - 0.9,Brentford v Burnley
Josh Cullen Ax10,0.6 - 0.8,Brentford v Burnley
Lesley Ugochukwu Ax10,0.5 - 0.7,Brentford v Burnley
Kyle Walker Ax10,0.5 - 0.7,Brentford v Burnley
Rayan Cherki Ax10,3.4 - 3.9,Man City v Leeds
Jeremy Doku Ax10,2.7 - 3.2,Man City v Leeds
Savinho Ax10,2.7 - 3.2,Man City v Leeds
Phil Foden Ax10,2.7 - 3.1,Man City v Leeds
Oscar Bobb Ax10,2.4 - 2.8,Man City v Leeds
Omar Marmoush Ax10,2.1 - 2.5,Man City v Leeds
Bernardo Silva Ax10,1.7 - 2.1,Man City v Leeds
Rayan Ait-Nouri Ax10,1.6 - 2,Man City v Leeds
Matheus Nunes Ax10,1.3 - 1.6,Man City v Leeds
Rico Lewis Ax10,1 - 1.3,Man City v Leeds
Tijjani Reijnders Ax10,1 - 1.3,Man City v Leeds
Nico O'Reilly Ax10,0.9 - 1.3,Man City v Leeds
Erling Haaland Ax10,0.9 - 1.2,Man City v Leeds
Daniel James Ax10,0.8 - 1.1,Man City v Leeds
Brenden Aaronson Ax10,0.8 - 1.1,Man City v Leeds
Noah Okafor Ax10,0.6 - 0.8,Man City v Leeds
Anton Stach Ax10,0.5 - 0.7,Man City v Leeds
Sean Longstaff Ax10,0.5 - 0.7,Man City v Leeds
Josko Gvardiol Ax10,0.5 - 0.7,Man City v Leeds
Jayden Bogle Ax10,0.4 - 0.6,Man City v Leeds
Gabriel Gudmundsson Ax10,0.4 - 0.6,Man City v Leeds
Nico Gonzalez Ax10,0.4 - 0.6,Man City v Leeds
Wilfried Gnonto Ax10,0.3 - 0.5,Man City v Leeds
Nathan Ake Ax10,0.3 - 0.5,Man City v Leeds
Dominic Calvert-Lewin Ax10,0.3 - 0.5,Man City v Leeds
Joel Piroe Ax10,0.2 - 0.4,Man City v Leeds
Abdukodir Khusanov Ax10,0.2 - 0.4,Man City v Leeds
Lukas Nmecha Ax10,0.1 - 0.3,Man City v Leeds
Ao Tanaka Ax10,0.1 - 0.3,Man City v Leeds
Ruben Dias Ax10,0.1 - 0.3,Man City v Leeds
Ethan Ampadu Ax10,0.1 - 0.3,Man City v Leeds
John Stones Ax10,0.1 - 0.3,Man City v Leeds
Pascal Struijk Ax10,0 - 0.2,Man City v Leeds
Joe Rodon Ax10,0 - 0.2,Man City v Leeds
Ilia Gruev Ax10,0.7 - 0.9,Man City v Leeds
Wilson Isidor Ax10,2 - 2.4,Sunderland v Bournemouth
Granit Xhaka Ax10,1.8 - 2.2,Sunderland v Bournemouth
Marcus Tavernier Ax10,1.8 - 2.2,Sunderland v Bournemouth
Bertrand Traore Ax10,1.6 - 1.9,Sunderland v Bournemouth
David Brooks Ax10,1.4 - 1.7,Sunderland v Bournemouth
Enzo Le Fee Ax10,1.3 - 1.6,Sunderland v Bournemouth
Nordi Mukiele Ax10,1.1 - 1.4,Sunderland v Bournemouth
Tyler Adams Ax10,1.1 - 1.4,Sunderland v Bournemouth
Evanilson Ax10,1 - 1.3,Sunderland v Bournemouth
Lewis Cook Ax10,1 - 1.3,Sunderland v Bournemouth
Alex Scott Ax10,0.9 - 1.2,Sunderland v Bournemouth
Trai Hume Ax10,0.75 - 1,Sunderland v Bournemouth
Reinildo Mandava Ax10,0.75 - 1,Sunderland v Bournemouth
Eli Junior Kroupi Ax10,0.9 - 1.2,Sunderland v Bournemouth
Adrien Truffert Ax10,0.75 - 1,Sunderland v Bournemouth
Marcos Senesi Ax10,0.7 - 0.9,Sunderland v Bournemouth
Lutsharel Geertruida Ax10,0.6 - 0.8,Sunderland v Bournemouth
Bafode Diakite Ax10,0.7 - 0.9,Sunderland v Bournemouth
Noah Sadiki Ax10,0.6 - 0.8,Sunderland v Bournemouth
Daniel Ballard Ax10,0.5 - 0.7,Sunderland v Bournemouth
Antoine Semenyo Ax10,2.3 - 2.7,Sunderland v Bournemouth
Mohammed Kudus Ax10,2.1 - 2.5,Tottenham v Fulham
Xavi Simons Ax10,1.8 - 2.2,Tottenham v Fulham
Pedro Porro Ax10,1.7 - 2.1,Tottenham v Fulham
Wilson Odobert Ax10,1.5 - 1.9,Tottenham v Fulham
Harry Wilson Ax10,1 - 1.3,Tottenham v Fulham
Ryan Sessegnon Ax10,0.9 - 1.2,Tottenham v Fulham
Raul Jimenez Ax10,0.7 - 0.9,Tottenham v Fulham
Richarlison Ax10,0.75 - 1,Tottenham v Fulham
Sasa Lukic Ax10,0.6 - 0.8,Tottenham v Fulham
Kenny Tete Ax10,0.6 - 0.8,Tottenham v Fulham
Emile Smith Rowe Ax10,0.6 - 0.8,Tottenham v Fulham
Destiny Udogie Ax10,0.5 - 0.7,Tottenham v Fulham
Sander Berge Ax10,0.4 - 0.6,Tottenham v Fulham
Rodrigo Bentancur Ax10,0.3 - 0.5,Tottenham v Fulham
Joao Palhinha Ax10,0.2 - 0.4,Tottenham v Fulham
Kevin Ax10,1.3 - 1.6,Tottenham v Fulham
Brennan Johnson Ax10,1.3 - 1.6,Tottenham v Fulham
Samuel Chukwueze Ax10,1.3 - 1.6,Tottenham v Fulham
Alex Iwobi Ax10,1 - 1.3,Tottenham v Fulham
Mathys Tel Ax10,0.9 - 1.2,Tottenham v Fulham
Randal Kolo Muani Ax10,0.75 - 1,Tottenham v Fulham
Lucas Bergvall Ax10,0.7 - 0.9,Tottenham v Fulham
Djed Spence Ax10,0.6 - 0.8,Tottenham v Fulham
Josh King Ax10,0.5 - 0.7,Tottenham v Fulham
Pape Sarr Ax10,0.9 - 1.2,Tottenham v Fulham
Bryan Mbeumo Ax10,2 - 2.4,Crystal Palace v Man Utd
Bruno Fernandes Ax10,2 - 2.4,Crystal Palace v Man Utd
Daniel Munoz Ax10,2 - 2.4,Crystal Palace v Man Utd
Tyrick Mitchell Ax10,2 - 2.4,Crystal Palace v Man Utd
Maxence Lacroix Ax10,2 - 2.4,Crystal Palace v Man Utd
Matthijs de Ligt Ax10,2 - 2.4,Crystal Palace v Man Utd
Ismaila Sarr Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Marc Guehi Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Amad Diallo Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Luke Shaw Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Leny Yoro Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Jean-Philippe Mateta Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Noussair Mazraoui Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Yeremy Pino Ax10,1.7 - 2.1,Crystal Palace v Man Utd
Daichi Kamada Ax10,1.7 - 2.1,Crystal Palace v Man Utd
Patrick Dorgu Ax10,1.6 - 2,Crystal Palace v Man Utd
Matheus Cunha Ax10,1.6 - 2,Crystal Palace v Man Utd
Manuel Ugarte Ax10,1.1 - 1.4,Crystal Palace v Man Utd
Joshua Zirkzee Ax10,1.1 - 1.4,Crystal Palace v Man Utd
Casemiro Ax10,0.9 - 1.2,Crystal Palace v Man Utd
Jaydee Canvot Ax10,0.75 - 1,Crystal Palace v Man Utd
Chris Richards Ax10,2 - 2.4,Crystal Palace v Man Utd
Adam Wharton Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Diogo Dalot Ax10,1.8 - 2.2,Crystal Palace v Man Utd
Mason Mount Ax10,1.4 - 1.7,Crystal Palace v Man Utd
Christantus Uche Ax10,1.2 - 1.5,Crystal Palace v Man Utd
Justin Devenny Ax10,1.1 - 1.4,Crystal Palace v Man Utd
Will Hughes Ax10,1.1 - 1.4,Crystal Palace v Man Utd
Eddie Nketiah Ax10,1 - 1.3,Crystal Palace v Man Utd
Kobbie Mainoo Ax10,0.6 - 0.8,Crystal Palace v Man Utd
Jefferson Lerma Ax10,0.3 - 0.5,Crystal Palace v Man Utd
Lisandro Martinez Ax10,0.2 - 0.5,Crystal Palace v Man Utd
Nathaniel Clyne Ax10,0.2 - 0.4,Crystal Palace v Man Utd
Ayden Heaven Ax10,0.1 - 0.3,Crystal Palace v Man Utd
Emiliano Buendia Ax10,2.4 - 2.8,Aston Villa v Wolves
Morgan Rogers Ax10,2.2 - 2.6,Aston Villa v Wolves
Lucas Digne Ax10,2.1 - 2.5,Aston Villa v Wolves
John McGinn Ax10,1.9 - 2.3,Aston Villa v Wolves
Youri Tielemans Ax10,1.6 - 2,Aston Villa v Wolves
Donyell Malen Ax10,1.7 - 2.1,Aston Villa v Wolves
Ollie Watkins Ax10,1.2 - 1.5,Aston Villa v Wolves
Jackson Tchatchoua Ax10,1 - 1.3,Aston Villa v Wolves
