AM_namesX10,AM_oddsX10,contest
Pedro Neto Ax10,2.4 - 2.8,Burnley v Chelsea
Alejandro Garnacho Ax10,2.1 - 2.5,Burnley v Chelsea
Enzo Fernandez Ax10,1.6 - 2,Burnley v Chelsea
Joao Pedro Ax10,1.4 - 1.7,Burnley v Chelsea
Reece James Ax10,1.3 - 1.6,Burnley v Chelsea
Jaidon Anthony Ax10,1.2 - 1.5,Burnley v Chelsea
Marc Cucurella Ax10,1 - 1.3,Burnley v Chelsea
Quilindschy Hartman Ax10,0.75 - 1,Burnley v Chelsea
Moises Caicedo Ax10,0.6 - 0.8,Burnley v Chelsea
Liam Delap Ax10,0.6 - 0.8,Burnley v Chelsea
Zian Flemming Ax10,0.6 - 0.8,Burnley v Chelsea
Josh Laurent Ax10,0.5 - 0.7,Burnley v Chelsea
Josh Cullen Ax10,0.5 - 0.7,Burnley v Chelsea
Kyle Walker Ax10,0.3 - 0.5,Burnley v Chelsea
Lesley Ugochukwu Ax10,0.2 - 0.4,Burnley v Chelsea
Axel Tuanzebe Ax10,0.1 - 0.3,Burnley v Chelsea
Maxime Esteve Ax10,0 - 0.2,Burnley v Chelsea
Estevao Ax10,2.3 - 2.7,Burnley v Chelsea
Lucas Pires Ax10,1.4 - 1.7,Burnley v Chelsea
Jamie Gittens Ax10,1.1 - 1.4,Burnley v Chelsea
Jacob Bruun Larsen Ax10,0.75 - 1,Burnley v Chelsea
Malo Gusto Ax10,0.75 - 1,Burnley v Chelsea
Andrey Santos Ax10,0.7 - 0.9,Burnley v Chelsea
Loum Tchaouna Ax10,0.4 - 0.6,Burnley v Chelsea
Trevoh Chalobah Ax10,0.2 - 0.4,Burnley v Chelsea
Tosin Adarabioyo Ax10,0.1 - 0.3,Burnley v Chelsea
Florentino Luis Ax10,0.1 - 0.3,Burnley v Chelsea
Wesley Fofana Ax10,0 - 0.2,Burnley v Chelsea
Pedro Neto Ax10,2.4 - 2.8,Burnley v Chelsea
Alejandro Garnacho Ax10,2.1 - 2.5,Burnley v Chelsea
Enzo Fernandez Ax10,1.6 - 2,Burnley v Chelsea
Joao Pedro Ax10,1.4 - 1.7,Burnley v Chelsea
Reece James Ax10,1.3 - 1.6,Burnley v Chelsea
Jaidon Anthony Ax10,1.2 - 1.5,Burnley v Chelsea
Marc Cucurella Ax10,1 - 1.3,Burnley v Chelsea
Quilindschy Hartman Ax10,0.75 - 1,Burnley v Chelsea
Moises Caicedo Ax10,0.6 - 0.8,Burnley v Chelsea
Liam Delap Ax10,0.6 - 0.8,Burnley v Chelsea
Zian Flemming Ax10,0.6 - 0.8,Burnley v Chelsea
Josh Laurent Ax10,0.5 - 0.7,Burnley v Chelsea
Josh Cullen Ax10,0.5 - 0.7,Burnley v Chelsea
Kyle Walker Ax10,0.3 - 0.5,Burnley v Chelsea
Lesley Ugochukwu Ax10,0.2 - 0.4,Burnley v Chelsea
Axel Tuanzebe Ax10,0.1 - 0.3,Burnley v Chelsea
Maxime Esteve Ax10,0 - 0.2,Burnley v Chelsea
Estevao Ax10,2.3 - 2.7,Burnley v Chelsea
Lucas Pires Ax10,1.4 - 1.7,Burnley v Chelsea
Jamie Gittens Ax10,1.1 - 1.4,Burnley v Chelsea
Jacob Bruun Larsen Ax10,0.75 - 1,Burnley v Chelsea
Malo Gusto Ax10,0.75 - 1,Burnley v Chelsea
Andrey Santos Ax10,0.7 - 0.9,Burnley v Chelsea
Loum Tchaouna Ax10,0.4 - 0.6,Burnley v Chelsea
Trevoh Chalobah Ax10,0.2 - 0.4,Burnley v Chelsea
Tosin Adarabioyo Ax10,0.1 - 0.3,Burnley v Chelsea
Florentino Luis Ax10,0.1 - 0.3,Burnley v Chelsea
Wesley Fofana Ax10,0 - 0.2,Burnley v Chelsea
Antoine Semenyo Ax10,3 - 3.5,Bournemouth v West Ham
Marcus Tavernier Ax10,1.8 - 2.2,Bournemouth v West Ham
David Brooks Ax10,1.8 - 2.2,Bournemouth v West Ham
Callum Wilson Ax10,1.6 - 2,Bournemouth v West Ham
Jarrod Bowen Ax10,1.7 - 2.1,Bournemouth v West Ham
El Hadji Malick Diouf Ax10,1.4 - 1.7,Bournemouth v West Ham
Evanilson Ax10,1.3 - 1.6,Bournemouth v West Ham
Alex Scott Ax10,1.3 - 1.6,Bournemouth v West Ham
Adrien Truffert Ax10,1.2 - 1.5,Bournemouth v West Ham
Crysencio Summerville Ax10,0.9 - 1.2,Bournemouth v West Ham
Marcos Senesi Ax10,1 - 1.3,Bournemouth v West Ham
Mateus Fernandes Ax10,0.9 - 1.2,Bournemouth v West Ham
Tyler Adams Ax10,1 - 1.3,Bournemouth v West Ham
Alejandro Jimenez Ax10,0.9 - 1.2,Bournemouth v West Ham
Freddie Potts Ax10,0.6 - 0.8,Bournemouth v West Ham
Tomas Soucek Ax10,0.6 - 0.8,Bournemouth v West Ham
Aaron Wan-Bissaka Ax10,0.6 - 0.8,Bournemouth v West Ham
Danny Welbeck Ax10,2.6 - 3,Brighton v Brentford
Georginio Rutter Ax10,2.6 - 3,Brighton v Brentford
Igor Thiago Ax10,1.9 - 2.3,Brighton v Brentford
Yankuba Minteh Ax10,1.7 - 2.1,Brighton v Brentford
Dango Ouattara Ax10,1.7 - 2.1,Brighton v Brentford
Kevin Schade Ax10,1.6 - 2,Brighton v Brentford
Diego Gomez Ax10,1.4 - 1.7,Brighton v Brentford
Mikkel Damsgaard Ax10,1.4 - 1.7,Brighton v Brentford
Yasin Ayari Ax10,1.3 - 1.6,Brighton v Brentford
Carlos Baleba Ax10,0.9 - 1.2,Brighton v Brentford
Mats Wieffer Ax10,0.9 - 1.2,Brighton v Brentford
Yehor Yarmolyuk Ax10,0.9 - 1.2,Brighton v Brentford
Jordan Henderson Ax10,0.7 - 0.9,Brighton v Brentford
Ferdi Kadioglu Ax10,0.6 - 0.8,Brighton v Brentford
Nathan Collins Ax10,0.3 - 0.5,Brighton v Brentford
Wilson Isidor Ax10,1.9 - 2.3,Fulham v Sunderland
Harry Wilson Ax10,1.8 - 2.2,Fulham v Sunderland
Alex Iwobi Ax10,1.8 - 2.2,Fulham v Sunderland
Ryan Sessegnon Ax10,1.6 - 2,Fulham v Sunderland
Raul Jimenez Ax10,1.6 - 1.9,Fulham v Sunderland
Bertrand Traore Ax10,1.3 - 1.6,Fulham v Sunderland
Enzo Le Fee Ax10,1.1 - 1.4,Fulham v Sunderland
Joshua King Ax10,1.1 - 1.4,Fulham v Sunderland
Sander Berge Ax10,1 - 1.3,Fulham v Sunderland
Granit Xhaka Ax10,0.9 - 1.2,Fulham v Sunderland
Kenny Tete Ax10,0.7 - 0.9,Fulham v Sunderland
Trai Hume Ax10,0.6 - 0.8,Fulham v Sunderland
Nordi Mukiele Ax10,0.5 - 0.7,Fulham v Sunderland
Noah Sadiki Ax10,0.5 - 0.7,Fulham v Sunderland
Daniel Ballard Ax10,0.5 - 0.7,Fulham v Sunderland
Reinildo Mandava Ax10,0.3 - 0.5,Fulham v Sunderland
Federico Chiesa Ax10,3.2 - 3.7,Liverpool v Nottingham Forest
Florian Wirtz Ax10,2.8 - 3.3,Liverpool v Nottingham Forest
