AM_namesX10,AM_oddsX10,contest
Joao Pedro Ax10,3.1 - 3.6,Nottingham Forest v Chelsea
Enzo Fernandez Ax10,1.9 - 2.3,Nottingham Forest v Chelsea
Alejandro Garnacho Ax10,1.8 - 2.2,Nottingham Forest v Chelsea
Chris Wood Ax10,1.9 - 2.3,Nottingham Forest v Chelsea
Pedro Neto Ax10,1.8 - 2.2,Nottingham Forest v Chelsea
Morgan Gibbs-White Ax10,1.6 - 2,Nottingham Forest v Chelsea
Romeo Lavia Ax10,1.4 - 1.7,Nottingham Forest v Chelsea
Callum Hudson-Odoi Ax10,1.1 - 1.4,Nottingham Forest v Chelsea
Reece James Ax10,1.2 - 1.5,Nottingham Forest v Chelsea
Oleksandr Zinchenko Ax10,1.1 - 1.4,Nottingham Forest v Chelsea
Dan Ndoye Ax10,1.1 - 1.4,Nottingham Forest v Chelsea
Elliot Anderson Ax10,1 - 1.3,Nottingham Forest v Chelsea
Neco Williams Ax10,0.9 - 1.2,Nottingham Forest v Chelsea
Murillo Ax10,0.3 - 0.5,Nottingham Forest v Chelsea
Marc Cucurella Ax10,0.5 - 0.7,Nottingham Forest v Chelsea
Nikola Milenkovic Ax10,0.3 - 0.5,Nottingham Forest v Chelsea
Anthony Elanga Ax10,2.3 - 2.7,Brighton v Newcastle
Nick Woltemade Ax10,2.1 - 2.5,Brighton v Newcastle
Anthony Gordon Ax10,2 - 2.4,Brighton v Newcastle
Georginio Rutter Ax10,1.9 - 2.3,Brighton v Newcastle
Danny Welbeck Ax10,1.9 - 2.3,Brighton v Newcastle
Yankuba Minteh Ax10,1.6 - 1.9,Brighton v Newcastle
Diego Gomez Ax10,1.2 - 1.5,Brighton v Newcastle
Yasin Ayari Ax10,1.1 - 1.4,Brighton v Newcastle
Bruno Guimaraes Ax10,1 - 1.3,Brighton v Newcastle
Joelinton Ax10,0.9 - 1.2,Brighton v Newcastle
Sandro Tonali Ax10,0.9 - 1.2,Brighton v Newcastle
Carlos Baleba Ax10,0.75 - 1,Brighton v Newcastle
Mats Wieffer Ax10,0.75 - 1,Brighton v Newcastle
Kieran Trippier Ax10,0.75 - 1,Brighton v Newcastle
Malick Thiaw Ax10,0.6 - 0.8,Brighton v Newcastle
Ferdi Kadioglu Ax10,0.5 - 0.7,Brighton v Newcastle
Dominic Calvert-Lewin Ax10,1.7 - 2.1,Burnley v Leeds
Noah Okafor Ax10,1.7 - 2.1,Burnley v Leeds
Anton Stach Ax10,1.6 - 2,Burnley v Leeds
Jaidon Anthony Ax10,1.2 - 1.5,Burnley v Leeds
Josh Cullen Ax10,1 - 1.3,Burnley v Leeds
Sean Longstaff Ax10,1 - 1.3,Burnley v Leeds
Brenden Aaronson Ax10,0.9 - 1.2,Burnley v Leeds
Loum Tchaouna Ax10,0.7 - 0.9,Burnley v Leeds
Josh Laurent Ax10,0.7 - 0.9,Burnley v Leeds
Armando Broja Ax10,0.75 - 1,Burnley v Leeds
Quilindschy Hartman Ax10,0.75 - 1,Burnley v Leeds
Jayden Bogle Ax10,0.7 - 0.9,Burnley v Leeds
Ethan Ampadu Ax10,0.7 - 0.9,Burnley v Leeds
Pascal Struijk Ax10,0.7 - 0.9,Burnley v Leeds
Gabriel Gudmundsson Ax10,0.6 - 0.8,Burnley v Leeds
Florentino Luis Ax10,0.3 - 0.5,Burnley v Leeds
Axel Tuanzebe Ax10,0.3 - 0.5,Burnley v Leeds
Kyle Walker Ax10,0.3 - 0.5,Burnley v Leeds
Maxime Esteve Ax10,0.2 - 0.4,Burnley v Leeds
Savinho Ax10,3.1 - 3.6,Man City v Everton
Phil Foden Ax10,2.7 - 3.2,Man City v Everton
Matheus Nunes Ax10,1.6 - 2,Man City v Everton
Tijani Reijnders Ax10,1.3 - 1.6,Man City v Everton
Erling Haaland Ax10,1 - 1.3,Man City v Everton
Kiernan Dewsbury-Hall Ax10,0.9 - 1.2,Man City v Everton
Nico O'Reilly Ax10,0.9 - 1.2,Man City v Everton
James Garner Ax10,0.7 - 0.9,Man City v Everton
Josko Gvardiol Ax10,0.5 - 0.7,Man City v Everton
Vitaliy Mykolenko Ax10,0.5 - 0.7,Man City v Everton
Thierno Barry Ax10,0.5 - 0.7,Man City v Everton
Iliman Ndiaye Ax10,0.3 - 0.5,Man City v Everton
Idrissa Gueye Ax10,0.2 - 0.4,Man City v Everton
James Tarkowski Ax10,0.2 - 0.4,Man City v Everton
Jake O'Brien Ax10,0.1 - 0.3,Man City v Everton
Rayan Cherki Ax10,4.2 - 4.7,Man City v Everton
Jeremy Doku Ax10,3.2 - 3.7,Man City v Everton
Dwight McNeil Ax10,2.1 - 2.5,Man City v Everton
Bernardo Silva Ax10,1.8 - 2.2,Man City v Everton
Tyler Dibling Ax10,0.6 - 0.8,Man City v Everton
Nicolas Gonzalez Ax10,0.3 - 0.5,Man City v Everton
Beto Ax10,0.3 - 0.5,Man City v Everton
Michael Keane Ax10,0.2 - 0.4,Man City v Everton
Ruben Dias Ax10,0.1 - 0.3,Man City v Everton
Jhon Arias Ax10,1.6 - 1.9,Sunderland v Wolves
Wilson Isidor Ax10,1.6 - 1.9,Sunderland v Wolves
Jorgen Strand Larsen Ax10,1.4 - 1.7,Sunderland v Wolves
Bertrand Traore Ax10,1.4 - 1.7,Sunderland v Wolves
Simon Adingra Ax10,1.3 - 1.6,Sunderland v Wolves
Granit Xhaka Ax10,1 - 1.3,Sunderland v Wolves
Enzo Le Fee Ax10,1 - 1.3,Sunderland v Wolves
Marshall Munetsi Ax10,0.7 - 0.9,Sunderland v Wolves
Trai Hume Ax10,0.7 - 0.9,Sunderland v Wolves
Arthur Masuaku Ax10,0.7 - 0.9,Sunderland v Wolves
Jackson Tchatchoua Ax10,0.6 - 0.8,Sunderland v Wolves
Joao Gomes Ax10,0.6 - 0.8,Sunderland v Wolves
Nordi Mukiele Ax10,0.6 - 0.8,Sunderland v Wolves
Dan Ballard Ax10,0.5 - 0.7,Sunderland v Wolves
Ladislav Krejci Ax10,0.2 - 0.4,Sunderland v Wolves
Bukayo Saka Ax10,2.3 - 2.7,Fulham v Arsenal
Eberechi Eze Ax10,1.9 - 2.3,Fulham v Arsenal
Declan Rice Ax10,1.8 - 2.2,Fulham v Arsenal
Leandro Trossard Ax10,1.4 - 1.7,Fulham v Arsenal
Gabriel Martinelli Ax10,1.3 - 1.6,Fulham v Arsenal
Viktor Gyokeres Ax10,1.2 - 1.5,Fulham v Arsenal
Ethan Nwaneri Ax10,0.9 - 1.2,Fulham v Arsenal
Mikel Merino Ax10,0.9 - 1.2,Fulham v Arsenal
Alex Iwobi Ax10,0.9 - 1.2,Fulham v Arsenal
Adama Traore Ax10,0.9 - 1.2,Fulham v Arsenal
Ryan Sessegnon Ax10,0.8 - 1.1,Fulham v Arsenal
Martin Zubimendi Ax10,0.7 - 0.9,Fulham v Arsenal
Riccardo Calafiori Ax10,0.7 - 0.9,Fulham v Arsenal
Antonee Robinson Ax10,0.7 - 0.9,Fulham v Arsenal
Kevin Ax10,0.6 - 0.8,Fulham v Arsenal
Harry Wilson Ax10,0.6 - 0.8,Fulham v Arsenal
Samuel Chukwueze Ax10,0.6 - 0.8,Fulham v Arsenal
Emile Smith Rowe Ax10,0.5 - 0.7,Fulham v Arsenal
Ben White Ax10,0.5 - 0.7,Fulham v Arsenal
Tom Cairney Ax10,0.5 - 0.7,Fulham v Arsenal
Raul Jimenez Ax10,0.5 - 0.7,Fulham v Arsenal
Piero Hincapie Ax10,0.3 - 0.5,Fulham v Arsenal
Joshua King Ax10,0.3 - 0.5,Fulham v Arsenal
Myles Lewis-Skelly Ax10,0.3 - 0.5,Fulham v Arsenal
Timothy Castagne Ax10,0.3 - 0.5,Fulham v Arsenal
Kenny Tete Ax10,0.3 - 0.5,Fulham v Arsenal
Jurrien Timber Ax10,0.2 - 0.4,Fulham v Arsenal
Cristhian Mosquera Ax10,0.2 - 0.4,Fulham v Arsenal
Sander Berge Ax10,0.2 - 0.4,Fulham v Arsenal
William Saliba Ax10,0.1 - 0.3,Fulham v Arsenal
Gabriel Magalhaes Ax10,0.1 - 0.3,Fulham v Arsenal
Joachim Andersen Ax10,0.1 - 0.3,Fulham v Arsenal
Calvin Bassey Ax10,0.1 - 0.3,Fulham v Arsenal
Issa Diop Ax10,0.1 - 0.3,Fulham v Arsenal
Mohamed Salah Ax10,4.2 - 4.7,Liverpool v Man Utd
Cody Gakpo Ax10,2.2 - 2.6,Liverpool v Man Utd
Matheus Cunha Ax10,1.9 - 2.3,Liverpool v Man Utd
Bruno Fernandes Ax10,1.9 - 2.3,Liverpool v Man Utd
Dominik Szoboszlai Ax10,1.9 - 2.3,Liverpool v Man Utd
Alexander Isak Ax10,1.8 - 2.2,Liverpool v Man Utd
Bryan Mbeumo Ax10,1.6 - 2,Liverpool v Man Utd
Alexis MacAllister Ax10,1.6 - 1.9,Liverpool v Man Utd
Conor Bradley Ax10,1.2 - 1.5,Liverpool v Man Utd
Amad Diallo Ax10,1.1 - 1.4,Liverpool v Man Utd
Benjamin Sesko Ax10,1.1 - 1.4,Liverpool v Man Utd
Ryan Gravenberch Ax10,1 - 1.3,Liverpool v Man Utd
Casemiro Ax10,1 - 1.3,Liverpool v Man Utd
Luke Shaw Ax10,0.6 - 0.8,Liverpool v Man Utd
Patrick Dorgu Ax10,0.75 - 1,Liverpool v Man Utd
Joe Gomez Ax10,0.75 - 1,Liverpool v Man Utd
Matthijs de Ligt Ax10,0.6 - 0.8,Liverpool v Man Utd
Florian Wirtz Ax10,2.6 - 3,Liverpool v Man Utd
Hugo Ekitike Ax10,2.2 - 2.6,Liverpool v Man Utd
Jeremie Frimpong Ax10,2 - 2.4,Liverpool v Man Utd
Federico Chiesa Ax10,1.9 - 2.3,Liverpool v Man Utd
Andrew Robertson Ax10,1.6 - 2,Liverpool v Man Utd
Milos Kerkez Ax10,1.2 - 1.5,Liverpool v Man Utd
Curtis Jones Ax10,1.2 - 1.5,Liverpool v Man Utd
Wataru Endo Ax10,0.75 - 1,Liverpool v Man Utd
Mason Mount Ax10,0.75 - 1,Liverpool v Man Utd
Diogo Dalot Ax10,0.75 - 1,Liverpool v Man Utd
Joshua Zirkzee Ax10,0.75 - 1,Liverpool v Man Utd
Manuel Ugarte Ax10,0.5 - 0.7,Liverpool v Man Utd
Kobbie Mainoo Ax10,0.5 - 0.7,Liverpool v Man Utd
Virgil van Dijk Ax10,0.3 - 0.5,Liverpool v Man Utd
Noussair Mazraoui Ax10,0.3 - 0.5,Liverpool v Man Utd
Ibrahima Konate Ax10,0.2 - 0.4,Liverpool v Man Utd
Leny Yoro Ax10,0.1 - 0.3,Liverpool v Man Utd
Harry Maguire Ax10,0.1 - 0.3,Liverpool v Man Utd
Ayden Heaven Ax10,0.1 - 0.3,Liverpool v Man Utd
