,manager_id,gw,active_chip,automatic_subs,gw_points,points_on_bench,event_transfers,event_transfers_cost,total_points,picks,value,captain,vice_captain,bank,rank,rank_sort,overall_rank
31,1489651,32,,"[(178, 203), (60, 353)]",72,9,1,0,1991,"(77, 178, 5, 545, 362, 304, 308, 19, 60, 355, 85, 409, 353, 203, 238)",1040,308,355,2,1165206,1172693,24252
32,1489651,33,,"[(178, 545), (60, 353)]",73,6,0,0,2064,"(77, 203, 5, 178, 362, 304, 308, 19, 60, 355, 85, 409, 353, 545, 238)",1044,355,308,2,2505465,2518311,25079
33,1489651,34,,"[(178, 355)]",79,8,2,0,2143,"(77, 265, 5, 545, 178, 304, 308, 19, 226, 85, 60, 409, 362, 355, 238)",1041,308,355,16,4876990,4883027,59680
34,1489651,35,3xc,[],69,2,2,4,2208,"(409, 265, 5, 545, 19, 516, 362, 308, 60, 85, 211, 77, 226, 178, 238)",1044,362,516,48,1639398,1647753,73703
35,1489651,36,wildcard,[],111,7,0,0,2319,"(597, 369, 5, 198, 19, 362, 353, 516, 415, 211, 355, 409, 382, 265, 506)",1034,355,362,3,114787,117121,52829
36,1489651,37,bboost,[],131,0,0,0,2450,"(597, 369, 5, 198, 19, 362, 353, 516, 415, 211, 355, 409, 382, 265, 506)",1040,355,362,3,481138,481793,49522
37,1489651,38,,"[(506, 19)]",82,3,2,0,2532,"(597, 5, 369, 198, 506, 362, 308, 353, 211, 355, 232, 409, 19, 265, 382)",1041,308,355,1,661246,664566,35439
38,593464,1,,[],75,5,0,0,75,"(17, 131, 290, 369, 504, 396, 373, 382, 19, 60, 355, 28, 473, 324, 160)",1000,355,19,0,1648468,1671655,1648468
39,593464,2,,[],43,2,1,0,118,"(17, 131, 290, 369, 504, 396, 373, 199, 19, 60, 355, 28, 473, 324, 160)",1002,355,19,0,4991776,5000181,2661268
40,593464,3,,"[(473, 341)]",50,3,2,4,164,"(17, 473, 369, 131, 396, 373, 19, 199, 516, 355, 60, 28, 160, 324, 341)",1004,355,396,14,2660930,2666341,2577491
41,593464,4,,[],85,6,1,0,249,"(17, 203, 341, 369, 516, 396, 373, 199, 19, 60, 355, 28, 131, 324, 160)",1007,355,396,13,1263083,1268251,1493613
42,593464,5,,"[(28, 17)]",39,4,1,0,288,"(28, 341, 369, 203, 396, 373, 19, 199, 516, 355, 60, 17, 131, 33, 160)",1008,516,355,13,7192520,7203596,2055466
43,593464,6,,[],87,7,1,0,375,"(424, 203, 341, 369, 131, 516, 396, 373, 19, 60, 355, 28, 199, 33, 160)",1007,355,369,8,860156,863470,979951
44,593464,7,,"[(199, 703)]",55,7,1,0,430,"(424, 341, 369, 131, 199, 396, 373, 19, 516, 355, 60, 28, 703, 160, 33)",1007,355,369,10,3164180,3169075,868982
45,593464,8,,"[(33, 19)]",31,6,2,4,457,"(424, 369, 703, 36, 504, 373, 199, 516, 33, 355, 60, 28, 341, 19, 160)",1009,516,369,21,9034600,9036021,2002514
46,593464,9,,[],80,5,1,0,537,"(424, 703, 369, 36, 311, 516, 504, 373, 19, 60, 355, 28, 199, 33, 160)",1012,355,516,27,2408159,2414146,1689358
