scoreline,scoreline_odds,contest,Outcome
1-0,9/1,Aston Villa v Newcastle,Aston Villa Win
2-0,12/1,Aston Villa v Newcastle,Aston Villa Win
2-1,8/1,Aston Villa v Newcastle,Aston Villa Win
3-0,20/1,Aston Villa v Newcastle,Aston Villa Win
3-1,14/1,Aston Villa v Newcastle,Aston Villa Win
3-2,18/1,Aston Villa v Newcastle,Aston Villa Win
4-0,40/1,Aston Villa v Newcastle,Aston Villa Win
4-1,28/1,Aston Villa v Newcastle,Aston Villa Win
4-2,40/1,Aston Villa v Newcastle,Aston Villa Win
4-3,70/1,Aston Villa v Newcastle,Aston Villa Win
5-0,90/1,Aston Villa v Newcastle,Aston Villa Win
5-1,70/1,Aston Villa v Newcastle,Aston Villa Win
5-2,90/1,Aston Villa v Newcastle,Aston Villa Win
6-0,150/1,Aston Villa v Newcastle,Aston Villa Win
6-1,125/1,Aston Villa v Newcastle,Aston Villa Win
6-2,125/1,Aston Villa v Newcastle,Aston Villa Win
7-0,150/1,Aston Villa v Newcastle,Aston Villa Win
7-1,150/1,Aston Villa v Newcastle,Aston Villa Win
8-0,150/1,Aston Villa v Newcastle,Aston Villa Win
9-0,150/1,Aston Villa v Newcastle,Aston Villa Win
10-0,150/1,Aston Villa v Newcastle,Aston Villa Win
0-0,14/1,Aston Villa v Newcastle,Draw
1-1,6/1,Aston Villa v Newcastle,Draw
2-2,10/1,Aston Villa v Newcastle,Draw
3-3,33/1,Aston Villa v Newcastle,Draw
4-4,100/1,Aston Villa v Newcastle,Draw
1-0,11/1,Aston Villa v Newcastle,Newcastle Win
2-0,14/1,Aston Villa v Newcastle,Newcastle Win
2-1,9/1,Aston Villa v Newcastle,Newcastle Win
3-0,28/1,Aston Villa v Newcastle,Newcastle Win
3-1,18/1,Aston Villa v Newcastle,Newcastle Win
3-2,22/1,Aston Villa v Newcastle,Newcastle Win
4-0,66/1,Aston Villa v Newcastle,Newcastle Win
4-1,45/1,Aston Villa v Newcastle,Newcastle Win
4-2,50/1,Aston Villa v Newcastle,Newcastle Win
4-3,70/1,Aston Villa v Newcastle,Newcastle Win
5-0,125/1,Aston Villa v Newcastle,Newcastle Win
5-1,100/1,Aston Villa v Newcastle,Newcastle Win
5-2,100/1,Aston Villa v Newcastle,Newcastle Win
6-0,150/1,Aston Villa v Newcastle,Newcastle Win
6-1,150/1,Aston Villa v Newcastle,Newcastle Win
6-2,150/1,Aston Villa v Newcastle,Newcastle Win
7-0,150/1,Aston Villa v Newcastle,Newcastle Win
7-1,150/1,Aston Villa v Newcastle,Newcastle Win
8-0,150/1,Aston Villa v Newcastle,Newcastle Win
9-0,150/1,Aston Villa v Newcastle,Newcastle Win
10-0,150/1,Aston Villa v Newcastle,Newcastle Win
1-0,7/1,Brighton v Fulham,Brighton Win
2-0,17/2,Brighton v Fulham,Brighton Win
2-1,13/2,Brighton v Fulham,Brighton Win
3-0,14/1,Brighton v Fulham,Brighton Win
3-1,12/1,Brighton v Fulham,Brighton Win
3-2,18/1,Brighton v Fulham,Brighton Win
4-0,28/1,Brighton v Fulham,Brighton Win
4-1,25/1,Brighton v Fulham,Brighton Win
4-2,40/1,Brighton v Fulham,Brighton Win
4-3,70/1,Brighton v Fulham,Brighton Win
5-0,66/1,Brighton v Fulham,Brighton Win
5-1,60/1,Brighton v Fulham,Brighton Win
5-2,80/1,Brighton v Fulham,Brighton Win
6-0,125/1,Brighton v Fulham,Brighton Win
6-1,100/1,Brighton v Fulham,Brighton Win
6-2,125/1,Brighton v Fulham,Brighton Win
7-0,150/1,Brighton v Fulham,Brighton Win
7-1,150/1,Brighton v Fulham,Brighton Win
8-0,150/1,Brighton v Fulham,Brighton Win
9-0,150/1,Brighton v Fulham,Brighton Win
10-0,150/1,Brighton v Fulham,Brighton Win
0-0,12/1,Brighton v Fulham,Draw
1-1,11/2,Brighton v Fulham,Draw
2-2,11/1,Brighton v Fulham,Draw
3-3,40/1,Brighton v Fulham,Draw
4-4,125/1,Brighton v Fulham,Draw
1-0,12/1,Brighton v Fulham,Fulham Win
2-0,22/1,Brighton v Fulham,Fulham Win
2-1,12/1,Brighton v Fulham,Fulham Win
3-0,45/1,Brighton v Fulham,Fulham Win
3-1,28/1,Brighton v Fulham,Fulham Win
3-2,28/1,Brighton v Fulham,Fulham Win
4-0,100/1,Brighton v Fulham,Fulham Win
4-1,70/1,Brighton v Fulham,Fulham Win
4-2,80/1,Brighton v Fulham,Fulham Win
4-3,100/1,Brighton v Fulham,Fulham Win
5-0,150/1,Brighton v Fulham,Fulham Win
5-1,125/1,Brighton v Fulham,Fulham Win
5-2,150/1,Brighton v Fulham,Fulham Win
6-0,150/1,Brighton v Fulham,Fulham Win
6-1,150/1,Brighton v Fulham,Fulham Win
6-2,150/1,Brighton v Fulham,Fulham Win
7-0,150/1,Brighton v Fulham,Fulham Win
7-1,150/1,Brighton v Fulham,Fulham Win
8-0,150/1,Brighton v Fulham,Fulham Win
9-0,150/1,Brighton v Fulham,Fulham Win
1-0,17/2,Sunderland v West Ham,Sunderland Win
2-0,14/1,Sunderland v West Ham,Sunderland Win
2-1,9/1,Sunderland v West Ham,Sunderland Win
3-0,35/1,Sunderland v West Ham,Sunderland Win
3-1,25/1,Sunderland v West Ham,Sunderland Win
3-2,28/1,Sunderland v West Ham,Sunderland Win
4-0,80/1,Sunderland v West Ham,Sunderland Win
4-1,66/1,Sunderland v West Ham,Sunderland Win
4-2,80/1,Sunderland v West Ham,Sunderland Win
4-3,100/1,Sunderland v West Ham,Sunderland Win
5-0,150/1,Sunderland v West Ham,Sunderland Win
5-1,125/1,Sunderland v West Ham,Sunderland Win
5-2,150/1,Sunderland v West Ham,Sunderland Win
6-0,150/1,Sunderland v West Ham,Sunderland Win
6-1,150/1,Sunderland v West Ham,Sunderland Win
6-2,150/1,Sunderland v West Ham,Sunderland Win
7-0,150/1,Sunderland v West Ham,Sunderland Win
7-1,150/1,Sunderland v West Ham,Sunderland Win
8-0,150/1,Sunderland v West Ham,Sunderland Win
9-0,150/1,Sunderland v West Ham,Sunderland Win
0-0,9/1,Sunderland v West Ham,Draw
1-1,5/1,Sunderland v West Ham,Draw
2-2,12/1,Sunderland v West Ham,Draw
3-3,50/1,Sunderland v West Ham,Draw
4-4,150/1,Sunderland v West Ham,Draw
1-0,7/1,Sunderland v West Ham,West Ham Win
2-0,10/1,Sunderland v West Ham,West Ham Win
2-1,15/2,Sunderland v West Ham,West Ham Win
3-0,18/1,Sunderland v West Ham,West Ham Win
3-1,16/1,Sunderland v West Ham,West Ham Win
3-2,25/1,Sunderland v West Ham,West Ham Win
4-0,45/1,Sunderland v West Ham,West Ham Win
4-1,40/1,Sunderland v West Ham,West Ham Win
4-2,60/1,Sunderland v West Ham,West Ham Win
4-3,100/1,Sunderland v West Ham,West Ham Win
5-0,100/1,Sunderland v West Ham,West Ham Win
5-1,90/1,Sunderland v West Ham,West Ham Win
5-2,100/1,Sunderland v West Ham,West Ham Win
6-0,150/1,Sunderland v West Ham,West Ham Win
