scoreline,scoreline_odds,contest,Outcome
1-0,11/2,Chelsea v Sunderland,Chelsea Win
2-0,6/1,Chelsea v Sunderland,Chelsea Win
2-1,13/2,Chelsea v Sunderland,Chelsea Win
3-0,17/2,Chelsea v Sunderland,Chelsea Win
3-1,11/1,Chelsea v Sunderland,Chelsea Win
3-2,22/1,Chelsea v Sunderland,Chelsea Win
4-0,16/1,Chelsea v Sunderland,Chelsea Win
4-1,20/1,Chelsea v Sunderland,Chelsea Win
4-2,45/1,Chelsea v Sunderland,Chelsea Win
4-3,90/1,Chelsea v Sunderland,Chelsea Win
5-0,35/1,Chelsea v Sunderland,Chelsea Win
5-1,45/1,Chelsea v Sunderland,Chelsea Win
5-2,80/1,Chelsea v Sunderland,Chelsea Win
6-0,80/1,Chelsea v Sunderland,Chelsea Win
6-1,90/1,Chelsea v Sunderland,Chelsea Win
6-2,125/1,Chelsea v Sunderland,Chelsea Win
7-0,125/1,Chelsea v Sunderland,Chelsea Win
7-1,125/1,Chelsea v Sunderland,Chelsea Win
8-0,150/1,Chelsea v Sunderland,Chelsea Win
9-0,150/1,Chelsea v Sunderland,Chelsea Win
10-0,150/1,Chelsea v Sunderland,Chelsea Win
0-0,11/1,Chelsea v Sunderland,Draw
1-1,7/1,Chelsea v Sunderland,Draw
2-2,18/1,Chelsea v Sunderland,Draw
3-3,70/1,Chelsea v Sunderland,Draw
4-4,150/1,Chelsea v Sunderland,Draw
1-0,16/1,Chelsea v Sunderland,Sunderland Win
2-0,35/1,Chelsea v Sunderland,Sunderland Win
2-1,18/1,Chelsea v Sunderland,Sunderland Win
3-0,90/1,Chelsea v Sunderland,Sunderland Win
3-1,60/1,Chelsea v Sunderland,Sunderland Win
3-2,55/1,Chelsea v Sunderland,Sunderland Win
4-0,150/1,Chelsea v Sunderland,Sunderland Win
4-1,125/1,Chelsea v Sunderland,Sunderland Win
4-2,125/1,Chelsea v Sunderland,Sunderland Win
4-3,125/1,Chelsea v Sunderland,Sunderland Win
5-0,150/1,Chelsea v Sunderland,Sunderland Win
5-1,150/1,Chelsea v Sunderland,Sunderland Win
5-2,150/1,Chelsea v Sunderland,Sunderland Win
6-0,150/1,Chelsea v Sunderland,Sunderland Win
6-1,150/1,Chelsea v Sunderland,Sunderland Win
6-2,150/1,Chelsea v Sunderland,Sunderland Win
7-0,150/1,Chelsea v Sunderland,Sunderland Win
7-1,150/1,Chelsea v Sunderland,Sunderland Win
8-0,150/1,Chelsea v Sunderland,Sunderland Win
1-0,11/2,Newcastle v Fulham,Newcastle Win
2-0,13/2,Newcastle v Fulham,Newcastle Win
2-1,13/2,Newcastle v Fulham,Newcastle Win
3-0,11/1,Newcastle v Fulham,Newcastle Win
3-1,12/1,Newcastle v Fulham,Newcastle Win
3-2,22/1,Newcastle v Fulham,Newcastle Win
4-0,22/1,Newcastle v Fulham,Newcastle Win
4-1,25/1,Newcastle v Fulham,Newcastle Win
4-2,50/1,Newcastle v Fulham,Newcastle Win
4-3,100/1,Newcastle v Fulham,Newcastle Win
