scoreline,scoreline_odds,contest,Outcome
1-0,6/1,Arsenal v Nottingham Forest,Arsenal Win
2-0,11/2,Arsenal v Nottingham Forest,Arsenal Win
2-1,13/2,Arsenal v Nottingham Forest,Arsenal Win
3-0,8/1,Arsenal v Nottingham Forest,Arsenal Win
3-1,10/1,Arsenal v Nottingham Forest,Arsenal Win
3-2,22/1,Arsenal v Nottingham Forest,Arsenal Win
4-0,14/1,Arsenal v Nottingham Forest,Arsenal Win
4-1,18/1,Arsenal v Nottingham Forest,Arsenal Win
4-2,40/1,Arsenal v Nottingham Forest,Arsenal Win
4-3,90/1,Arsenal v Nottingham Forest,Arsenal Win
5-0,28/1,Arsenal v Nottingham Forest,Arsenal Win
5-1,35/1,Arsenal v Nottingham Forest,Arsenal Win
5-2,70/1,Arsenal v Nottingham Forest,Arsenal Win
6-0,65/1,Arsenal v Nottingham Forest,Arsenal Win
6-1,70/1,Arsenal v Nottingham Forest,Arsenal Win
6-2,125/1,Arsenal v Nottingham Forest,Arsenal Win
7-0,100/1,Arsenal v Nottingham Forest,Arsenal Win
7-1,125/1,Arsenal v Nottingham Forest,Arsenal Win
8-0,150/1,Arsenal v Nottingham Forest,Arsenal Win
9-0,150/1,Arsenal v Nottingham Forest,Arsenal Win
10-0,150/1,Arsenal v Nottingham Forest,Arsenal Win
0-0,12/1,Arsenal v Nottingham Forest,Draw
1-1,15/2,Arsenal v Nottingham Forest,Draw
2-2,18/1,Arsenal v Nottingham Forest,Draw
3-3,70/1,Arsenal v Nottingham Forest,Draw
4-4,150/1,Arsenal v Nottingham Forest,Draw
1-0,18/1,Arsenal v Nottingham Forest,Nottingham Forest Win
2-0,45/1,Arsenal v Nottingham Forest,Nottingham Forest Win
2-1,20/1,Arsenal v Nottingham Forest,Nottingham Forest Win
3-0,100/1,Arsenal v Nottingham Forest,Nottingham Forest Win
3-1,70/1,Arsenal v Nottingham Forest,Nottingham Forest Win
3-2,60/1,Arsenal v Nottingham Forest,Nottingham Forest Win
4-0,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
4-1,125/1,Arsenal v Nottingham Forest,Nottingham Forest Win
4-2,125/1,Arsenal v Nottingham Forest,Nottingham Forest Win
4-3,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
5-0,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
5-1,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
5-2,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
6-0,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
6-1,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
6-2,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
7-0,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
7-1,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
8-0,150/1,Arsenal v Nottingham Forest,Nottingham Forest Win
1-0,9/1,Bournemouth v Brighton,Bournemouth Win
2-0,12/1,Bournemouth v Brighton,Bournemouth Win
2-1,8/1,Bournemouth v Brighton,Bournemouth Win
