scoreline,scoreline_odds,contest,Outcome
1-0,7/1,West Ham v Sunderland,West Ham Win
2-0,11/1,West Ham v Sunderland,West Ham Win
2-1,15/2,West Ham v Sunderland,West Ham Win
3-0,22/1,West Ham v Sunderland,West Ham Win
3-1,20/1,West Ham v Sunderland,West Ham Win
3-2,28/1,West Ham v Sunderland,West Ham Win
4-0,60/1,West Ham v Sunderland,West Ham Win
4-1,50/1,West Ham v Sunderland,West Ham Win
4-2,70/1,West Ham v Sunderland,West Ham Win
4-3,100/1,West Ham v Sunderland,West Ham Win
5-0,100/1,West Ham v Sunderland,West Ham Win
5-1,100/1,West Ham v Sunderland,West Ham Win
5-2,125/1,West Ham v Sunderland,West Ham Win
6-0,150/1,West Ham v Sunderland,West Ham Win
6-1,150/1,West Ham v Sunderland,West Ham Win
6-2,150/1,West Ham v Sunderland,West Ham Win
7-0,150/1,West Ham v Sunderland,West Ham Win
7-1,150/1,West Ham v Sunderland,West Ham Win
8-0,150/1,West Ham v Sunderland,West Ham Win
9-0,150/1,West Ham v Sunderland,West Ham Win
10-0,150/1,West Ham v Sunderland,West Ham Win
0-0,8/1,West Ham v Sunderland,Draw
1-1,5/1,West Ham v Sunderland,Draw
2-2,12/1,West Ham v Sunderland,Draw
3-3,55/1,West Ham v Sunderland,Draw
4-4,150/1,West Ham v Sunderland,Draw
1-0,7/1,West Ham v Sunderland,Sunderland Win
2-0,12/1,West Ham v Sunderland,Sunderland Win
2-1,17/2,West Ham v Sunderland,Sunderland Win
3-0,28/1,West Ham v Sunderland,Sunderland Win
3-1,22/1,West Ham v Sunderland,Sunderland Win
3-2,28/1,West Ham v Sunderland,Sunderland Win
4-0,70/1,West Ham v Sunderland,Sunderland Win
4-1,60/1,West Ham v Sunderland,Sunderland Win
4-2,70/1,West Ham v Sunderland,Sunderland Win
4-3,100/1,West Ham v Sunderland,Sunderland Win
5-0,125/1,West Ham v Sunderland,Sunderland Win
5-1,125/1,West Ham v Sunderland,Sunderland Win
5-2,125/1,West Ham v Sunderland,Sunderland Win
6-0,150/1,West Ham v Sunderland,Sunderland Win
6-1,150/1,West Ham v Sunderland,Sunderland Win
6-2,150/1,West Ham v Sunderland,Sunderland Win
7-0,150/1,West Ham v Sunderland,Sunderland Win
7-1,150/1,West Ham v Sunderland,Sunderland Win
8-0,150/1,West Ham v Sunderland,Sunderland Win
9-0,150/1,West Ham v Sunderland,Sunderland Win
10-0,150/1,West Ham v Sunderland,Sunderland Win
1-0,9/1,Burnley v Tottenham,Burnley Win
2-0,16/1,Burnley v Tottenham,Burnley Win
2-1,10/1,Burnley v Tottenham,Burnley Win
3-0,40/1,Burnley v Tottenham,Burnley Win
3-1,28/1,Burnley v Tottenham,Burnley Win
3-2,35/1,Burnley v Tottenham,Burnley Win
4-0,100/1,Burnley v Tottenham,Burnley Win
4-1,80/1,Burnley v Tottenham,Burnley Win
4-2,90/1,Burnley v Tottenham,Burnley Win
4-3,100/1,Burnley v Tottenham,Burnley Win
5-0,150/1,Burnley v Tottenham,Burnley Win
5-1,150/1,Burnley v Tottenham,Burnley Win
5-2,150/1,Burnley v Tottenham,Burnley Win
6-0,150/1,Burnley v Tottenham,Burnley Win
6-1,150/1,Burnley v Tottenham,Burnley Win
6-2,150/1,Burnley v Tottenham,Burnley Win
7-0,150/1,Burnley v Tottenham,Burnley Win
7-1,150/1,Burnley v Tottenham,Burnley Win
8-0,150/1,Burnley v Tottenham,Burnley Win
9-0,150/1,Burnley v Tottenham,Burnley Win
0-0,17/2,Burnley v Tottenham,Draw
1-1,5/1,Burnley v Tottenham,Draw
2-2,12/1,Burnley v Tottenham,Draw
3-3,55/1,Burnley v Tottenham,Draw
4-4,150/1,Burnley v Tottenham,Draw
1-0,6/1,Burnley v Tottenham,Tottenham Win
2-0,15/2,Burnley v Tottenham,Tottenham Win
2-1,7/1,Burnley v Tottenham,Tottenham Win
3-0,16/1,Burnley v Tottenham,Tottenham Win
3-1,14/1,Burnley v Tottenham,Tottenham Win
3-2,25/1,Burnley v Tottenham,Tottenham Win
4-0,35/1,Burnley v Tottenham,Tottenham Win
4-1,35/1,Burnley v Tottenham,Tottenham Win
4-2,60/1,Burnley v Tottenham,Tottenham Win
4-3,100/1,Burnley v Tottenham,Tottenham Win
5-0,80/1,Burnley v Tottenham,Tottenham Win
5-1,80/1,Burnley v Tottenham,Tottenham Win
5-2,100/1,Burnley v Tottenham,Tottenham Win
6-0,150/1,Burnley v Tottenham,Tottenham Win
6-1,125/1,Burnley v Tottenham,Tottenham Win
6-2,150/1,Burnley v Tottenham,Tottenham Win
7-0,150/1,Burnley v Tottenham,Tottenham Win
7-1,150/1,Burnley v Tottenham,Tottenham Win
8-0,150/1,Burnley v Tottenham,Tottenham Win
9-0,150/1,Burnley v Tottenham,Tottenham Win
10-0,150/1,Burnley v Tottenham,Tottenham Win
1-0,17/2,Fulham v Brighton,Fulham Win
2-0,12/1,Fulham v Brighton,Fulham Win
2-1,8/1,Fulham v Brighton,Fulham Win
3-0,22/1,Fulham v Brighton,Fulham Win
3-1,16/1,Fulham v Brighton,Fulham Win
3-2,22/1,Fulham v Brighton,Fulham Win
4-0,50/1,Fulham v Brighton,Fulham Win
4-1,40/1,Fulham v Brighton,Fulham Win
4-2,55/1,Fulham v Brighton,Fulham Win
4-3,80/1,Fulham v Brighton,Fulham Win
5-0,100/1,Fulham v Brighton,Fulham Win
5-1,90/1,Fulham v Brighton,Fulham Win
5-2,100/1,Fulham v Brighton,Fulham Win
6-0,150/1,Fulham v Brighton,Fulham Win
6-1,150/1,Fulham v Brighton,Fulham Win
6-2,150/1,Fulham v Brighton,Fulham Win
7-0,150/1,Fulham v Brighton,Fulham Win
7-1,150/1,Fulham v Brighton,Fulham Win
8-0,150/1,Fulham v Brighton,Fulham Win
9-0,150/1,Fulham v Brighton,Fulham Win
10-0,150/1,Fulham v Brighton,Fulham Win
0-0,10/1,Fulham v Brighton,Draw
1-1,5/1,Fulham v Brighton,Draw
2-2,10/1,Fulham v Brighton,Draw
3-3,40/1,Fulham v Brighton,Draw
4-4,125/1,Fulham v Brighton,Draw
1-0,9/1,Fulham v Brighton,Brighton Win
2-0,12/1,Fulham v Brighton,Brighton Win
2-1,15/2,Fulham v Brighton,Brighton Win
3-0,25/1,Fulham v Brighton,Brighton Win
3-1,18/1,Fulham v Brighton,Brighton Win
3-2,22/1,Fulham v Brighton,Brighton Win
4-0,60/1,Fulham v Brighton,Brighton Win
4-1,45/1,Fulham v Brighton,Brighton Win
4-2,60/1,Fulham v Brighton,Brighton Win
4-3,90/1,Fulham v Brighton,Brighton Win
5-0,100/1,Fulham v Brighton,Brighton Win
5-1,100/1,Fulham v Brighton,Brighton Win
5-2,100/1,Fulham v Brighton,Brighton Win
6-0,150/1,Fulham v Brighton,Brighton Win
6-1,150/1,Fulham v Brighton,Brighton Win
6-2,150/1,Fulham v Brighton,Brighton Win
7-0,150/1,Fulham v Brighton,Brighton Win
7-1,150/1,Fulham v Brighton,Brighton Win
8-0,150/1,Fulham v Brighton,Brighton Win
