scoreline,scoreline_odds,contest,Outcome
1-0,12/1,Nottingham Forest v Chelsea,Nottingham Forest Win
2-0,20/1,Nottingham Forest v Chelsea,Nottingham Forest Win
2-1,11/1,Nottingham Forest v Chelsea,Nottingham Forest Win
3-0,45/1,Nottingham Forest v Chelsea,Nottingham Forest Win
3-1,28/1,Nottingham Forest v Chelsea,Nottingham Forest Win
3-2,28/1,Nottingham Forest v Chelsea,Nottingham Forest Win
4-0,100/1,Nottingham Forest v Chelsea,Nottingham Forest Win
4-1,70/1,Nottingham Forest v Chelsea,Nottingham Forest Win
4-2,70/1,Nottingham Forest v Chelsea,Nottingham Forest Win
4-3,100/1,Nottingham Forest v Chelsea,Nottingham Forest Win
5-0,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
5-1,125/1,Nottingham Forest v Chelsea,Nottingham Forest Win
5-2,125/1,Nottingham Forest v Chelsea,Nottingham Forest Win
6-0,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
6-1,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
6-2,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
7-0,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
7-1,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
8-0,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
9-0,150/1,Nottingham Forest v Chelsea,Nottingham Forest Win
0-0,12/1,Nottingham Forest v Chelsea,Draw
1-1,11/2,Nottingham Forest v Chelsea,Draw
2-2,11/1,Nottingham Forest v Chelsea,Draw
3-3,40/1,Nottingham Forest v Chelsea,Draw
4-4,125/1,Nottingham Forest v Chelsea,Draw
1-0,15/2,Nottingham Forest v Chelsea,Chelsea Win
2-0,9/1,Nottingham Forest v Chelsea,Chelsea Win
2-1,7/1,Nottingham Forest v Chelsea,Chelsea Win
3-0,14/1,Nottingham Forest v Chelsea,Chelsea Win
3-1,12/1,Nottingham Forest v Chelsea,Chelsea Win
3-2,18/1,Nottingham Forest v Chelsea,Chelsea Win
4-0,28/1,Nottingham Forest v Chelsea,Chelsea Win
4-1,25/1,Nottingham Forest v Chelsea,Chelsea Win
4-2,40/1,Nottingham Forest v Chelsea,Chelsea Win
4-3,70/1,Nottingham Forest v Chelsea,Chelsea Win
5-0,66/1,Nottingham Forest v Chelsea,Chelsea Win
5-1,60/1,Nottingham Forest v Chelsea,Chelsea Win
5-2,80/1,Nottingham Forest v Chelsea,Chelsea Win
6-0,125/1,Nottingham Forest v Chelsea,Chelsea Win
6-1,100/1,Nottingham Forest v Chelsea,Chelsea Win
6-2,125/1,Nottingham Forest v Chelsea,Chelsea Win
7-0,150/1,Nottingham Forest v Chelsea,Chelsea Win
7-1,150/1,Nottingham Forest v Chelsea,Chelsea Win
