scoreline,scoreline_odds,contest,Outcome
1-0,10/1,Brentford v Man Utd,Brentford Win
2-0,16/1,Brentford v Man Utd,Brentford Win
2-1,9/1,Brentford v Man Utd,Brentford Win
3-0,33/1,Brentford v Man Utd,Brentford Win
3-1,22/1,Brentford v Man Utd,Brentford Win
3-2,25/1,Brentford v Man Utd,Brentford Win
4-0,70/1,Brentford v Man Utd,Brentford Win
4-1,55/1,Brentford v Man Utd,Brentford Win
4-2,65/1,Brentford v Man Utd,Brentford Win
4-3,90/1,Brentford v Man Utd,Brentford Win
5-0,125/1,Brentford v Man Utd,Brentford Win
5-1,100/1,Brentford v Man Utd,Brentford Win
5-2,125/1,Brentford v Man Utd,Brentford Win
6-0,150/1,Brentford v Man Utd,Brentford Win
6-1,150/1,Brentford v Man Utd,Brentford Win
6-2,150/1,Brentford v Man Utd,Brentford Win
7-0,150/1,Brentford v Man Utd,Brentford Win
7-1,150/1,Brentford v Man Utd,Brentford Win
8-0,150/1,Brentford v Man Utd,Brentford Win
9-0,150/1,Brentford v Man Utd,Brentford Win
10-0,150/1,Brentford v Man Utd,Brentford Win
0-0,12/1,Brentford v Man Utd,Draw
1-1,6/1,Brentford v Man Utd,Draw
2-2,11/1,Brentford v Man Utd,Draw
3-3,40/1,Brentford v Man Utd,Draw
4-4,125/1,Brentford v Man Utd,Draw
1-0,8/1,Brentford v Man Utd,Man Utd Win
2-0,10/1,Brentford v Man Utd,Man Utd Win
2-1,15/2,Brentford v Man Utd,Man Utd Win
3-0,18/1,Brentford v Man Utd,Man Utd Win
3-1,14/1,Brentford v Man Utd,Man Utd Win
3-2,20/1,Brentford v Man Utd,Man Utd Win
4-0,40/1,Brentford v Man Utd,Man Utd Win
4-1,33/1,Brentford v Man Utd,Man Utd Win
4-2,45/1,Brentford v Man Utd,Man Utd Win
4-3,80/1,Brentford v Man Utd,Man Utd Win
5-0,80/1,Brentford v Man Utd,Man Utd Win
5-1,70/1,Brentford v Man Utd,Man Utd Win
5-2,90/1,Brentford v Man Utd,Man Utd Win
6-0,125/1,Brentford v Man Utd,Man Utd Win
6-1,125/1,Brentford v Man Utd,Man Utd Win
6-2,150/1,Brentford v Man Utd,Man Utd Win
7-0,150/1,Brentford v Man Utd,Man Utd Win
7-1,150/1,Brentford v Man Utd,Man Utd Win
8-0,150/1,Brentford v Man Utd,Man Utd Win
9-0,150/1,Brentford v Man Utd,Man Utd Win
10-0,150/1,Brentford v Man Utd,Man Utd Win
1-0,17/2,Chelsea v Brighton,Chelsea Win
2-0,9/1,Chelsea v Brighton,Chelsea Win
2-1,7/1,Chelsea v Brighton,Chelsea Win
3-0,14/1,Chelsea v Brighton,Chelsea Win
3-1,12/1,Chelsea v Brighton,Chelsea Win
3-2,18/1,Chelsea v Brighton,Chelsea Win
4-0,28/1,Chelsea v Brighton,Chelsea Win
4-1,25/1,Chelsea v Brighton,Chelsea Win
4-2,35/1,Chelsea v Brighton,Chelsea Win
4-3,66/1,Chelsea v Brighton,Chelsea Win
5-0,65/1,Chelsea v Brighton,Chelsea Win
5-1,55/1,Chelsea v Brighton,Chelsea Win
5-2,70/1,Chelsea v Brighton,Chelsea Win
6-0,100/1,Chelsea v Brighton,Chelsea Win
6-1,100/1,Chelsea v Brighton,Chelsea Win
6-2,125/1,Chelsea v Brighton,Chelsea Win
7-0,150/1,Chelsea v Brighton,Chelsea Win
7-1,150/1,Chelsea v Brighton,Chelsea Win
8-0,150/1,Chelsea v Brighton,Chelsea Win
9-0,150/1,Chelsea v Brighton,Chelsea Win
10-0,150/1,Chelsea v Brighton,Chelsea Win
0-0,14/1,Chelsea v Brighton,Draw
1-1,13/2,Chelsea v Brighton,Draw
2-2,11/1,Chelsea v Brighton,Draw
3-3,35/1,Chelsea v Brighton,Draw
4-4,100/1,Chelsea v Brighton,Draw
1-0,12/1,Chelsea v Brighton,Brighton Win
2-0,20/1,Chelsea v Brighton,Brighton Win
2-1,11/1,Chelsea v Brighton,Brighton Win
3-0,40/1,Chelsea v Brighton,Brighton Win
3-1,25/1,Chelsea v Brighton,Brighton Win
3-2,25/1,Chelsea v Brighton,Brighton Win
4-0,90/1,Chelsea v Brighton,Brighton Win
4-1,65/1,Chelsea v Brighton,Brighton Win
4-2,66/1,Chelsea v Brighton,Brighton Win
4-3,80/1,Chelsea v Brighton,Brighton Win
5-0,150/1,Chelsea v Brighton,Brighton Win
5-1,125/1,Chelsea v Brighton,Brighton Win
5-2,125/1,Chelsea v Brighton,Brighton Win
6-0,150/1,Chelsea v Brighton,Brighton Win
6-1,150/1,Chelsea v Brighton,Brighton Win
6-2,150/1,Chelsea v Brighton,Brighton Win
7-0,150/1,Chelsea v Brighton,Brighton Win
7-1,150/1,Chelsea v Brighton,Brighton Win
8-0,150/1,Chelsea v Brighton,Brighton Win
9-0,150/1,Chelsea v Brighton,Brighton Win
10-0,150/1,Chelsea v Brighton,Brighton Win
1-0,12/1,Crystal Palace v Liverpool,Crystal Palace Win
2-0,20/1,Crystal Palace v Liverpool,Crystal Palace Win
2-1,11/1,Crystal Palace v Liverpool,Crystal Palace Win
3-0,45/1,Crystal Palace v Liverpool,Crystal Palace Win
3-1,28/1,Crystal Palace v Liverpool,Crystal Palace Win
3-2,28/1,Crystal Palace v Liverpool,Crystal Palace Win
4-0,100/1,Crystal Palace v Liverpool,Crystal Palace Win
4-1,70/1,Crystal Palace v Liverpool,Crystal Palace Win
4-2,80/1,Crystal Palace v Liverpool,Crystal Palace Win
4-3,100/1,Crystal Palace v Liverpool,Crystal Palace Win
5-0,150/1,Crystal Palace v Liverpool,Crystal Palace Win
5-1,125/1,Crystal Palace v Liverpool,Crystal Palace Win
5-2,150/1,Crystal Palace v Liverpool,Crystal Palace Win
6-0,150/1,Crystal Palace v Liverpool,Crystal Palace Win
6-1,150/1,Crystal Palace v Liverpool,Crystal Palace Win
6-2,150/1,Crystal Palace v Liverpool,Crystal Palace Win
7-0,150/1,Crystal Palace v Liverpool,Crystal Palace Win
7-1,150/1,Crystal Palace v Liverpool,Crystal Palace Win
8-0,150/1,Crystal Palace v Liverpool,Crystal Palace Win
9-0,150/1,Crystal Palace v Liverpool,Crystal Palace Win
0-0,12/1,Crystal Palace v Liverpool,Draw
1-1,6/1,Crystal Palace v Liverpool,Draw
2-2,12/1,Crystal Palace v Liverpool,Draw
3-3,40/1,Crystal Palace v Liverpool,Draw
4-4,125/1,Crystal Palace v Liverpool,Draw
1-0,15/2,Crystal Palace v Liverpool,Liverpool Win
2-0,17/2,Crystal Palace v Liverpool,Liverpool Win
2-1,7/1,Crystal Palace v Liverpool,Liverpool Win
3-0,14/1,Crystal Palace v Liverpool,Liverpool Win
3-1,12/1,Crystal Palace v Liverpool,Liverpool Win
3-2,18/1,Crystal Palace v Liverpool,Liverpool Win
4-0,28/1,Crystal Palace v Liverpool,Liverpool Win
4-1,25/1,Crystal Palace v Liverpool,Liverpool Win
4-2,40/1,Crystal Palace v Liverpool,Liverpool Win
4-3,70/1,Crystal Palace v Liverpool,Liverpool Win
5-0,66/1,Crystal Palace v Liverpool,Liverpool Win
5-1,60/1,Crystal Palace v Liverpool,Liverpool Win
5-2,80/1,Crystal Palace v Liverpool,Liverpool Win
6-0,125/1,Crystal Palace v Liverpool,Liverpool Win
6-1,100/1,Crystal Palace v Liverpool,Liverpool Win
6-2,125/1,Crystal Palace v Liverpool,Liverpool Win
7-0,150/1,Crystal Palace v Liverpool,Liverpool Win
7-1,150/1,Crystal Palace v Liverpool,Liverpool Win
8-0,150/1,Crystal Palace v Liverpool,Liverpool Win
9-0,150/1,Crystal Palace v Liverpool,Liverpool Win
10-0,150/1,Crystal Palace v Liverpool,Liverpool Win
1-0,8/1,Leeds v Bournemouth,Leeds Win
2-0,12/1,Leeds v Bournemouth,Leeds Win
2-1,17/2,Leeds v Bournemouth,Leeds Win
3-0,28/1,Leeds v Bournemouth,Leeds Win
3-1,20/1,Leeds v Bournemouth,Leeds Win
3-2,25/1,Leeds v Bournemouth,Leeds Win
4-0,66/1,Leeds v Bournemouth,Leeds Win
4-1,50/1,Leeds v Bournemouth,Leeds Win
4-2,70/1,Leeds v Bournemouth,Leeds Win
4-3,100/1,Leeds v Bournemouth,Leeds Win
5-0,125/1,Leeds v Bournemouth,Leeds Win
5-1,100/1,Leeds v Bournemouth,Leeds Win
5-2,125/1,Leeds v Bournemouth,Leeds Win
