scoreline,scoreline_odds,contest,Outcome
1-0,9/1,Man Utd v Newcastle,Man Utd Win
2-0,11/1,Man Utd v Newcastle,Man Utd Win
2-1,15/2,Man Utd v Newcastle,Man Utd Win
3-0,20/1,Man Utd v Newcastle,Man Utd Win
3-1,14/1,Man Utd v Newcastle,Man Utd Win
3-2,20/1,Man Utd v Newcastle,Man Utd Win
4-0,45/1,Man Utd v Newcastle,Man Utd Win
4-1,35/1,Man Utd v Newcastle,Man Utd Win
4-2,45/1,Man Utd v Newcastle,Man Utd Win
4-3,70/1,Man Utd v Newcastle,Man Utd Win
5-0,100/1,Man Utd v Newcastle,Man Utd Win
5-1,80/1,Man Utd v Newcastle,Man Utd Win
5-2,90/1,Man Utd v Newcastle,Man Utd Win
6-0,150/1,Man Utd v Newcastle,Man Utd Win
6-1,125/1,Man Utd v Newcastle,Man Utd Win
6-2,150/1,Man Utd v Newcastle,Man Utd Win
7-0,150/1,Man Utd v Newcastle,Man Utd Win
7-1,150/1,Man Utd v Newcastle,Man Utd Win
8-0,150/1,Man Utd v Newcastle,Man Utd Win
9-0,150/1,Man Utd v Newcastle,Man Utd Win
10-0,150/1,Man Utd v Newcastle,Man Utd Win
0-0,12/1,Man Utd v Newcastle,Draw
1-1,6/1,Man Utd v Newcastle,Draw
2-2,10/1,Man Utd v Newcastle,Draw
3-3,35/1,Man Utd v Newcastle,Draw
4-4,125/1,Man Utd v Newcastle,Draw
1-0,10/1,Man Utd v Newcastle,Newcastle Win
2-0,14/1,Man Utd v Newcastle,Newcastle Win
2-1,9/1,Man Utd v Newcastle,Newcastle Win
3-0,28/1,Man Utd v Newcastle,Newcastle Win
3-1,18/1,Man Utd v Newcastle,Newcastle Win
3-2,22/1,Man Utd v Newcastle,Newcastle Win
4-0,60/1,Man Utd v Newcastle,Newcastle Win
4-1,45/1,Man Utd v Newcastle,Newcastle Win
4-2,55/1,Man Utd v Newcastle,Newcastle Win
4-3,80/1,Man Utd v Newcastle,Newcastle Win
5-0,125/1,Man Utd v Newcastle,Newcastle Win
5-1,100/1,Man Utd v Newcastle,Newcastle Win
5-2,100/1,Man Utd v Newcastle,Newcastle Win
6-0,150/1,Man Utd v Newcastle,Newcastle Win
6-1,150/1,Man Utd v Newcastle,Newcastle Win
6-2,150/1,Man Utd v Newcastle,Newcastle Win
