scoreline,scoreline_odds,contest,Outcome
1-0,10/1,Aston Villa v Arsenal,Aston Villa Win
2-0,20/1,Aston Villa v Arsenal,Aston Villa Win
2-1,12/1,Aston Villa v Arsenal,Aston Villa Win
3-0,50/1,Aston Villa v Arsenal,Aston Villa Win
3-1,35/1,Aston Villa v Arsenal,Aston Villa Win
3-2,40/1,Aston Villa v Arsenal,Aston Villa Win
4-0,100/1,Aston Villa v Arsenal,Aston Villa Win
4-1,90/1,Aston Villa v Arsenal,Aston Villa Win
4-2,100/1,Aston Villa v Arsenal,Aston Villa Win
4-3,125/1,Aston Villa v Arsenal,Aston Villa Win
5-0,150/1,Aston Villa v Arsenal,Aston Villa Win
5-1,150/1,Aston Villa v Arsenal,Aston Villa Win
5-2,150/1,Aston Villa v Arsenal,Aston Villa Win
6-0,150/1,Aston Villa v Arsenal,Aston Villa Win
6-1,150/1,Aston Villa v Arsenal,Aston Villa Win
6-2,150/1,Aston Villa v Arsenal,Aston Villa Win
7-0,150/1,Aston Villa v Arsenal,Aston Villa Win
7-1,150/1,Aston Villa v Arsenal,Aston Villa Win
8-0,150/1,Aston Villa v Arsenal,Aston Villa Win
9-0,150/1,Aston Villa v Arsenal,Aston Villa Win
0-0,9/1,Aston Villa v Arsenal,Draw
1-1,11/2,Aston Villa v Arsenal,Draw
2-2,14/1,Aston Villa v Arsenal,Draw
3-3,60/1,Aston Villa v Arsenal,Draw
4-4,150/1,Aston Villa v Arsenal,Draw
1-0,11/2,Aston Villa v Arsenal,Arsenal Win
2-0,15/2,Aston Villa v Arsenal,Arsenal Win
2-1,13/2,Aston Villa v Arsenal,Arsenal Win
3-0,14/1,Aston Villa v Arsenal,Arsenal Win
3-1,14/1,Aston Villa v Arsenal,Arsenal Win
3-2,22/1,Aston Villa v Arsenal,Arsenal Win
4-0,33/1,Aston Villa v Arsenal,Arsenal Win
4-1,33/1,Aston Villa v Arsenal,Arsenal Win
4-2,55/1,Aston Villa v Arsenal,Arsenal Win
4-3,100/1,Aston Villa v Arsenal,Arsenal Win
5-0,70/1,Aston Villa v Arsenal,Arsenal Win
5-1,70/1,Aston Villa v Arsenal,Arsenal Win
5-2,100/1,Aston Villa v Arsenal,Arsenal Win
6-0,125/1,Aston Villa v Arsenal,Arsenal Win
6-1,125/1,Aston Villa v Arsenal,Arsenal Win
6-2,150/1,Aston Villa v Arsenal,Arsenal Win
7-0,150/1,Aston Villa v Arsenal,Arsenal Win
7-1,150/1,Aston Villa v Arsenal,Arsenal Win
8-0,150/1,Aston Villa v Arsenal,Arsenal Win
9-0,150/1,Aston Villa v Arsenal,Arsenal Win
10-0,150/1,Aston Villa v Arsenal,Arsenal Win
1-0,10/1,Bournemouth v Chelsea,Bournemouth Win
2-0,14/1,Bournemouth v Chelsea,Bournemouth Win
2-1,9/1,Bournemouth v Chelsea,Bournemouth Win
3-0,28/1,Bournemouth v Chelsea,Bournemouth Win
3-1,20/1,Bournemouth v Chelsea,Bournemouth Win
3-2,22/1,Bournemouth v Chelsea,Bournemouth Win
4-0,70/1,Bournemouth v Chelsea,Bournemouth Win
4-1,50/1,Bournemouth v Chelsea,Bournemouth Win
4-2,60/1,Bournemouth v Chelsea,Bournemouth Win
4-3,80/1,Bournemouth v Chelsea,Bournemouth Win
5-0,125/1,Bournemouth v Chelsea,Bournemouth Win
5-1,100/1,Bournemouth v Chelsea,Bournemouth Win
5-2,100/1,Bournemouth v Chelsea,Bournemouth Win
6-0,150/1,Bournemouth v Chelsea,Bournemouth Win
6-1,150/1,Bournemouth v Chelsea,Bournemouth Win
6-2,150/1,Bournemouth v Chelsea,Bournemouth Win
7-0,150/1,Bournemouth v Chelsea,Bournemouth Win
7-1,150/1,Bournemouth v Chelsea,Bournemouth Win
8-0,150/1,Bournemouth v Chelsea,Bournemouth Win
9-0,150/1,Bournemouth v Chelsea,Bournemouth Win
10-0,150/1,Bournemouth v Chelsea,Bournemouth Win
0-0,12/1,Bournemouth v Chelsea,Draw
1-1,11/2,Bournemouth v Chelsea,Draw
2-2,10/1,Bournemouth v Chelsea,Draw
3-3,40/1,Bournemouth v Chelsea,Draw
4-4,125/1,Bournemouth v Chelsea,Draw
1-0,17/2,Bournemouth v Chelsea,Chelsea Win
2-0,11/1,Bournemouth v Chelsea,Chelsea Win
2-1,15/2,Bournemouth v Chelsea,Chelsea Win
3-0,20/1,Bournemouth v Chelsea,Chelsea Win
3-1,16/1,Bournemouth v Chelsea,Chelsea Win
3-2,20/1,Bournemouth v Chelsea,Chelsea Win
4-0,45/1,Bournemouth v Chelsea,Chelsea Win
4-1,35/1,Bournemouth v Chelsea,Chelsea Win
4-2,45/1,Bournemouth v Chelsea,Chelsea Win
4-3,80/1,Bournemouth v Chelsea,Chelsea Win
5-0,90/1,Bournemouth v Chelsea,Chelsea Win
5-1,80/1,Bournemouth v Chelsea,Chelsea Win
5-2,100/1,Bournemouth v Chelsea,Chelsea Win
6-0,150/1,Bournemouth v Chelsea,Chelsea Win
6-1,125/1,Bournemouth v Chelsea,Chelsea Win
6-2,150/1,Bournemouth v Chelsea,Chelsea Win
7-0,150/1,Bournemouth v Chelsea,Chelsea Win
7-1,150/1,Bournemouth v Chelsea,Chelsea Win
8-0,150/1,Bournemouth v Chelsea,Chelsea Win
9-0,150/1,Bournemouth v Chelsea,Chelsea Win
10-0,150/1,Bournemouth v Chelsea,Chelsea Win
1-0,11/2,Everton v Nottingham Forest,Everton Win
2-0,17/2,Everton v Nottingham Forest,Everton Win
2-1,7/1,Everton v Nottingham Forest,Everton Win
