assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
1,2,42,1,61.7,17,0.37,0.72,0.35,0.32,2,0,1,20.4,64.2,2024-08-17,79,0,0,0,0,0,0,0,False,20,0,0,0,0,1,0,2763895,1,0,2,78.0,12,0,0,0,100,True,1,17,,,Bukayo Saka,1,5,0.5200634598731995,81,FWR,Arsenal,Wolverhampton Wanderers,2,0,26604,2024,666303,0.5791332125663757,1,5,1,0.5200634598731995,1.1058757305145264,0.1120352745056152,26604,Arsenal,Bukayo Saka,Bukayo Saka,MID,3,5,1
1,0,21,1,27.4,17,0.1,0.15,0.05,1.25,11,0,0,8.2,27.8,2024-08-24,87,0,0,0,0,0,0,0,False,2,0,0,0,0,2,0,3227441,1,2,0,27.0,6,141942,240288,98346,100,False,0,17,,,Bukayo Saka,0,1,0.0657912641763687,90,FWR,Aston Villa,Arsenal,0,2,26618,2024,668283,0.0790832117199897,1,2,0,0.0657912641763687,0.7590441703796387,0.6655474305152893,26618,Arsenal,Bukayo Saka,Bukayo Saka,MID,5,4,2
1,1,21,0,21.2,17,0.2,1.15,0.95,1.83,21,1,0,14.4,34.8,2024-08-31,90,0,0,0,0,0,0,0,False,5,0,0,0,0,3,0,3421437,1,1,1,88.0,6,99888,349415,249527,101,True,0,17,,,Bukayo Saka,0,4,1.1870512962341309,90,FWR,Arsenal,Brighton,1,1,26622,2024,671516,0.4548189043998718,1,1,0,1.1870512962341309,1.6355795860290527,0.356485903263092,26622,Arsenal,Bukayo Saka,Bukayo Saka,MID,3,5,3
1,1,25,1,35.0,17,0.35,0.4,0.05,0.65,39,0,0,7.5,27.0,2024-09-15,85,0,0,0,0,0,0,0,False,18,0,0,0,0,4,0,3080836,1,1,0,13.0,7,-374238,222878,597116,101,False,0,17,,,Bukayo Saka,0,1,0.0924596041440963,89,FWR,Tottenham,Arsenal,0,1,26640,2024,674326,0.5478164553642273,1,2,0,0.0924596041440963,0.0924596041440963,0.0,26640,Arsenal,Bukayo Saka,Bukayo Saka,MID,5,3,4
1,0,19,0,28.8,17,0.41,0.41,0.0,0.6,47,1,0,4.7,18.6,2024-09-22,45,0,0,0,0,0,0,0,False,13,0,0,0,0,5,0,2931215,1,2,2,0.0,4,-162362,93151,255513,100,False,0,17,,,Bukayo Saka,0,0,0.0,55,MR,Manchester City,Arsenal,2,2,26651,2024,676604,1.0786733627319336,1,2,0,0.0,0.0,0.0,26651,Arsenal,Bukayo Saka,Bukayo Saka,MID,5,4,5
0,1,37,0,114.3,17,0.79,1.08,0.29,0.32,51,2,0,21.5,38.6,2024-09-28,90,0,0,0,0,0,0,0,False,11,0,0,0,0,6,0,3545117,1,2,4,62.0,3,562324,685947,123623,101,True,0,17,,,Bukayo Saka,0,7,0.3790136873722076,90,MR,Arsenal,Leicester,4,2,26655,2024,677838,1.5674549341201782,0,8,0,0.3790136873722076,1.600804090499878,0.920784056186676,26655,Arsenal,Bukayo Saka,Bukayo Saka,MID,1,5,6
2,3,67,0,90.0,17,0.93,1.24,0.31,0.65,61,1,1,24.7,84.2,2024-10-05,90,0,0,0,0,0,0,0,False,17,0,0,0,0,7,0,3491722,1,1,3,73.0,16,-59558,188957,248515,101,True,0,17,,,Bukayo Saka,1,7,0.4685430228710174,90,MR,Arsenal,Southampton,3,1,26666,2024,679519,1.766523361206055,2,7,1,0.4685430228710174,1.4920024871826172,0.0594993941485881,26666,Arsenal,Bukayo Saka,Bukayo Saka,MID,1,5,7
0,2,30,0,1.4,17,0.01,0.24,0.23,0.85,81,2,1,5.9,34.0,2024-10-27,84,0,0,0,0,0,0,0,False,12,0,0,0,0,9,0,2353764,1,2,2,24.0,9,-1132341,16438,1148779,100,True,0,17,,,Bukayo Saka,1,2,0.2940496206283569,89,MR,Arsenal,Liverpool,2,2,26691,2024,683700,0.0,0,0,1,0.2940496206283569,0.3313555419445038,0.2809110283851623,26691,Arsenal,Bukayo Saka,Bukayo Saka,MID,5,5,9
0,0,9,0,22.9,17,0.25,0.45,0.2,0.53,96,1,0,4.7,7.4,2024-11-02,90,0,0,0,0,0,0,0,False,15,0,0,0,0,10,0,2699785,1,0,1,17.0,2,284123,393216,109093,101,False,0,17,,,Bukayo Saka,0,2,0.1092699095606803,90,MR,Newcastle United,Arsenal,1,0,26694,2024,684671,0.4386461973190307,0,1,0,0.1092699095606803,0.5479161143302917,0.0588595233857631,26694,Arsenal,Bukayo Saka,Bukayo Saka,MID,5,4,10
0,0,3,0,3.4,17,0.01,0.04,0.03,1.24,103,1,0,1.4,1.4,2024-11-10,80,0,0,0,0,0,0,0,False,6,0,0,0,0,11,0,2732842,1,1,1,9.0,2,37774,170244,132470,101,False,0,17,,,Bukayo Saka,0,2,0.0572585500776767,84,FWR,Chelsea,Arsenal,1,1,26705,2024,687577,0.0,0,0,0,0.0572585500776767,0.5034726858139038,0.4462141394615173,26705,Arsenal,Bukayo Saka,Bukayo Saka,MID,5,4,11
