assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,0,17,0,15.3,82,0.15,0.49,0.34,1.02,10,1,0,9.5,19.0,2024-08-19,90,0,0,0,0,0,0,0,False,11,0,0,0,0,1,0,2587953,1,1,1,61.0,2,0,0,0,75,False,0,82,,,0,3,0.3907881677150726,90,FW,Leicester,Tottenham,1,1,26611,2024,667464,0.0846512243151664,0,1,0,0.3907881677150726,0.2030326277017593,0.0,26611,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,1,1
0,0,0,0,4.8,82,0.03,0.2,0.17,0.73,39,1,0,1.7,0.0,2024-09-15,90,0,0,0,0,0,0,0,False,1,0,0,0,0,4,0,697234,1,1,0,13.0,2,-349672,22974,372646,75,True,0,82,,,0,2,0.2038742303848266,90,FW,Tottenham,Arsenal,0,1,26640,2024,674313,0.0,0,0,0,0.2038742303848266,0.3089618682861328,0.1050876453518867,26640,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,5,3,4
0,0,26,0,4.8,82,0.07,1.68,1.61,0.8,49,1,1,9.9,39.0,2024-09-21,87,0,0,0,0,0,0,0,False,4,0,0,0,0,5,0,811901,1,1,3,55.0,6,93953,157210,63257,75,True,0,82,,,1,4,2.210404872894287,90,FW,Tottenham,Brentford,3,1,26648,2024,675785,0.0,0,0,1,2.210404872894287,2.416572332382202,0.2061675190925598,26648,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,3,3,5
0,0,29,1,16.3,82,0.01,1.34,1.33,0.96,57,0,1,14.0,46.2,2024-09-29,90,0,0,0,0,0,0,0,False,14,0,0,0,0,6,0,922429,1,3,0,77.0,6,108140,241765,133625,75,False,0,82,,,1,4,1.6602176427841189,90,FW,Manchester United,Tottenham,0,3,26660,2024,678667,0.072849340736866,0,1,1,1.6602176427841189,1.2001686096191406,0.4455654919147491,26660,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,6
1,0,19,0,15.0,82,0.29,0.29,0.0,1.82,64,3,0,3.6,17.2,2024-10-06,90,0,0,0,0,0,0,0,False,5,0,0,0,0,7,0,1173693,1,2,3,4.0,5,231127,279572,48445,76,False,0,82,,,0,0,0.0,90,FW,Brighton,Tottenham,3,2,26671,2024,680443,0.3653575778007507,1,1,0,0.0,0.5927090048789978,0.2273514121770858,26671,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,7
0,0,-1,0,12.3,82,0.03,0.11,0.08,0.78,79,1,0,2.4,5.6,2024-10-19,80,0,0,0,0,0,0,0,False,19,0,0,0,0,8,0,1456142,1,1,4,6.0,2,266291,314271,47980,77,True,0,82,,,0,1,0.0744616985321044,82,FW,Tottenham,West Ham,4,1,26672,2024,680949,0.0881458893418312,0,1,0,0.0744616985321044,0.4128959476947784,0.3247500658035278,26672,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,8
0,0,4,0,2.8,82,0.01,0.03,0.02,0.83,86,1,0,2.3,6.0,2024-10-27,90,0,0,0,0,0,0,0,False,7,0,0,0,0,9,0,1398344,1,0,1,14.0,2,-50533,60336,110869,77,False,0,82,,,0,1,0.0206185169517993,90,FW,Crystal Palace,Tottenham,1,0,26689,2024,683501,0.0,0,0,0,0.0206185169517993,0.3533931374549866,0.3533931374549866,26689,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,9
1,3,71,0,0.3,82,0.0,1.52,1.52,1.86,99,1,2,13.5,71.0,2024-11-03,90,0,0,0,0,0,0,0,False,2,0,0,0,0,10,0,1160217,1,1,4,64.0,16,-239678,18408,258086,76,True,0,82,,,2,5,1.2228037118911743,90,FW,Tottenham,Aston Villa,4,1,26700,2024,685523,0.0,0,0,2,1.2228037118911743,1.1977622509002686,0.0,26700,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,3,3,10
0,0,6,0,1.6,82,0.02,0.4,0.38,1.74,108,2,0,6.6,18.2,2024-11-10,90,0,0,0,0,0,0,0,False,10,0,0,0,0,11,0,1853239,1,2,1,46.0,2,637587,662653,25066,77,True,0,82,,,0,4,0.4749073684215545,90,FW,Tottenham,Ipswich,1,2,26709,2024,687291,0.0,0,0,0,0.4749073684215545,0.4749073684215545,0.0,26709,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,11
1,0,21,1,21.5,82,0.05,0.17,0.12,2.14,118,0,0,6.2,21.8,2024-11-23,90,0,0,0,0,0,0,0,False,13,0,0,0,0,12,0,1408248,1,4,0,19.0,5,-395645,37648,433293,77,False,0,82,,,0,1,0.1025303304195404,90,FW,Manchester City,Tottenham,0,4,26720,2024,688690,0.578758180141449,1,2,0,0.1025303304195404,0.6812885403633118,0.0,26720,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,4,12
0,0,6,0,12.3,82,0.04,0.22,0.18,3.31,133,1,0,3.3,2.0,2024-12-05,90,0,0,0,0,0,0,0,False,3,0,0,0,0,14,0,1101443,1,0,1,19.0,2,-290191,19121,309312,76,False,0,82,,,0,3,0.2338180094957351,90,FW,Bournemouth,Tottenham,1,0,26732,2024,691656,0.0380487032234668,0,1,0,0.2338180094957351,0.2456770986318588,0.0,26732,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,14
0,0,35,0,21.6,82,0.0,0.94,0.94,2.83,149,4,1,10.6,45.4,2024-12-08,90,0,0,0,0,0,0,0,False,6,0,0,0,0,15,0,933381,1,4,3,39.0,6,-171145,7799,178944,75,True,0,82,,,1,3,1.1056032180786133,90,FW,Tottenham,Chelsea,3,4,26745,2024,693023,0.3722796440124511,0,2,1,1.1056032180786133,1.8645139932632449,0.3866311311721802,26745,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,3,3,15
1,0,12,1,0.2,82,0.0,0.28,0.28,0.83,159,0,0,0.9,0.0,2024-12-15,81,0,0,0,0,0,0,0,False,17,0,0,0,0,16,0,983599,1,5,0,10.0,5,33651,80959,47308,75,False,0,82,,,0,1,0.1461930274963379,86,FW,Southampton,Tottenham,0,5,26759,2024,694641,0.0,0,0,0,0.1461930274963379,0.4864433109760284,0.3402502834796905,26759,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,1,16
1,0,43,0,21.2,82,0.17,0.64,0.47,4.6,169,6,1,12.0,57.4,2024-12-22,90,0,0,0,0,0,0,0,False,12,0,0,0,0,17,0,922599,1,6,3,41.0,9,-58183,30498,88681,75,True,0,82,,,1,1,0.5696644186973572,90,FW,Tottenham,Liverpool,3,6,26768,2024,695852,0.3904405534267425,1,2,1,0.5696644186973572,0.6826319694519043,0.0,26768,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,5,3,17
0,0,2,0,4.9,82,0.07,0.19,0.12,1.12,178,1,0,3.2,3.8,2024-12-26,90,0,0,0,0,0,0,0,False,16,0,0,0,0,18,0,1048481,1,0,1,23.0,2,113668,161686,48018,75,False,0,82,,,0,3,0.142747163772583,90,FW,Nottingham Forest,Tottenham,1,0,26779,2024,696263,0.0,0,0,0,0.142747163772583,0.1503628939390182,0.0292727127671241,26779,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,4,18
0,0,2,0,11.7,82,0.02,0.18,0.16,0.72,189,2,0,3.3,0.2,2024-12-29,90,0,0,0,0,0,0,0,False,20,0,0,0,0,19,0,1094146,1,2,2,21.0,2,42793,107403,64610,75,True,0,82,,,0,3,0.1574238836765289,90,FW,Tottenham,Wolverhampton Wanderers,2,2,26790,2024,696742,0.2503125071525574,0,1,0,0.1574238836765289,0.4351382255554199,0.0607743747532367,26790,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,3,3,19
0,3,31,0,1.7,82,0.12,0.58,0.46,2.53,199,2,1,9.4,43.4,2025-01-04,90,0,0,0,0,0,0,0,False,15,0,0,0,0,20,0,991867,1,2,1,49.0,9,-101527,48488,150015,75,True,0,82,,,1,4,0.6524270176887512,90,FW,Tottenham,Newcastle United,1,2,26800,2024,697111,0.0,0,0,1,0.6524270176887512,0.7323412895202637,0.0799142643809318,26800,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,4,3,20
0,0,2,0,0.1,82,0.0,0.25,0.25,1.45,201,2,0,1.2,0.0,2025-01-15,90,0,0,0,0,0,0,0,False,1,1,0,0,0,21,0,1004194,1,1,2,20.0,0,2715,75439,72724,75,False,0,82,,,0,3,0.2135417014360427,90,FW,Arsenal,Tottenham,2,1,26802,2024,699529,0.0,0,0,0,0.2135417014360427,0.2445584237575531,0.03101671859622,26802,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,5,21
0,0,5,0,13.4,82,0.01,0.13,0.12,2.2,278,2,0,4.7,6.6,2025-03-09,90,0,0,0,0,0,0,0,False,3,0,0,0,0,28,0,495815,1,2,2,27.0,2,-4040,4094,8134,73,True,0,82,,,0,2,0.1117338165640831,90,FW,Tottenham,Bournemouth,2,2,26879,2024,711944,0.1276262402534485,0,1,0,0.1117338165640831,0.0484866611659526,0.0,26879,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,3,3,28
0,0,-3,0,1.0,82,0.0,0.61,0.61,0.97,285,2,0,4.2,10.4,2025-03-16,90,0,0,0,0,0,0,0,False,9,0,0,0,0,29,0,583959,1,0,2,31.0,2,46913,50975,4062,73,False,0,82,,,0,4,0.8795252442359924,90,FW,Fulham,Tottenham,2,0,26886,2024,713707,0.0,0,0,0,0.8795252442359924,1.1402195692062378,0.2694910168647766,26886,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,29
0,0,6,0,0.5,82,0.01,0.01,0.0,1.09,296,1,0,0.5,2.4,2025-04-03,90,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,540385,1,0,1,2.0,2,-3639,15250,18889,73,False,0,82,,,0,0,0.0,90,FW,Chelsea,Tottenham,1,0,26897,2024,716289,0.0,0,0,0,0.0,0.6265213489532471,0.6265213489532471,26897,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,4,30
0,0,9,1,12.1,82,0.01,0.23,0.22,0.71,309,0,0,4.3,10.6,2025-04-06,86,0,0,0,0,0,0,0,False,17,0,0,0,0,31,0,627003,1,1,3,20.0,2,82829,91759,8930,73,True,0,82,,,0,3,0.2720260918140411,90,FW,Tottenham,Southampton,3,1,26910,2024,717486,0.0926750525832176,0,1,0,0.2720260918140411,0.973023235797882,0.7009971737861633,26910,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,1,3,31
0,0,-3,0,1.7,82,0.02,0.48,0.46,1.8,320,3,0,0.0,0.0,2025-04-13,74,0,0,0,0,0,0,0,False,20,0,0,0,0,32,0,583811,1,2,4,4.0,2,-39022,6323,45345,73,False,0,82,,,0,1,0.4554694592952728,78,FW,Wolverhampton Wanderers,Tottenham,4,2,26919,2024,719207,0.0,0,0,0,0.4554694592952728,0.4554694592952728,0.0,26919,Tottenham,Dominic Solanke-Mitchell,Dominic Solanke,FWD,2,3,32
