assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
1,0,22,0,15.1,88,0.15,0.15,0.0,1.06,121,1,0,5.7,39.6,2024-11-30,90,0,0,0,0,0,0,0,False,11,0,0,0,0,13,0,266587,1,1,4,2.0,5,17543,23710,6167,45,True,0,88,,,0,0,0.0,90,DC,Brentford,Leicester,4,1,26722,2024,690052,0.4426751136779785,1,1,0,0.0,1.4868344068527222,1.4868344068527222,9733,Brentford,Nathan Collins,Nathan Collins,DEF,1,3,13
0,0,0,0,1.3,88,0.02,0.02,0.0,2.43,132,3,0,2.6,16.8,2024-12-04,90,0,0,0,0,0,0,0,False,2,0,0,0,0,14,0,265085,1,1,3,8.0,0,-420,16133,16553,45,False,1,88,,,0,0,0.0,90,DC,Aston Villa,Brentford,3,1,26734,2024,691556,0.0,0,0,0,0.0,0.0439930744469165,0.0439930744469165,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,4,14
0,0,20,0,0.8,88,0.01,0.18,0.17,1.48,142,2,1,6.2,42.4,2024-12-07,90,0,0,0,0,0,0,0,False,15,0,0,0,0,15,0,257467,1,2,4,19.0,7,-7968,10696,18664,45,True,0,88,,,1,1,0.3248011767864227,90,DC,Brentford,Newcastle United,4,2,26743,2024,692218,0.0,0,0,1,0.3248011767864227,0.0819208472967147,0.0819208472967147,9733,Brentford,Nathan Collins,Nathan Collins,DEF,4,3,15
0,0,9,0,13.8,88,0.22,0.22,0.0,2.23,154,2,0,3.0,14.4,2024-12-15,90,0,0,0,0,0,0,0,False,6,0,0,0,0,16,0,267420,1,1,2,2.0,1,7780,24620,16840,45,False,0,88,,,0,0,0.0,90,DC,Chelsea,Brentford,2,1,26757,2024,694602,0.3159642517566681,0,1,0,0.0,0.1277959644794464,0.1277959644794464,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,4,16
0,0,10,0,2.0,88,0.03,0.03,0.0,0.9,162,2,0,2.2,18.2,2024-12-21,90,0,0,0,0,0,0,0,False,16,0,0,0,0,17,0,285569,1,2,0,2.0,1,16182,26401,10219,45,True,0,88,,,0,0,0.0,90,DC,Brentford,Nottingham Forest,0,2,26766,2024,695261,0.0,0,0,0,0.0,0.0,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,4,3,17
0,0,27,1,0.8,88,0.0,0.12,0.12,1.29,173,0,0,1.7,10.0,2024-12-27,90,0,0,0,0,0,0,0,False,5,0,0,0,0,18,0,266161,1,0,0,6.0,6,-18145,5113,23258,46,False,0,88,,,0,1,0.0815225839614868,90,DC,Brighton,Brentford,0,0,26774,2024,696384,0.0,0,0,0,0.0815225839614868,0.1497565060853958,0.1497565060853958,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,18
0,0,7,0,2.1,88,0.01,0.01,0.0,1.95,182,3,0,3.0,26.0,2025-01-01,90,0,0,0,0,0,0,0,False,1,0,0,0,0,19,0,254714,1,3,1,2.0,1,-12338,3054,15392,46,True,0,88,,,0,0,0.0,90,DC,Brentford,Arsenal,1,3,26783,2024,697013,0.0,0,0,0,0.0,0.0,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,5,3,19
0,0,32,1,2.8,88,0.01,0.01,0.0,0.29,198,0,0,2.3,20.0,2025-01-04,90,0,0,0,0,0,0,0,False,17,0,0,0,0,20,0,254406,1,5,0,0.0,6,-2954,13776,16730,46,False,0,88,,,0,0,0.0,90,DC,Southampton,Brentford,0,5,26799,2024,697205,0.0,0,0,0,0.0,0.8234127759933472,0.8234127759933472,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,1,20
0,0,2,0,1.3,88,0.01,0.11,0.1,2.2,202,2,0,1.1,5.6,2025-01-14,90,0,0,0,0,0,0,0,False,13,0,0,0,0,21,0,246220,1,2,2,4.0,1,-7965,12379,20344,46,True,0,88,,,0,1,0.0603899732232093,90,DC,Brentford,Manchester City,2,2,26803,2024,698995,0.0,0,0,0,0.0603899732232093,0.1139111518859863,0.1139111518859863,9733,Brentford,Nathan Collins,Nathan Collins,DEF,4,3,21
0,0,10,0,0.1,88,0.0,0.0,0.0,3.43,212,2,0,4.7,40.6,2025-01-18,90,0,0,0,0,0,0,0,False,12,0,0,0,0,22,0,234558,1,2,0,6.0,1,-12362,3985,16347,46,True,0,88,,,0,0,0.0,90,DC,Brentford,Liverpool,0,2,26813,2024,699993,0.0,0,0,0,0.0,0.0636720061302185,0.0636720061302185,9733,Brentford,Nathan Collins,Nathan Collins,DEF,5,3,22
1,2,25,0,25.1,88,0.06,0.06,0.0,1.08,224,1,0,5.1,20.2,2025-01-26,90,0,0,0,0,0,0,0,False,7,0,0,0,0,23,0,227429,1,2,1,6.0,7,-8072,6328,14400,45,False,0,88,,,0,0,0.0,90,DC,Crystal Palace,Brentford,1,2,26825,2024,701941,0.0834390297532081,0,2,0,0.0,0.0480021089315414,0.0480021089315414,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,23
0,0,5,0,3.4,88,0.03,0.03,0.0,0.86,233,2,0,3.1,19.2,2025-02-02,90,0,0,0,0,0,0,0,False,18,0,0,0,0,24,0,236358,1,2,0,8.0,1,7438,17872,10434,45,True,0,88,,,0,0,0.0,90,DC,Brentford,Tottenham,0,2,26834,2024,703918,0.0,0,0,0,0.0,0.1915879547595977,0.1915879547595977,9733,Brentford,Nathan Collins,Nathan Collins,DEF,2,3,24
0,2,25,1,0.8,88,0.0,0.0,0.0,0.82,250,0,0,3.1,28.0,2025-02-15,90,0,0,0,0,0,0,0,False,19,0,0,0,0,25,0,244329,1,1,0,2.0,8,7435,18248,10813,45,False,0,88,,,0,0,0.0,90,DC,West Ham,Brentford,0,1,26851,2024,706292,0.0,0,0,0,0.0,0.1673178374767303,0.1673178374767303,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,2,25
0,0,32,1,1.3,88,0.01,0.01,0.0,0.51,257,0,0,3.4,32.2,2025-02-21,90,0,0,0,0,0,0,0,False,11,0,0,0,0,26,0,310201,1,4,0,0.0,6,61783,66438,4655,45,False,0,88,,,0,0,0.0,90,DC,Leicester,Brentford,0,4,26858,2024,707501,0.0,0,0,0,0.0,0.525778591632843,0.525778591632843,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,1,26
0,0,4,0,0.7,88,0.01,0.14,0.13,1.37,261,1,0,1.5,7.6,2025-02-26,90,0,0,0,0,0,0,0,False,8,0,0,0,0,27,0,352509,1,1,1,7.0,1,41425,48677,7252,45,True,1,88,,,0,2,0.0797706544399261,90,DC,Brentford,Everton,1,1,26862,2024,709119,0.0,0,0,0,0.0797706544399261,0.011514313519001,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,27
0,0,13,0,1.8,88,0.01,0.04,0.03,1.33,271,1,0,4.3,37.4,2025-03-08,90,0,0,0,0,0,0,0,False,2,0,0,0,0,28,0,345704,1,1,0,4.0,1,-5129,12928,18057,45,True,1,88,,,0,1,0.0435529500246048,90,DC,Brentford,Aston Villa,0,1,26872,2024,711543,0.0,0,0,0,0.0435529500246048,0.1271177232265472,0.0835647732019424,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,28
0,0,8,0,0.5,88,0.0,0.0,0.0,1.67,283,1,0,3.2,29.6,2025-03-15,90,0,0,0,0,0,0,0,False,3,0,0,0,0,29,0,339926,1,2,1,2.0,2,-1214,11026,12240,45,False,0,88,,,0,0,0.0,90,DC,Bournemouth,Brentford,1,2,26882,2024,713304,0.0,0,0,0,0.0,0.0,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,29
0,0,5,0,1.7,88,0.02,0.02,0.0,1.29,299,2,0,3.6,28.4,2025-04-02,90,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,323610,1,1,2,6.0,1,-21600,7859,29459,45,False,0,88,,,0,0,0.0,90,DC,Newcastle United,Brentford,2,1,26899,2024,716159,0.0,0,0,0,0.0,0.0491982623934745,0.0491982623934745,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,4,30
