assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event
1,0,18,0,12.3,53,0.13,0.19,0.06,1.17,7,0,0,3.8,18.4,2024-08-17,28,0,0,0,0,0,0,0,False,19,0,0,0,0,1,0,22089,0,2,1,7.0,4,0,0,0,55,False,0,53,0,1,0.1508321464061737,25,Sub,West Ham,Aston Villa,1,2,26608,2024,666477,0.3958303928375244,1,1,0,0.1508321464061737,0.9681931734085084,0.4215306043624878,8941,Aston Villa,3,2,1
0,0,7,0,11.4,53,0.01,0.04,0.03,0.51,11,2,0,4.2,7.2,2024-08-24,25,0,0,0,0,0,0,0,False,1,0,0,0,0,2,0,31422,0,2,0,23.0,1,567,3567,3000,55,True,0,53,0,1,0.0420124232769012,19,Sub,Aston Villa,Arsenal,0,2,26618,2024,668272,0.0154424728825688,0,1,0,0.0420124232769012,0.1225727871060371,0.0651178881525993,8941,Aston Villa,4,3,2
0,0,13,0,12.6,53,0.55,0.61,0.06,0.4,26,1,0,4.1,11.2,2024-08-31,63,0,0,0,0,0,0,0,False,11,0,0,0,0,3,0,33892,0,2,1,17.0,2,-294,5783,6077,55,False,0,53,0,1,0.0497884266078472,66,Sub,Leicester,Aston Villa,1,2,26626,2024,671840,0.4717567861080169,0,1,0,0.0497884266078472,0.4718958735466003,0.422107458114624,8941,Aston Villa,3,2,3
0,0,7,0,7.6,53,0.07,0.33,0.26,0.67,31,2,0,2.1,3.0,2024-09-14,68,0,0,0,0,0,0,0,False,8,0,0,0,0,4,0,39423,1,2,3,10.0,2,2629,9394,6765,55,True,0,53,0,2,0.0877467691898346,76,AML,Aston Villa,Everton,3,2,26638,2024,673930,0.0,0,0,0,0.0877467691898346,1.4184046983718872,1.3473466634750366,8941,Aston Villa,2,3,4
0,0,10,0,7.2,53,0.03,0.03,0.0,0.51,41,1,0,1.2,2.6,2024-09-21,61,0,0,0,0,0,0,0,False,20,0,0,0,0,5,0,45163,1,1,3,2.0,2,4228,8282,4054,55,True,0,53,0,0,0.0,68,AML,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675754,0.0,0,0,0,0.0,0.0,0.0,8941,Aston Villa,2,3,5
0,0,14,0,17.4,53,0.04,0.09,0.05,1.18,56,2,0,3.1,7.4,2024-09-29,90,0,0,0,0,0,0,0,False,10,0,0,0,0,6,0,45073,1,2,2,6.0,2,-948,5834,6782,55,False,0,53,0,1,0.0569250509142875,90,AML,Ipswich,Aston Villa,2,2,26659,2024,678384,0.0142383761703968,0,1,0,0.0569250509142875,0.3845619857311249,0.3276369571685791,8941,Aston Villa,3,2,6
1,0,22,0,27.6,53,0.18,0.26,0.08,1.57,72,1,0,7.6,23.0,2024-10-19,82,0,0,0,0,0,0,0,False,9,0,0,0,0,8,0,33531,1,3,1,25.0,5,-5221,760,5981,54,False,0,53,0,1,0.0248955469578504,87,AML,Fulham,Aston Villa,1,3,26673,2024,681342,0.4197843968868255,1,2,0,0.0248955469578504,0.4197843968868255,0.0,8941,Aston Villa,3,3,8
0,0,10,0,23.8,53,0.15,0.15,0.0,0.31,82,1,0,4.6,12.0,2024-10-26,90,0,0,0,0,0,0,0,False,3,0,0,0,0,9,0,36590,1,1,1,10.0,1,2345,3629,1284,54,True,1,53,0,0,0.0,90,ML,Aston Villa,Bournemouth,1,1,26684,2024,682967,0.0698044076561927,0,2,0,0.0,0.9063641428947448,0.8902592658996582,8941,Aston Villa,3,3,9
0,0,13,0,1.3,53,0.0,0.03,0.03,2.29,99,3,0,2.0,14.6,2024-11-03,80,0,0,0,0,0,0,0,False,18,0,0,0,0,10,0,35640,1,1,4,4.0,2,-1155,1965,3120,54,False,0,53,0,1,0.0208519659936428,82,AML,Tottenham,Aston Villa,4,1,26700,2024,685539,0.0,0,0,0,0.0208519659936428,0.0514544658362865,0.0514544658362865,8941,Aston Villa,3,3,10
0,0,4,0,0.9,53,0.01,0.13,0.12,0.81,105,1,0,1.0,0.0,2024-11-09,45,0,0,0,0,0,0,0,False,12,0,0,0,0,11,0,34544,1,0,2,9.0,1,-1407,1318,2725,54,False,0,53,0,2,0.0890198349952697,46,AML,Liverpool,Aston Villa,2,0,26707,2024,686993,0.0,0,0,0,0.0890198349952697,0.0543115474283695,0.0,8941,Aston Villa,3,5,11
0,0,3,0,0.6,53,0.01,0.01,0.0,0.5,181,1,0,0.3,2.0,2024-12-30,13,0,0,0,0,0,0,0,False,5,0,0,0,0,19,0,22167,0,2,2,0.0,1,-337,117,454,54,True,0,53,0,0,0.0,1,Sub,Aston Villa,Brighton,2,2,26782,2024,696994,0.0,0,0,0,0.0,0.0,0.0,8941,Aston Villa,3,3,19
0,0,12,0,15.1,53,0.28,0.28,0.0,0.41,191,1,0,2.4,2.8,2025-01-04,71,0,0,0,0,0,0,0,False,11,0,0,0,0,20,0,24299,0,1,2,6.0,2,1821,2453,632,54,True,0,53,0,0,0.0,72,Sub,Aston Villa,Leicester,2,1,26793,2024,697259,0.4699605107307434,0,1,0,0.0,1.1825028657913208,0.7125424146652222,8941,Aston Villa,2,3,20
