fpl_id,fpl_name,fpl_position,team,full_team_name,understat_name,understat_id
4,Kai Havertz,4,Arsenal,Arsenal,Kai Havertz,5220
9,Gabriel Martinelli Silva,3,Arsenal,Arsenal,Gabriel Martinelli,7752
17,Bukayo Saka,3,Arsenal,Arsenal,Bukayo Saka,7322
633,Mikel Merino,3,Arsenal,Arsenal,Mikel Merino,5304
23,Leandro Trossard,3,Arsenal,Arsenal,Leandro Trossard,7698
20,Thomas Partey,3,Arsenal,Arsenal,Thomas Partey,2328
2,Gabriel Fernando de Jesus,4,Arsenal,Arsenal,Gabriel Jesus,5543
2,Gabriel Fernando de Jesus,4,Arsenal,Arsenal,Gabriel,5613
12,Ethan Nwaneri,3,Arsenal,Arsenal,Ethan Nwaneri,11132
13,Martin Ødegaard,3,Arsenal,Arsenal,Martin Odegaard,2517
18,William Saliba,2,Arsenal,Arsenal,William Saliba,6888
578,Riccardo Calafiori,2,Arsenal,Arsenal,Riccardo Calafiori,8129
16,Declan Rice,3,Arsenal,Arsenal,Declan Rice,5553
6,Jurriën Timber,2,Arsenal,Arsenal,Jurriën Timber,11707
597,Myles Lewis-Skelly,3,Arsenal,Arsenal,Myles Lewis-Skelly,12272
186,Raheem Sterling,3,Arsenal,Arsenal,Raheem Sterling,618
7,Jorge Luiz Frello Filho,3,Arsenal,Arsenal,Jorginho,1389
25,Oleksandr Zinchenko,2,Arsenal,Arsenal,Oleksandr Zinchenko,2958
10,Reiss Nelson,3,Fulham,Fulham,Reiss Nelson,6492
24,Benjamin White,2,Arsenal,Arsenal,Ben White,7298
22,Tomiyasu Takehiro,2,Arsenal,Arsenal,Takehiro Tomiyasu,7931
21,Kieran Tierney,2,Arsenal,Arsenal,Kieran Tierney,8089
15,David Raya Martin,1,Arsenal,Arsenal,David Raya,9676
8,Jakub Kiwior,2,Arsenal,Arsenal,Jakub Kiwior,10012
58,Ollie Watkins,4,Aston Villa,Aston Villa,Ollie Watkins,8865
38,Jhon Durán,4,Aston Villa,Aston Villa,Jhon Durán,11366
54,Morgan Rogers,3,Aston Villa,Aston Villa,Morgan Rogers,12412
29,Ross Barkley,3,Aston Villa,Aston Villa,Ross Barkley,592
233,Amadou Onana,3,Aston Villa,Aston Villa,Amadou Onana,9667
28,Leon Bailey,3,Aston Villa,Aston Villa,Leon Bailey,5221
57,Youri Tielemans,3,Aston Villa,Aston Villa,Youri Tielemans,5956
44,Ezri Konsa Ngoyo,2,Aston Villa,Aston Villa,Ezri Konsa Ngoyo,7726
32,Matty Cash,2,Aston Villa,Aston Villa,Matthew Cash,8864
53,Jacob Ramsey,3,Aston Villa,Aston Villa,Jacob Ramsey,8941
385,Marcus Rashford,3,Aston Villa,Aston Villa,Marcus Rashford,556
49,Tyrone Mings,2,Aston Villa,Aston Villa,Tyrone Mings,1024
36,Lucas Digne,2,Aston Villa,Aston Villa,Lucas Digne,1823
762,Marco Asensio,3,Aston Villa,Aston Villa,Marco Asensio,2117
31,Emiliano Buendía Stati,3,Aston Villa,Aston Villa,Emiliano Buendía,2203
47,Emiliano Martínez Romero,1,Aston Villa,Aston Villa,Emiliano Martinez,4401
35,Diego Carlos Santos Silva,2,Aston Villa,Aston Villa,Diego Carlos,5712
42,Boubacar Kamara,3,Aston Villa,Aston Villa,Boubacar Kamara,5789
52,Pau Torres,2,Aston Villa,Aston Villa,Pau Torres,6221
167,Axel Disasi,2,Aston Villa,Aston Villa,Axel Disasi,6885
51,Robin Olsen,1,Aston Villa,Aston Villa,Robin Olsen,6962
48,John McGinn,3,Aston Villa,Aston Villa,John McGinn,7723
569,Jaden Philogene,3,Ipswich,Ipswich,Jaden Philogene-Bidace,9415
725,Donyell Malen,3,Aston Villa,Aston Villa,Donyell Malen,9749
598,Lamare Bogarde,2,Aston Villa,Aston Villa,Lamare Bogarde,10025
45,Ian Maatsen,2,Aston Villa,Aston Villa,Ian Maatsen,11807
50,Kosta Nedeljković,2,Aston Villa,Aston Villa,Kosta Nedeljkovic,12775
731,Andrés García,2,Aston Villa,Aston Villa,Andrés García,13392
71,Justin Kluivert,3,Bournemouth,Bournemouth,Justin Kluivert,6963
74,Dango Ouattara,3,Bournemouth,Bournemouth,Dango Ouattara,9662
78,Antoine Semenyo,3,Bournemouth,Bournemouth,Antoine Semenyo,11363
617,Francisco Evanilson de Lima Barbosa,4,Bournemouth,Bournemouth,Evanilson,12963
65,Enes Ünal,4,Bournemouth,Bournemouth,Enes Ünal,6219
62,David Brooks,3,Bournemouth,Bournemouth,David Brooks,6820
83,Marcus Tavernier,3,Bournemouth,Bournemouth,Marcus Tavernier,10741
63,Ryan Christie,3,Bournemouth,Bournemouth,Ryan Christie,10744
70,Milos Kerkez,2,Bournemouth,Bournemouth,Milos Kerkez,11709
580,Dean Huijsen,2,Bournemouth,Bournemouth,Dean Huijsen,11943
64,Lewis Cook,3,Bournemouth,Bournemouth,Lewis Cook,1789
80,Luis Sinisterra,3,Bournemouth,Bournemouth,Luis Sinisterra,10866
81,Adam Smith,2,Bournemouth,Bournemouth,Adam Smith,825
73,Norberto Murara Neto,1,Arsenal,Arsenal,Neto,1297
152,Kepa Arrizabalaga,1,Bournemouth,Bournemouth,Kepa,5061
76,Philip Billing,3,Bournemouth,Bournemouth,Philip Billing,6034
60,Tyler Adams,3,Bournemouth,Bournemouth,Tyler Adams,7352
84,Mark Travers,1,Bournemouth,Bournemouth,Mark Travers,7582
59,Max Aarons,2,Bournemouth,Bournemouth,Max Aarons,7688
69,Daniel Jebbison,4,Bournemouth,Bournemouth,Daniel Jebbison,9509
68,James Hill,2,Bournemouth,Bournemouth,James Hill,10747
79,Marcos Senesi,2,Bournemouth,Bournemouth,Marcos Senesi,10864
85,Illia Zabarnyi,2,Bournemouth,Bournemouth,Illia Zabarnyi,11486
592,Julián Araujo Zúñiga,2,Bournemouth,Bournemouth,Julián Araujo,11745
77,Alex Scott,3,Bournemouth,Bournemouth,Alex Scott,12149
687,Ben Winterburn,3,Bournemouth,Bournemouth,Ben Winterburn,13242
707,Remy Rees-Dottin,4,Bournemouth,Bournemouth,Remy Rees-Dottin,13307
728,Zain Silcott-Duberry,3,Bournemouth,Bournemouth,Zain Silcott-Duberry,13351
99,Bryan Mbeumo,3,Brentford,Brentford,Bryan Mbeumo,6552
110,Yoane Wissa,4,Brentford,Brentford,Yoane Wissa,5786
106,Kevin Schade,3,Brentford,Brentford,Kevin Schade,9156
101,Christian Nørgaard,3,Brentford,Brentford,Christian Nørgaard,7083
89,Mikkel Damsgaard,3,Brentford,Brentford,Mikkel Damsgaard,8859
104,Ethan Pinnock,2,Brentford,Brentford,Ethan Pinnock,9678
88,Nathan Collins,2,Brentford,Brentford,Nathan Collins,9733
314,Fábio Freitas Gouveia Carvalho,3,Brentford,Brentford,Fabio Carvalho,9501
94,Vitaly Janelt,3,Brentford,Brentford,Vitaly Janelt,9680
98,Keane Lewis-Potter,3,Brentford,Brentford,Keane Lewis-Potter,10809
100,Ben Mee,2,Brentford,Brentford,Ben Mee,1654
91,Mark Flekken,1,Brentford,Brentford,Mark Flekken,7047
95,Mathias Jensen,3,Brentford,Brentford,Mathias Jensen,7166
86,Kristoffer Ajer,2,Brentford,Brentford,Kristoffer Ajer,9677
92,Rico Henry,2,Brentford,Brentford,Rico Henry,9679
102,Frank Onyeka,3,Brentford,Brentford,Frank Onyeka,9681
105,Mads Roerslev Rasmussen,2,Brentford,Brentford,Mads Roerslev,9685
674,Paris Maghoma,3,Brentford,Brentford,Paris Maghoma,10053
338,Sepp van den Berg,2,Brentford,Brentford,Sepp van den Berg,10721
602,Ryan Trevitt,3,Brentford,Brentford,Ryan Trevitt,11146
757,Michael Kayode,2,Brentford,Brentford,Michael Kayode,11281
111,Yehor Yarmoliuk,3,Brentford,Brentford,Yehor Yarmolyuk,11772
96,Kim Ji-soo,2,Brentford,Brentford,Kim Ji-Soo,12136
109,Hákon Valdimarsson,1,Brentford,Brentford,Hákon Valdimarsson,12595
97,Yunus Emre Konak,3,Brentford,Brentford,Yunus Konak,12633
649,Jayden Meghoma,2,Brentford,Brentford,Jayden Meghoma,13067
