FPL_ID,FPL_Name
116,195,Chadi Riad Dnanou
117,475,Charlie Taylor
118,193,Cheick Doucouré
119,632,Chiedozie Ogbene
120,370,Christian Eriksen
121,101,Christian Nørgaard
122,283,Christian Walton
123,181,Christopher Nkunku
124,72,Chris Mepham
125,194,Chris Richards
126,447,Chris Wood
127,280,Cieran Slicker
128,321,Cody Gakpo
129,182,Cole Palmer
130,313,Conor Bradley
131,265,Conor Chaplin
132,288,Conor Coady
133,169,Conor Gallagher
134,583,Conor Townsend
135,279,Corrie Ndaba
136,542,Craig Dawson
137,498,Cristian Romero
138,587,Crysencio Summerville
139,324,Curtis Jones
140,205,Daichi Kamada
141,500,Dane Scarlett
142,74,Dango Ouattara
143,536,Daniel Bentley
144,562,Daniel Castelo Podence
145,294,Daniel Iversen
146,69,Daniel Jebbison
147,211,Daniel Muñoz
148,429,Danilo dos Santos de Oliveira
149,523,Danny Ings
150,308,Danny Ward
151,148,Danny Welbeck
152,395,Dan Burn
153,630,Dara O'Shea
154,316,Darwin Núñez Ribeiro
155,164,David Datro Fofana
156,62,David Brooks
157,212,David Ozoh
158,15,David Raya Martin
159,201,Dean Henderson
160,580,Dean Huijsen
161,16,Declan Rice
162,165,Deivid Washington de Souza Eugênio
163,492,Dejan Kulusevski
164,143,Deniz Undav
165,505,Destiny Udogie
166,35,Diego Carlos Santos Silva
167,369,Diogo Dalot Teixeira
168,317,Diogo Teixeira da Silva
169,698,Divin Mubama
170,504,Djed Spence
171,220,Dominic Calvert-Lewin
172,82,Dominic Solanke-Mitchell
173,336,Dominik Szoboszlai
174,230,Dwight McNeil
175,199,Eberechi Eze
176,11,Eddie Nketiah
177,347,Ederson Santana de Moraes
178,511,Edson Álvarez Velázquez
179,261,Elkan Baggott
180,423,Elliot Anderson
181,487,Emerson Leite de Souza Junior
182,520,Emerson Palmieri dos Santos
183,19,Emile Smith Rowe
184,31,Emiliano Buendía Stati
185,47,Emiliano Martínez Romero
186,405,Emil Krafth
187,430,Emmanuel Dennis
188,320,Endo Wataru
189,65,Enes Ünal
190,547,Enso González
191,30,Enzo Barrenechea
192,168,Enzo Fernández
193,428,Eric da Silva Moreira
194,351,Erling Haaland
195,87,Ethan Brierley
196,12,Ethan Nwaneri
197,104,Ethan Pinnock
198,648,Ethan Wheatley
199,123,Evan Ferguson
200,686,Ezra Mayers
201,44,Ezri Konsa Ngoyo
202,415,Fabian Schär
203,117,Facundo Buonanotte
204,384,Facundo Pellistri Rebollo
205,636,Federico Chiesa
206,653,Felipe Rodrigues da Silva
207,628,Ferdi Kadioglu
208,581,Filip Jørgensen
209,46,Filip Marschall
210,518,Flynn Downes
211,617,Francisco Evanilson de Lima Barbosa
212,537,Francisco Jorge Tomás Oliveira
213,644,Franco Umeh-Chibueze
214,102,Frank Onyeka
215,488,Fraser Forster
216,276,Freddie Ladapo
217,1,Fábio Ferreira Vieira
218,314,Fábio Freitas Gouveia Carvalho
219,545,Fábio Silva
220,3,Gabriel dos Santos Magalhães
221,2,Gabriel Fernando de Jesus
222,9,Gabriel Martinelli Silva
223,406,Garang Kuol
224,454,Gavin Bazunu
225,519,George Earthy
226,269,George Edmundson
227,272,George Hirst
228,618,Georginio Rutter
229,493,Giovani Lo Celso
230,691,Godwill Kukonki
231,548,Gonçalo Manuel Ganchinho Guedes
232,508,Guglielmo Vicario
233,588,Guido Rodríguez
234,634,Gustavo Nunes Fernandes Gomes
235,67,Hamed Traorè
236,287,Hamza Choudhury
237,373,Hannibal Mejbri
238,603,Harrison Armstrong
239,254,Harrison Reed
240,670,Harry Amass
241,266,Harry Clarke
242,377,Harry Maguire
243,303,Harry Souttar
244,444,Harry Toffolo
245,259,Harry Wilson
246,309,Harry Winks
247,392,Harvey Barnes
248,669,Harvey Davies
249,319,Harvey Elliott
250,694,Henry Cartwright
251,549,Hugo Bueno López
252,550,Hwang Hee-chan
253,446,Hwang Ui-jo
254,109,Hákon Valdimarsson
255,45,Ian Maatsen
256,326,Ibrahima Konaté
257,127,Ibrahim Osman
258,442,Ibrahim Sangaré
259,222,Idrissa Gueye
260,128,Igor Julio dos Santos de Paulo
261,107,Igor Thiago Nascimento Rodrigues
262,232,Iliman Ndiaye
263,625,Ilkay Gündogan
264,85,Illia Zabarnyi
265,663,Imari Samuels
266,400,Isaac Hayden
267,585,Ismaïla Sarr
268,659,Ismeal Kabia
269,245,Issa Diop
270,626,Issa Kaboré
271,108,Ivan Toney
272,631,Jack Clarke
273,667,Jack Fletcher
274,349,Jack Grealish
275,224,Jack Harrison
276,126,Jack Hinshelwood
277,472,Jack Stephens
278,281,Jack Taylor
279,270,Jacob Greaves
280,402,Jacob Murphy
281,53,Jacob Ramsey
282,685,Jacob Slater
283,671,Jacob Wright
284,569,Jaden Philogene
285,386,Jadon Sancho
286,672,Jahmai Simpson-Pusey
287,61,Jaidon Anthony
288,582,Jake O'Brien
289,8,Jakub Kiwior
290,137,Jakub Moder
291,304,Jakub Stolarczyk
292,407,Jamaal Lascelles
293,408,Jamal Lewis
294,457,James Bree
295,223,James Garner
296,68,James Hill
297,295,James Justin
298,494,James Maddison
299,357,James McAtee
300,330,James McConnell
301,134,James Milner
302,236,James Tarkowski
303,531,James Ward-Prowse
304,306,Jamie Vardy
305,144,Jan Paul van Hecke
306,307,Jannik Vestergaard
307,455,Jan Bednarek
308,333,Jarell Quansah
309,219,Jarrad Branthwaite
310,514,Jarrod Bowen
311,142,Jason Steele
312,673,Jayce Fitzgerald
313,709,Jayden Danns
314,649,Jayden Meghoma
315,256,Jay Stansfield
316,591,Jean-Clair Todibo
317,207,Jean-Philippe Mateta
318,535,Jean-Ricner Bellegarde
319,206,Jefferson Lerma Solís
320,214,Jeffrey Schlupp
321,614,Jenson Metcalfe
322,619,Jens Cajuste
323,141,Jeremy Sarmiento Morante
324,577,Jesper Lindstrøm
325,213,Jesurun Rak-Sakyi
326,38,Jhon Durán
327,191,Joachim Andersen
328,403,Joelinton Cássio Apolinário de Lira
329,215,Joel Ward
330,452,Joe Aribo
331,39,Joe Gauci
332,322,Joe Gomez
333,551,Joe Hodge
334,466,Joe Lumley
335,419,Joe White
336,420,Joe Willock
337,448,Joe Worrall
338,48,John McGinn
339,414,John Ruddy
340,362,John Stones
341,441,Jonathan Panzo
342,371,Jonny Evans
343,192,Jordan Ayew
344,235,Jordan Pickford
345,7,Jorge Luiz Frello Filho
346,586,Jorge Cuenca Barreno
347,693,Joseph O'Brien-Whitmarsh
348,389,Joshua Zirkzee
349,697,Josh Acheampong
350,426,Josh Bowler
351,90,Josh Dasilva
352,604,Josh King
353,662,Josh Nichols
354,675,Josh Wilson-Esbrand
355,554,José Malheiro de Sá
356,596,João Pedro Ferreira Silva
357,129,João Pedro Junqueira de Jesus
358,553,João Victor Gomes da Silva
359,353,João Cavaco Cancelo
360,621,João Félix Sequeira
361,227,João Neves Virgínia
362,145,Joël Veltman
363,350,Joško Gvardiol
364,464,Juan Larios López
365,121,Julio Enciso
366,592,Julián Araujo Zúñiga
367,352,Julián Álvarez
368,6,Jurriën Timber
369,645,Justin Devenny
370,71,Justin Kluivert
371,346,Jérémy Doku
372,566,Jørgen Strand Larsen
373,130,Kacper Kozłowski
374,656,Kadan Young
375,647,Kaden Rodney
376,643,Kaelan Casey
377,43,Kaine Kesler-Hayden
378,4,Kai Havertz
379,359,Kalvin Phillips
380,462,Kamaldeen Sulemana
381,5,Karl Hein
382,299,Kasey McAteer
383,98,Keane Lewis-Potter
384,257,Kenny Tete
385,152,Kepa Arrizabalaga
386,345,Kevin De Bruyne
387,250,Kevin Mbabu
388,106,Kevin Schade
389,552,Ki-Jana Hoever
390,21,Kieran Tierney
391,418,Kieran Trippier
392,166,Kiernan Dewsbury-Hall
393,668,Killian Cahill
394,96,Kim Ji-soo
395,378,Kobbie Mainoo
396,528,Konstantinos Mavropanos
397,337,Konstantinos Tsimikas
398,40,Kortney Hause
399,50,Kosta Nedeljković
400,86,Kristoffer Ajer
401,532,Kurt Zouma
402,476,Kyle Walker-Peters
403,363,Kyle Walker
404,598,Lamare Bogarde
405,33,Leander Dendoncker
406,23,Leandro Trossard
407,267,Leif Davis
408,572,Leny Yoro
409,28,Leon Bailey
410,539,Leon Chiwome
411,188,Lesley Ugochukwu
412,162,Levi Colwill
413,64,Lewis Cook
414,37,Lewis Dobbin
415,120,Lewis Dunk
416,399,Lewis Hall
417,411,Lewis Miley
418,439,Lewis O'Brien
419,701,Lewis Orford
420,268,Liam Delap
421,56,Lino da Cruz Sousa
422,380,Lisandro Martínez
423,404,Lloyd Kelly
424,154,Lucas Bergström
425,481,Lucas Bergvall
426,36,Lucas Digne
427,527,Lucas Tolentino Coelho de Lima
428,689,Luca Williams-Barnett
429,526,Luis Guilherme Lira dos Santos
430,327,Luis Díaz
431,80,Luis Sinisterra
432,540,Luke Cundle
433,246,Luke Harris
434,387,Luke Shaw
435,305,Luke Thomas
436,284,Luke Woolfenden
437,293,Mads Hermansen
438,105,Mads Roerslev Rasmussen
439,700,Maeson King
440,119,Mahmoud Dahoud
441,684,Malachi Hardy
442,176,Malang Sarr
443,197,Malcolm Ebiowei
444,657,Maldini Kacurri
445,171,Malo Gusto
446,502,Manor Solomon
447,340,Manuel Akanji
448,652,Manuel Ugarte
449,79,Marcos Senesi
450,155,Marcus Bettinelli
451,271,Marcus Myers-Harness
452,385,Marcus Rashford
453,83,Marcus Tavernier
454,163,Marc Cucurella Saseta
455,178,Marc Guiu Paz
456,200,Marc Guéhi
457,557,Mario Lemina
458,91,Mark Flekken
459,138,Mark O’Mahony
460,84,Mark Travers
461,605,Martial Godo
462,396,Martin Dúbravka
463,13,Martin Ødegaard
464,225,Mason Holgate
465,382,Mason Mount
466,277,Massimo Luongo
467,354,Mateo Kovačić
468,623,Mateus Gonçalo Espanha Fernandes
469,465,Mateusz Lis
470,356,Matheus Luiz Nunes
471,208,Matheus França de Oliveira
472,541,Matheus Santos Carneiro Da Cunha
473,95,Mathias Jensen
474,112,Mathias Jorgensen
475,149,Mats Wieffer
476,593,Matthijs de Ligt
477,32,Matty Cash
478,543,Matt Doherty
479,629,Matt O'Riley
480,416,Matt Targett
481,445,Matt Turner
482,443,Matz Sels
483,650,Maxence Lacroix
484,515,Maxwel Cornet
485,59,Max Aarons
486,703,Max Alleyne
487,524,Max Kilman
488,680,Max Kinsey
489,292,Michael Golding
490,228,Michael Keane
491,512,Michail Antonio
492,506,Micky van de Ven
493,391,Miguel Almirón Rejala
494,633,Mikel Merino
495,610,Mikey Moore
496,89,Mikkel Damsgaard
497,70,Milos Kerkez
498,574,Miodrag Pivaš
499,136,Mitoma Kaoru
500,328,Mohamed Salah
501,525,Mohammed Kudus
502,157,Moisés Caicedo Corozo
503,433,Morgan Gibbs-White
504,54,Morgan Rogers
505,34,Moussa Diaby
506,436,Murillo Santiago Costa dos Santos
507,179,Mykhailo Mudryk
508,597,Myles Lewis-Skelly
509,103,Myles Peart-Harris
510,190,Naouirou Ahamada
511,196,Nathaniel Clyne
512,332,Nathaniel Phillips
513,341,Nathan Aké
514,262,Nathan Broadhead
515,665,Nathan Butler-Oyedeji
516,88,Nathan Collins
517,546,Nathan Fraser
518,234,Nathan Patterson
519,477,Nathan Wood-Gordon
520,529,Nayef Aguerd
521,229,Neal Maupay
522,437,Neco Williams
523,413,Nick Pope
524,589,Niclas Füllkrug
525,180,Nicolas Jackson
526,431,Nicolás Domínguez
527,607,Nico O'Reilly
528,573,Nikola Milenković
529,177,Noni Madueke
530,218,Norberto Bercique Gomes Betuncal
531,73,Norberto Murara Neto
532,594,Noussair Mazraoui
533,559,Nélson Cabral Semedo
534,139,Odeluga Offiah
535,198,Odsonne Edouard
536,412,Odysseas Vlachodimos
537,422,Ola Aina
538,25,Oleksandr Zinchenko
539,501,Oliver Skipp
540,641,Oliwier Zych
541,677,Ollie Scarles
542,58,Ollie Watkins
543,274,Omari Giraud-Hutchinson
544,173,Omari Kellyman
545,438,Omar Richards
546,651,Orel Mangala
547,343,Oscar Bobb
548,565,Pablo Sarabia
549,499,Pape Matar Sarr
550,674,Paris Maghoma
551,125,Pascal Groß
552,289,Patson Daka
553,470,Paul Onuachu
554,52,Pau Torres
555,561,Pedro Cardoso de Lima
556,560,Pedro Lomba Neto
557,495,Pedro Porro
558,122,Pervis Estupiñán
559,76,Philip Billing
560,348,Phil Foden
561,490,Pierre-Emile Højbjerg
562,486,Radu Drăgușin
563,186,Raheem Sterling
564,620,Ramón Sosa
565,375,Rasmus Højlund
566,533,Rayan Aït-Nouri
567,252,Raúl Jiménez
568,172,Reece James
569,10,Reiss Nelson
570,209,Remi Matthews
571,707,Remy Rees-Dottin
572,184,Renato Palma Veiga
573,334,Rhys Williams
574,302,Ricardo Barbosa Pereira
575,578,Riccardo Calafiori
576,497,Richarlison de Andrade
577,92,Rico Henry
578,355,Rico Lewis
579,185,Robert Sánchez
580,51,Robin Olsen
581,202,Rob Holding
582,360,Rodrigo 'Rodri' Hernandez
583,480,Rodrigo Bentancur
584,563,Rodrigo Martins Gomes
585,251,Rodrigo Muniz Carvalho
586,66,Romain Faivre
587,627,Roman Dixon
588,175,Romelu Lukaku Bolingoli
589,174,Roméo Lavia
590,460,Ronnie Edwards
591,29,Ross Barkley
592,473,Ross Stewart
593,681,Ruairi McConville
594,63,Ryan Christie
595,397,Ryan Fraser
596,323,Ryan Gravenberch
597,467,Ryan Manning
598,579,Ryan Sessegnon
599,602,Ryan Trevitt
600,449,Ryan Yates
601,361,Rúben Gato Alves Dias
602,638,Salah-Eddine Oulad M'hand
603,690,Samuel Amissah
604,451,Samuel Amo-Ameyaw
605,459,Samuel Edozie
606,41,Samuel Iling-Junior
607,695,Samuel Rak-Sakyi
608,204,Sam Johnstone
609,278,Sam Morsy
610,611,Sam Szmodics
611,622,Sander Berge
612,417,Sandro Tonali
613,564,Santiago Bueno
614,555,Saša Kalajdžić
615,249,Saša Lukić
616,344,Scott Carson
617,381,Scott McTominay
618,410,Sean Longstaff
619,338,Sepp van den Berg
620,496,Sergio Reguilón
621,458,Shea Charles
622,640,Sil Swinkels
623,113,Simon Adingra
624,132,Solly March
625,503,Son Heung-min
626,704,Spike Brits
627,312,Stefan Bajčetić Maquieira
628,358,Stefan Ortega Moreno
629,298,Stephy Mavididi
630,242,Steven Benda
631,474,Sugawara Yukinari
632,393,Sven Botman
633,571,Sávio 'Savinho' Moreira de Oliveira
634,221,Séamus Coleman
635,468,Sékou Mara
636,424,Taiwo Awoniyi
637,131,Tariq Lamptey
638,538,Tawanda Chirewa
639,461,Taylor Harwood-Bellis
640,20,Thomas Partey
641,708,Thomas Wilson-Brown
642,244,Timothy Castagne
643,509,Timo Werner
644,226,Tim Iroegbunam
645,253,Tim Ream
646,409,Tino Livramento
647,613,Toby Collyer
648,22,Tomiyasu Takehiro
649,544,Tommy Doyle
650,639,Tommy Setford
651,243,Tom Cairney
652,286,Tom Cannon
653,682,Tom Edozie
654,374,Tom Heaton
655,556,Tom King
656,530,Tomáš Souček
657,661,Tony Yogane
658,187,Tosin Adarabioyo
659,567,Toti António Gomes
660,311,Trent Alexander-Arnold
661,159,Trevoh Chalobah
662,688,Treymaurice Nyoni
663,60,Tyler Adams
664,608,Tyler Dibling
665,331,Tyler Morton
666,379,Tyrell Malacia
667,210,Tyrick Mitchell
668,696,Tyrique George
669,49,Tyrone Mings
670,116,Valentín Barco
671,296,Victor Kristiansen
672,376,Victor Lindelöf
673,55,Viljami Sinisalo
674,339,Virgil van Dijk
675,231,Vitalii Mykolenko
676,94,Vitaly Janelt
677,516,Vladimír Coufal
678,660,Vítezslav Jaros
679,297,Wanya Marçal-Madivádua
680,189,Wesley Fofana
681,264,Wes Burns
682,522,Wes Foderingham
683,300,Wilfred Ndidi
684,590,William Osula
685,18,William Saliba
686,425,Willy Boly
687,606,Will Alves
688,599,Will Dennis
689,203,Will Hughes
690,609,Will Lankshear
691,471,Will Smallbone
692,612,Wilson Odobert
693,291,Wout Faes
694,135,Yankuba Minteh
695,600,Yasin Ayari
696,111,Yehor Yarmoliuk
697,558,Yerson Mosquera
698,110,Yoane Wissa
699,57,Youri Tielemans
700,237,Youssef Ramalho Chermiti
701,97,Yunus Emre Konak
702,482,Yves Bissouma
703,706,Zach Abbott
704,676,Zach Marsh
705,26,Álex Moreno Lopera
706,151,Ângelo Gabriel Borges Damaceno
707,183,Đorđe Petrović
708,521,Łukasz Fabiański
