FPL_ID,FPL_Name
0,517,Aaron Cresswell
1,93,Aaron Hickey
2,14,Aaron Ramsdale
3,388,Aaron Wan-Bissaka
4,217,Abdoulaye Doucouré
5,570,Abdul Fatawu
6,239,Adama Traoré
7,453,Adam Armstrong
8,463,Adam Lallana
9,81,Adam Smith
10,147,Adam Webster
11,216,Adam Wharton
12,133,Adrian Mazilu
13,372,Alejandro Garnacho
14,507,Alejo Véliz
15,401,Alexander Isak
16,329,Alexis Mac Allister
17,247,Alex Iwobi
18,469,Alex McCarthy
19,435,Alex Mighten
20,390,Alex Murphy
21,75,Alex Paulsen
22,77,Alex Scott
23,485,Alfie Devine
24,699,Alfie Dorrington
25,170,Alfie Gilchrist
26,664,Alfie Pond
27,510,Alfie Whiteman
28,310,Alisson Ramses Becker
29,260,Ali Al-Hamadi
30,513,Alphonse Areola
31,367,Altay Bayindir
32,233,Amadou Onana
33,364,Amad Diallo
34,692,Amara Nallo
35,118,Amario Cozier-Duberry
36,240,Andreas Hoelgebaum Pereira
37,601,Andrew Moran
38,440,Andrew Omobamidele
39,335,Andrew Robertson
40,150,Andrey Nascimento dos Santos
41,383,André Onana
42,642,André Trindade da Costa Neto
43,576,Andy Irving
44,432,Anthony Elanga
45,398,Anthony Gordon
46,78,Antoine Semenyo
47,255,Antonee Robinson
48,365,Antony Matheus dos Santos
49,489,Archie Gray
50,702,Archie Harris
51,568,Arijanet Muric
52,156,Armando Broja
53,456,Armel Bella-Kotchap
54,646,Asher Agbinone
55,478,Ashley Phillips
56,238,Ashley Young
57,624,Asmir Begovic
58,167,Axel Disasi
59,282,Axel Tuanzebe
60,658,Ayden Heaven
61,146,Bart Verbruggen
62,637,Bastien Meupiyou
63,114,Benicio Baker-Boaitey
64,705,Benjamin Arthur
65,24,Benjamin White
66,153,Benoît Badiashile
67,584,Ben Brereton Díaz
68,679,Ben Broggio
69,160,Ben Chilwell
70,484,Ben Davies
71,318,Ben Doak
72,275,Ben Johnson
73,100,Ben Mee
74,616,Ben Nelson
75,687,Ben Winterburn
76,342,Bernardo Veiga de Carvalho e Silva
77,248,Bernd Leno
78,635,Bilal El Khannouss
79,124,Billy Gilmour
80,315,Bobby Clark
81,290,Bobby De Cordova-Reid
82,42,Boubacar Kamara
83,534,Boubacar Traoré
84,285,Boubakary Soumaré
85,595,Brajan Gruda
86,479,Brandon Austin
87,491,Brennan Johnson
88,366,Bruno Borges Fernandes
89,394,Bruno Guimarães Rodriguez Moura
90,483,Bryan Gil Salvatierra
91,99,Bryan Mbeumo
92,17,Bukayo Saka
93,666,Caleb Kporha
94,301,Caleb Okoli
95,575,Caleb Wiley
96,678,Callum Bates
97,434,Callum Hudson-Odoi
98,683,Callum Olusesi
99,421,Callum Wilson
100,241,Calvin Bassey
101,27,Cameron Archer
102,263,Cameron Burgess
103,273,Cameron Humphreys
104,140,Cameron Peupion
105,325,Caoimhin Kelleher
106,368,Carlos Henrique Casimiro
107,427,Carlos Miguel dos Santos Pereira
108,655,Carlos Roberto Forbs Borges
109,258,Carlos Vinícius Alves Morais
110,450,Carlos Alcaraz Durán
111,115,Carlos Baleba
112,654,Carlos Soler
113,615,Carl Rushworth
114,161,Carney Chukwuemeka
115,158,Cesare Casadei
