assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,14,0,6.8,199,0.05,0.46,0.41,1.59,8,2,0,8.4,12.4,2024-08-18,90,0,0,0,0,0,0,0,False,4,0,0,0,0,1,0,2972520,1,1,2,65.0,2,0,0,0,70,False,0,199,,,Eberechi Eze,0,7,0.4360718727111816,90,AMC,Brentford,Crystal Palace,2,1,26609,2024,666818,0.0,0,0,0,0.4360718727111816,0.370917946100235,0.0641933158040046,26609,Crystal Palace,Eberechi Eze,Eberechi Eze,3,3,1,2.5,MID,2
0,0,14,0,56.2,199,0.17,0.62,0.45,1.39,14,2,0,10.9,16.8,2024-08-24,90,0,0,0,0,0,0,0,False,19,0,0,0,0,2,0,3069358,1,2,0,36.0,2,-86986,117964,204950,70,True,0,199,,,Eberechi Eze,0,5,0.5172160267829895,90,AMC,Crystal Palace,West Ham,0,2,26613,2024,667924,0.2877558171749115,0,4,0,0.5172160267829895,0.6016530394554138,0.0243191681802272,26613,Crystal Palace,Eberechi Eze,Eberechi Eze,2,3,2,2.0,MID,2
0,3,31,0,17.8,199,0.06,0.25,0.19,2.27,23,1,1,7.5,38.6,2024-09-01,90,0,0,0,0,0,0,0,False,6,0,0,0,0,3,0,2419812,1,1,1,19.0,10,-667120,81172,748292,69,False,0,199,,,Eberechi Eze,1,3,0.1470447331666946,90,AMC,Chelsea,Crystal Palace,1,1,26630,2024,672450,0.0353318527340889,0,1,1,0.1470447331666946,0.1095221415162086,0.0,26630,Crystal Palace,Eberechi Eze,Eberechi Eze,3,4,3,4.7,MID,7
0,0,17,0,49.7,199,0.34,0.8,0.46,1.23,34,2,0,8.3,11.6,2024-09-14,90,0,0,0,0,0,0,0,False,11,0,0,0,0,4,0,2697458,1,2,2,22.0,2,183729,447894,264165,69,True,0,199,,,Eberechi Eze,0,3,0.5010472536087036,90,AMC,Crystal Palace,Leicester,2,2,26636,2024,673712,0.4377900063991546,0,3,0,0.5010472536087036,1.6913152933120728,1.1232715845108032,26636,Crystal Palace,Eberechi Eze,Eberechi Eze,1,3,4,4.5,MID,2
0,0,8,1,32.1,199,0.13,0.63,0.5,1.7,43,0,0,6.6,11.2,2024-09-21,90,0,0,0,0,0,0,0,False,14,0,0,0,0,5,0,2536985,1,0,0,23.0,3,-159290,74889,234179,69,True,0,199,,,Eberechi Eze,0,2,0.7297544479370117,90,AMC,Crystal Palace,Manchester United,0,0,26649,2024,675936,0.0370231643319129,0,2,0,0.7297544479370117,0.7297544479370117,0.0,26649,Crystal Palace,Eberechi Eze,Eberechi Eze,2,3,5,4.2,MID,3
0,0,15,0,25.0,199,0.09,0.3,0.21,0.89,55,2,0,5.4,12.2,2024-09-28,90,0,0,0,0,0,0,0,False,8,0,0,0,0,6,0,2155173,1,1,2,17.0,2,-396302,94044,490346,69,False,0,199,,,Eberechi Eze,0,5,0.1728492826223373,90,FWL,Everton,Crystal Palace,2,1,26654,2024,677829,0.0684263482689857,0,2,0,0.1728492826223373,0.0393515788018703,0.0,26654,Crystal Palace,Eberechi Eze,Eberechi Eze,3,3,6,4.2,MID,2
0,0,10,0,27.2,199,0.2,0.44,0.24,1.4,66,1,0,6.8,14.6,2024-10-05,90,0,0,0,0,0,0,0,False,12,0,0,0,0,7,0,1662596,1,1,0,26.0,2,-496880,21251,518131,68,True,0,199,,,Eberechi Eze,0,2,0.148350790143013,90,FWL,Crystal Palace,Liverpool,0,1,26662,2024,679181,0.2450792640447616,0,2,0,0.148350790143013,0.1648042649030685,0.0,26662,Crystal Palace,Eberechi Eze,Eberechi Eze,5,3,7,1.7,MID,2
0,0,16,0,15.8,199,0.08,0.38,0.3,1.62,77,1,0,6.4,15.0,2024-10-21,90,0,0,0,0,0,0,0,False,16,0,0,0,0,8,0,1529494,1,0,1,33.0,2,-152257,36046,188303,68,False,0,199,,,Eberechi Eze,0,6,0.1768858581781387,90,AMC,Nottingham Forest,Crystal Palace,1,0,26677,2024,682459,0.0903165489435195,0,1,0,0.1768858581781387,0.4792402684688568,0.3386228084564209,26677,Crystal Palace,Eberechi Eze,Eberechi Eze,3,4,8,2.0,MID,2
1,0,19,1,22.3,199,0.26,0.42,0.16,0.72,86,0,0,7.3,25.8,2024-10-27,90,0,0,0,0,0,0,0,False,18,0,0,0,0,9,0,1407871,1,0,1,25.0,6,-122944,15491,138435,67,True,0,199,,,Eberechi Eze,0,4,0.1576158106327057,90,AMC,Crystal Palace,Tottenham,1,0,26689,2024,683487,0.4644821584224701,1,1,0,0.1576158106327057,0.5359659194946289,0.0,26689,Crystal Palace,Eberechi Eze,Eberechi Eze,2,3,9,2.8,MID,6
0,0,13,0,44.3,199,0.09,0.09,0.0,0.04,124,1,0,6.4,13.8,2024-11-30,64,0,0,0,0,0,0,0,False,15,0,0,0,0,13,0,835500,1,1,1,6.0,2,-35919,3286,39205,66,True,0,199,,,Eberechi Eze,0,0,0.0,70,AMC,Crystal Palace,Newcastle United,1,1,26725,2024,690091,0.075147196650505,0,3,0,0.0,0.6687735915184021,0.6546360850334167,26725,Crystal Palace,Eberechi Eze,Eberechi Eze,4,3,13,0.5,MID,2
1,0,21,1,54.4,199,0.28,0.47,0.19,0.43,136,0,0,10.9,26.8,2024-12-03,75,0,0,0,0,0,0,0,False,10,0,0,0,0,14,0,840606,1,1,0,28.0,6,1105,19522,18417,66,False,0,199,,,Eberechi Eze,0,3,0.427631139755249,79,AMC,Ipswich,Crystal Palace,0,1,26737,2024,691347,0.875770092010498,1,4,0,0.427631139755249,1.3445894718170166,0.1659803539514541,26737,Crystal Palace,Eberechi Eze,Eberechi Eze,3,2,14,2.0,MID,6
