assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,2,0,0.4,589,0.0,0.0,0.0,0.27,7,1,0,0.2,1.2,2024-08-17,17,0,0,0,0,0,0,0,False,2,0,0,0,0,1,0,362778,0,2,1,0.0,1,0,0,0,70,True,0,589,,,0,0,0.0,14,Sub,West Ham,Aston Villa,1,2,26608,2024,666460,0.0,0,0,0,0.0,0.0,0.0,26608,West Ham,Niclas Füllkrug,Niclas Füllkrug,3,2,1,2.2,FWD,1
0,0,-1,0,0.3,589,0.0,0.25,0.25,0.56,14,0,0,2.5,1.2,2024-08-24,27,0,0,0,0,0,0,0,False,7,0,0,0,0,2,0,361419,0,2,0,23.0,1,-43540,27400,70940,70,False,0,589,,,0,2,0.2593321204185486,27,Sub,Crystal Palace,West Ham,0,2,26613,2024,667941,0.0,0,0,0,0.2593321204185486,0.3679511845111847,0.1086190789937973,26613,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,3,2,1.0,FWD,1
0,0,2,0,1.8,589,0.09,0.09,0.0,0.76,30,1,0,0.8,0.2,2024-08-31,19,0,0,0,0,0,0,0,False,13,0,0,0,0,3,0,265520,0,3,1,6.0,1,-104816,12352,117168,69,True,0,589,,,0,0,0.0,17,Sub,West Ham,Manchester City,1,3,26628,2024,672014,0.0,0,0,0,0.0,0.0,0.0,26628,West Ham,Niclas Füllkrug,Niclas Füllkrug,4,2,3,0.0,FWD,1
0,1,28,0,1.1,589,0.0,0.42,0.42,0.14,137,1,1,6.7,33.2,2024-12-03,11,0,0,0,0,0,0,0,False,11,0,0,0,0,14,0,90837,0,1,3,33.0,6,-974,44,1018,67,False,0,589,,,1,1,0.5539628267288208,7,Sub,Leicester,West Ham,3,1,26738,2024,691381,0.0,0,0,1,0.5539628267288208,0.1069794595241546,0.1069794595241546,26738,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,1,14,0.4,FWD,5
0,0,3,0,24.4,589,0.1,0.2,0.1,0.92,152,1,0,3.9,6.2,2024-12-16,34,0,0,0,0,0,0,0,False,3,0,0,0,0,16,0,94227,0,1,1,8.0,1,-1051,1443,2494,67,False,0,589,,,0,1,0.0842548757791519,32,Sub,Bournemouth,West Ham,1,1,26754,2024,694825,0.1561190038919448,0,2,0,0.0842548757791519,0.2403738796710968,0.0,26754,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,3,16,1.4,FWD,1
0,0,-1,0,0.1,589,0.0,0.02,0.02,0.3,170,1,0,0.5,0.0,2024-12-21,56,0,0,0,0,0,0,0,False,5,0,0,0,0,17,0,94392,1,1,1,9.0,1,-387,1496,1883,67,True,0,589,,,0,1,0.0450588576495647,61,FW,West Ham,Brighton,1,1,26767,2024,695300,0.0,0,0,0,0.0450588576495647,0.0,0.0,26767,West Ham,Niclas Füllkrug,Niclas Füllkrug,3,2,17,1.3,FWD,1
1,0,20,1,12.9,589,0.01,0.14,0.13,1.0,179,0,0,3.3,15.4,2024-12-26,67,0,0,0,0,0,0,0,False,17,0,0,0,0,18,0,94909,1,1,0,5.0,5,-129,2293,2422,67,False,0,589,,,0,1,0.0825125873088836,78,FW,Southampton,West Ham,0,1,26780,2024,696296,0.7399704456329346,1,1,0,0.0825125873088836,0.2210419476032257,0.2210419476032257,26780,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,1,18,2.7,FWD,5
0,0,6,0,11.5,589,0.0,0.0,0.0,1.51,190,2,0,1.6,4.2,2024-12-29,45,0,0,0,0,0,0,0,False,12,0,0,0,0,19,0,94451,0,5,0,0.0,1,-785,1302,2087,67,True,0,589,,,0,0,0.0,41,Sub,West Ham,Liverpool,0,5,26791,2024,696808,0.0728724002838134,0,1,0,0.0,0.0728724002838134,0.0,26791,West Ham,Niclas Füllkrug,Niclas Füllkrug,5,2,19,1.3,FWD,1
0,0,29,0,32.3,589,0.09,0.55,0.46,1.91,197,4,1,9.9,37.4,2025-01-04,90,0,0,0,0,0,0,0,False,13,0,0,0,0,20,0,93657,1,1,4,29.0,5,-1327,1116,2443,67,False,1,589,,,1,2,0.3153730928897857,90,FW,Manchester City,West Ham,4,1,26798,2024,697301,0.195696473121643,0,3,1,0.3153730928897857,0.8744067549705505,0.4003322720527649,26798,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,4,20,1.7,FWD,5
0,0,0,0,11.8,589,0.01,0.14,0.13,0.72,295,0,0,1.8,0.0,2025-04-01,45,0,0,0,0,0,0,0,False,20,0,0,0,0,30,0,86604,0,0,1,10.0,0,-162,83,245,67,False,1,589,,,0,2,0.0957715287804603,41,Sub,Wolverhampton Wanderers,West Ham,1,0,26895,2024,715997,0.3742274045944214,0,1,0,0.0957715287804603,0.8761995434761047,0.4062006175518036,26895,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,3,30,0.0,FWD,0
0,2,32,0,12.3,589,0.01,0.16,0.15,1.0,310,1,1,7.1,41.6,2025-04-05,36,0,0,0,0,0,0,0,False,3,0,0,0,0,31,0,87814,0,2,2,17.0,7,1060,1239,179,67,True,0,589,,,1,1,0.3781728744506836,34,Sub,West Ham,Bournemouth,2,2,26911,2024,716869,0.1344230622053146,0,1,1,0.3781728744506836,0.246054396033287,0.1116313338279724,26911,West Ham,Niclas Füllkrug,Niclas Füllkrug,3,2,31,1.8,FWD,5
0,0,0,0,0.0,589,0.0,0.12,0.12,0.37,315,1,0,0.1,0.0,2025-04-13,12,0,0,0,0,0,0,0,False,12,0,0,0,0,32,0,88768,0,1,2,4.0,1,735,1451,716,67,False,0,589,,,0,1,0.048390008509159,11,Sub,Liverpool,West Ham,2,1,26916,2024,719272,0.0,0,0,0,0.048390008509159,0.048390008509159,0.0,26916,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,5,32,0.0,FWD,1
1,0,20,1,41.7,589,0.07,0.18,0.11,0.37,330,0,0,10.0,29.0,2025-04-19,79,0,0,0,0,0,0,0,False,17,0,0,0,0,33,0,94851,1,1,1,29.0,5,4611,5620,1009,67,True,0,589,,,0,1,0.1095533519983291,81,FW,West Ham,Southampton,1,1,26931,2024,720432,0.3739601969718933,1,4,0,0.1095533519983291,0.5078365206718445,0.0243229810148477,26931,West Ham,Niclas Füllkrug,Niclas Füllkrug,1,2,33,3.7,FWD,5
0,0,0,0,0.2,589,0.0,0.0,0.0,1.04,333,2,0,0.2,1.6,2025-04-26,45,0,0,0,0,0,0,0,False,5,0,0,0,0,34,0,98622,0,2,3,0.0,1,3676,5943,2267,67,False,0,589,,,0,0,0.0,43,Sub,Brighton,West Ham,3,2,26934,2024,722706,0.0,0,0,0,0.0,0.0,0.0,26934,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,3,34,0.0,FWD,1
0,0,1,0,4.3,589,0.04,0.11,0.07,0.77,350,1,0,0.8,0.0,2025-05-04,79,0,0,0,0,0,0,0,False,18,0,0,0,0,35,0,94666,1,1,1,8.0,2,-2976,940,3916,67,True,0,589,,,0,1,0.0495146512985229,82,FW,West Ham,Tottenham,1,1,26943,2024,724671,0.0,0,0,0,0.0495146512985229,0.4701974391937256,0.4206827878952026,26943,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,2,35,2.2,FWD,2
0,0,-1,0,0.1,589,0.0,0.0,0.0,1.55,355,0,0,0.0,0.2,2025-05-11,17,0,0,0,0,0,0,0,False,14,0,0,0,0,36,0,93044,0,2,0,0.0,1,-1712,567,2279,67,False,0,589,,,0,0,0.0,15,Sub,Manchester United,West Ham,0,2,26956,2024,726598,0.0,0,0,0,0.0,0.0,0.0,26956,West Ham,Niclas Füllkrug,Niclas Füllkrug,2,3,36,2.2,FWD,1
