assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,2,0,0.0,579,0.0,0.0,0.0,0.02,128,0,0,0.2,2.0,2024-12-01,4,0,0,0,0,0,0,0,False,18,0,0,0,0,13,0,12749,0,1,1,0.0,1,-210,198,408,42,False,0,0,0,0.0,1,Tottenham,Fulham,1,1,26729,2024,690639,0.0,0,0,0,0.0,0.0,0.0,Fulham,3,3,13,-0.2,DEF
0,0,1,0,0.0,579,0.0,0.0,0.0,0.28,174,0,0,0.0,0.0,2024-12-26,1,0,0,0,0,0,0,0,False,6,0,0,0,0,18,0,12226,0,2,1,0.0,1,-144,330,474,42,False,0,0,0,0.0,1,Chelsea,Fulham,1,2,26775,2024,696202,0.0,0,0,0,0.0,0.0,0.0,Fulham,3,4,18,-0.2,DEF
0,0,3,0,0.0,579,0.0,0.0,0.0,0.05,238,0,0,0.1,1.0,2025-02-01,11,0,0,0,0,0,0,0,False,15,0,0,0,0,24,0,12258,0,2,1,0.0,1,131,421,290,41,False,0,0,0,0.0,8,Newcastle United,Fulham,1,2,26839,2024,703414,0.0,0,0,0,0.0,0.0,0.0,Fulham,3,4,24,-0.3,DEF
0,0,3,0,0.3,579,0.0,0.0,0.0,0.03,244,0,0,0.0,0.0,2025-02-15,1,0,0,0,0,0,0,0,False,16,0,0,0,0,25,0,12590,0,1,2,0.0,1,238,549,311,41,True,0,0,0,0.0,1,Fulham,Nottingham Forest,2,1,26845,2024,706196,0.0,0,0,0,0.0,0.0,0.0,Fulham,4,3,25,0.2,DEF
0,0,22,0,12.0,579,0.25,0.66,0.41,1.18,267,1,1,9.1,43.4,2025-02-25,71,0,0,0,0,0,0,0,False,20,0,0,0,0,27,0,14278,1,2,1,36.0,8,890,1247,357,41,False,0,1,2,0.3288043439388275,74,Wolverhampton Wanderers,Fulham,1,2,26867,2024,709045,0.1367240697145462,0,1,1,0.3288043439388275,0.7891177535057068,0.3235893547534942,Fulham,3,3,27,3.0,DEF
0,0,0,0,0.0,579,0.0,0.0,0.0,0.83,272,1,0,0.5,3.0,2025-03-08,1,0,0,0,0,0,0,0,False,5,0,0,0,0,28,0,19061,0,1,2,2.0,1,4449,5071,622,41,False,0,0,0,0.0,1,Brighton,Fulham,2,1,26873,2024,711347,0.0,0,0,0,0.0,0.0,0.0,Fulham,3,3,28,2.5,DEF
0,0,16,0,14.1,579,0.1,0.23,0.13,0.16,285,0,1,7.0,37.0,2025-03-16,3,0,0,0,0,0,0,0,False,18,0,0,0,0,29,0,20574,0,0,2,19.0,7,537,1503,966,41,True,0,1,1,0.1175644174218177,2,Fulham,Tottenham,2,0,26886,2024,713696,0.0557450875639915,0,1,1,0.1175644174218177,0.1175644174218177,0.0,Fulham,2,3,29,4.0,DEF
1,0,8,0,10.5,579,0.07,0.26,0.19,0.06,291,0,0,4.9,17.0,2025-04-01,13,0,0,0,0,0,0,0,False,1,0,0,0,0,30,0,23560,0,1,2,21.0,4,3849,5694,1845,41,False,0,0,1,0.5486643314361572,9,Arsenal,Fulham,2,1,26892,2024,715970,0.1008510366082191,1,1,0,0.5486643314361572,0.6495153307914734,0.0,Fulham,3,5,30,3.5,DEF
0,0,9,0,10.7,579,0.06,0.18,0.12,1.37,305,2,1,8.1,37.4,2025-04-06,81,0,0,0,0,0,0,0,False,12,0,0,0,0,31,0,27558,1,2,3,33.0,7,3944,5058,1114,41,True,0,1,3,0.5019101500511169,85,Fulham,Liverpool,3,2,26906,2024,717547,0.114042729139328,0,1,1,0.5019101500511169,0.6159528493881226,0.0,Fulham,5,3,31,5.0,DEF
0,0,-2,0,1.3,579,0.03,0.44,0.41,1.45,312,1,0,4.4,3.8,2025-04-14,56,0,0,0,0,0,0,0,False,3,0,0,0,0,32,0,57987,1,0,1,39.0,1,27906,29838,1932,41,False,0,0,3,0.6786621809005737,59,Bournemouth,Fulham,1,0,26912,2024,719856,0.0,0,0,0,0.6786621809005737,0.7317008972167969,0.0530387014150619,Fulham,3,3,32,0.0,DEF
1,2,39,1,14.6,579,0.01,0.01,0.0,0.73,325,0,0,5.2,31.4,2025-04-20,78,0,0,0,0,0,0,0,False,6,0,0,0,0,33,0,67118,1,2,1,6.0,11,9055,13327,4272,41,True,0,0,0,0.0,80,Fulham,Chelsea,1,2,26926,2024,720948,0.0741801783442497,1,1,0,0.0,0.0741801783442497,0.0741801783442497,Fulham,3,3,33,5.8,DEF
