assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,3,0,0.9,281,0.01,0.03,0.02,1.21,4,1,0,0.6,3.2,2024-08-17,25,0,0,0,0,0,0,0,False,12,0,0,0,0,1,0,2848,0,2,0,2.0,1,0,0,0,50,True,0,0,1,0.0156412236392498,24,Ipswich,Liverpool,0,2,26603,2024,666246,0.0,0,0,0,0.0156412236392498,0.0,0.0,Ipswich,5,2,1,0.6,MID
0,0,5,0,0.0,281,0.0,0.0,0.0,0.15,17,1,0,0.7,7.0,2024-08-24,18,0,0,0,0,0,0,0,False,13,0,0,0,0,2,0,3140,0,1,4,0.0,1,-345,121,466,50,False,0,0,0,0.0,13,Manchester City,Ipswich,4,1,26615,2024,668101,0.0,0,0,0,0.0,0.0,0.0,Ipswich,2,4,2,-0.5,MID
0,0,-1,0,4.3,281,0.0,0.0,0.0,0.39,48,0,0,0.7,2.6,2024-09-21,29,0,0,0,0,0,0,0,False,17,0,0,0,0,5,0,3132,0,1,1,0.0,0,-173,90,263,49,False,1,0,0,0.0,27,Southampton,Ipswich,1,1,26643,2024,675653,0.0,0,0,0,0.0,0.4829076528549194,0.4829076528549194,Ipswich,2,1,5,0.2,MID
0,0,4,0,1.0,281,0.03,0.06,0.03,0.15,56,0,0,1.1,3.2,2024-09-29,21,0,0,0,0,0,0,0,False,2,0,0,0,0,6,0,3028,0,2,2,7.0,1,-174,76,250,49,True,0,0,1,0.0269708335399627,18,Ipswich,Aston Villa,2,2,26659,2024,678373,0.0,0,0,0,0.0269708335399627,0.6677495837211609,0.6677495837211609,Ipswich,3,2,6,-0.2,MID
0,0,2,0,1.1,281,0.0,0.04,0.04,0.17,70,0,0,0.1,0.0,2024-10-05,16,0,0,0,0,0,0,0,False,19,0,0,0,0,7,0,2980,0,1,4,1.0,1,-115,106,221,49,False,0,0,1,0.0130082303658127,13,West Ham,Ipswich,4,1,26665,2024,679513,0.0,0,0,0,0.0130082303658127,0.1022102683782577,0.0892020389437675,Ipswich,2,2,7,0.0,MID
0,0,-2,0,1.3,281,0.06,0.28,0.22,0.56,73,0,0,1.4,1.6,2024-10-19,19,0,0,0,0,0,0,0,False,8,0,0,0,0,8,0,3053,0,2,0,11.0,0,-10,148,158,48,True,1,0,2,0.1369365751743316,13,Ipswich,Everton,0,2,26674,2024,681427,0.0,0,0,0,0.1369365751743316,0.1841734796762466,0.1841734796762466,Ipswich,3,2,8,0.7,MID
0,0,3,0,1.5,281,0.0,0.0,0.0,0.19,116,0,0,0.6,4.8,2024-11-24,25,0,0,0,0,0,0,0,False,14,0,0,0,0,12,0,2463,0,1,1,0.0,1,-100,16,116,48,True,0,0,0,0.0,22,Ipswich,Manchester United,1,1,26718,2024,689257,0.0,0,0,0,0.0,0.0,0.0,Ipswich,2,2,12,0.2,MID
0,0,3,0,26.3,281,0.14,0.16,0.02,0.04,127,0,0,3.5,7.4,2024-11-30,16,0,0,0,0,0,0,0,False,16,0,0,0,0,13,0,2475,0,0,1,1.0,1,-13,42,55,48,False,0,0,1,0.0150135774165391,14,Nottingham Forest,Ipswich,1,0,26728,2024,690018,0.0671640858054161,0,2,0,0.0150135774165391,0.0301292985677719,0.0151157211512327,Ipswich,2,4,13,0.5,MID
0,0,5,0,2.3,281,0.01,0.01,0.0,0.4,136,0,0,0.7,4.4,2024-12-03,24,0,0,0,0,0,0,0,False,7,0,0,0,0,14,0,2511,0,1,0,0.0,1,0,69,69,48,True,0,0,0,0.0,21,Ipswich,Crystal Palace,0,1,26737,2024,691336,0.0,0,0,0,0.0,0.2381727546453476,0.2381727546453476,Ipswich,3,2,14,0.8,MID
0,0,19,0,37.1,281,0.44,0.53,0.09,2.63,146,1,0,7.6,15.2,2024-12-08,90,0,0,0,0,0,0,0,False,3,0,0,0,0,15,0,2535,1,2,1,24.0,2,-3,65,68,48,True,0,0,4,0.0719479173421859,90,Ipswich,Bournemouth,1,2,26750,2024,692747,0.6998812556266785,0,3,0,0.0719479173421859,0.3405256867408752,0.2369531095027923,Ipswich,3,2,15,1.2,MID
