assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,-7,0,0.0,564,0.0,0.0,0.0,1.15,41,2,0,0.0,0.0,2024-09-21,8,0,0,0,0,0,0,0,False,2,0,0,0,0,5,0,8152,0,1,3,0.0,0,-195,235,430,44,False,0,564,,,Santiago Bueno,0,0,0.0,2,Sub,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675774,0.0,0,0,0,0.0,0.0,0.0,26647,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,3,4,5,0.0,DEF,0
0,0,7,0,0.7,564,0.0,0.0,0.0,2.39,60,2,0,1.7,16.2,2024-09-28,76,0,0,0,0,0,0,0,False,12,0,0,0,0,6,0,8014,1,2,1,0.0,1,-353,258,611,44,True,0,564,,,Santiago Bueno,0,0,0.0,81,DC,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678053,0.0,0,0,0,0.0,0.0753610506653785,0.0753610506653785,26658,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,5,3,6,-0.2,DEF,1
0,0,4,0,1.3,564,0.0,0.0,0.0,1.62,80,2,0,2.4,23.0,2024-10-20,90,0,0,0,0,0,0,0,False,13,0,0,0,0,8,0,7442,1,2,1,0.0,1,-236,80,316,43,True,0,564,,,Santiago Bueno,0,0,0.0,90,DC,Wolverhampton Wanderers,Manchester City,1,2,26681,2024,681876,0.0,0,0,0,0.0,0.3284612894058227,0.3284612894058227,26681,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,4,3,8,-0.3,DEF,1
0,0,9,0,0.9,564,0.01,0.22,0.21,1.31,84,2,0,4.7,29.0,2024-10-26,90,0,0,0,0,0,0,0,False,5,0,0,0,0,9,0,7531,1,2,2,17.0,1,29,193,164,43,False,0,564,,,Santiago Bueno,0,1,0.0882612317800521,90,DC,Brighton,Wolverhampton Wanderers,2,2,26686,2024,683039,0.0,0,0,0,0.0882612317800521,0.0,0.0,26686,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,3,3,9,0.8,DEF,1
0,0,0,0,0.2,564,0.0,0.0,0.0,2.51,100,2,0,2.0,20.0,2024-11-02,90,0,0,0,0,0,0,0,False,7,0,0,0,0,10,0,7722,1,2,2,0.0,1,94,343,249,43,True,0,564,,,Santiago Bueno,0,0,0.0,90,DC,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685236,0.0,0,0,0,0.0,1.1423912048339844,1.1423912048339844,26701,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,3,3,10,1.0,DEF,1
0,0,25,1,0.3,564,0.0,0.0,0.0,0.66,110,0,0,1.3,12.4,2024-11-09,90,0,0,0,0,0,0,0,False,17,0,0,0,0,11,0,8006,1,0,2,0.0,6,214,469,255,43,True,0,564,,,Santiago Bueno,0,0,0.0,90,DC,Wolverhampton Wanderers,Southampton,2,0,26711,2024,686663,0.0,0,0,0,0.0,0.0,0.0,26711,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,1,3,11,3.2,DEF,6
0,0,-8,0,0.6,564,0.01,0.01,0.0,0.59,134,4,0,0.7,6.8,2024-12-04,76,0,0,0,0,0,0,0,False,8,0,0,0,0,14,0,7992,1,0,4,0.0,0,55,301,246,43,False,0,564,,,Santiago Bueno,0,0,0.0,83,DC,Everton,Wolverhampton Wanderers,4,0,26735,2024,691586,0.0,0,0,0,0.0,0.5755777955055237,0.5755777955055237,26735,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,3,3,14,1.5,DEF,0
0,0,0,0,0.0,564,0.0,0.0,0.0,1.01,150,2,0,0.6,6.2,2024-12-09,90,0,0,0,0,0,0,0,False,19,0,0,0,0,15,0,7893,1,1,2,0.0,1,-135,186,321,43,False,0,564,,,Santiago Bueno,0,0,0.0,90,DC,West Ham,Wolverhampton Wanderers,2,1,26746,2024,693281,0.0,0,0,0,0.0,0.4147919118404388,0.4147919118404388,26746,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,3,2,15,0.2,DEF,1
0,0,3,0,1.3,564,0.01,0.01,0.0,1.2,160,2,0,1.1,9.8,2024-12-14,90,0,0,0,0,0,0,0,False,10,0,0,0,0,16,0,8078,1,2,1,0.0,1,88,304,216,43,True,0,564,,,Santiago Bueno,0,0,0.0,90,DC,Wolverhampton Wanderers,Ipswich,1,2,26758,2024,693603,0.0,0,0,0,0.0,0.1400483548641204,0.1400483548641204,26758,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,2,3,16,0.4,DEF,1
0,0,24,1,0.0,564,0.0,0.04,0.04,0.81,167,0,0,1.8,13.8,2024-12-22,90,0,0,0,0,0,0,0,False,11,0,0,0,0,17,0,7937,1,3,0,4.0,6,-173,143,316,43,False,0,564,,,Santiago Bueno,0,1,0.0251137632876634,90,DC,Leicester,Wolverhampton Wanderers,0,3,26770,2024,695679,0.0,0,0,0,0.0251137632876634,0.2990841269493103,0.2990841269493103,26770,Wolverhampton Wanderers,Santiago Bueno,Santiago Bueno,3,1,17,1.3,DEF,6
