assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,4,0,1.6,166,0.01,0.01,0.0,0.11,9,1,0,0.4,2.0,2024-08-18,24,0,0,0,0,0,0,0,False,13,0,0,0,0,1,0,23669,0,2,0,0.0,1,0,0,0,60,True,0,166,,,0,0,0.0,17,Sub,Chelsea,Manchester City,0,2,26610,2024,667023,0.0,0,0,0,0.0,0.0,0.0,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,4,4,1,1.2,MID
0,0,1,0,0.2,166,0.0,0.0,0.0,0.12,20,0,0,0.0,0.0,2024-08-25,14,0,0,0,0,0,0,0,False,20,0,0,0,0,2,0,23100,0,6,2,0.0,1,-3590,1245,4835,60,False,0,166,,,0,0,0.0,5,Sub,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668763,0.0,0,0,0,0.0,0.1129174754023552,0.1129174754023552,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,3,2,1.0,MID
0,0,4,0,10.6,166,0.02,0.02,0.0,0.11,50,0,0,1.6,5.4,2024-09-21,6,0,0,0,0,0,0,0,False,19,0,0,0,0,5,0,15687,0,3,0,0.0,1,-1698,311,2009,58,False,0,166,,,0,0,0.0,4,Sub,West Ham,Chelsea,0,3,26642,2024,675306,0.1097568497061729,0,1,0,0.0,0.1097568497061729,0.0,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,2,5,0.5,MID
0,0,3,0,0.0,166,0.0,0.0,0.0,0.79,117,1,0,0.0,0.0,2024-11-23,1,0,0,0,0,0,0,0,False,11,0,0,0,0,12,0,13200,0,2,1,0.0,1,-150,232,382,56,False,0,166,,,0,0,0.0,1,Sub,Leicester,Chelsea,1,2,26719,2024,688103,0.0,0,0,0,0.0,0.0,0.0,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,1,12,0.8,MID
0,0,3,0,2.9,166,0.02,0.02,0.0,0.0,140,0,0,0.5,2.0,2024-12-04,11,0,0,0,0,0,0,0,False,17,0,0,0,0,14,0,13068,0,5,1,0.0,1,-244,120,364,56,False,0,166,,,0,0,0.0,6,Sub,Southampton,Chelsea,1,5,26741,2024,691474,0.0,0,0,0,0.0,0.0,0.0,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,1,14,1.5,MID
1,1,25,0,13.8,166,0.14,0.36,0.22,0.63,213,1,0,5.6,23.4,2025-01-20,76,0,0,0,0,0,0,0,False,20,0,0,0,0,22,0,11653,1,1,3,19.0,6,-163,14,177,55,True,0,166,,,0,1,0.0894354954361915,84,DMC,Chelsea,Wolverhampton Wanderers,3,1,26814,2024,701006,0.6305450797080994,1,1,0,0.0894354954361915,0.7883391976356506,0.0683585703372955,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,4,22,0.0,MID
0,0,2,0,1.5,166,0.0,0.0,0.0,0.83,242,0,0,0.1,0.0,2025-02-14,25,0,0,0,0,0,0,0,False,5,0,0,0,0,25,0,12081,0,0,3,0.0,1,-2,158,160,55,False,0,166,,,0,0,0.0,20,Sub,Brighton,Chelsea,3,0,26843,2024,705901,0.0,0,0,0,0.0,0.1095505133271217,0.1095505133271217,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,3,25,0.8,MID
0,0,3,0,3.4,166,0.0,0.0,0.0,0.15,268,0,0,0.8,4.4,2025-02-25,22,0,0,0,0,0,0,0,False,17,0,0,0,0,27,0,12414,0,0,4,0.0,1,14,163,149,55,True,0,166,,,0,0,0.0,20,Sub,Chelsea,Southampton,4,0,26869,2024,709006,0.0,0,0,0,0.0,0.1528429090976715,0.1528429090976715,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,1,4,27,1.5,MID
0,0,4,0,2.0,166,0.01,0.01,0.0,0.0,281,0,0,0.5,3.0,2025-03-16,14,0,0,0,0,0,0,0,False,1,0,0,0,0,29,0,12643,0,0,1,0.0,1,9,119,110,55,False,0,166,,,0,0,0.0,11,Sub,Arsenal,Chelsea,1,0,26883,2024,713681,0.0,0,0,0,0.0,0.0,0.0,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,3,5,29,0.5,MID
0,0,5,0,0.0,166,0.0,0.0,0.0,0.0,296,0,0,0.2,2.0,2025-04-03,1,0,0,0,0,0,0,0,False,18,0,0,0,0,30,0,12638,0,0,1,0.0,1,-14,101,115,55,True,0,166,,,0,0,0.0,1,Sub,Chelsea,Tottenham,1,0,26897,2024,716279,0.0,0,0,0,0.0,0.0,0.0,9739,Chelsea,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,2,4,30,1.2,MID
