assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0.0,3.0,40.0,1.0,0.0,12.3,6.0,714.0,0.01,0.28,0.27,0.41,39.0,0.0,1.0,9.6,37.2,2025-09-13,64.0,False,20.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,98871.0,1.0,3.0,0.0,1.0,46.0,9.0,80209.0,96273.0,16064.0,7.0,True,0.0,714.0,1.0,3.0,0.1636825948953628,70.0,Newcastle United,Wolverhampton Wanderers,1.0,0.0,28809.0,2025.0,736881.0,0.0179711375385522,0.0,1.0,1.0,0.1636825948953628,0.1332824230194091,0.04793581366539,8117.0,Newcastle United,Nick Woltemade,Nick Woltemade,2.0,4.0,4.0,2.8,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,1.0,1.0,4.9,2.0,714.0,0.02,0.02,0.0,0.43,42.0,0.0,0.0,1.4,0.8,2025-09-21,83.0,False,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,427038.0,1.0,0.0,0.0,0.0,8.0,2.0,302743.0,338584.0,35841.0,7.0,False,0.0,714.0,0.0,0.0,0.0,88.0,Bournemouth,Newcastle United,0.0,0.0,28823.0,2025.0,739240.0,0.0,0.0,0.0,0.0,0.0,0.0907701402902603,0.0907701402902603,8117.0,Newcastle United,Nick Woltemade,Nick Woltemade,3.0,3.0,5.0,6.0,FWD,1.0,0.01,0.28,0.27,0.41,0.0,1.0,9.6,37.2,12.3,46.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,3.0,0.16,0.02,0.0,0.0,1.0,1.0,0.16,0.13,0.05,2.8,0.33,0.0,0.09,0.09,0.14,0.0,0.33,3.2,12.4,4.1,15.33,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,3.0,0.33,1.0,0.05,0.01,0.0,0.0,0.33,0.33,0.05,0.04,0.02,0.93,0.2,0.0,0.06,0.05,0.08,0.0,0.2,1.92,7.44,2.46,9.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.8,0.2,0.6,0.03,0.0,0.0,0.0,0.2,0.2,0.03,0.03,0.01,0.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,714.0,,,,,,,,,,,,,,,,,,,8117.0,15,,,,,6.0,,4,1.0,0.02,0.02,0.0,0.43,0.0,0.0,1.4,0.8,4.9,8.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,6.0,0.67,0.01,0.1,0.09,0.28,0.0,0.33,3.67,12.67,5.73,18.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,3.67,0.33,1.0,0.05,0.01,0.0,0.0,0.33,0.33,0.05,0.07,0.05,2.93,0.4,0.01,0.06,0.05,0.17,0.0,0.2,2.2,7.6,3.44,10.8,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,2.2,0.2,0.6,0.03,0.0,0.0,0.0,0.2,0.2,0.03,0.04,0.03,1.76
