assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,-2,1,0,2.4,0,157,0.04,0.11,0.07,0.52,3,0,0,0.6,0.0,2025-08-16,82,False,10,0,0,0,0,0,1,0,697623,1,0,1,1,8.0,2,0,0,0,6.5,True,1,157,,,Mitoma Kaoru,0,1,0.080752782523632,84,AML,Brighton,Fulham,1,1,28780,2025,732711,0.0,0,0,0,0.080752782523632,0.222150906920433,0.1413981318473816,10806,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,3,1,2.2,MID,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,8,0,0,42.8,5,157,0.09,0.24,0.15,1.6,16,2,0,6.5,12.0,2025-08-24,90,False,9,0,0,0,4,0,2,0,664282,1,1,0,2,10.0,2,-92096,21223,113319,6.5,False,0,157,,,Mitoma Kaoru,0,1,0.076464258134365,90,AML,Everton,Brighton,2,0,28795,2025,733848,0.127003401517868,0,3,0,0.076464258134365,0.3194644153118133,0.1924610137939453,10806,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,3,2,2.0,MID,2,1.0,0.04,0.11,0.07,0.52,0.0,0.0,0.6,0.0,2.4,8.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.22,0.14,2.2,0.33,0.01,0.04,0.02,0.17,0.0,0.0,0.2,0.0,0.8,2.67,27.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,0.67,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.05,0.73,0.2,0.01,0.02,0.01,0.1,0.0,0.0,0.12,0.0,0.48,1.6,16.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.4,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.03,0.44
1,0,21,0,3,33.3,7,157,0.04,0.12,0.08,1.82,22,1,0,7.3,27.4,2025-08-31,90,False,13,0,0,0,2,0,3,0,560702,1,2,1,2,12.0,5,-114193,12822,127015,6.4,True,0,157,,,Mitoma Kaoru,0,2,0.1053698807954788,90,AML,Brighton,Manchester City,2,1,28805,2025,735692,0.5435125231742859,1,3,0,0.1053698807954788,0.6488823890686035,0.0,10806,Brighton,Mitoma Kaoru,Kaoru Mitoma,4,3,3,2.5,MID,5,0.0,0.09,0.24,0.15,1.6,2.0,0.0,6.5,12.0,42.8,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.08,0.13,0.0,0.0,3.0,0.0,0.08,0.32,0.19,2.0,0.33,0.04,0.12,0.07,0.71,0.67,0.0,2.37,4.0,15.07,6.0,57.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,1.0,1.33,0.0,0.67,0.05,0.04,0.0,0.0,1.0,0.0,0.05,0.18,0.11,1.4,0.2,0.03,0.07,0.04,0.42,0.4,0.0,1.42,2.4,9.04,3.6,34.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.6,0.8,0.0,0.4,0.03,0.03,0.0,0.0,0.6,0.0,0.03,0.11,0.07,0.84
0,0,24,0,0,3.0,0,157,0.03,0.4,0.37,1.45,32,2,1,7.4,35.6,2025-09-13,90,False,4,0,0,0,0,0,4,0,552451,1,0,1,2,35.0,7,-32072,35332,67404,6.4,False,0,157,,,Mitoma Kaoru,1,1,0.1658363342285156,90,AML,Bournemouth,Brighton,2,1,28810,2025,736928,0.0,0,0,1,0.1658363342285156,0.2232938408851623,0.0574575029313564,10806,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,3,4,4.7,MID,7,0.0,0.04,0.12,0.08,1.82,1.0,0.0,7.3,27.4,33.3,12.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,2.0,0.11,0.54,1.0,1.0,3.0,0.0,0.11,0.65,0.0,2.5,0.33,0.06,0.16,0.1,1.31,1.0,0.0,4.8,13.13,26.17,10.0,87.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.67,3.0,0.0,1.33,0.09,0.22,0.33,0.33,2.0,0.0,0.09,0.4,0.11,2.23,0.2,0.03,0.09,0.06,0.79,0.6,0.0,2.88,7.88,15.7,6.0,52.4,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.4,1.0,1.8,0.0,0.8,0.05,0.13,0.2,0.2,1.2,0.0,0.05,0.24,0.07,1.34
0,0,9,0,2,12.8,7,157,0.07,0.16,0.09,1.22,43,2,0,4.3,11.2,2025-09-20,90,False,18,0,0,0,5,0,5,0,577402,1,0,2,2,19.0,2,14149,50600,36451,6.4,True,0,157,,,Mitoma Kaoru,0,1,0.2152345478534698,90,AML,Brighton,Tottenham,2,2,28821,2025,738624,0.0781390964984893,0,1,0,0.2152345478534698,0.2933736443519592,0.0,10806,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,3,5,4.7,MID,2,0.0,0.03,0.4,0.37,1.45,2.0,1.0,7.4,35.6,3.0,35.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.17,0.22,0.06,4.7,0.0,0.05,0.25,0.2,1.62,1.67,0.33,7.07,25.0,26.37,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.0,4.67,0.33,1.33,0.12,0.22,0.33,0.33,2.0,0.33,0.12,0.4,0.08,3.07,0.2,0.04,0.17,0.13,1.08,1.0,0.2,4.36,15.0,16.3,13.0,70.4,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.6,1.4,3.2,0.2,1.0,0.09,0.13,0.2,0.2,1.2,0.2,0.09,0.28,0.08,2.28
