h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
25,h,1.96036,1.1385,1.96036,1.1385,"{'att': 236, 'def': 22}","{'att': 265, 'def': 16}",11,11,1,2,2.0153,l,2024-02-24 15:00:00,0,0,1,0,0.82186
26,a,0.153764,2.64173,0.153764,2.64173,"{'att': 309, 'def': 17}","{'att': 171, 'def': 17}",1,26,1,3,0.0737,l,2024-03-03 15:30:00,0,0,1,0,-2.487966
27,h,2.9016,1.8214,1.37927,1.8214,"{'att': 216, 'def': 14}","{'att': 308, 'def': 20}",7,13,2,0,2.1497,w,2024-03-09 12:30:00,1,0,0,3,-0.4421299999999999
28,a,0.989565,3.16487,0.989565,3.16487,"{'att': 144, 'def': 20}","{'att': 211, 'def': 16}",7,21,1,1,0.2803,d,2024-03-30 20:00:00,0,1,0,1,-2.175305
29,a,1.56686,3.48048,1.56686,1.95814,"{'att': 318, 'def': 25}","{'att': 209, 'def': 17}",7,15,3,4,0.3867,l,2024-04-04 19:15:00,0,0,1,0,-0.39128
30,h,0.814509,4.43457,0.814509,3.6734,"{'att': 284, 'def': 20}","{'att': 196, 'def': 25}",6,21,2,2,0.0519,d,2024-04-07 14:30:00,0,1,0,1,-2.858891
31,a,1.52274,2.38519,0.761571,2.38519,"{'att': 173, 'def': 16}","{'att': 281, 'def': 21}",8,12,2,2,0.7629,d,2024-04-13 16:30:00,0,1,0,1,-1.623619
32,h,3.51311,1.20517,2.75194,1.20517,"{'att': 158, 'def': 25}","{'att': 393, 'def': 18}",14,2,4,2,2.6806,w,2024-04-24 19:00:00,1,0,0,3,1.5467699999999998
33,h,3.06197,1.89591,3.06197,1.13475,"{'att': 241, 'def': 17}","{'att': 176, 'def': 21}",18,9,1,1,2.0884,d,2024-04-27 14:00:00,0,1,0,1,1.92722
34,a,0.341417,2.0656,0.341417,2.0656,"{'att': 233, 'def': 20}","{'att': 402, 'def': 24}",4,12,0,4,0.2369,l,2024-05-06 19:00:00,0,0,1,0,-1.7241829999999998
35,h,0.551669,1.73104,0.551669,1.73104,"{'att': 285, 'def': 15}","{'att': 259, 'def': 28}",4,13,0,1,0.3789,l,2024-05-12 15:30:00,0,0,1,0,-1.179371
36,h,1.49706,2.27657,1.49706,2.27657,"{'att': 224, 'def': 24}","{'att': 173, 'def': 11}",11,6,3,2,0.8749,w,2024-05-15 19:00:00,1,0,0,3,-0.7795099999999999
37,a,1.00404,1.9717,1.00404,1.9717,"{'att': 334, 'def': 18}","{'att': 277, 'def': 30}",6,10,2,0,0.6787,w,2024-05-19 15:00:00,1,0,0,3,-0.96766
