id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
0,1250,Mohamed Salah,19,1686,18,16.09644317626953,13,8.343493435531855,74,38,1,0,F M,Liverpool,13,12.290599007159472,25.83444967865944,6.963344976305962
1,8260,Erling Haaland,20,1795,16,17.687667295336723,1,1.9538248926401136,82,17,2,0,F,Manchester City,15,16.165329605340958,16.217096641659737,2.2275928519666195
2,5232,Alexander Isak,18,1483,13,12.104146737605332,4,4.008036468178034,55,31,1,0,F,Newcastle United,13,12.104146737605332,16.383281782269478,1.621613211929798
3,6552,Bryan Mbeumo,20,1799,13,6.38187400996685,3,5.4892034232616425,35,37,2,0,D F M,Brentford,10,4.098367460072041,13.61946990340948,5.457833711057901
4,8497,Cole Palmer,20,1770,13,10.102384943515062,6,8.570171512663364,70,56,3,0,M,Chelsea,10,7.818878348916769,17.929158130660653,5.131485108286142
5,4456,Chris Wood,20,1616,12,8.347858421504498,1,1.1049347799271343,36,7,1,0,F S,Nottingham Forest,10,6.825520746409893,7.840789619833231,1.176462221890688
6,7080,Matheus Cunha,19,1577,10,4.172728881239891,4,5.158684618771076,54,32,2,0,F M S,Wolverhampton Wanderers,10,4.172728881239891,11.004231221973896,4.264184525236487
7,5786,Yoane Wissa,17,1323,9,9.442219339311125,2,1.2901211492717266,37,11,2,0,F M S,Brentford,9,9.442219339311125,13.077785577625036,2.7552822679281235
8,10048,Nicolas Jackson,19,1501,9,10.463555723428726,3,2.012046867981553,50,17,4,0,F S,Chelsea,9,10.463555723428726,13.018390715122225,2.4218440372496843
9,4105,Raúl Jiménez,20,1251,8,9.040302257984877,2,2.8686302825808525,48,10,2,0,F S,Fulham,5,6.756795670837164,9.705908071249723,2.550566393882036
10,6818,James Maddison,20,1196,8,4.946294944733381,4,3.570192433893681,32,26,4,0,M S,Tottenham,8,4.946294944733381,11.28656093031168,5.673333963379264
11,8865,Ollie Watkins,20,1399,8,12.574774406850338,4,2.613771766424179,52,17,0,0,F S,Aston Villa,6,11.052436612546444,12.623903445899488,2.022079698741436
12,8868,Liam Delap,19,1490,8,8.45443543791771,2,2.166131667792797,34,16,5,0,F S,Ipswich,6,6.932097762823105,9.735777758061886,1.662490652874112
13,10408,Luis Díaz,18,1124,8,5.557417685166001,2,2.633912700228393,37,24,1,0,F M S,Liverpool,8,5.557417685166001,12.85021860152483,5.593117997050285
14,1679,Dominic Solanke,17,1518,7,9.368483278900383,3,2.2408436201512814,43,12,0,0,F,Tottenham,7,9.368483278900383,12.43880046904087,2.5591580383479595
15,5220,Kai Havertz,17,1488,7,9.45898227021098,2,2.4099024403840303,39,14,3,0,F M,Arsenal,7,9.45898227021098,13.030051872134209,3.9115415774285793
16,10760,Brennan Johnson,20,1458,7,8.646619021892548,2,2.032659169286489,44,14,3,0,F M S,Tottenham,7,8.646619021892548,12.507248781621456,2.982726041227579
17,11070,Jørgen Strand Larsen,20,1656,7,6.242203712463379,2,1.8567826468497517,31,10,2,0,F S,Wolverhampton Wanderers,7,6.242203712463379,9.67940247617662,2.5339677687734365
18,11366,Jhon Durán,18,540,7,4.96463805809617,0,0.2346634343266487,29,4,3,1,F S,Aston Villa,7,4.96463805809617,5.552638920024037,1.4234060682356358
19,501,Danny Welbeck,14,1145,6,5.98893528431654,2,0.7173267938196659,35,12,1,0,F S,Brighton,6,5.98893528431654,8.44262969121337,3.545821912586689
20,755,Jamie Vardy,18,1498,6,6.911383755505085,3,2.6930703222751617,30,11,4,0,F,Leicester,5,6.15021488815546,8.345766894519329,0.1942322198301553
