assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,12,0,0.8,270,0.0,0.1,0.1,2.65,4,2,0,4.9,26.2,2024-08-17,90,0,0,0,0,0,0,0,False,12,0,0,0,0,1,0,48563,1,2,0,22.0,1,0,0,0,4.0,True,0,270,,,0,2,0.1080128252506256,90,DC,Ipswich,Liverpool,0,2,26603,2024,666234,0.0,0,0,0,0.1080128252506256,0.0,0.0,26603,Ipswich,Jacob Greaves,Jacob Greaves,5,2,1,0.0,DEF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,-1,0,0.3,270,0.0,0.0,0.0,3.34,17,4,0,1.3,12.4,2024-08-24,90,0,0,0,0,0,0,0,False,13,0,0,0,0,2,0,85247,1,1,4,0.0,0,24864,32017,7153,4.0,False,0,270,,,0,0,0.0,90,DC,Manchester City,Ipswich,4,1,26615,2024,668088,0.0,0,0,0,0.0,0.0,0.0,26615,Ipswich,Jacob Greaves,Jacob Greaves,2,4,2,-1.0,DEF,0,0.0,0.0,0.1,0.1,2.65,2.0,0.0,4.9,26.2,0.8,22.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.88,0.67,0.0,1.63,8.73,0.27,7.33,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.33,0.0,0.67,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.53,0.4,0.0,0.98,5.24,0.16,4.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,36684.0,0.634771508807761
0,0,11,0,0.4,270,0.0,0.02,0.02,0.95,25,1,0,3.9,21.4,2024-08-31,90,0,0,0,0,0,0,0,False,9,0,0,0,0,3,0,102503,1,1,1,17.0,2,14935,27528,12593,4.0,True,0,270,,,0,1,0.0092168767005205,90,DC,Ipswich,Fulham,1,1,26625,2024,671782,0.0,0,0,0,0.0092168767005205,0.0,0.0,26625,Ipswich,Jacob Greaves,Jacob Greaves,3,2,3,0.5,DEF,2,0.0,0.0,0.0,0.0,3.34,4.0,0.0,1.3,12.4,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.03,0.03,2.0,2.0,0.0,2.07,12.87,0.37,7.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.33,0.33,0.0,0.67,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,-0.33,0.0,0.0,0.02,0.02,1.2,1.2,0.0,1.24,7.72,0.22,4.4,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8,0.2,0.0,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-0.2,17256.0,0.3722489469355201
0,0,22,1,0.0,270,0.0,0.0,0.0,1.66,33,0,0,3.1,31.2,2024-09-14,90,0,0,0,0,0,0,0,False,5,0,0,0,0,4,0,180047,1,0,0,0.0,6,71992,100935,28943,4.0,False,0,270,,,0,0,0.0,90,DC,Brighton,Ipswich,0,0,26633,2024,673659,0.0,0,0,0,0.0,0.0,0.0,26633,Ipswich,Jacob Greaves,Jacob Greaves,2,3,4,1.7,DEF,6,0.0,0.0,0.02,0.02,0.95,1.0,0.0,3.9,21.4,0.4,17.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.04,0.04,2.31,2.33,0.0,3.37,20.0,0.5,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,-0.17,0.0,0.0,0.02,0.02,1.39,1.4,0.0,2.02,12.0,0.3,7.8,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0,0.6,0.0,0.6,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-0.1,77544.0,0.5543048091285668
0,0,10,0,1.3,270,0.01,0.04,0.03,2.49,48,1,0,3.0,22.0,2024-09-21,90,0,0,0,0,0,0,0,False,17,0,0,0,0,5,0,252259,1,1,1,7.0,2,65875,75558,9683,4.0,False,0,270,,,0,1,0.0703089758753776,90,DC,Southampton,Ipswich,1,1,26643,2024,675643,0.0,0,0,0,0.0703089758753776,0.4744936227798462,0.4744936227798462,26643,Ipswich,Jacob Greaves,Jacob Greaves,2,1,5,2.5,DEF,2,1.0,0.0,0.0,0.0,1.66,0.0,0.0,3.1,31.2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.33,0.0,0.01,0.01,1.98,1.67,0.0,2.77,21.67,0.23,5.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67,2.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.02,0.02,1.72,1.4,0.0,2.64,18.24,0.3,7.8,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.8,0.0,0.6,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.24,72212.0,0.7728088595863493
0,0,4,0,0.8,270,0.0,0.0,0.0,0.82,56,2,0,1.3,12.0,2024-09-29,90,0,0,0,0,0,0,0,False,2,0,0,0,0,6,0,548241,1,2,2,0.0,0,289380,341438,52058,4.0,True,1,270,,,0,0,0.0,90,DC,Ipswich,Aston Villa,2,2,26659,2024,678362,0.0,0,0,0,0.0,0.9754124879837036,0.9754124879837036,26659,Ipswich,Jacob Greaves,Jacob Greaves,3,2,6,2.2,DEF,0,0.0,0.01,0.04,0.03,2.49,1.0,0.0,3.0,22.0,1.3,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.47,0.47,2.5,0.33,0.0,0.02,0.02,1.7,0.67,0.0,3.33,24.87,0.57,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,3.33,0.0,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.16,1.57,0.2,0.0,0.03,0.03,2.22,1.6,0.0,3.24,22.64,0.56,9.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.2,0.0,0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.09,0.74,295982.0,0.7354077296846728
0,0,-5,0,1.1,270,0.0,0.27,0.27,3.79,70,4,0,4.0,29.6,2024-10-05,90,0,0,0,0,0,0,0,False,19,0,0,0,0,7,0,619011,1,1,4,9.0,0,68542,92004,23462,4.1,False,0,270,,,0,1,0.5946536660194397,90,DC,West Ham,Ipswich,4,1,26665,2024,679501,0.0,0,0,0,0.5946536660194397,0.1201224476099014,0.1201224476099014,26665,Ipswich,Jacob Greaves,Jacob Greaves,2,2,7,1.5,DEF,0,0.0,0.0,0.0,0.0,0.82,2.0,0.0,1.3,12.0,0.8,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,2.2,0.33,0.0,0.01,0.01,1.66,1.0,0.0,2.47,21.73,0.7,2.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,2.67,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.48,0.48,2.13,0.2,0.0,0.01,0.01,1.85,1.6,0.0,2.52,19.8,0.56,4.8,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.6,2.0,0.0,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.29,0.29,1.18,70770.0,0.5936119723554986
0,0,5,0,1.2,270,0.01,0.02,0.01,1.64,136,1,0,3.4,25.0,2024-12-03,90,0,0,0,0,0,0,0,False,7,0,0,0,0,14,0,418435,1,1,0,8.0,1,-3225,6428,9653,4.0,True,1,270,,,0,1,0.0082559483125805,90,DC,Ipswich,Crystal Palace,0,1,26737,2024,691326,0.0,0,0,0,0.0082559483125805,0.0096498578786849,0.0096498578786849,26737,Ipswich,Jacob Greaves,Jacob Greaves,3,2,14,0.2,DEF,1,0.0,0.0,0.27,0.27,3.79,4.0,0.0,4.0,29.6,1.1,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.59,0.0,0.0,0.0,0.0,0.0,0.59,0.12,0.12,1.5,0.0,0.0,0.1,0.1,2.37,2.33,0.0,2.77,21.2,1.07,5.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,2.33,0.67,0.0,0.67,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.52,0.52,2.07,0.2,0.0,0.07,0.06,1.94,1.6,0.0,3.06,23.24,0.72,6.6,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.6,2.0,0.0,0.6,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.31,0.31,1.68,-200576.0,-0.2005472296498974
0,0,13,0,11.8,270,0.01,0.01,0.0,1.94,171,1,0,3.0,18.4,2024-12-27,90,0,0,0,0,0,0,0,False,1,0,0,0,0,18,0,393036,1,0,1,0.0,2,-7114,15374,22488,3.9,False,0,270,,,0,0,0.0,90,DC,Arsenal,Ipswich,1,0,26773,2024,696412,0.0144819160923361,0,1,0,0.0,0.0628165751695633,0.0628165751695633,26773,Ipswich,Jacob Greaves,Jacob Greaves,2,5,18,0.0,DEF,2,0.0,0.01,0.02,0.01,1.64,1.0,0.0,3.4,25.0,1.2,8.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.2,0.0,0.0,0.1,0.09,2.08,2.33,0.0,2.9,22.2,1.03,5.67,90.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.33,2.0,0.33,0.0,0.67,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.37,0.37,1.3,0.2,0.0,0.07,0.06,2.08,1.6,0.0,2.96,23.96,0.88,4.8,90.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,1.4,1.8,0.0,0.6,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.32,0.32,1.62,-25399.0,-0.1878928741218108
0,0,20,1,0.0,270,0.0,0.0,0.0,2.0,186,0,0,1.4,13.8,2024-12-30,90,0,0,0,0,0,0,0,False,6,0,0,0,0,19,0,400201,1,0,2,0.0,6,6378,21459,15081,3.9,True,0,270,,,0,0,0.0,90,DC,Ipswich,Chelsea,2,0,26787,2024,696890,0.0,0,0,0,0.0,0.0,0.0,26787,Ipswich,Jacob Greaves,Jacob Greaves,3,2,19,1.0,DEF,6,0.0,0.01,0.01,0.0,1.94,1.0,0.0,3.0,18.4,11.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.0,0.01,0.1,0.09,2.46,2.0,0.0,3.47,24.33,4.7,5.67,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.67,1.0,0.0,0.67,0.2,0.0,0.0,0.0,0.33,0.0,0.2,0.06,0.06,0.57,0.0,0.01,0.07,0.06,2.14,1.8,0.0,2.94,21.4,3.24,4.8,90.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,1.6,1.0,0.0,0.6,0.13,0.0,0.0,0.0,0.2,0.0,0.13,0.33,0.33,1.28,7165.0,0.17454844006568143
