assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
10,0,0,9,0,12.2,182,0.01,0.16,0.15,0.99,103,1,0,4.3,6.8,2024-11-10,90,0,0,0,0,0,0,0,False,1,0,0,0,0,11,0,5684380,1,1,1,24.0,2,-299656,97643,397299,110,True,0,182,,,0,4,0.1674095243215561,90,AMC,Chelsea,Arsenal,1,1,26705,2024,687562,0.0254275631159544,0,1,0,0.1674095243215561,0.1647605299949646,0.1480802595615387,8497,Chelsea,Cole Palmer,Cole Palmer,MID
11,0,0,13,0,35.3,182,0.17,1.06,0.89,1.11,117,1,0,6.1,9.4,2024-11-23,90,0,0,0,0,0,0,0,False,11,0,0,0,0,12,0,5914028,1,2,1,16.0,2,173436,357776,184340,109,False,0,182,,,0,2,0.7025733590126038,90,AMC,Leicester,Chelsea,1,2,26719,2024,688098,0.2264045774936676,0,3,0,0.7025733590126038,1.0654199123382568,0.2284422367811203,8497,Chelsea,Cole Palmer,Cole Palmer,MID
12,1,3,50,1,33.8,182,0.08,0.41,0.33,0.73,123,0,1,13.9,58.4,2024-12-01,85,0,0,0,0,0,0,0,False,2,0,0,0,0,13,0,5963058,1,0,3,47.0,14,31512,186020,154508,109,True,0,182,,,1,5,0.4184116721153259,90,AMC,Chelsea,Aston Villa,3,0,26724,2024,690682,0.1920085400342941,1,2,1,0.4184116721153259,0.4563979804515838,0.0,8497,Chelsea,Cole Palmer,Cole Palmer,MID
13,0,0,27,0,29.8,182,0.32,2.15,1.83,1.56,140,1,1,17.4,44.4,2024-12-04,78,0,0,0,0,0,0,0,False,17,0,0,0,0,14,0,6358105,1,5,1,100.0,7,363808,402588,38780,110,False,0,182,MID,Chelsea,1,6,1.5836530923843384,84,AMC,Southampton,Chelsea,1,5,26741,2024,691470,0.3025408089160919,0,2,1,1.5836530923843384,2.484862804412842,0.924756407737732,8497,Chelsea,Cole Palmer,Cole Palmer,MID
14,1,3,71,0,60.3,182,0.67,2.35,1.68,2.02,149,2,2,20.1,86.6,2024-12-08,90,0,0,0,0,0,0,0,False,18,0,0,0,0,15,0,6472487,1,4,3,54.0,18,105533,184954,79421,110,False,0,182,,,2,4,1.6307969093322754,90,AMC,Tottenham,Chelsea,3,4,26745,2024,693038,0.3184517025947571,0,4,0,0.1084592714905738,0.5300776362419128,0.4216183423995971,8497,Chelsea,Cole Palmer,Cole Palmer,MID
15,0,1,25,0,57.9,182,0.33,0.54,0.21,1.61,154,1,0,11.0,21.6,2024-12-15,90,0,0,0,0,0,0,0,False,4,0,0,0,0,16,0,6867090,1,1,2,30.0,3,354913,378627,23714,111,True,0,182,,,0,4,0.2292394936084747,90,AMC,Chelsea,Brentford,2,1,26757,2024,694597,0.300882339477539,0,4,0,0.2292394936084747,1.429875135421753,0.9882731437683104,8497,Chelsea,Cole Palmer,Cole Palmer,MID
16,0,0,13,1,41.1,182,0.33,0.41,0.08,1.03,164,0,0,6.0,9.4,2024-12-22,90,0,0,0,0,0,0,0,False,8,0,0,0,0,17,0,7040008,1,0,0,9.0,3,154579,178527,23948,112,False,0,182,,,0,2,0.0714250653982162,90,AMC,Everton,Chelsea,0,0,26764,2024,695776,0.5594538450241089,0,3,0,0.0714250653982162,0.5839950442314148,0.0,8497,Chelsea,Cole Palmer,Cole Palmer,MID
17,0,3,40,0,23.6,182,0.2,0.48,0.28,1.78,174,2,1,11.3,47.4,2024-12-26,90,0,0,0,0,0,0,0,False,9,0,0,0,0,18,0,7335877,1,2,1,42.0,10,277236,332682,55446,113,True,0,182,,,1,5,0.2978372573852539,90,AMC,Chelsea,Fulham,1,2,26775,2024,696186,0.3369112014770508,0,1,1,0.2978372573852539,0.2298938184976577,0.0,8497,Chelsea,Cole Palmer,Cole Palmer,MID
18,0,0,18,0,56.4,182,0.53,0.74,0.21,1.58,186,2,0,9.2,16.6,2024-12-30,90,0,0,0,0,0,0,0,False,10,0,0,0,0,19,0,7603613,1,0,2,19.0,2,245673,268837,23164,114,False,0,182,,,0,4,0.2061696648597717,90,AMC,Ipswich,Chelsea,2,0,26787,2024,696912,0.172402024269104,0,3,0,0.2061696648597717,0.5672893524169922,0.2164136618375778,8497,Chelsea,Cole Palmer,Cole Palmer,MID
19,0,3,31,0,61.4,182,0.41,0.6,0.19,1.08,194,1,1,12.1,39.4,2025-01-04,90,0,0,0,0,0,0,0,False,7,0,0,0,0,20,0,7635713,1,1,1,20.0,10,18367,126950,108583,114,False,0,182,,,1,2,0.4996247291564941,90,AMC,Crystal Palace,Chelsea,1,1,26795,2024,697182,0.4665813744068146,0,5,1,0.4996247291564941,0.7634156942367554,0.0,8497,Chelsea,Cole Palmer,Cole Palmer,MID
