assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,5,0,1.7,486,0.01,0.03,0.02,1.57,28,2,0,2.4,16.6,2024-09-01,90,0,0,0,0,0,0,0,False,15,0,0,0,0,3,0,18707,1,1,2,6.0,1,-3352,755,4107,44,False,0,0,1,0.0363029092550277,90,DC,Newcastle United,Tottenham,2,1,26629,2024,672473,0.0,0,0,0,0.0363029092550277,0.0,0.0,Tottenham
1,0,0,3,0,0.0,486,0.0,0.0,0.0,0.19,57,0,0,0.3,2.8,2024-09-29,9,0,0,0,0,0,0,0,False,14,0,0,0,0,6,0,18054,0,3,0,0.0,1,-1335,339,1674,44,False,0,0,0,0.0,4,Sub,Manchester United,Tottenham,0,3,26660,2024,678669,0.0,0,0,0,0.0,0.3080315887928009,0.3080315887928009,Tottenham
2,0,0,8,0,1.6,486,0.01,0.01,0.0,1.86,99,1,0,1.6,14.2,2024-11-03,90,0,0,0,0,0,0,0,False,2,0,0,0,0,10,0,18008,1,1,4,0.0,2,723,1500,777,43,True,0,0,0,0.0,90,DC,Tottenham,Aston Villa,4,1,26700,2024,685517,0.0,0,0,0,0.0,0.6023221611976624,0.6023221611976624,Tottenham
3,0,0,5,0,1.5,486,0.01,0.01,0.0,1.74,108,2,0,2.1,17.0,2024-11-10,90,0,0,0,0,0,0,0,False,10,0,0,0,0,11,0,23690,1,2,1,2.0,1,5166,5997,831,43,True,0,0,0,0.0,90,DC,Tottenham,Ipswich,1,2,26709,2024,687285,0.0,0,0,0,0.0,0.0657988563179969,0.0657988563179969,Tottenham
4,0,0,28,1,0.2,486,0.0,0.0,0.0,2.14,118,0,0,2.5,25.0,2024-11-23,90,0,0,0,0,0,0,0,False,13,0,0,0,0,12,0,22101,1,4,0,0.0,6,-1441,841,2282,43,False,0,0,0,0.0,90,DC,Manchester City,Tottenham,0,4,26720,2024,688683,0.0,0,0,0,0.0,0.8979096412658691,0.8979096412658691,Tottenham
5,0,0,14,0,1.3,486,0.01,0.04,0.03,1.38,128,1,0,4.7,24.2,2024-12-01,90,0,0,0,0,0,0,0,False,9,0,0,0,0,13,0,29758,1,1,1,21.0,2,6916,7683,767,43,True,0,0,2,0.0270020440220832,90,DC,Tottenham,Fulham,1,1,26729,2024,690613,0.0,0,0,0,0.0270020440220832,0.0269283186644315,0.0269283186644315,Tottenham
6,0,0,5,0,0.7,486,0.01,0.01,0.0,3.31,133,1,0,1.8,15.4,2024-12-05,90,0,0,0,0,0,0,0,False,3,0,0,0,0,14,0,33941,1,0,1,2.0,2,3969,5298,1329,43,False,0,0,0,0.0,90,DC,Bournemouth,Tottenham,1,0,26732,2024,691649,0.0,0,0,0,0.0,0.0,0.0,Tottenham
7,0,0,-6,0,1.5,486,0.01,0.01,0.0,2.6,149,4,0,2.0,18.6,2024-12-08,75,0,0,0,0,0,0,0,False,6,0,0,0,0,15,0,34294,0,4,3,0.0,0,370,2739,2369,43,True,0,0,0,0.0,76,Sub,Tottenham,Chelsea,3,4,26745,2024,693026,0.0,0,0,0,0.0,0.2926943004131317,0.2926943004131317,Tottenham
8,0,0,27,1,0.4,486,0.0,0.0,0.0,0.84,159,0,0,1.7,17.0,2024-12-15,90,0,0,0,0,0,0,0,False,17,0,0,0,0,16,0,41205,1,5,0,0.0,6,6057,8650,2593,43,False,0,0,0,0.0,90,DC,Southampton,Tottenham,0,5,26759,2024,694633,0.0,0,0,0,0.0,1.0590893030166626,1.0590893030166626,Tottenham
9,0,0,-10,0,0.2,486,0.01,0.01,0.0,4.6,169,6,0,2.1,19.0,2024-12-22,90,0,0,0,0,0,0,0,False,12,0,0,0,0,17,0,43379,1,6,3,2.0,-1,2134,5459,3325,43,True,0,0,0,0.0,90,DC,Tottenham,Liverpool,3,6,26768,2024,695844,0.0,0,0,0,0.0,0.5922886729240417,0.5922886729240417,Tottenham
